Parameter S1 S1_conf ST ST_conf
a_neg 0.007241 0.191507 0.320812 0.143516
a_pos 0.001976 0.129241 0.160413 0.118802
l_neg -0.052070 0.105172 0.094720 0.095554
l_sep -0.158990 0.122120 0.156877 0.115829
l_pos -0.000863 0.001400 0.000016 0.000016
Rp_neg -0.015951 0.093405 0.055412 0.033320
Rp_pos 0.018485 0.124846 0.094389 0.087779
epsilon_f_neg 0.000001 0.000005 0.000000 0.000000
epsilon_f_pos 0.000533 0.000541 0.000001 0.000001
epsilon_neg -0.123574 0.159135 0.186336 0.111820
epsilon_sep -0.000000 0.000000 0.000000 0.000000
epsilon_pos -0.501801 0.188155 0.341998 0.162935
Cdl_neg 0.021795 0.146767 0.148382 0.102953
Cdl_pos 0.090342 0.154841 0.235370 0.144540
cs_max_neg 0.000000 0.000000 0.000000 0.000000
cs_max_pos 0.000000 0.000000 0.000000 0.000000
c0 0.038269 0.090303 0.080528 0.077251
D -0.059447 0.078790 0.084577 0.074917
Ds_neg 0.008301 0.137079 0.155437 0.081601
Ds_pos 0.171046 0.103618 0.114324 0.067917
d2Udcp2_pos_sgn -0.000027 0.103770 0.122474 0.093059
d2Udcp2_neg_sgn -0.022151 0.079520 0.025857 0.022169
d3Udcp3_pos_sgn -0.000549 0.000571 0.000003 0.000003
d3Udcp3_neg_sgn 0.005077 0.005282 0.000290 0.000312
dUdcp_pos_mag 0.132490 0.139058 0.115481 0.068908
dUdcp_neg_mag -0.123186 0.107808 0.043607 0.016460
d2Udcp2_pos_mag -0.037199 0.285648 0.312344 0.147207
d2Udcp2_neg_mag -0.044669 0.081906 0.026336 0.011234
d3Udcp3_pos_mag -0.023759 0.018427 0.000437 0.000304
d3Udcp3_neg_mag -0.035496 0.042597 0.006044 0.006314
i0_neg 0.030486 0.185477 0.289651 0.180561
i0_pos 0.220057 0.292235 0.670705 0.296517
SOC_neg 0.000000 0.000000 0.000000 0.000000
SOC_pos 0.000000 0.000000 0.000000 0.000000
tP 0.047356 0.123249 0.163753 0.109463
aa_neg 0.051655 0.161034 0.199274 0.091622
aa_pos 0.101562 0.121724 0.085884 0.044193
kappa_0 -0.030056 0.090167 0.102458 0.077199
sigma_neg 0.000313 0.000319 0.000000 0.000000
sigma_pos -0.000019 0.001899 0.000014 0.000013

Parameter_1 Parameter_2 S2 S2_conf
a_neg a_pos 0.063861 0.366577
a_neg l_neg -0.098914 0.291496
a_neg l_sep -0.102058 0.291256
a_neg l_pos -0.101046 0.290666
a_neg Rp_neg -0.133068 0.288091
a_neg Rp_pos -0.109893 0.296581
a_neg epsilon_f_neg -0.099640 0.291362
a_neg epsilon_f_pos -0.099879 0.291383
a_neg epsilon_neg 0.033232 0.353345
a_neg epsilon_sep -0.099641 0.291362
a_neg epsilon_pos -0.130881 0.275452
a_neg Cdl_neg -0.130147 0.301549
a_neg Cdl_pos -0.100805 0.292448
a_neg cs_max_neg -0.099641 0.291362
a_neg cs_max_pos -0.099641 0.291362
a_neg c0 -0.085298 0.298138
a_neg D -0.099782 0.292355
a_neg Ds_neg 0.008628 0.346443
a_neg Ds_pos -0.128835 0.299297
a_neg d2Udcp2_pos_sgn 0.043901 0.355288
a_neg d2Udcp2_neg_sgn -0.103275 0.291084
a_neg d3Udcp3_pos_sgn -0.099678 0.291358
a_neg d3Udcp3_neg_sgn -0.099648 0.291366
a_neg dUdcp_pos_mag -0.221903 0.305072
a_neg dUdcp_neg_mag -0.121726 0.289229
a_neg d2Udcp2_pos_mag -0.153270 0.290019
a_neg d2Udcp2_neg_mag -0.078749 0.296404
a_neg d3Udcp3_pos_mag -0.084927 0.285147
a_neg d3Udcp3_neg_mag -0.102065 0.290896
a_neg i0_neg 0.099899 0.401836
a_neg i0_pos 0.017452 0.365276
a_neg SOC_neg -0.099641 0.291362
a_neg SOC_pos -0.099641 0.291362
a_neg tP -0.100402 0.301427
a_neg aa_neg -0.084851 0.314116
a_neg aa_pos -0.140610 0.274135
a_neg kappa_0 -0.040343 0.323968
a_neg sigma_neg -0.099690 0.291379
a_neg sigma_pos -0.100165 0.291389
a_pos l_neg -0.279927 0.204438
a_pos l_sep -0.282379 0.204817
a_pos l_pos -0.280028 0.204219
a_pos Rp_neg -0.309018 0.219760
a_pos Rp_pos -0.286594 0.205746
a_pos epsilon_f_neg -0.279982 0.204212
a_pos epsilon_f_pos -0.279978 0.204219
a_pos epsilon_neg -0.197301 0.169131
a_pos epsilon_sep -0.279982 0.204212
a_pos epsilon_pos -0.224119 0.175814
a_pos Cdl_neg -0.267935 0.204488
a_pos Cdl_pos -0.280086 0.203988
a_pos cs_max_neg -0.279982 0.204212
a_pos cs_max_pos -0.279982 0.204212
a_pos c0 -0.278844 0.204039
a_pos D -0.286545 0.205206
a_pos Ds_neg -0.274132 0.199304
a_pos Ds_pos -0.286111 0.208725
a_pos d2Udcp2_pos_sgn -0.281156 0.203893
a_pos d2Udcp2_neg_sgn -0.281506 0.204214
a_pos d3Udcp3_pos_sgn -0.280043 0.204208
a_pos d3Udcp3_neg_sgn -0.279986 0.204212
a_pos dUdcp_pos_mag -0.309458 0.209750
a_pos dUdcp_neg_mag -0.254881 0.193524
a_pos d2Udcp2_pos_mag -0.277131 0.203756
a_pos d2Udcp2_neg_mag -0.252752 0.185334
a_pos d3Udcp3_pos_mag -0.269441 0.202960
a_pos d3Udcp3_neg_mag -0.263492 0.202651
a_pos i0_neg -0.271313 0.198663
a_pos i0_pos -0.195472 0.167405
a_pos SOC_neg -0.279982 0.204212
a_pos SOC_pos -0.279982 0.204212
a_pos tP -0.276560 0.204154
a_pos aa_neg -0.290781 0.210846
a_pos aa_pos -0.282380 0.204938
a_pos kappa_0 -0.275120 0.203368
a_pos sigma_neg -0.279925 0.204206
a_pos sigma_pos -0.279642 0.204180
l_neg l_sep 0.051728 0.105181
l_neg l_pos 0.051720 0.105173
l_neg Rp_neg 0.051781 0.105176
l_neg Rp_pos 0.051747 0.105175
l_neg epsilon_f_neg 0.051720 0.105173
l_neg epsilon_f_pos 0.051720 0.105173
l_neg epsilon_neg 0.051766 0.105175
l_neg epsilon_sep 0.051720 0.105173
l_neg epsilon_pos 0.051732 0.105181
l_neg Cdl_neg 0.051721 0.105173
l_neg Cdl_pos 0.051762 0.105164
l_neg cs_max_neg 0.051720 0.105173
l_neg cs_max_pos 0.051720 0.105173
l_neg c0 0.051731 0.105176
l_neg D 0.051720 0.105173
l_neg Ds_neg 0.051825 0.105173
l_neg Ds_pos 0.051709 0.105171
l_neg d2Udcp2_pos_sgn 0.051720 0.105173
l_neg d2Udcp2_neg_sgn 0.051720 0.105173
l_neg d3Udcp3_pos_sgn 0.051720 0.105173
l_neg d3Udcp3_neg_sgn 0.051720 0.105173
l_neg dUdcp_pos_mag 0.051731 0.105173
l_neg dUdcp_neg_mag 0.051734 0.105174
l_neg d2Udcp2_pos_mag 0.051711 0.105172
l_neg d2Udcp2_neg_mag 0.051790 0.105174
l_neg d3Udcp3_pos_mag 0.051720 0.105173
l_neg d3Udcp3_neg_mag 0.051748 0.105175
l_neg i0_neg 0.051792 0.105180
l_neg i0_pos 0.051765 0.105171
l_neg SOC_neg 0.051720 0.105173
l_neg SOC_pos 0.051720 0.105173
l_neg tP 0.051731 0.105175
l_neg aa_neg 0.051906 0.105180
l_neg aa_pos 0.051719 0.105173
l_neg kappa_0 0.051718 0.105173
l_neg sigma_neg 0.051720 0.105173
l_neg sigma_pos 0.051720 0.105173
l_sep l_pos 0.158251 0.122144
l_sep Rp_neg 0.158360 0.122149
l_sep Rp_pos 0.158323 0.122137
l_sep epsilon_f_neg 0.158251 0.122144
l_sep epsilon_f_pos 0.158251 0.122144
l_sep epsilon_neg 0.158330 0.122150
l_sep epsilon_sep 0.158251 0.122144
l_sep epsilon_pos 0.158274 0.122121
l_sep Cdl_neg 0.158189 0.122137
l_sep Cdl_pos 0.158272 0.122161
l_sep cs_max_neg 0.158251 0.122144
l_sep cs_max_pos 0.158251 0.122144
l_sep c0 0.158268 0.122137
l_sep D 0.158256 0.122133
l_sep Ds_neg 0.158297 0.122141
l_sep Ds_pos 0.158370 0.122144
l_sep d2Udcp2_pos_sgn 0.158251 0.122144
l_sep d2Udcp2_neg_sgn 0.158250 0.122144
l_sep d3Udcp3_pos_sgn 0.158251 0.122144
l_sep d3Udcp3_neg_sgn 0.158252 0.122144
l_sep dUdcp_pos_mag 0.158169 0.122149
l_sep dUdcp_neg_mag 0.158317 0.122145
l_sep d2Udcp2_pos_mag 0.158440 0.122125
l_sep d2Udcp2_neg_mag 0.158244 0.122140
l_sep d3Udcp3_pos_mag 0.158253 0.122144
l_sep d3Udcp3_neg_mag 0.158355 0.122150
l_sep i0_neg 0.158231 0.122135
l_sep i0_pos 0.158181 0.122147
l_sep SOC_neg 0.158251 0.122144
l_sep SOC_pos 0.158251 0.122144
l_sep tP 0.158180 0.122131
l_sep aa_neg 0.157594 0.122130
l_sep aa_pos 0.158255 0.122143
l_sep kappa_0 0.158217 0.122135
l_sep sigma_neg 0.158251 0.122144
l_sep sigma_pos 0.158249 0.122144
l_pos Rp_neg 0.000978 0.001760
l_pos Rp_pos 0.000745 0.001821
l_pos epsilon_f_neg 0.000730 0.001817
l_pos epsilon_f_pos 0.000730 0.001817
l_pos epsilon_neg 0.000997 0.001751
l_pos epsilon_sep 0.000730 0.001817
l_pos epsilon_pos 0.000647 0.001764
l_pos Cdl_neg 0.000729 0.001817
l_pos Cdl_pos 0.000737 0.001817
l_pos cs_max_neg 0.000730 0.001817
l_pos cs_max_pos 0.000730 0.001817
l_pos c0 0.000764 0.001827
l_pos D 0.000720 0.001817
l_pos Ds_neg 0.000838 0.001793
l_pos Ds_pos 0.000575 0.001763
l_pos d2Udcp2_pos_sgn 0.000426 0.001716
l_pos d2Udcp2_neg_sgn 0.000733 0.001817
l_pos d3Udcp3_pos_sgn 0.000731 0.001817
l_pos d3Udcp3_neg_sgn 0.000730 0.001817
l_pos dUdcp_pos_mag 0.000757 0.001835
l_pos dUdcp_neg_mag 0.000865 0.001818
l_pos d2Udcp2_pos_mag 0.000762 0.001822
l_pos d2Udcp2_neg_mag 0.000753 0.001812
l_pos d3Udcp3_pos_mag 0.000731 0.001816
l_pos d3Udcp3_neg_mag 0.000926 0.001773
l_pos i0_neg 0.000778 0.001799
l_pos i0_pos 0.000611 0.001774
l_pos SOC_neg 0.000730 0.001817
l_pos SOC_pos 0.000730 0.001817
l_pos tP 0.000761 0.001828
l_pos aa_neg 0.000564 0.001879
l_pos aa_pos 0.000731 0.001829
l_pos kappa_0 0.000754 0.001827
l_pos sigma_neg 0.000731 0.001817
l_pos sigma_pos 0.000730 0.001817
Rp_neg Rp_pos -0.029385 0.115630
