Parameter S1 S1_conf ST ST_conf
a_neg -0.186820 0.183996 0.299663 0.151019
a_pos -0.033292 0.159496 0.198973 0.146332
l_neg -0.067206 0.116966 0.107936 0.111866
l_sep -0.198065 0.156602 0.195193 0.154063
l_pos -0.001946 0.002310 0.000047 0.000054
Rp_neg -0.001506 0.071629 0.015717 0.007948
Rp_pos -0.000043 0.134537 0.105709 0.100769
epsilon_f_neg 0.000007 0.000005 0.000000 0.000000
epsilon_f_pos -0.000610 0.000561 0.000002 0.000001
epsilon_neg -0.161622 0.178349 0.226131 0.140460
epsilon_sep 0.000000 0.000000 0.000000 0.000000
epsilon_pos -0.527887 0.238221 0.409904 0.180738
Cdl_neg -0.086630 0.111939 0.114173 0.090839
Cdl_pos 0.014332 0.149199 0.197077 0.144995
cs_max_neg 0.000000 0.000000 0.000000 0.000000
cs_max_pos 0.000000 0.000000 0.000000 0.000000
c0 -0.043540 0.031108 0.003758 0.003321
D -0.096039 0.098850 0.096028 0.098024
Ds_neg 0.058884 0.126554 0.112497 0.081516
Ds_pos 0.052489 0.100440 0.069504 0.030540
d2Udcp2_pos_sgn 0.011798 0.099029 0.080157 0.077212
d2Udcp2_neg_sgn -0.007903 0.021177 0.000773 0.000523
d3Udcp3_pos_sgn 0.000003 0.000028 0.000000 0.000000
d3Udcp3_neg_sgn 0.000021 0.000158 0.000000 0.000000
dUdcp_pos_mag 0.156552 0.154421 0.097273 0.075443
dUdcp_neg_mag -0.095450 0.078004 0.027279 0.013281
d2Udcp2_pos_mag -0.190384 0.313425 0.219088 0.130503
d2Udcp2_neg_mag -0.021990 0.087014 0.054850 0.031916
d3Udcp3_pos_mag -0.078724 0.067242 0.004778 0.004163
d3Udcp3_neg_mag -0.010464 0.011454 0.000438 0.000472
i0_neg -0.016795 0.224515 0.333771 0.218977
i0_pos 0.157613 0.319071 0.662674 0.280506
SOC_neg 0.000000 0.000000 0.000000 0.000000
SOC_pos 0.000000 0.000000 0.000000 0.000000
tP -0.092549 0.085512 0.069206 0.068705
aa_neg 0.017808 0.201326 0.246351 0.104029
aa_pos -0.013516 0.141292 0.122511 0.058450
kappa_0 -0.082502 0.100298 0.095968 0.093713
sigma_neg -0.000096 0.000197 0.000000 0.000000
sigma_pos -0.003203 0.001869 0.000014 0.000010

Parameter_1 Parameter_2 S2 S2_conf
a_neg a_pos 0.352635 0.415422
a_neg l_neg 0.153207 0.323817
a_neg l_sep 0.152519 0.323716
a_neg l_pos 0.152853 0.323753
a_neg Rp_neg 0.140124 0.322131
a_neg Rp_pos 0.173621 0.313436
a_neg epsilon_f_neg 0.152692 0.323752
a_neg epsilon_f_pos 0.152706 0.323735
a_neg epsilon_neg 0.335650 0.413011
a_neg epsilon_sep 0.152693 0.323752
a_neg epsilon_pos 0.050018 0.296235
a_neg Cdl_neg 0.144468 0.324161
a_neg Cdl_pos 0.159273 0.331349
a_neg cs_max_neg 0.152693 0.323752
a_neg cs_max_pos 0.152693 0.323752
a_neg c0 0.153535 0.322249
a_neg D 0.147778 0.321859
a_neg Ds_neg 0.309415 0.399730
a_neg Ds_pos 0.151264 0.310136
a_neg d2Udcp2_pos_sgn 0.343971 0.391388
a_neg d2Udcp2_neg_sgn 0.151105 0.324752
a_neg d3Udcp3_pos_sgn 0.152691 0.323752
a_neg d3Udcp3_neg_sgn 0.152696 0.323753
a_neg dUdcp_pos_mag 0.120151 0.317854
a_neg dUdcp_neg_mag 0.173966 0.310991
a_neg d2Udcp2_pos_mag 0.169760 0.312311
a_neg d2Udcp2_neg_mag 0.167994 0.327651
a_neg d3Udcp3_pos_mag 0.206663 0.303903
a_neg d3Udcp3_neg_mag 0.151323 0.323485
a_neg i0_neg 0.415485 0.455841
a_neg i0_pos 0.303583 0.400522
a_neg SOC_neg 0.152693 0.323752
a_neg SOC_pos 0.152693 0.323752
a_neg tP 0.149799 0.321308
a_neg aa_neg 0.141328 0.358335
a_neg aa_pos 0.113990 0.269939
a_neg kappa_0 0.188928 0.346281
a_neg sigma_neg 0.152746 0.323747
a_neg sigma_pos 0.152940 0.323643
a_pos l_neg -0.261703 0.250674
a_pos l_sep -0.266090 0.249911
a_pos l_pos -0.261836 0.250522
a_pos Rp_neg -0.294019 0.271506
a_pos Rp_pos -0.242198 0.245009
a_pos epsilon_f_neg -0.261792 0.250552
a_pos epsilon_f_pos -0.261867 0.250549
a_pos epsilon_neg -0.206388 0.223865
a_pos epsilon_sep -0.261792 0.250552
a_pos epsilon_pos -0.225854 0.238229
a_pos Cdl_neg -0.253814 0.252838
a_pos Cdl_pos -0.261580 0.250459
a_pos cs_max_neg -0.261792 0.250552
a_pos cs_max_pos -0.261792 0.250552
