Parameter S1 S1_conf ST ST_conf
a_neg -0.099275 0.121228 0.287250 0.157997
a_pos -0.153102 0.139365 0.119483 0.134742
l_neg -0.099107 0.131646 0.106573 0.133380
l_sep -0.209417 0.157549 0.213747 0.160404
l_pos -0.000471 0.000355 0.000001 0.000001
Rp_neg -0.013424 0.016999 0.000926 0.000504
Rp_pos 0.064847 0.060574 0.037185 0.038119
epsilon_f_neg 0.000004 0.000005 0.000000 0.000000
epsilon_f_pos 0.000102 0.000087 0.000000 0.000000
epsilon_neg -0.090347 0.085411 0.063544 0.048655
epsilon_sep 0.000000 0.000000 0.000000 0.000000
epsilon_pos -0.348763 0.178398 0.265248 0.167538
Cdl_neg -0.046722 0.148605 0.153696 0.101229
Cdl_pos 0.051329 0.164545 0.248187 0.167644
cs_max_neg 0.000000 0.000000 0.000000 0.000000
cs_max_pos 0.000000 0.000000 0.000000 0.000000
c0 0.002690 0.004319 0.000065 0.000055
D -0.104297 0.094901 0.106863 0.097710
Ds_neg 0.109955 0.103749 0.013981 0.012177
Ds_pos 0.025110 0.044864 0.020052 0.018011
d2Udcp2_pos_sgn 0.015081 0.014334 0.000295 0.000271
d2Udcp2_neg_sgn -0.000775 0.001220 0.000015 0.000017
d3Udcp3_pos_sgn 0.000001 0.000001 0.000000 0.000000
d3Udcp3_neg_sgn 0.000001 0.000002 0.000000 0.000000
dUdcp_pos_mag 0.130144 0.110926 0.089264 0.083987
dUdcp_neg_mag -0.020647 0.034583 0.002793 0.001404
d2Udcp2_pos_mag 0.086452 0.059563 0.030503 0.023589
d2Udcp2_neg_mag -0.004121 0.003401 0.000052 0.000040
d3Udcp3_pos_mag 0.000066 0.000074 0.000000 0.000000
d3Udcp3_neg_mag -0.000006 0.000008 0.000000 0.000000
i0_neg -0.162313 0.181843 0.284514 0.200246
i0_pos 0.142244 0.244031 0.551353 0.232730
SOC_neg 0.000000 0.000000 0.000000 0.000000
SOC_pos 0.000000 0.000000 0.000000 0.000000
tP -0.104769 0.095245 0.107308 0.098089
aa_neg -0.073865 0.136684 0.171670 0.099320
aa_pos 0.043052 0.093620 0.058112 0.035132
kappa_0 -0.107272 0.094633 0.106958 0.097736
sigma_neg -0.000024 0.000058 0.000000 0.000000
sigma_pos 0.000168 0.001329 0.000007 0.000008

Parameter_1 Parameter_2 S2 S2_conf
a_neg a_pos 0.234509 0.289076
a_neg l_neg 0.205349 0.269982
a_neg l_sep 0.200700 0.270263
a_neg l_pos 0.205354 0.270159
a_neg Rp_neg 0.206185 0.270469
a_neg Rp_pos 0.205305 0.269774
a_neg epsilon_f_neg 0.205482 0.270206
a_neg epsilon_f_pos 0.205595 0.270289
a_neg epsilon_neg 0.245732 0.302472
a_neg epsilon_sep 0.205482 0.270206
a_neg epsilon_pos 0.188219 0.262887
a_neg Cdl_neg 0.188447 0.270110
a_neg Cdl_pos 0.176932 0.266665
a_neg cs_max_neg 0.205482 0.270206
a_neg cs_max_pos 0.205482 0.270206
a_neg c0 0.205813 0.270177
a_neg D 0.200607 0.270167
a_neg Ds_neg 0.211059 0.274042
a_neg Ds_pos 0.199523 0.266629
a_neg d2Udcp2_pos_sgn 0.204760 0.269663
a_neg d2Udcp2_neg_sgn 0.205494 0.270210
a_neg d3Udcp3_pos_sgn 0.205482 0.270206
a_neg d3Udcp3_neg_sgn 0.205483 0.270206
a_neg dUdcp_pos_mag 0.200926 0.267525
a_neg dUdcp_neg_mag 0.211234 0.268986
a_neg d2Udcp2_pos_mag 0.206443 0.270123
a_neg d2Udcp2_neg_mag 0.205942 0.270614
a_neg d3Udcp3_pos_mag 0.205504 0.270196
a_neg d3Udcp3_neg_mag 0.205483 0.270205
a_neg i0_neg 0.364576 0.384011
a_neg i0_pos 0.406784 0.457272
a_neg SOC_neg 0.205482 0.270206
a_neg SOC_pos 0.205482 0.270206
a_neg tP 0.200809 0.270410
a_neg aa_neg 0.147852 0.255260
a_neg aa_pos 0.201699 0.263373
a_neg kappa_0 0.200608 0.269978
a_neg sigma_neg 0.205495 0.270213
a_neg sigma_pos 0.206100 0.270678
a_pos l_neg 0.014416 0.242457
a_pos l_sep -0.016157 0.235727
a_pos l_pos 0.014468 0.242502
a_pos Rp_neg 0.008886 0.245342
a_pos Rp_pos 0.015047 0.242447
a_pos epsilon_f_neg 0.014489 0.242506
a_pos epsilon_f_pos 0.014479 0.242509
a_pos epsilon_neg 0.040101 0.228250
a_pos epsilon_sep 0.014490 0.242506
a_pos epsilon_pos 0.035461 0.228832
a_pos Cdl_neg -0.019339 0.264069
a_pos Cdl_pos 0.009447 0.241494
a_pos cs_max_neg 0.014490 0.242506
a_pos cs_max_pos 0.014490 0.242506
