Parameter S1 S1_conf ST ST_conf
a_neg -0.025530 0.066688 0.270910 0.105851
a_pos -0.077701 0.107182 0.139851 0.130366
l_neg -0.093592 0.104616 0.110773 0.124946
l_sep -0.162899 0.122849 0.221715 0.161718
l_pos -0.000134 0.000394 0.000008 0.000008
Rp_neg -0.004396 0.003990 0.000064 0.000040
Rp_pos -0.001770 0.001852 0.000130 0.000113
epsilon_f_neg -0.000005 0.000003 0.000000 0.000000
epsilon_f_pos -0.000012 0.000040 0.000000 0.000000
epsilon_neg 0.052253 0.050419 0.142888 0.097124
epsilon_sep 0.000000 0.000000 0.000000 0.000000
epsilon_pos -0.081636 0.124282 0.304826 0.161020
Cdl_neg 0.152783 0.169588 0.249337 0.102937
Cdl_pos 0.165330 0.135573 0.305298 0.155226
cs_max_neg 0.000000 0.000000 0.000000 0.000000
cs_max_pos 0.000000 0.000000 0.000000 0.000000
c0 0.000051 0.000455 0.000001 0.000001
D -0.070184 0.066339 0.110856 0.104751
Ds_neg 0.084906 0.086167 0.015832 0.015781
Ds_pos -0.003016 0.003293 0.000390 0.000355
d2Udcp2_pos_sgn 0.000016 0.000018 0.000000 0.000000
d2Udcp2_neg_sgn -0.000010 0.000012 0.000000 0.000000
d3Udcp3_pos_sgn -0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_sgn 0.000000 0.000000 0.000000 0.000000
dUdcp_pos_mag 0.007258 0.012161 0.000847 0.000585
dUdcp_neg_mag -0.005424 0.006949 0.000136 0.000096
d2Udcp2_pos_mag -0.000174 0.000318 0.000008 0.000007
d2Udcp2_neg_mag -0.000025 0.000030 0.000000 0.000000
d3Udcp3_pos_mag 0.000001 0.000001 0.000000 0.000000
d3Udcp3_neg_mag -0.000000 0.000000 0.000000 0.000000
i0_neg -0.125990 0.143158 0.164066 0.077321
i0_pos 0.221455 0.100838 0.441433 0.144031
SOC_neg 0.000000 0.000000 0.000000 0.000000
SOC_pos 0.000000 0.000000 0.000000 0.000000
tP -0.070200 0.066349 0.110853 0.104748
aa_neg -0.024976 0.070612 0.120663 0.098726
aa_pos 0.015463 0.030119 0.121915 0.093656
kappa_0 -0.070366 0.066329 0.110867 0.104751
sigma_neg -0.000067 0.000128 0.000000 0.000000
sigma_pos -0.000174 0.000484 0.000003 0.000002

Parameter_1 Parameter_2 S2 S2_conf
a_neg a_pos 0.189396 0.174433
a_neg l_neg 0.185602 0.154420
a_neg l_sep 0.179598 0.154610
a_neg l_pos 0.185845 0.154304
a_neg Rp_neg 0.185446 0.154309
a_neg Rp_pos 0.184833 0.154283
a_neg epsilon_f_neg 0.185409 0.154361
a_neg epsilon_f_pos 0.185514 0.154430
a_neg epsilon_neg 0.231578 0.182448
a_neg epsilon_sep 0.185410 0.154362
a_neg epsilon_pos 0.167754 0.154236
a_neg Cdl_neg 0.189670 0.161750
a_neg Cdl_pos 0.172044 0.151162
a_neg cs_max_neg 0.185410 0.154362
a_neg cs_max_pos 0.185410 0.154362
a_neg c0 0.185516 0.154386
a_neg D 0.179556 0.154597
a_neg Ds_neg 0.180668 0.154776
a_neg Ds_pos 0.184276 0.154201
a_neg d2Udcp2_pos_sgn 0.185426 0.154366
a_neg d2Udcp2_neg_sgn 0.185411 0.154362
a_neg d3Udcp3_pos_sgn 0.185410 0.154362
a_neg d3Udcp3_neg_sgn 0.185410 0.154362
a_neg dUdcp_pos_mag 0.185378 0.154396
a_neg dUdcp_neg_mag 0.186146 0.154238
a_neg d2Udcp2_pos_mag 0.185528 0.154297
a_neg d2Udcp2_neg_mag 0.185415 0.154352
a_neg d3Udcp3_pos_mag 0.185410 0.154362
a_neg d3Udcp3_neg_mag 0.185410 0.154362
a_neg i0_neg 0.314314 0.202605
a_neg i0_pos 0.494896 0.337891
a_neg SOC_neg 0.185410 0.154362
a_neg SOC_pos 0.185410 0.154362
a_neg tP 0.179449 0.154622
a_neg aa_neg 0.151190 0.150374
a_neg aa_pos 0.195140 0.159584
a_neg kappa_0 0.179386 0.154438
a_neg sigma_neg 0.185528 0.154385
a_neg sigma_pos 0.186344 0.154675
a_pos l_neg -0.040871 0.136492
a_pos l_sep -0.054193 0.135146
a_pos l_pos -0.039342 0.137456
a_pos Rp_neg -0.040648 0.137896
a_pos Rp_pos -0.039978 0.137528
a_pos epsilon_f_neg -0.039665 0.137617
a_pos epsilon_f_pos -0.039659 0.137615
a_pos epsilon_neg -0.064920 0.147332
a_pos epsilon_sep -0.039666 0.137617
a_pos epsilon_pos -0.082283 0.150458
a_pos Cdl_neg -0.127553 0.182447
a_pos Cdl_pos -0.037652 0.138721
a_pos cs_max_neg -0.039666 0.137617
a_pos cs_max_pos -0.039666 0.137617
a_pos c0 -0.039670 0.137608
a_pos D -0.052937 0.136262
a_pos Ds_neg -0.039350 0.137625
a_pos Ds_pos -0.040276 0.137558
a_pos d2Udcp2_pos_sgn -0.039676 0.137621
a_pos d2Udcp2_neg_sgn -0.039666 0.137617
a_pos d3Udcp3_pos_sgn -0.039666 0.137617
a_pos d3Udcp3_neg_sgn -0.039666 0.137617
a_pos dUdcp_pos_mag -0.040580 0.137596
a_pos dUdcp_neg_mag -0.039290 0.137382
a_pos d2Udcp2_pos_mag -0.039421 0.137498
a_pos d2Udcp2_neg_mag -0.039665 0.137617
a_pos d3Udcp3_pos_mag -0.039665 0.137617
a_pos d3Udcp3_neg_mag -0.039666 0.137617
a_pos i0_neg -0.007019 0.125438
a_pos i0_pos -0.031677 0.137108
a_pos SOC_neg -0.039666 0.137617
a_pos SOC_pos -0.039666 0.137617
a_pos tP -0.052932 0.136258
a_pos aa_neg -0.074083 0.148762
a_pos aa_pos -0.041344 0.138429
a_pos kappa_0 -0.052926 0.136265
a_pos sigma_neg -0.039670 0.137617
a_pos sigma_pos -0.039631 0.137604
l_neg l_sep 0.095638 0.104845
l_neg l_pos 0.095614 0.104828
l_neg Rp_neg 0.095614 0.104828
l_neg Rp_pos 0.095614 0.104828
l_neg epsilon_f_neg 0.095614 0.104828
l_neg epsilon_f_pos 0.095614 0.104828
l_neg epsilon_neg 0.095612 0.104827
l_neg epsilon_sep 0.095614 0.104828
l_neg epsilon_pos 0.095623 0.104843
l_neg Cdl_neg 0.095536 0.104813
l_neg Cdl_pos 0.095763 0.104794
l_neg cs_max_neg 0.095614 0.104828
l_neg cs_max_pos 0.095614 0.104828
l_neg c0 0.095614 0.104828
l_neg D 0.095623 0.104828
l_neg Ds_neg 0.095611 0.104828
l_neg Ds_pos 0.095615 0.104828
l_neg d2Udcp2_pos_sgn 0.095614 0.104828
l_neg d2Udcp2_neg_sgn 0.095614 0.104828
l_neg d3Udcp3_pos_sgn 0.095614 0.104828
l_neg d3Udcp3_neg_sgn 0.095614 0.104828
l_neg dUdcp_pos_mag 0.095616 0.104828
l_neg dUdcp_neg_mag 0.095647 0.104831
l_neg d2Udcp2_pos_mag 0.095614 0.104828
l_neg d2Udcp2_neg_mag 0.095614 0.104828
l_neg d3Udcp3_pos_mag 0.095614 0.104828
l_neg d3Udcp3_neg_mag 0.095614 0.104828
l_neg i0_neg 0.095888 0.104855
l_neg i0_pos 0.095843 0.104815
l_neg SOC_neg 0.095614 0.104828
l_neg SOC_pos 0.095614 0.104828
l_neg tP 0.095623 0.104828
l_neg aa_neg 0.096136 0.104875
l_neg aa_pos 0.095612 0.104828
l_neg kappa_0 0.095618 0.104827
l_neg sigma_neg 0.095614 0.104828
l_neg sigma_pos 0.095614 0.104828
l_sep l_pos 0.162899 0.122849
l_sep Rp_neg 0.162899 0.122849
l_sep Rp_pos 0.162899 0.122849
l_sep epsilon_f_neg 0.162899 0.122849
l_sep epsilon_f_pos 0.162899 0.122849
l_sep epsilon_neg 0.162899 0.122849
l_sep epsilon_sep 0.162899 0.122849
l_sep epsilon_pos 0.162899 0.122849
l_sep Cdl_neg 0.162899 0.122849
l_sep Cdl_pos 0.162899 0.122849
l_sep cs_max_neg 0.162899 0.122849
l_sep cs_max_pos 0.162899 0.122849
l_sep c0 0.162899 0.122849
l_sep D 0.162899 0.122849
l_sep Ds_neg 0.162899 0.122849
l_sep Ds_pos 0.162899 0.122849
l_sep d2Udcp2_pos_sgn 0.162899 0.122849
l_sep d2Udcp2_neg_sgn 0.162899 0.122849
l_sep d3Udcp3_pos_sgn 0.162899 0.122849
l_sep d3Udcp3_neg_sgn 0.162899 0.122849
l_sep dUdcp_pos_mag 0.162899 0.122849
l_sep dUdcp_neg_mag 0.162899 0.122849
l_sep d2Udcp2_pos_mag 0.162899 0.122849
l_sep d2Udcp2_neg_mag 0.162899 0.122849
l_sep d3Udcp3_pos_mag 0.162899 0.122849
l_sep d3Udcp3_neg_mag 0.162899 0.122849
l_sep i0_neg 0.162899 0.122849
l_sep i0_pos 0.162899 0.122849
l_sep SOC_neg 0.162899 0.122849
l_sep SOC_pos 0.162899 0.122849
l_sep tP 0.162899 0.122849
l_sep aa_neg 0.162899 0.122849
l_sep aa_pos 0.162899 0.122849
l_sep kappa_0 0.162899 0.122849
l_sep sigma_neg 0.162899 0.122849
l_sep sigma_pos 0.162899 0.122849
l_pos Rp_neg -0.002146 0.002018
l_pos Rp_pos -0.002146 0.002018
l_pos epsilon_f_neg -0.002146 0.002018
l_pos epsilon_f_pos -0.002146 0.002018
l_pos epsilon_neg -0.002419 0.002280
l_pos epsilon_sep -0.002146 0.002018
l_pos epsilon_pos -0.002549 0.002428
l_pos Cdl_neg -0.003181 0.003020
l_pos Cdl_pos -0.002046 0.001981
l_pos cs_max_neg -0.002146 0.002018
l_pos cs_max_pos -0.002146 0.002018
l_pos c0 -0.002145 0.002016
l_pos D -0.002146 0.002019
l_pos Ds_neg -0.002148 0.002018
l_pos Ds_pos -0.002146 0.002018
l_pos d2Udcp2_pos_sgn -0.002146 0.002018
l_pos d2Udcp2_neg_sgn -0.002146 0.002018
l_pos d3Udcp3_pos_sgn -0.002146 0.002018
l_pos d3Udcp3_neg_sgn -0.002146 0.002018
l_pos dUdcp_pos_mag -0.002167 0.002022
l_pos dUdcp_neg_mag -0.002245 0.002117
l_pos d2Udcp2_pos_mag -0.002146 0.002018
l_pos d2Udcp2_neg_mag -0.002146 0.002018
l_pos d3Udcp3_pos_mag -0.002146 0.002018
l_pos d3Udcp3_neg_mag -0.002146 0.002018
l_pos i0_neg -0.002146 0.002029
l_pos i0_pos -0.002567 0.002109
l_pos SOC_neg -0.002146 0.002018
l_pos SOC_pos -0.002146 0.002018
l_pos tP -0.002143 0.002016
l_pos aa_neg -0.002001 0.001878
l_pos aa_pos -0.002490 0.002378
l_pos kappa_0 -0.002138 0.002011
l_pos sigma_neg -0.002147 0.002018
l_pos sigma_pos -0.002146 0.002017
Rp_neg Rp_pos 0.003720 0.004057
Rp_neg epsilon_f_neg 0.003720 0.004057
Rp_neg epsilon_f_pos 0.003720 0.004057
Rp_neg epsilon_neg 0.003668 0.004061
Rp_neg epsilon_sep 0.003720 0.004057
Rp_neg epsilon_pos 0.003707 0.004061
Rp_neg Cdl_neg 0.004052 0.004027
Rp_neg Cdl_pos 0.003646 0.004051
Rp_neg cs_max_neg 0.003720 0.004057
Rp_neg cs_max_pos 0.003720 0.004057
Rp_neg c0 0.003720 0.004057
Rp_neg D 0.003719 0.004057
Rp_neg Ds_neg 0.003716 0.004053
Rp_neg Ds_pos 0.003720 0.004057
Rp_neg d2Udcp2_pos_sgn 0.003720 0.004057
Rp_neg d2Udcp2_neg_sgn 0.003720 0.004057
Rp_neg d3Udcp3_pos_sgn 0.003720 0.004057
Rp_neg d3Udcp3_neg_sgn 0.003720 0.004057
Rp_neg dUdcp_pos_mag 0.003720 0.004057
Rp_neg dUdcp_neg_mag 0.003714 0.004058
Rp_neg d2Udcp2_pos_mag 0.003720 0.004057
Rp_neg d2Udcp2_neg_mag 0.003720 0.004057
Rp_neg d3Udcp3_pos_mag 0.003720 0.004057
Rp_neg d3Udcp3_neg_mag 0.003720 0.004057
Rp_neg i0_neg 0.003777 0.004064
Rp_neg i0_pos 0.003824 0.004048
Rp_neg SOC_neg 0.003720 0.004057
Rp_neg SOC_pos 0.003720 0.004057
Rp_neg tP 0.003719 0.004057
Rp_neg aa_neg 0.003708 0.004059
Rp_neg aa_pos 0.003724 0.004058
Rp_neg kappa_0 0.003719 0.004057
