Parameter S1 S1_conf ST ST_conf
a_neg 0.009736 0.060497 0.101230 0.054491
a_pos -0.045494 0.052460 0.337625 0.323676
l_neg -0.038128 0.044474 0.240199 0.270831
l_sep -0.012566 0.051388 0.482163 0.314921
l_pos 0.004935 0.004938 0.000291 0.000156
Rp_neg -0.002680 0.003058 0.000054 0.000056
Rp_pos 0.000169 0.000172 0.000003 0.000002
epsilon_f_neg -0.000005 0.000004 0.000000 0.000000
epsilon_f_pos -0.000056 0.000132 0.000002 0.000002
epsilon_neg -0.022795 0.042601 0.103033 0.051429
epsilon_sep 0.000000 0.000000 0.000000 0.000000
epsilon_pos -0.033231 0.058043 0.365672 0.305663
Cdl_neg 0.225001 0.127734 0.349343 0.144057
Cdl_pos 0.150939 0.103750 0.309067 0.121028
cs_max_neg 0.000000 0.000000 0.000000 0.000000
cs_max_pos 0.000000 0.000000 0.000000 0.000000
c0 -0.000140 0.000150 0.000002 0.000002
D 0.027020 0.021244 0.241070 0.189492
Ds_neg 0.016652 0.017565 0.001750 0.001842
Ds_pos 0.000192 0.000216 0.000003 0.000003
d2Udcp2_pos_sgn 0.000000 0.000000 0.000000 0.000000
d2Udcp2_neg_sgn -0.000001 0.000001 0.000000 0.000000
d3Udcp3_pos_sgn 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_sgn 0.000000 0.000000 0.000000 0.000000
dUdcp_pos_mag 0.001437 0.001357 0.000039 0.000036
dUdcp_neg_mag -0.003220 0.003568 0.000075 0.000076
d2Udcp2_pos_mag 0.000017 0.000023 0.000000 0.000000
d2Udcp2_neg_mag 0.000000 0.000000 0.000000 0.000000
d3Udcp3_pos_mag 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_mag 0.000000 0.000000 0.000000 0.000000
i0_neg -0.045667 0.052882 0.303429 0.279409
i0_pos 0.229316 0.097997 0.310395 0.110143
SOC_neg 0.000000 0.000000 0.000000 0.000000
SOC_pos 0.000000 0.000000 0.000000 0.000000
tP 0.026830 0.021255 0.240798 0.189277
aa_neg 0.009520 0.008248 0.009406 0.005216
aa_pos 0.000915 0.017484 0.012070 0.006837
kappa_0 0.029384 0.021372 0.241359 0.189489
sigma_neg 0.000062 0.000117 0.000001 0.000001
sigma_pos 0.000339 0.000345 0.000008 0.000006

Parameter_1 Parameter_2 S2 S2_conf
a_neg a_pos 0.031446 0.065682
a_neg l_neg 0.047049 0.067942
a_neg l_sep 0.045450 0.068058
a_neg l_pos 0.047106 0.067943
a_neg Rp_neg 0.046726 0.067975
a_neg Rp_pos 0.046741 0.067962
a_neg epsilon_f_neg 0.046729 0.067975
a_neg epsilon_f_pos 0.047107 0.068089
a_neg epsilon_neg 0.026533 0.065682
a_neg epsilon_sep 0.046728 0.067974
a_neg epsilon_pos 0.081340 0.082591
a_neg Cdl_neg 0.031882 0.071342
a_neg Cdl_pos 0.052796 0.067912
a_neg cs_max_neg 0.046728 0.067974
a_neg cs_max_pos 0.046728 0.067974
a_neg c0 0.046755 0.067971
a_neg D 0.045288 0.068057
a_neg Ds_neg 0.046669 0.067974
a_neg Ds_pos 0.046685 0.067959
a_neg d2Udcp2_pos_sgn 0.046728 0.067974
a_neg d2Udcp2_neg_sgn 0.046728 0.067974
a_neg d3Udcp3_pos_sgn 0.046728 0.067974
a_neg d3Udcp3_neg_sgn 0.046728 0.067974
a_neg dUdcp_pos_mag 0.046746 0.067960
a_neg dUdcp_neg_mag 0.046749 0.067973
a_neg d2Udcp2_pos_mag 0.046748 0.067978
a_neg d2Udcp2_neg_mag 0.046728 0.067974
a_neg d3Udcp3_pos_mag 0.046728 0.067974
a_neg d3Udcp3_neg_mag 0.046728 0.067974
a_neg i0_neg 0.071192 0.076691
a_neg i0_pos 0.060586 0.070733
a_neg SOC_neg 0.046728 0.067974
a_neg SOC_pos 0.046728 0.067974
a_neg tP 0.045292 0.068060
a_neg aa_neg 0.041471 0.067295
a_neg aa_pos 0.055680 0.072284
a_neg kappa_0 0.043585 0.067619
a_neg sigma_neg 0.046686 0.067962
a_neg sigma_pos 0.047447 0.068190
a_pos l_neg 0.053019 0.037222
a_pos l_sep 0.048382 0.037922
a_pos l_pos 0.096086 0.057888
a_pos Rp_neg 0.102116 0.059856
a_pos Rp_pos 0.102216 0.059940
a_pos epsilon_f_neg 0.102159 0.059859
a_pos epsilon_f_pos 0.102150 0.059858
a_pos epsilon_neg 0.097596 0.061790
a_pos epsilon_sep 0.102159 0.059859
a_pos epsilon_pos 0.046485 0.034283
a_pos Cdl_neg 0.080496 0.057997
a_pos Cdl_pos 0.037817 0.083450
a_pos cs_max_neg 0.102159 0.059859
a_pos cs_max_pos 0.102159 0.059859
a_pos c0 0.102088 0.059769
a_pos D 0.097556 0.060635
a_pos Ds_neg 0.102302 0.059859
a_pos Ds_pos 0.102213 0.059859
a_pos d2Udcp2_pos_sgn 0.102159 0.059859
a_pos d2Udcp2_neg_sgn 0.102159 0.059859
