Parameter S1 S1_conf ST ST_conf
a_neg 0.063176 0.091108 0.054804 0.067002
a_pos 0.126797 0.140867 0.846187 1.385684
l_neg 0.081328 0.159068 0.653358 1.339510
l_sep 0.251165 0.139882 1.259432 1.186802
l_pos -0.021607 0.079234 0.046228 0.074514
Rp_neg 0.000368 0.000760 0.000031 0.000060
Rp_pos -0.000022 0.000110 0.000000 0.000000
epsilon_f_neg 0.000001 0.000003 0.000000 0.000000
epsilon_f_pos 0.000022 0.000068 0.000000 0.000000
epsilon_neg 0.028052 0.062169 0.022774 0.034211
epsilon_sep 0.000000 0.000000 0.000000 0.000000
epsilon_pos 0.143298 0.205483 0.730442 1.397545
Cdl_neg 0.085980 0.111270 0.086336 0.105424
Cdl_pos 0.196967 0.118644 0.356864 0.159653
cs_max_neg 0.000000 0.000000 0.000000 0.000000
cs_max_pos 0.000000 0.000000 0.000000 0.000000
c0 0.000567 0.000676 0.000013 0.000006
D 0.178264 0.102550 0.633264 0.364440
Ds_neg -0.000192 0.000388 0.000008 0.000016
Ds_pos 0.000013 0.000031 0.000000 0.000000
d2Udcp2_pos_sgn -0.000000 0.000000 0.000000 0.000000
d2Udcp2_neg_sgn 0.000000 0.000000 0.000000 0.000000
d3Udcp3_pos_sgn 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_sgn 0.000000 0.000000 0.000000 0.000000
dUdcp_pos_mag 0.000024 0.000332 0.000001 0.000002
dUdcp_neg_mag 0.000428 0.000788 0.000032 0.000063
d2Udcp2_pos_mag -0.000000 0.000000 0.000000 0.000000
d2Udcp2_neg_mag 0.000000 0.000000 0.000000 0.000000
d3Udcp3_pos_mag 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_mag 0.000000 0.000000 0.000000 0.000000
i0_neg 0.047466 0.147500 0.669237 1.358813
i0_pos 0.050478 0.112487 0.155692 0.161443
SOC_neg 0.000000 0.000000 0.000000 0.000000
SOC_pos 0.000000 0.000000 0.000000 0.000000
tP 0.177069 0.102176 0.626347 0.360459
aa_neg 0.006549 0.011324 0.000796 0.001191
aa_pos -0.011306 0.019769 0.001805 0.002198
kappa_0 0.241692 0.081363 0.688819 0.352395
sigma_neg -0.000014 0.000032 0.000000 0.000000
sigma_pos -0.000191 0.000455 0.000002 0.000003

Parameter_1 Parameter_2 S2 S2_conf
a_neg a_pos -0.020681 0.077374
a_neg l_neg -0.015426 0.078293
a_neg l_sep -0.026467 0.076708
a_neg l_pos -0.018230 0.077967
a_neg Rp_neg -0.018084 0.079278
a_neg Rp_pos -0.018108 0.079300
a_neg epsilon_f_neg -0.018062 0.079269
a_neg epsilon_f_pos -0.018054 0.079263
a_neg epsilon_neg -0.018234 0.078702
a_neg epsilon_sep -0.018062 0.079269
a_neg epsilon_pos -0.044910 0.116017
a_neg Cdl_neg -0.028300 0.083539
a_neg Cdl_pos -0.015150 0.074757
a_neg cs_max_neg -0.018062 0.079269
a_neg cs_max_pos -0.018062 0.079269
a_neg c0 -0.018059 0.079230
a_neg D -0.028269 0.077166
a_neg Ds_neg -0.018057 0.079268
a_neg Ds_pos -0.018079 0.079280
a_neg d2Udcp2_pos_sgn -0.018062 0.079269
a_neg d2Udcp2_neg_sgn -0.018062 0.079269
a_neg d3Udcp3_pos_sgn -0.018062 0.079269
a_neg d3Udcp3_neg_sgn -0.018062 0.079269
a_neg dUdcp_pos_mag -0.018147 0.079325
a_neg dUdcp_neg_mag -0.018074 0.079273
a_neg d2Udcp2_pos_mag -0.018062 0.079269
a_neg d2Udcp2_neg_mag -0.018062 0.079269
a_neg d3Udcp3_pos_mag -0.018062 0.079269
a_neg d3Udcp3_neg_mag -0.018062 0.079269
a_neg i0_neg -0.026206 0.082043
a_neg i0_pos -0.022521 0.083662
a_neg SOC_neg -0.018062 0.079269
a_neg SOC_pos -0.018062 0.079269
a_neg tP -0.028152 0.077137
a_neg aa_neg -0.020206 0.079836
a_neg aa_pos -0.019043 0.080241
a_neg kappa_0 -0.047980 0.092896
a_neg sigma_neg -0.018066 0.079272
a_neg sigma_pos -0.018035 0.079256
a_pos l_neg -0.190628 0.306906
a_pos l_sep -0.220759 0.301226
a_pos l_pos -0.117179 0.160218
a_pos Rp_neg -0.117633 0.159907
a_pos Rp_pos -0.117617 0.159858
a_pos epsilon_f_neg -0.117645 0.159907
a_pos epsilon_f_pos -0.117643 0.159907
a_pos epsilon_neg -0.120325 0.158163
a_pos epsilon_sep -0.117645 0.159907
a_pos epsilon_pos -0.201144 0.310779
a_pos Cdl_neg -0.129598 0.167609
a_pos Cdl_pos -0.122076 0.139759
a_pos cs_max_neg -0.117645 0.159907
