Parameter S1 S1_conf ST ST_conf
a_neg 0.174523 0.176953 0.474112 0.267456
a_pos 0.017543 0.064054 0.083182 0.040732
l_neg -0.041410 0.079657 0.110690 0.083053
l_sep 0.046856 0.024680 0.531669 0.406551
l_pos 0.074314 0.122967 0.352911 0.170100
Rp_neg 0.000126 0.000163 0.000001 0.000001
Rp_pos -0.000001 0.000008 0.000000 0.000000
epsilon_f_neg 0.000006 0.000005 0.000000 0.000000
epsilon_f_pos 0.000136 0.000270 0.000001 0.000001
epsilon_neg -0.137566 0.112700 0.242037 0.180986
epsilon_sep 0.000000 0.000000 0.000000 0.000000
epsilon_pos 0.373170 0.152764 0.426437 0.137890
Cdl_neg -0.075025 0.120611 0.290039 0.186408
Cdl_pos 0.135221 0.104057 0.178567 0.072191
cs_max_neg 0.000000 0.000000 0.000000 0.000000
cs_max_pos 0.000000 0.000000 0.000000 0.000000
c0 -0.085412 0.069805 0.124770 0.108394
D 0.032529 0.025825 0.544184 0.418785
Ds_neg -0.000001 0.000001 0.000000 0.000000
Ds_pos -0.000000 0.000000 0.000000 0.000000
d2Udcp2_pos_sgn 0.000000 0.000000 0.000000 0.000000
d2Udcp2_neg_sgn -0.000000 0.000000 0.000000 0.000000
d3Udcp3_pos_sgn 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_sgn 0.000000 0.000000 0.000000 0.000000
dUdcp_pos_mag 0.000006 0.000021 0.000000 0.000000
dUdcp_neg_mag 0.000146 0.000166 0.000001 0.000001
d2Udcp2_pos_mag 0.000000 0.000000 0.000000 0.000000
d2Udcp2_neg_mag 0.000000 0.000000 0.000000 0.000000
d3Udcp3_pos_mag 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_mag 0.000000 0.000000 0.000000 0.000000
i0_neg 0.023281 0.023142 0.011604 0.007140
i0_pos 0.004582 0.039076 0.025753 0.015098
SOC_neg 0.000000 0.000000 0.000000 0.000000
SOC_pos 0.000000 0.000000 0.000000 0.000000
tP -0.100918 0.130871 0.602457 0.387833
aa_neg 0.007419 0.008837 0.001555 0.001165
aa_pos 0.000344 0.004433 0.000575 0.000464
kappa_0 0.290681 0.098503 0.862916 0.377964
sigma_neg -0.000045 0.000094 0.000000 0.000000
sigma_pos 0.001211 0.001343 0.000027 0.000027

Parameter_1 Parameter_2 S2 S2_conf
a_neg a_pos 0.004615 0.140328
a_neg l_neg 0.013039 0.138069
a_neg l_sep -0.011457 0.140270
a_neg l_pos -0.015647 0.140533
a_neg Rp_neg -0.013392 0.140274
a_neg Rp_pos -0.013392 0.140273
a_neg epsilon_f_neg -0.013393 0.140273
a_neg epsilon_f_pos -0.013397 0.140275
a_neg epsilon_neg -0.005855 0.135028
a_neg epsilon_sep -0.013393 0.140273
a_neg epsilon_pos -0.052092 0.147120
a_neg Cdl_neg -0.076231 0.140955
a_neg Cdl_pos -0.009344 0.141649
a_neg cs_max_neg -0.013393 0.140273
a_neg cs_max_pos -0.013393 0.140273
a_neg c0 -0.014315 0.140153
a_neg D -0.011618 0.140301
a_neg Ds_neg -0.013392 0.140273
a_neg Ds_pos -0.013393 0.140273
a_neg d2Udcp2_pos_sgn -0.013393 0.140273
a_neg d2Udcp2_neg_sgn -0.013393 0.140273
a_neg d3Udcp3_pos_sgn -0.013393 0.140273
a_neg d3Udcp3_neg_sgn -0.013393 0.140273
a_neg dUdcp_pos_mag -0.013394 0.140273
a_neg dUdcp_neg_mag -0.013393 0.140273
a_neg d2Udcp2_pos_mag -0.013393 0.140273
a_neg d2Udcp2_neg_mag -0.013393 0.140273
a_neg d3Udcp3_pos_mag -0.013393 0.140273
a_neg d3Udcp3_neg_mag -0.013393 0.140273
a_neg i0_neg -0.014366 0.138358
a_neg i0_pos -0.011384 0.139885
a_neg SOC_neg -0.013393 0.140273
a_neg SOC_pos -0.013393 0.140273
a_neg tP -0.014354 0.140137
a_neg aa_neg -0.013536 0.140217
a_neg aa_pos -0.012217 0.140256
a_neg kappa_0 -0.051455 0.135617
a_neg sigma_neg -0.013393 0.140273
a_neg sigma_pos -0.013339 0.140269
a_pos l_neg -0.079287 0.090196
a_pos l_sep 0.013853 0.095698
a_pos l_pos -0.048328 0.094103
a_pos Rp_neg -0.098529 0.086658
a_pos Rp_pos -0.098527 0.086659
a_pos epsilon_f_neg -0.098528 0.086658
a_pos epsilon_f_pos -0.098477 0.086665
a_pos epsilon_neg -0.062887 0.083797
a_pos epsilon_sep -0.098528 0.086658
a_pos epsilon_pos -0.128010 0.095277
a_pos Cdl_neg -0.071900 0.093578
a_pos Cdl_pos -0.084734 0.087156
a_pos cs_max_neg -0.098528 0.086658
a_pos cs_max_pos -0.098528 0.086658
a_pos c0 -0.086648 0.087066
a_pos D 0.016105 0.096288
a_pos Ds_neg -0.098528 0.086658
a_pos Ds_pos -0.098528 0.086658
a_pos d2Udcp2_pos_sgn -0.098528 0.086658
a_pos d2Udcp2_neg_sgn -0.098528 0.086658
a_pos d3Udcp3_pos_sgn -0.098528 0.086658
a_pos d3Udcp3_neg_sgn -0.098528 0.086658
a_pos dUdcp_pos_mag -0.098540 0.086654
a_pos dUdcp_neg_mag -0.098528 0.086659
a_pos d2Udcp2_pos_mag -0.098528 0.086658
a_pos d2Udcp2_neg_mag -0.098528 0.086658
a_pos d3Udcp3_pos_mag -0.098528 0.086658
a_pos d3Udcp3_neg_mag -0.098528 0.086658
a_pos i0_neg -0.095563 0.086818
a_pos i0_pos -0.094861 0.086726
a_pos SOC_neg -0.098528 0.086658
a_pos SOC_pos -0.098528 0.086658
a_pos tP -0.004359 0.081882
a_pos aa_neg -0.097711 0.086826
a_pos aa_pos -0.099025 0.086544
a_pos kappa_0 0.109955 0.103522
a_pos sigma_neg -0.098525 0.086659
a_pos sigma_pos -0.098415 0.086672
l_neg l_sep -0.083513 0.122481
l_neg l_pos -0.052516 0.126314
l_neg Rp_neg -0.031871 0.127251
l_neg Rp_pos -0.031883 0.127249
l_neg epsilon_f_neg -0.031888 0.127251
l_neg epsilon_f_pos -0.031887 0.127252
l_neg epsilon_neg 0.002339 0.115179
l_neg epsilon_sep -0.031889 0.127251
l_neg epsilon_pos -0.066320 0.128368
l_neg Cdl_neg -0.014931 0.128814
l_neg Cdl_pos -0.066115 0.139903
l_neg cs_max_neg -0.031889 0.127251
l_neg cs_max_pos -0.031889 0.127251
l_neg c0 -0.019971 0.125539
l_neg D -0.083643 0.122389
l_neg Ds_neg -0.031889 0.127251
l_neg Ds_pos -0.031889 0.127251
l_neg d2Udcp2_pos_sgn -0.031889 0.127251
l_neg d2Udcp2_neg_sgn -0.031889 0.127251
l_neg d3Udcp3_pos_sgn -0.031889 0.127251
l_neg d3Udcp3_neg_sgn -0.031889 0.127251
l_neg dUdcp_pos_mag -0.031894 0.127253
l_neg dUdcp_neg_mag -0.031865 0.127248
l_neg d2Udcp2_pos_mag -0.031889 0.127251
l_neg d2Udcp2_neg_mag -0.031889 0.127251
l_neg d3Udcp3_pos_mag -0.031889 0.127251
l_neg d3Udcp3_neg_mag -0.031889 0.127251
l_neg i0_neg -0.035728 0.127436
l_neg i0_pos -0.051183 0.138234
l_neg SOC_neg -0.031889 0.127251
l_neg SOC_pos -0.031889 0.127251
l_neg tP -0.041068 0.121175
l_neg aa_neg -0.030450 0.127196
l_neg aa_pos -0.034716 0.127681
l_neg kappa_0 -0.043894 0.124856
l_neg sigma_neg -0.031893 0.127251
l_neg sigma_pos -0.031869 0.127248
l_sep l_pos -0.051728 0.024721
l_sep Rp_neg -0.051695 0.024722
l_sep Rp_pos -0.051695 0.024722
l_sep epsilon_f_neg -0.051695 0.024722
l_sep epsilon_f_pos -0.051695 0.024722
l_sep epsilon_neg -0.051803 0.024753
l_sep epsilon_sep -0.051695 0.024722
l_sep epsilon_pos -0.051731 0.024727
l_sep Cdl_neg -0.052077 0.024690
l_sep Cdl_pos -0.052072 0.024777
l_sep cs_max_neg -0.051695 0.024722
l_sep cs_max_pos -0.051695 0.024722
l_sep c0 -0.051697 0.024723
l_sep D -0.052104 0.024989
l_sep Ds_neg -0.051695 0.024722
l_sep Ds_pos -0.051695 0.024722
l_sep d2Udcp2_pos_sgn -0.051695 0.024722
l_sep d2Udcp2_neg_sgn -0.051695 0.024722
l_sep d3Udcp3_pos_sgn -0.051695 0.024722
l_sep d3Udcp3_neg_sgn -0.051695 0.024722
l_sep dUdcp_pos_mag -0.051695 0.024722
l_sep dUdcp_neg_mag -0.051695 0.024722
l_sep d2Udcp2_pos_mag -0.051695 0.024722
l_sep d2Udcp2_neg_mag -0.051695 0.024722
l_sep d3Udcp3_pos_mag -0.051695 0.024722
l_sep d3Udcp3_neg_mag -0.051695 0.024722
l_sep i0_neg -0.051576 0.024704
l_sep i0_pos -0.051687 0.024723
l_sep SOC_neg -0.051695 0.024722
l_sep SOC_pos -0.051695 0.024722
l_sep tP -0.051952 0.024890
l_sep aa_neg -0.051713 0.024725
l_sep aa_pos -0.051696 0.024722
l_sep kappa_0 -0.052098 0.024955
l_sep sigma_neg -0.051695 0.024722
l_sep sigma_pos -0.051695 0.024722
l_pos Rp_neg -0.003158 0.157588
l_pos Rp_pos -0.003154 0.157589
l_pos epsilon_f_neg -0.003154 0.157588
l_pos epsilon_f_pos -0.003145 0.157589
l_pos epsilon_neg -0.022081 0.147499
l_pos epsilon_sep -0.003154 0.157588
l_pos epsilon_pos 0.059155 0.159251
l_pos Cdl_neg -0.063107 0.136290
l_pos Cdl_pos -0.003611 0.161044
l_pos cs_max_neg -0.003154 0.157588
l_pos cs_max_pos -0.003154 0.157588
l_pos c0 0.000327 0.157781
l_pos D -0.020641 0.157380
l_pos Ds_neg -0.003154 0.157588
l_pos Ds_pos -0.003154 0.157588
l_pos d2Udcp2_pos_sgn -0.003154 0.157588
l_pos d2Udcp2_neg_sgn -0.003154 0.157588
l_pos d3Udcp3_pos_sgn -0.003154 0.157588
l_pos d3Udcp3_neg_sgn -0.003154 0.157588
l_pos dUdcp_pos_mag -0.003167 0.157586
l_pos dUdcp_neg_mag -0.003154 0.157589
l_pos d2Udcp2_pos_mag -0.003154 0.157588
l_pos d2Udcp2_neg_mag -0.003154 0.157588
l_pos d3Udcp3_pos_mag -0.003154 0.157588
l_pos d3Udcp3_neg_mag -0.003154 0.157588
l_pos i0_neg -0.003753 0.157307
l_pos i0_pos -0.003525 0.157635
l_pos SOC_neg -0.003154 0.157588
l_pos SOC_pos -0.003154 0.157588
l_pos tP -0.007346 0.157823
l_pos aa_neg -0.003380 0.157780
l_pos aa_pos -0.003315 0.157544
l_pos kappa_0 -0.078474 0.137764
l_pos sigma_neg -0.003147 0.157589
l_pos sigma_pos -0.003284 0.157570
Rp_neg Rp_pos -0.000100 0.000167
Rp_neg epsilon_f_neg -0.000100 0.000167
Rp_neg epsilon_f_pos -0.000100 0.000167
Rp_neg epsilon_neg -0.000113 0.000165
Rp_neg epsilon_sep -0.000100 0.000167
Rp_neg epsilon_pos -0.000139 0.000165
Rp_neg Cdl_neg -0.000100 0.000167
Rp_neg Cdl_pos -0.000097 0.000169
Rp_neg cs_max_neg -0.000100 0.000167
Rp_neg cs_max_pos -0.000100 0.000167
Rp_neg c0 -0.000100 0.000167
Rp_neg D -0.000100 0.000167
Rp_neg Ds_neg -0.000100 0.000167
Rp_neg Ds_pos -0.000100 0.000167
Rp_neg d2Udcp2_pos_sgn -0.000100 0.000167
Rp_neg d2Udcp2_neg_sgn -0.000100 0.000167
Rp_neg d3Udcp3_pos_sgn -0.000100 0.000167
Rp_neg d3Udcp3_neg_sgn -0.000100 0.000167
Rp_neg dUdcp_pos_mag -0.000100 0.000167
