Parameter S1 S1_conf ST ST_conf
a_neg -0.174669 0.186576 0.298020 0.158103
a_pos -0.065439 0.158814 0.203085 0.161052
l_neg -0.082217 0.127248 0.109108 0.126361
l_sep -0.211732 0.158492 0.210830 0.157637
l_pos -0.001143 0.000803 0.000005 0.000005
Rp_neg 0.003482 0.050695 0.010119 0.005504
Rp_pos 0.053146 0.123698 0.098156 0.100162
epsilon_f_neg 0.000010 0.000006 0.000000 0.000000
epsilon_f_pos -0.000291 0.000290 0.000001 0.000000
epsilon_neg -0.157452 0.169468 0.199887 0.138408
epsilon_sep 0.000000 0.000000 0.000000 0.000000
epsilon_pos -0.518659 0.203109 0.349002 0.174909
Cdl_neg -0.125249 0.109249 0.117847 0.092501
Cdl_pos 0.022697 0.168129 0.216539 0.157899
cs_max_neg 0.000000 0.000000 0.000000 0.000000
cs_max_pos 0.000000 0.000000 0.000000 0.000000
c0 -0.023326 0.016381 0.000812 0.000510
D -0.104305 0.099456 0.104554 0.099150
Ds_neg 0.109328 0.124019 0.100757 0.090630
Ds_pos 0.086325 0.081326 0.043658 0.022161
d2Udcp2_pos_sgn 0.016240 0.050968 0.022532 0.023845
d2Udcp2_neg_sgn 0.002654 0.004666 0.000067 0.000065
d3Udcp3_pos_sgn 0.000055 0.000046 0.000000 0.000000
d3Udcp3_neg_sgn -0.000022 0.000078 0.000000 0.000000
dUdcp_pos_mag 0.210222 0.173810 0.106877 0.087361
dUdcp_neg_mag -0.012803 0.060361 0.016757 0.008383
d2Udcp2_pos_mag -0.174384 0.316633 0.185509 0.120258
d2Udcp2_neg_mag 0.040440 0.088736 0.069497 0.041388
d3Udcp3_pos_mag -0.011157 0.009072 0.000495 0.000540
d3Udcp3_neg_mag -0.000849 0.001003 0.000003 0.000004
i0_neg 0.006771 0.209936 0.375225 0.251167
i0_pos 0.127708 0.325513 0.721993 0.329154
SOC_neg 0.000000 0.000000 0.000000 0.000000
SOC_pos 0.000000 0.000000 0.000000 0.000000
tP -0.107716 0.094669 0.094655 0.089274
aa_neg -0.013171 0.187568 0.240828 0.100694
aa_pos 0.020649 0.127296 0.115576 0.055761
kappa_0 -0.102385 0.098711 0.104307 0.098507
sigma_neg -0.000090 0.000094 0.000000 0.000000
sigma_pos -0.002902 0.001854 0.000020 0.000014

Parameter_1 Parameter_2 S2 S2_conf
a_neg a_pos 0.388867 0.401769
a_neg l_neg 0.197594 0.327650
a_neg l_sep 0.195405 0.327422
a_neg l_pos 0.195793 0.327154
a_neg Rp_neg 0.183546 0.326253
a_neg Rp_pos 0.203039 0.323064
a_neg epsilon_f_neg 0.196321 0.327495
a_neg epsilon_f_pos 0.195956 0.327450
a_neg epsilon_neg 0.378368 0.399114
a_neg epsilon_sep 0.196321 0.327495
a_neg epsilon_pos 0.166943 0.291209
a_neg Cdl_neg 0.194550 0.326940
a_neg Cdl_pos 0.200427 0.337857
a_neg cs_max_neg 0.196321 0.327495
a_neg cs_max_pos 0.196321 0.327495
a_neg c0 0.194896 0.325117
a_neg D 0.193840 0.326425
a_neg Ds_neg 0.380636 0.403880
a_neg Ds_pos 0.235227 0.331456
a_neg d2Udcp2_pos_sgn 0.297393 0.352324
a_neg d2Udcp2_neg_sgn 0.196176 0.327641
a_neg d3Udcp3_pos_sgn 0.196323 0.327496
a_neg d3Udcp3_neg_sgn 0.196320 0.327495
a_neg dUdcp_pos_mag 0.183166 0.326592
a_neg dUdcp_neg_mag 0.209424 0.321567
a_neg d2Udcp2_pos_mag 0.204314 0.321812
a_neg d2Udcp2_neg_mag 0.202653 0.329347
a_neg d3Udcp3_pos_mag 0.199433 0.326116
a_neg d3Udcp3_neg_mag 0.196265 0.327493
a_neg i0_neg 0.484623 0.466950
a_neg i0_pos 0.397948 0.430399
a_neg SOC_neg 0.196321 0.327495
a_neg SOC_pos 0.196321 0.327495
a_neg tP 0.191733 0.324368
a_neg aa_neg 0.221478 0.355985
a_neg aa_pos 0.177605 0.288361
a_neg kappa_0 0.207655 0.334455
a_neg sigma_neg 0.196309 0.327490
a_neg sigma_pos 0.194483 0.327236
a_pos l_neg -0.186689 0.256129
a_pos l_sep -0.198611 0.252981
a_pos l_pos -0.187025 0.256024
a_pos Rp_neg -0.209730 0.269333
a_pos Rp_pos -0.178805 0.253003
a_pos epsilon_f_neg -0.186895 0.256015
a_pos epsilon_f_pos -0.186931 0.256020
a_pos epsilon_neg -0.131184 0.230574
a_pos epsilon_sep -0.186895 0.256015
a_pos epsilon_pos -0.134885 0.230810
a_pos Cdl_neg -0.187716 0.260185
a_pos Cdl_pos -0.185990 0.256127
a_pos cs_max_neg -0.186895 0.256015
a_pos cs_max_pos -0.186895 0.256015
