Parameter S1 S1_conf ST ST_conf
a_neg -0.099819 0.103131 0.331838 0.149572
a_pos -0.126177 0.121864 0.114994 0.118832
l_neg -0.096080 0.112175 0.100674 0.116116
l_sep -0.192016 0.135517 0.201693 0.141814
l_pos 0.000047 0.000252 0.000001 0.000001
Rp_neg -0.013793 0.012299 0.000381 0.000220
Rp_pos -0.000691 0.005898 0.000524 0.000333
epsilon_f_neg -0.000002 0.000006 0.000000 0.000000
epsilon_f_pos 0.000169 0.000131 0.000000 0.000000
epsilon_neg -0.050959 0.089323 0.114010 0.089019
epsilon_sep 0.000000 0.000000 0.000000 0.000000
epsilon_pos -0.283992 0.154367 0.307562 0.162370
Cdl_neg -0.011854 0.138597 0.172032 0.096900
Cdl_pos 0.094070 0.137963 0.241304 0.146237
cs_max_neg 0.000000 0.000000 0.000000 0.000000
cs_max_pos 0.000000 0.000000 0.000000 0.000000
c0 0.000530 0.002328 0.000021 0.000018
D -0.094101 0.086638 0.100842 0.092310
Ds_neg 0.110619 0.105723 0.017390 0.016093
Ds_pos -0.004443 0.010651 0.001693 0.001352
d2Udcp2_pos_sgn 0.001374 0.001041 0.000004 0.000004
d2Udcp2_neg_sgn -0.000083 0.000171 0.000001 0.000001
d3Udcp3_pos_sgn 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_sgn 0.000000 0.000000 0.000000 0.000000
dUdcp_pos_mag 0.051924 0.052689 0.009707 0.005618
dUdcp_neg_mag -0.018479 0.022190 0.001103 0.000691
d2Udcp2_pos_mag 0.015574 0.016307 0.002259 0.002467
d2Udcp2_neg_mag -0.001415 0.001365 0.000005 0.000004
d3Udcp3_pos_mag 0.000083 0.000100 0.000000 0.000000
d3Udcp3_neg_mag -0.000000 0.000000 0.000000 0.000000
i0_neg -0.229182 0.139539 0.243105 0.153388
i0_pos 0.099607 0.199693 0.558330 0.196666
SOC_neg 0.000000 0.000000 0.000000 0.000000
SOC_pos 0.000000 0.000000 0.000000 0.000000
tP -0.094958 0.086544 0.100885 0.092339
aa_neg -0.038010 0.107969 0.142412 0.092756
aa_pos 0.006940 0.086657 0.094654 0.058563
kappa_0 -0.093411 0.086791 0.100892 0.092295
sigma_neg 0.000029 0.000113 0.000000 0.000000
sigma_pos 0.002706 0.004020 0.000112 0.000120

Parameter_1 Parameter_2 S2 S2_conf
a_neg a_pos 0.271423 0.226208
a_neg l_neg 0.256492 0.215530
a_neg l_sep 0.248805 0.216097
a_neg l_pos 0.256489 0.215604
a_neg Rp_neg 0.256444 0.215553
a_neg Rp_pos 0.256356 0.215404
a_neg epsilon_f_neg 0.256475 0.215638
a_neg epsilon_f_pos 0.256523 0.215678
a_neg epsilon_neg 0.283939 0.238758
a_neg epsilon_sep 0.256475 0.215638
a_neg epsilon_pos 0.243484 0.214478
a_neg Cdl_neg 0.247121 0.218493
a_neg Cdl_pos 0.233023 0.213057
a_neg cs_max_neg 0.256475 0.215638
a_neg cs_max_pos 0.256475 0.215638
a_neg c0 0.256646 0.215636
a_neg D 0.248779 0.216075
a_neg Ds_neg 0.257416 0.216191
a_neg Ds_pos 0.254408 0.214824
a_neg d2Udcp2_pos_sgn 0.256388 0.215598
a_neg d2Udcp2_neg_sgn 0.256476 0.215639
a_neg d3Udcp3_pos_sgn 0.256475 0.215638
a_neg d3Udcp3_neg_sgn 0.256476 0.215638
a_neg dUdcp_pos_mag 0.255085 0.215069
a_neg dUdcp_neg_mag 0.258779 0.215071
a_neg d2Udcp2_pos_mag 0.257194 0.215178
a_neg d2Udcp2_neg_mag 0.256439 0.215638
a_neg d3Udcp3_pos_mag 0.256477 0.215637
a_neg d3Udcp3_neg_mag 0.256475 0.215638
a_neg i0_neg 0.377366 0.301948
a_neg i0_pos 0.467468 0.399931
a_neg SOC_neg 0.256475 0.215638
a_neg SOC_pos 0.256475 0.215638
a_neg tP 0.248912 0.216190
a_neg aa_neg 0.196018 0.206169
a_neg aa_pos 0.249583 0.212419
a_neg kappa_0 0.248660 0.215979
a_neg sigma_neg 0.256472 0.215641
a_neg sigma_pos 0.256452 0.215832
a_pos l_neg 0.034473 0.212648
a_pos l_sep 0.005025 0.208125
a_pos l_pos 0.034706 0.212775
a_pos Rp_neg 0.032238 0.214294
a_pos Rp_pos 0.035188 0.212758
a_pos epsilon_f_neg 0.034672 0.212799
a_pos epsilon_f_pos 0.034668 0.212799
a_pos epsilon_neg 0.042444 0.207308
a_pos epsilon_sep 0.034672 0.212799
a_pos epsilon_pos 0.037261 0.208337
a_pos Cdl_neg -0.017304 0.241121
a_pos Cdl_pos 0.026484 0.211644
a_pos cs_max_neg 0.034672 0.212799
a_pos cs_max_pos 0.034672 0.212799
a_pos c0 0.034722 0.212778
a_pos D 0.005263 0.208286
a_pos Ds_neg 0.035101 0.212732
a_pos Ds_pos 0.034305 0.212770
a_pos d2Udcp2_pos_sgn 0.034549 0.212783
a_pos d2Udcp2_neg_sgn 0.034669 0.212799
a_pos d3Udcp3_pos_sgn 0.034672 0.212799
a_pos d3Udcp3_neg_sgn 0.034672 0.212799
a_pos dUdcp_pos_mag 0.033117 0.212842
a_pos dUdcp_neg_mag 0.036689 0.211974
a_pos d2Udcp2_pos_mag 0.035542 0.212450
a_pos d2Udcp2_neg_mag 0.034701 0.212784
