Parameter S1 S1_conf ST ST_conf
a_neg 0.000591 0.049998 0.219387 0.108878
a_pos -0.090958 0.100123 0.175005 0.158262
l_neg -0.083905 0.096001 0.124361 0.142380
l_sep -0.123305 0.102188 0.248994 0.182188
l_pos -0.000385 0.000915 0.000037 0.000028
Rp_neg -0.002344 0.003214 0.000031 0.000024
Rp_pos -0.001221 0.001029 0.000058 0.000050
epsilon_f_neg -0.000006 0.000004 0.000000 0.000000
epsilon_f_pos -0.000085 0.000046 0.000000 0.000000
epsilon_neg 0.056034 0.033942 0.146530 0.111626
epsilon_sep 0.000000 0.000000 0.000000 0.000000
epsilon_pos -0.026668 0.108888 0.292012 0.174363
Cdl_neg 0.287625 0.176106 0.319453 0.120251
Cdl_pos 0.107257 0.119276 0.344787 0.173238
cs_max_neg 0.000000 0.000000 0.000000 0.000000
cs_max_pos 0.000000 0.000000 0.000000 0.000000
c0 -0.000064 0.000270 0.000001 0.000001
D -0.039406 0.036832 0.124496 0.116391
Ds_neg 0.065553 0.062558 0.009782 0.009412
Ds_pos -0.001644 0.001765 0.000157 0.000149
d2Udcp2_pos_sgn 0.000000 0.000008 0.000000 0.000000
d2Udcp2_neg_sgn -0.000006 0.000006 0.000000 0.000000
d3Udcp3_pos_sgn 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_sgn 0.000000 0.000000 0.000000 0.000000
dUdcp_pos_mag 0.004342 0.006750 0.000366 0.000254
dUdcp_neg_mag -0.004068 0.005190 0.000078 0.000062
d2Udcp2_pos_mag -0.000156 0.000127 0.000002 0.000001
d2Udcp2_neg_mag -0.000001 0.000003 0.000000 0.000000
d3Udcp3_pos_mag 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_mag 0.000000 0.000000 0.000000 0.000000
i0_neg -0.085432 0.131159 0.179937 0.103484
i0_pos 0.247723 0.110213 0.484261 0.145112
SOC_neg 0.000000 0.000000 0.000000 0.000000
SOC_pos 0.000000 0.000000 0.000000 0.000000
tP -0.039492 0.036834 0.124485 0.116379
aa_neg -0.043469 0.051491 0.099246 0.085726
aa_pos 0.022097 0.013355 0.133307 0.108359
kappa_0 -0.039906 0.036814 0.124536 0.116399
sigma_neg 0.000164 0.000233 0.000002 0.000002
sigma_pos -0.000175 0.000271 0.000006 0.000004

Parameter_1 Parameter_2 S2 S2_conf
a_neg a_pos 0.092870 0.108153
a_neg l_neg 0.088487 0.095060
a_neg l_sep 0.085012 0.095034
a_neg l_pos 0.089249 0.094978
a_neg Rp_neg 0.088862 0.094921
a_neg Rp_pos 0.088175 0.094936
a_neg epsilon_f_neg 0.088373 0.094993
a_neg epsilon_f_pos 0.088548 0.095100
a_neg epsilon_neg 0.104321 0.111790
a_neg epsilon_sep 0.088375 0.094993
a_neg epsilon_pos 0.056819 0.088966
a_neg Cdl_neg 0.035281 0.101854
a_neg Cdl_pos 0.082668 0.091396
a_neg cs_max_neg 0.088375 0.094993
a_neg cs_max_pos 0.088375 0.094993
a_neg c0 0.088388 0.095000
a_neg D 0.084988 0.095032
a_neg Ds_neg 0.076031 0.097212
a_neg Ds_pos 0.087621 0.094709
a_neg d2Udcp2_pos_sgn 0.088381 0.094995
a_neg d2Udcp2_neg_sgn 0.088376 0.094993
a_neg d3Udcp3_pos_sgn 0.088375 0.094993
a_neg d3Udcp3_neg_sgn 0.088375 0.094993
a_neg dUdcp_pos_mag 0.087755 0.094759
a_neg dUdcp_neg_mag 0.089581 0.094860
a_neg d2Udcp2_pos_mag 0.088441 0.094983
a_neg d2Udcp2_neg_mag 0.088373 0.094991
a_neg d3Udcp3_pos_mag 0.088375 0.094993
a_neg d3Udcp3_neg_mag 0.088375 0.094993
a_neg i0_neg 0.152057 0.108348
a_neg i0_pos 0.323245 0.259339
a_neg SOC_neg 0.088375 0.094993
a_neg SOC_pos 0.088375 0.094993
a_neg tP 0.084992 0.095054
a_neg aa_neg 0.081862 0.094689
a_neg aa_pos 0.105730 0.111796
a_neg kappa_0 0.085216 0.094809
a_neg sigma_neg 0.088582 0.095019
a_neg sigma_pos 0.089453 0.095606
a_pos l_neg -0.008481 0.120336
a_pos l_sep -0.016045 0.119694
a_pos l_pos -0.004641 0.122792
a_pos Rp_neg -0.006034 0.123267
a_pos Rp_pos -0.005607 0.123157
a_pos epsilon_f_neg -0.005418 0.123216
a_pos epsilon_f_pos -0.005389 0.123213
a_pos epsilon_neg -0.041882 0.136075
a_pos epsilon_sep -0.005419 0.123216
a_pos epsilon_pos -0.069739 0.141360
a_pos Cdl_neg -0.139658 0.173280
a_pos Cdl_pos 0.002436 0.124917
a_pos cs_max_neg -0.005419 0.123216
a_pos cs_max_pos -0.005419 0.123216
