Parameter S1 S1_conf ST ST_conf
a_neg 0.030154 0.051734 0.082570 0.049629
a_pos -0.004070 0.016680 0.394722 0.447470
l_neg -0.000759 0.006609 0.323072 0.393096
l_sep 0.059556 0.050711 0.652639 0.411199
l_pos 0.012216 0.012931 0.002522 0.001586
Rp_neg -0.001481 0.001867 0.000050 0.000058
Rp_pos 0.000036 0.000114 0.000001 0.000001
epsilon_f_neg -0.000001 0.000001 0.000000 0.000000
epsilon_f_pos -0.000004 0.000061 0.000000 0.000000
epsilon_neg -0.012855 0.035644 0.075428 0.048520
epsilon_sep 0.000000 0.000000 0.000000 0.000000
epsilon_pos 0.032513 0.024407 0.400022 0.427674
Cdl_neg 0.168130 0.093669 0.200795 0.125204
Cdl_pos 0.245341 0.140278 0.325799 0.140477
cs_max_neg 0.000000 0.000000 0.000000 0.000000
cs_max_pos 0.000000 0.000000 0.000000 0.000000
c0 0.000039 0.000235 0.000001 0.000001
D 0.064701 0.048754 0.326250 0.245922
Ds_neg 0.004696 0.005491 0.000422 0.000494
Ds_pos 0.000135 0.000134 0.000001 0.000001
d2Udcp2_pos_sgn -0.000000 0.000000 0.000000 0.000000
d2Udcp2_neg_sgn -0.000000 0.000000 0.000000 0.000000
d3Udcp3_pos_sgn 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_sgn 0.000000 0.000000 0.000000 0.000000
dUdcp_pos_mag 0.000430 0.000307 0.000012 0.000012
dUdcp_neg_mag -0.001734 0.002049 0.000059 0.000069
d2Udcp2_pos_mag 0.000002 0.000003 0.000000 0.000000
d2Udcp2_neg_mag 0.000000 0.000000 0.000000 0.000000
d3Udcp3_pos_mag 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_mag 0.000000 0.000000 0.000000 0.000000
i0_neg -0.024490 0.022519 0.365516 0.409832
i0_pos 0.106367 0.060600 0.274714 0.124065
SOC_neg 0.000000 0.000000 0.000000 0.000000
SOC_pos 0.000000 0.000000 0.000000 0.000000
tP 0.064327 0.048781 0.325458 0.245324
aa_neg 0.010510 0.007608 0.004706 0.003728
aa_pos -0.009867 0.011416 0.006901 0.004394
kappa_0 0.077760 0.046734 0.328215 0.245065
sigma_neg -0.000010 0.000032 0.000000 0.000000
sigma_pos 0.000001 0.000139 0.000002 0.000001

Parameter_1 Parameter_2 S2 S2_conf
a_neg a_pos 0.077130 0.072993
a_neg l_neg 0.084626 0.073272
a_neg l_sep 0.083317 0.073501
a_neg l_pos 0.083049 0.073195
a_neg Rp_neg 0.083199 0.073220
a_neg Rp_pos 0.083060 0.073190
a_neg epsilon_f_neg 0.083238 0.073221
a_neg epsilon_f_pos 0.083334 0.073231
a_neg epsilon_neg 0.056459 0.074661
a_neg epsilon_sep 0.083238 0.073221
a_neg epsilon_pos 0.061737 0.076929
a_neg Cdl_neg 0.059708 0.065512
a_neg Cdl_pos 0.119322 0.095979
a_neg cs_max_neg 0.083238 0.073221
a_neg cs_max_pos 0.083238 0.073221
a_neg c0 0.083276 0.073228
a_neg D 0.082215 0.073451
a_neg Ds_neg 0.083330 0.073228
a_neg Ds_pos 0.082995 0.073183
a_neg d2Udcp2_pos_sgn 0.083238 0.073221
a_neg d2Udcp2_neg_sgn 0.083238 0.073221
a_neg d3Udcp3_pos_sgn 0.083238 0.073221
a_neg d3Udcp3_neg_sgn 0.083238 0.073221
a_neg dUdcp_pos_mag 0.082936 0.073180
a_neg dUdcp_neg_mag 0.083203 0.073218
a_neg d2Udcp2_pos_mag 0.083234 0.073221
a_neg d2Udcp2_neg_mag 0.083238 0.073221
a_neg d3Udcp3_pos_mag 0.083238 0.073221
a_neg d3Udcp3_neg_mag 0.083238 0.073221
a_neg i0_neg 0.086419 0.069892
a_neg i0_pos 0.065434 0.074407
a_neg SOC_neg 0.083238 0.073221
a_neg SOC_pos 0.083238 0.073221
a_neg tP 0.082252 0.073456
a_neg aa_neg 0.076360 0.068712
a_neg aa_pos 0.085439 0.073431
a_neg kappa_0 0.080589 0.073264
a_neg sigma_neg 0.083225 0.073220
a_neg sigma_pos 0.083425 0.073239
a_pos l_neg -0.122681 0.179469
a_pos l_sep -0.130408 0.179256
a_pos l_pos 0.017878 0.018404
a_pos Rp_neg 0.019644 0.018471
a_pos Rp_pos 0.019746 0.018407
a_pos epsilon_f_neg 0.019587 0.018467
a_pos epsilon_f_pos 0.019590 0.018465
a_pos epsilon_neg 0.018961 0.015898
a_pos epsilon_sep 0.019587 0.018467
a_pos epsilon_pos -0.127017 0.185695
a_pos Cdl_neg 0.009991 0.018625
a_pos Cdl_pos 0.061942 0.064145
a_pos cs_max_neg 0.019587 0.018467
a_pos cs_max_pos 0.019587 0.018467
a_pos c0 0.019341 0.018553
a_pos D 0.012627 0.020002
a_pos Ds_neg 0.019419 0.018450
a_pos Ds_pos 0.019597 0.018469
a_pos d2Udcp2_pos_sgn 0.019587 0.018467
a_pos d2Udcp2_neg_sgn 0.019587 0.018467
a_pos d3Udcp3_pos_sgn 0.019587 0.018467
a_pos d3Udcp3_neg_sgn 0.019587 0.018467
a_pos dUdcp_pos_mag 0.019569 0.018495
a_pos dUdcp_neg_mag 0.019626 0.018465
a_pos d2Udcp2_pos_mag 0.019587 0.018467
a_pos d2Udcp2_neg_mag 0.019587 0.018467
a_pos d3Udcp3_pos_mag 0.019587 0.018467
a_pos d3Udcp3_neg_mag 0.019587 0.018467
a_pos i0_neg -0.124403 0.182028
a_pos i0_pos 0.007863 0.023656
a_pos SOC_neg 0.019587 0.018467
a_pos SOC_pos 0.019587 0.018467
a_pos tP 0.012463 0.020042
a_pos aa_neg 0.020400 0.018125
a_pos aa_pos 0.022535 0.020195
a_pos kappa_0 0.011422 0.020388
a_pos sigma_neg 0.019585 0.018467
a_pos sigma_pos 0.019578 0.018465
l_neg l_sep -0.000197 0.011367
l_neg l_pos -0.002735 0.010485
l_neg Rp_neg -0.002616 0.010491
l_neg Rp_pos -0.002634 0.010486
l_neg epsilon_f_neg -0.002629 0.010488
l_neg epsilon_f_pos -0.002629 0.010488
l_neg epsilon_neg -0.007407 0.013820
l_neg epsilon_sep -0.002629 0.010488
l_neg epsilon_pos -0.002008 0.011695
l_neg Cdl_neg -0.006032 0.009206
l_neg Cdl_pos 0.004189 0.008050
l_neg cs_max_neg -0.002629 0.010488
l_neg cs_max_pos -0.002629 0.010488
l_neg c0 -0.002628 0.010490
l_neg D -0.001269 0.010494
l_neg Ds_neg -0.002636 0.010487
l_neg Ds_pos -0.002629 0.010488
l_neg d2Udcp2_pos_sgn -0.002629 0.010488
l_neg d2Udcp2_neg_sgn -0.002629 0.010488
l_neg d3Udcp3_pos_sgn -0.002629 0.010488
l_neg d3Udcp3_neg_sgn -0.002629 0.010488
l_neg dUdcp_pos_mag -0.002625 0.010487
l_neg dUdcp_neg_mag -0.002623 0.010489
l_neg d2Udcp2_pos_mag -0.002629 0.010488
l_neg d2Udcp2_neg_mag -0.002629 0.010488
l_neg d3Udcp3_pos_mag -0.002629 0.010488
l_neg d3Udcp3_neg_mag -0.002629 0.010488
l_neg i0_neg -0.000901 0.011868
l_neg i0_pos 0.003585 0.008418
l_neg SOC_neg -0.002629 0.010488
l_neg SOC_pos -0.002629 0.010488
l_neg tP -0.001270 0.010495
l_neg aa_neg -0.002459 0.010487
l_neg aa_pos -0.002469 0.010382
l_neg kappa_0 -0.000993 0.010591
l_neg sigma_neg -0.002629 0.010487
l_neg sigma_pos -0.002628 0.010487
l_sep l_pos -0.059556 0.050711
l_sep Rp_neg -0.059556 0.050711
l_sep Rp_pos -0.059556 0.050711
l_sep epsilon_f_neg -0.059556 0.050711
l_sep epsilon_f_pos -0.059556 0.050711
l_sep epsilon_neg -0.059556 0.050711
l_sep epsilon_sep -0.059556 0.050711
l_sep epsilon_pos -0.059556 0.050711
l_sep Cdl_neg -0.059556 0.050711
l_sep Cdl_pos -0.059556 0.050711
l_sep cs_max_neg -0.059556 0.050711
l_sep cs_max_pos -0.059556 0.050711
l_sep c0 -0.059556 0.050711
l_sep D -0.059556 0.050711
l_sep Ds_neg -0.059556 0.050711
l_sep Ds_pos -0.059556 0.050711
l_sep d2Udcp2_pos_sgn -0.059556 0.050711
l_sep d2Udcp2_neg_sgn -0.059556 0.050711
l_sep d3Udcp3_pos_sgn -0.059556 0.050711
l_sep d3Udcp3_neg_sgn -0.059556 0.050711
l_sep dUdcp_pos_mag -0.059556 0.050711
l_sep dUdcp_neg_mag -0.059556 0.050711
l_sep d2Udcp2_pos_mag -0.059556 0.050711
l_sep d2Udcp2_neg_mag -0.059556 0.050711
l_sep d3Udcp3_pos_mag -0.059556 0.050711
l_sep d3Udcp3_neg_mag -0.059556 0.050711
l_sep i0_neg -0.059556 0.050711
l_sep i0_pos -0.059556 0.050711
l_sep SOC_neg -0.059556 0.050711
l_sep SOC_pos -0.059556 0.050711
l_sep tP -0.059556 0.050711
l_sep aa_neg -0.059556 0.050711
l_sep aa_pos -0.059556 0.050711
l_sep kappa_0 -0.059556 0.050711
l_sep sigma_neg -0.059556 0.050711
l_sep sigma_pos -0.059556 0.050711
l_pos Rp_neg -0.025633 0.020325
l_pos Rp_pos -0.025634 0.020326
l_pos epsilon_f_neg -0.025634 0.020325
l_pos epsilon_f_pos -0.025635 0.020326
l_pos epsilon_neg -0.025075 0.019944
l_pos epsilon_sep -0.025634 0.020325
l_pos epsilon_pos -0.032865 0.028237
l_pos Cdl_neg -0.022633 0.017721
l_pos Cdl_pos -0.022281 0.020283
l_pos cs_max_neg -0.025634 0.020325
l_pos cs_max_pos -0.025634 0.020325
l_pos c0 -0.025632 0.020324
l_pos D -0.025498 0.020355
l_pos Ds_neg -0.025634 0.020326
l_pos Ds_pos -0.025634 0.020325
l_pos d2Udcp2_pos_sgn -0.025634 0.020325
l_pos d2Udcp2_neg_sgn -0.025634 0.020325
l_pos d3Udcp3_pos_sgn -0.025634 0.020325
l_pos d3Udcp3_neg_sgn -0.025634 0.020325
l_pos dUdcp_pos_mag -0.025621 0.020321
l_pos dUdcp_neg_mag -0.025561 0.020257
l_pos d2Udcp2_pos_mag -0.025634 0.020325
l_pos d2Udcp2_neg_mag -0.025634 0.020325
l_pos d3Udcp3_pos_mag -0.025634 0.020325
l_pos d3Udcp3_neg_mag -0.025634 0.020325
l_pos i0_neg -0.026262 0.020395
l_pos i0_pos -0.028309 0.019728
l_pos SOC_neg -0.025634 0.020325
l_pos SOC_pos -0.025634 0.020325
l_pos tP -0.025498 0.020356
l_pos aa_neg -0.025753 0.020385
l_pos aa_pos -0.025091 0.019681
l_pos kappa_0 -0.027755 0.022511
l_pos sigma_neg -0.025634 0.020325
l_pos sigma_pos -0.025635 0.020328
Rp_neg Rp_pos 0.001593 0.001876
Rp_neg epsilon_f_neg 0.001593 0.001876
Rp_neg epsilon_f_pos 0.001593 0.001876
Rp_neg epsilon_neg 0.001582 0.001875
Rp_neg epsilon_sep 0.001593 0.001876
Rp_neg epsilon_pos 0.001587 0.001876
Rp_neg Cdl_neg 0.001633 0.001926
Rp_neg Cdl_pos 0.001598 0.001877
Rp_neg cs_max_neg 0.001593 0.001876
Rp_neg cs_max_pos 0.001593 0.001876
Rp_neg c0 0.001593 0.001876
Rp_neg D 0.001593 0.001876
Rp_neg Ds_neg 0.001596 0.001880
Rp_neg Ds_pos 0.001593 0.001876
Rp_neg d2Udcp2_pos_sgn 0.001593 0.001876
Rp_neg d2Udcp2_neg_sgn 0.001593 0.001876
Rp_neg d3Udcp3_pos_sgn 0.001593 0.001876
Rp_neg d3Udcp3_neg_sgn 0.001593 0.001876
Rp_neg dUdcp_pos_mag 0.001593 0.001876
Rp_neg dUdcp_neg_mag 0.001591 0.001874
Rp_neg d2Udcp2_pos_mag 0.001593 0.001876
Rp_neg d2Udcp2_neg_mag 0.001593 0.001876
Rp_neg d3Udcp3_pos_mag 0.001593 0.001876
Rp_neg d3Udcp3_neg_mag 0.001593 0.001876
Rp_neg i0_neg 0.001587 0.001872
Rp_neg i0_pos 0.001555 0.001871
Rp_neg SOC_neg 0.001593 0.001876
Rp_neg SOC_pos 0.001593 0.001876
Rp_neg tP 0.001593 0.001876
Rp_neg aa_neg 0.001592 0.001876
Rp_neg aa_pos 0.001590 0.001876
Rp_neg kappa_0 0.001586 0.001874
Rp_neg sigma_neg 0.001593 0.001876
Rp_neg sigma_pos 0.001593 0.001876
Rp_pos epsilon_f_neg -0.001460 0.001771
Rp_pos epsilon_f_pos -0.001460 0.001771
Rp_pos epsilon_neg -0.001427 0.001767
Rp_pos epsilon_sep -0.001460 0.001771
Rp_pos epsilon_pos -0.001439 0.001764
Rp_pos Cdl_neg -0.001470 0.001773
Rp_pos Cdl_pos -0.001596 0.001831
Rp_pos cs_max_neg -0.001460 0.001771
Rp_pos cs_max_pos -0.001460 0.001771
Rp_pos c0 -0.001459 0.001770
Rp_pos D -0.001460 0.001771
Rp_pos Ds_neg -0.001460 0.001771
Rp_pos Ds_pos -0.001460 0.001771
Rp_pos d2Udcp2_pos_sgn -0.001460 0.001771
Rp_pos d2Udcp2_neg_sgn -0.001460 0.001771
Rp_pos d3Udcp3_pos_sgn -0.001460 0.001771
Rp_pos d3Udcp3_neg_sgn -0.001460 0.001771
Rp_pos dUdcp_pos_mag -0.001372 0.001664
Rp_pos dUdcp_neg_mag -0.001460 0.001771
Rp_pos d2Udcp2_pos_mag -0.001460 0.001771
Rp_pos d2Udcp2_neg_mag -0.001460 0.001771
Rp_pos d3Udcp3_pos_mag -0.001460 0.001771
Rp_pos d3Udcp3_neg_mag -0.001460 0.001771
Rp_pos i0_neg -0.001546 0.001787
Rp_pos i0_pos 0.000717 0.000956
Rp_pos SOC_neg -0.001460 0.001771
Rp_pos SOC_pos -0.001460 0.001771
Rp_pos tP -0.001459 0.001771
Rp_pos aa_neg -0.001498 0.001778
Rp_pos aa_pos -0.001410 0.001707
Rp_pos kappa_0 -0.001509 0.001789
Rp_pos sigma_neg -0.001460 0.001771
Rp_pos sigma_pos -0.001457 0.001770
epsilon_f_neg epsilon_f_pos 0.000001 0.000008
epsilon_f_neg epsilon_neg 0.000001 0.000008
epsilon_f_neg epsilon_sep 0.000001 0.000008
epsilon_f_neg epsilon_pos -0.000001 0.000007
epsilon_f_neg Cdl_neg 0.000001 0.000007
epsilon_f_neg Cdl_pos 0.000011 0.000010
epsilon_f_neg cs_max_neg 0.000001 0.000008
epsilon_f_neg cs_max_pos 0.000001 0.000008
epsilon_f_neg c0 0.000001 0.000008
epsilon_f_neg D 0.000001 0.000008
epsilon_f_neg Ds_neg 0.000001 0.000008
epsilon_f_neg Ds_pos 0.000001 0.000008
epsilon_f_neg d2Udcp2_pos_sgn 0.000001 0.000008
epsilon_f_neg d2Udcp2_neg_sgn 0.000001 0.000008
epsilon_f_neg d3Udcp3_pos_sgn 0.000001 0.000008
epsilon_f_neg d3Udcp3_neg_sgn 0.000001 0.000008
epsilon_f_neg dUdcp_pos_mag 0.000001 0.000008
epsilon_f_neg dUdcp_neg_mag 0.000001 0.000008
epsilon_f_neg d2Udcp2_pos_mag 0.000001 0.000008
epsilon_f_neg d2Udcp2_neg_mag 0.000001 0.000008
epsilon_f_neg d3Udcp3_pos_mag 0.000001 0.000008
epsilon_f_neg d3Udcp3_neg_mag 0.000001 0.000008
epsilon_f_neg i0_neg 0.000001 0.000007
epsilon_f_neg i0_pos -0.000007 0.000008
epsilon_f_neg SOC_neg 0.000001 0.000008
epsilon_f_neg SOC_pos 0.000001 0.000008
epsilon_f_neg tP 0.000001 0.000008
epsilon_f_neg aa_neg 0.000001 0.000008
epsilon_f_neg aa_pos 0.000001 0.000008
epsilon_f_neg kappa_0 0.000001 0.000007
epsilon_f_neg sigma_neg 0.000001 0.000008
epsilon_f_neg sigma_pos 0.000001 0.000008
epsilon_f_pos epsilon_neg -0.000009 0.000066
epsilon_f_pos epsilon_sep -0.000006 0.000066
epsilon_f_pos epsilon_pos -0.000003 0.000067
epsilon_f_pos Cdl_neg -0.000004 0.000066
epsilon_f_pos Cdl_pos 0.000011 0.000068
epsilon_f_pos cs_max_neg -0.000006 0.000066
epsilon_f_pos cs_max_pos -0.000006 0.000066
epsilon_f_pos c0 -0.000006 0.000066
epsilon_f_pos D 0.000003 0.000065
epsilon_f_pos Ds_neg -0.000006 0.000066
epsilon_f_pos Ds_pos -0.000006 0.000066
epsilon_f_pos d2Udcp2_pos_sgn -0.000006 0.000066
epsilon_f_pos d2Udcp2_neg_sgn -0.000006 0.000066
epsilon_f_pos d3Udcp3_pos_sgn -0.000006 0.000066
epsilon_f_pos d3Udcp3_neg_sgn -0.000006 0.000066
epsilon_f_pos dUdcp_pos_mag -0.000006 0.000066
epsilon_f_pos dUdcp_neg_mag -0.000006 0.000066
epsilon_f_pos d2Udcp2_pos_mag -0.000006 0.000066
epsilon_f_pos d2Udcp2_neg_mag -0.000006 0.000066
epsilon_f_pos d3Udcp3_pos_mag -0.000006 0.000066
epsilon_f_pos d3Udcp3_neg_mag -0.000006 0.000066
epsilon_f_pos i0_neg -0.000010 0.000065
epsilon_f_pos i0_pos -0.000078 0.000098
epsilon_f_pos SOC_neg -0.000006 0.000066
epsilon_f_pos SOC_pos -0.000006 0.000066
epsilon_f_pos tP 0.000003 0.000065
epsilon_f_pos aa_neg -0.000006 0.000065
epsilon_f_pos aa_pos -0.000008 0.000066
epsilon_f_pos kappa_0 0.000003 0.000065
epsilon_f_pos sigma_neg -0.000006 0.000066
epsilon_f_pos sigma_pos -0.000007 0.000065
epsilon_neg epsilon_sep -0.043948 0.089284
epsilon_neg epsilon_pos -0.014477 0.093739
epsilon_neg Cdl_neg -0.048858 0.101129
epsilon_neg Cdl_pos -0.084879 0.090514
epsilon_neg cs_max_neg -0.043948 0.089284
epsilon_neg cs_max_pos -0.043948 0.089284
epsilon_neg c0 -0.043998 0.089257
epsilon_neg D -0.020962 0.088973
epsilon_neg Ds_neg -0.043827 0.089254
epsilon_neg Ds_pos -0.043931 0.089285
epsilon_neg d2Udcp2_pos_sgn -0.043948 0.089284
epsilon_neg d2Udcp2_neg_sgn -0.043948 0.089284
epsilon_neg d3Udcp3_pos_sgn -0.043948 0.089284
epsilon_neg d3Udcp3_neg_sgn -0.043948 0.089284
epsilon_neg dUdcp_pos_mag -0.043908 0.089285
epsilon_neg dUdcp_neg_mag -0.044002 0.089308
epsilon_neg d2Udcp2_pos_mag -0.043948 0.089284
epsilon_neg d2Udcp2_neg_mag -0.043948 0.089284
epsilon_neg d3Udcp3_pos_mag -0.043948 0.089284
epsilon_neg d3Udcp3_neg_mag -0.043948 0.089284
epsilon_neg i0_neg -0.017581 0.092396
epsilon_neg i0_pos -0.073126 0.093181
epsilon_neg SOC_neg -0.043948 0.089284
epsilon_neg SOC_pos -0.043948 0.089284
epsilon_neg tP -0.020917 0.088974
epsilon_neg aa_neg -0.041699 0.087749
epsilon_neg aa_pos -0.045466 0.089394
epsilon_neg kappa_0 -0.022768 0.089126
epsilon_neg sigma_neg -0.043956 0.089285
epsilon_neg sigma_pos -0.043889 0.089272
epsilon_sep epsilon_pos -0.000000 0.000000
epsilon_sep Cdl_neg -0.000000 0.000000
epsilon_sep Cdl_pos -0.000000 0.000000
epsilon_sep cs_max_neg 0.000000 0.000000
epsilon_sep cs_max_pos 0.000000 0.000000
epsilon_sep c0 -0.000000 0.000000
epsilon_sep D -0.000000 0.000000
epsilon_sep Ds_neg -0.000000 0.000000
epsilon_sep Ds_pos -0.000000 0.000000
epsilon_sep d2Udcp2_pos_sgn -0.000000 0.000000
epsilon_sep d2Udcp2_neg_sgn -0.000000 0.000000
epsilon_sep d3Udcp3_pos_sgn 0.000000 0.000000
epsilon_sep d3Udcp3_neg_sgn 0.000000 0.000000
epsilon_sep dUdcp_pos_mag 0.000000 0.000000
epsilon_sep dUdcp_neg_mag -0.000000 0.000000
epsilon_sep d2Udcp2_pos_mag -0.000000 0.000000
epsilon_sep d2Udcp2_neg_mag -0.000000 0.000000
epsilon_sep d3Udcp3_pos_mag 0.000000 0.000000
epsilon_sep d3Udcp3_neg_mag 0.000000 0.000000
epsilon_sep i0_neg 0.000000 0.000000
epsilon_sep i0_pos -0.000000 0.000000
epsilon_sep SOC_neg 0.000000 0.000000
epsilon_sep SOC_pos 0.000000 0.000000
epsilon_sep tP -0.000000 0.000000
epsilon_sep aa_neg -0.000000 0.000000
epsilon_sep aa_pos -0.000000 0.000000
epsilon_sep kappa_0 0.000000 0.000000
epsilon_sep sigma_neg -0.000000 0.000000
epsilon_sep sigma_pos -0.000000 0.000000
epsilon_pos Cdl_neg -0.030397 0.024644
epsilon_pos Cdl_pos -0.015876 0.031188
epsilon_pos cs_max_neg -0.025245 0.024247
epsilon_pos cs_max_pos -0.025245 0.024247
epsilon_pos c0 -0.025357 0.024252
epsilon_pos D -0.026693 0.023899
epsilon_pos Ds_neg -0.025188 0.024245
epsilon_pos Ds_pos -0.025263 0.024257
epsilon_pos d2Udcp2_pos_sgn -0.025245 0.024247
epsilon_pos d2Udcp2_neg_sgn -0.025245 0.024247
epsilon_pos d3Udcp3_pos_sgn -0.025245 0.024247
epsilon_pos d3Udcp3_neg_sgn -0.025245 0.024247
epsilon_pos dUdcp_pos_mag -0.025297 0.024264
epsilon_pos dUdcp_neg_mag -0.025269 0.024249
epsilon_pos d2Udcp2_pos_mag -0.025245 0.024247
epsilon_pos d2Udcp2_neg_mag -0.025245 0.024247
epsilon_pos d3Udcp3_pos_mag -0.025245 0.024247
epsilon_pos d3Udcp3_neg_mag -0.025245 0.024247
epsilon_pos i0_neg -0.070043 0.068262
epsilon_pos i0_pos -0.023308 0.026533
epsilon_pos SOC_neg -0.025245 0.024247
epsilon_pos SOC_pos -0.025245 0.024247
epsilon_pos tP -0.026750 0.023905
epsilon_pos aa_neg -0.024411 0.024155
epsilon_pos aa_pos -0.022694 0.024539
epsilon_pos kappa_0 -0.026600 0.023876
epsilon_pos sigma_neg -0.025245 0.024247
epsilon_pos sigma_pos -0.025261 0.024248
Cdl_neg Cdl_pos 0.181221 0.154064
Cdl_neg cs_max_neg 0.102221 0.138255
Cdl_neg cs_max_pos 0.102221 0.138255
Cdl_neg c0 0.101971 0.138278
Cdl_neg D 0.102349 0.138238
Cdl_neg Ds_neg 0.094701 0.141865
Cdl_neg Ds_pos 0.102171 0.138260
Cdl_neg d2Udcp2_pos_sgn 0.102221 0.138255
Cdl_neg d2Udcp2_neg_sgn 0.102221 0.138254
Cdl_neg d3Udcp3_pos_sgn 0.102221 0.138255
