Parameter S1 S1_conf ST ST_conf
a_neg 0.062149 0.146077 0.216229 0.144414
a_pos 0.172252 0.322149 0.840680 1.241032
l_neg 0.172081 0.336814 0.993723 1.632142
l_sep 0.439296 0.314806 1.545086 1.455296
l_pos 0.011775 0.137312 0.179473 0.176893
Rp_neg 0.000657 0.001035 0.000017 0.000025
Rp_pos -0.000038 0.000090 0.000000 0.000000
epsilon_f_neg 0.000001 0.000005 0.000000 0.000000
epsilon_f_pos 0.000052 0.000110 0.000000 0.000000
epsilon_neg -0.037060 0.125562 0.159780 0.078685
epsilon_sep 0.000000 0.000000 0.000000 0.000000
epsilon_pos 0.404347 0.413942 1.191865 1.494216
Cdl_neg 0.037677 0.073973 0.067130 0.058277
Cdl_pos 0.134913 0.116902 0.160234 0.130329
cs_max_neg 0.000000 0.000000 0.000000 0.000000
cs_max_pos 0.000000 0.000000 0.000000 0.000000
c0 0.004463 0.003921 0.000220 0.000235
D 0.294362 0.184054 0.939830 0.589531
Ds_neg -0.000107 0.000165 0.000000 0.000001
Ds_pos 0.000000 0.000005 0.000000 0.000000
d2Udcp2_pos_sgn 0.000000 0.000000 0.000000 0.000000
d2Udcp2_neg_sgn 0.000000 0.000000 0.000000 0.000000
d3Udcp3_pos_sgn 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_sgn 0.000000 0.000000 0.000000 0.000000
dUdcp_pos_mag -0.000022 0.000254 0.000000 0.000000
dUdcp_neg_mag 0.000738 0.001077 0.000017 0.000026
d2Udcp2_pos_mag -0.000000 0.000000 0.000000 0.000000
d2Udcp2_neg_mag -0.000000 0.000000 0.000000 0.000000
d3Udcp3_pos_mag 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_mag 0.000000 0.000000 0.000000 0.000000
i0_neg 0.174417 0.323906 0.907881 1.501272
i0_pos 0.013332 0.106651 0.111158 0.082137
SOC_neg 0.000000 0.000000 0.000000 0.000000
SOC_pos 0.000000 0.000000 0.000000 0.000000
tP 0.212512 0.130646 0.481451 0.301844
aa_neg 0.008945 0.011157 0.000500 0.000494
aa_pos -0.012715 0.012535 0.000955 0.000693
kappa_0 0.374394 0.161552 1.000787 0.485968
sigma_neg -0.000056 0.000063 0.000000 0.000000
sigma_pos -0.000773 0.000981 0.000005 0.000007

Parameter_1 Parameter_2 S2 S2_conf
a_neg a_pos 0.000285 0.152640
a_neg l_neg 0.011478 0.153281
a_neg l_sep 0.004272 0.151855
a_neg l_pos 0.002166 0.151476
a_neg Rp_neg 0.005346 0.151842
a_neg Rp_pos 0.005353 0.151855
a_neg epsilon_f_neg 0.005364 0.151851
a_neg epsilon_f_pos 0.005369 0.151851
a_neg epsilon_neg 0.004633 0.152672
a_neg epsilon_sep 0.005364 0.151851
a_neg epsilon_pos -0.033920 0.170695
a_neg Cdl_neg 0.053375 0.184911
a_neg Cdl_pos -0.003998 0.157577
a_neg cs_max_neg 0.005364 0.151851
a_neg cs_max_pos 0.005364 0.151851
a_neg c0 0.005381 0.151849
a_neg D 0.003100 0.151753
a_neg Ds_neg 0.005364 0.151851
a_neg Ds_pos 0.005362 0.151851
a_neg d2Udcp2_pos_sgn 0.005364 0.151851
a_neg d2Udcp2_neg_sgn 0.005364 0.151851
a_neg d3Udcp3_pos_sgn 0.005364 0.151851
a_neg d3Udcp3_neg_sgn 0.005364 0.151851
a_neg dUdcp_pos_mag 0.005334 0.151857
a_neg dUdcp_neg_mag 0.005353 0.151846
a_neg d2Udcp2_pos_mag 0.005364 0.151851
a_neg d2Udcp2_neg_mag 0.005364 0.151851
a_neg d3Udcp3_pos_mag 0.005364 0.151851
a_neg d3Udcp3_neg_mag 0.005364 0.151851
a_neg i0_neg -0.019647 0.147162
a_neg i0_pos 0.008055 0.149899
a_neg SOC_neg 0.005364 0.151851
a_neg SOC_pos 0.005364 0.151851
a_neg tP 0.003787 0.151770
a_neg aa_neg 0.006180 0.152124
a_neg aa_pos 0.002967 0.151862
a_neg kappa_0 -0.002697 0.159108
a_neg sigma_neg 0.005360 0.151847
a_neg sigma_pos 0.005366 0.151855
a_pos l_neg -0.298457 0.480166
a_pos l_sep -0.356942 0.466975
a_pos l_pos -0.226538 0.360274
a_pos Rp_neg -0.228615 0.359504
a_pos Rp_pos -0.228588 0.359477
a_pos epsilon_f_neg -0.228606 0.359501
a_pos epsilon_f_pos -0.228594 0.359502
a_pos epsilon_neg -0.209626 0.366986
a_pos epsilon_sep -0.228606 0.359501
a_pos epsilon_pos -0.285240 0.477431
a_pos Cdl_neg -0.244293 0.377109
a_pos Cdl_pos -0.225427 0.354379
a_pos cs_max_neg -0.228606 0.359501
a_pos cs_max_pos -0.228606 0.359501
a_pos c0 -0.230055 0.360835
a_pos D -0.292881 0.343271
a_pos Ds_neg -0.228607 0.359501
a_pos Ds_pos -0.228606 0.359501
a_pos d2Udcp2_pos_sgn -0.228606 0.359501
a_pos d2Udcp2_neg_sgn -0.228606 0.359501
a_pos d3Udcp3_pos_sgn -0.228606 0.359501
a_pos d3Udcp3_neg_sgn -0.228606 0.359501
a_pos dUdcp_pos_mag -0.228584 0.359496
a_pos dUdcp_neg_mag -0.228611 0.359502
a_pos d2Udcp2_pos_mag -0.228606 0.359501
a_pos d2Udcp2_neg_mag -0.228606 0.359501
a_pos d3Udcp3_pos_mag -0.228606 0.359501
a_pos d3Udcp3_neg_mag -0.228606 0.359501
a_pos i0_neg -0.302593 0.477561
a_pos i0_pos -0.211791 0.361241
a_pos SOC_neg -0.228606 0.359501
a_pos SOC_pos -0.228606 0.359501
a_pos tP -0.275377 0.348695
a_pos aa_neg -0.228388 0.359686
a_pos aa_pos -0.228427 0.359508
a_pos kappa_0 -0.285296 0.345568
a_pos sigma_neg -0.228609 0.359501
a_pos sigma_pos -0.228550 0.359505
l_neg l_sep -0.121404 0.302240
l_neg l_pos -0.139410 0.332042
l_neg Rp_neg -0.131520 0.331405
l_neg Rp_pos -0.131539 0.331413
l_neg epsilon_f_neg -0.131528 0.331407
l_neg epsilon_f_pos -0.131530 0.331408
l_neg epsilon_neg -0.136744 0.331859
l_neg epsilon_sep -0.131529 0.331407
l_neg epsilon_pos -0.120684 0.304967
l_neg Cdl_neg -0.105727 0.326064
l_neg Cdl_pos -0.140928 0.333669
l_neg cs_max_neg -0.131529 0.331407
l_neg cs_max_pos -0.131529 0.331407
l_neg c0 -0.131377 0.331044
l_neg D -0.140207 0.329942
l_neg Ds_neg -0.131533 0.331408
l_neg Ds_pos -0.131529 0.331407
l_neg d2Udcp2_pos_sgn -0.131529 0.331407
l_neg d2Udcp2_neg_sgn -0.131529 0.331407
l_neg d3Udcp3_pos_sgn -0.131529 0.331407
l_neg d3Udcp3_neg_sgn -0.131529 0.331407
l_neg dUdcp_pos_mag -0.131526 0.331405
l_neg dUdcp_neg_mag -0.131507 0.331403
l_neg d2Udcp2_pos_mag -0.131529 0.331407
l_neg d2Udcp2_neg_mag -0.131529 0.331407
l_neg d3Udcp3_pos_mag -0.131529 0.331407
l_neg d3Udcp3_neg_mag -0.131529 0.331407
l_neg i0_neg -0.120734 0.305032
l_neg i0_pos -0.140008 0.333001
l_neg SOC_neg -0.131529 0.331407
l_neg SOC_pos -0.131529 0.331407
l_neg tP -0.137583 0.330072
l_neg aa_neg -0.131446 0.331418
l_neg aa_pos -0.130687 0.331238
l_neg kappa_0 -0.134378 0.329326
l_neg sigma_neg -0.131532 0.331407
l_neg sigma_pos -0.131497 0.331400
l_sep l_pos -0.437731 0.314784
l_sep Rp_neg -0.437693 0.314784
l_sep Rp_pos -0.437693 0.314784
l_sep epsilon_f_neg -0.437693 0.314784
l_sep epsilon_f_pos -0.437693 0.314784
l_sep epsilon_neg -0.437720 0.314784
l_sep epsilon_sep -0.437693 0.314784
l_sep epsilon_pos -0.437733 0.314784
l_sep Cdl_neg -0.436925 0.314780
l_sep Cdl_pos -0.437652 0.314784
l_sep cs_max_neg -0.437693 0.314784
l_sep cs_max_pos -0.437693 0.314784
l_sep c0 -0.437693 0.314784
l_sep D -0.437694 0.314784
l_sep Ds_neg -0.437693 0.314784
l_sep Ds_pos -0.437693 0.314784
l_sep d2Udcp2_pos_sgn -0.437693 0.314784
l_sep d2Udcp2_neg_sgn -0.437693 0.314784
l_sep d3Udcp3_pos_sgn -0.437693 0.314784
l_sep d3Udcp3_neg_sgn -0.437693 0.314784
l_sep dUdcp_pos_mag -0.437693 0.314784
l_sep dUdcp_neg_mag -0.437693 0.314784
l_sep d2Udcp2_pos_mag -0.437693 0.314784
l_sep d2Udcp2_neg_mag -0.437693 0.314784
l_sep d3Udcp3_pos_mag -0.437693 0.314784
l_sep d3Udcp3_neg_mag -0.437693 0.314784
l_sep i0_neg -0.437884 0.314786
l_sep i0_pos -0.437733 0.314784
l_sep SOC_neg -0.437693 0.314784
l_sep SOC_pos -0.437693 0.314784
l_sep tP -0.437694 0.314784
l_sep aa_neg -0.437647 0.314784
l_sep aa_pos -0.437715 0.314784
l_sep kappa_0 -0.437731 0.314785
l_sep sigma_neg -0.437693 0.314784
l_sep sigma_pos -0.437694 0.314784
l_pos Rp_neg -0.073354 0.153991
l_pos Rp_pos -0.073345 0.153990
l_pos epsilon_f_neg -0.073345 0.153990
l_pos epsilon_f_pos -0.073357 0.153988
l_pos epsilon_neg -0.074724 0.153369
l_pos epsilon_sep -0.073345 0.153990
l_pos epsilon_pos 0.006437 0.149251
l_pos Cdl_neg -0.063487 0.154627
l_pos Cdl_pos -0.058670 0.155527
l_pos cs_max_neg -0.073345 0.153990
l_pos cs_max_pos -0.073345 0.153990
l_pos c0 -0.073343 0.154006
l_pos D -0.065481 0.155039
l_pos Ds_neg -0.073345 0.153990
l_pos Ds_pos -0.073345 0.153990
l_pos d2Udcp2_pos_sgn -0.073345 0.153990
l_pos d2Udcp2_neg_sgn -0.073345 0.153990
l_pos d3Udcp3_pos_sgn -0.073345 0.153990
l_pos d3Udcp3_neg_sgn -0.073345 0.153990
l_pos dUdcp_pos_mag -0.073304 0.153984
l_pos dUdcp_neg_mag -0.073339 0.153988
l_pos d2Udcp2_pos_mag -0.073345 0.153990
l_pos d2Udcp2_neg_mag -0.073345 0.153990
l_pos d3Udcp3_pos_mag -0.073345 0.153990
l_pos d3Udcp3_neg_mag -0.073345 0.153990
l_pos i0_neg -0.074398 0.154598
l_pos i0_pos -0.073186 0.151775
l_pos SOC_neg -0.073345 0.153990
l_pos SOC_pos -0.073345 0.153990
l_pos tP -0.067742 0.154736
l_pos aa_neg -0.073392 0.154229
l_pos aa_pos -0.075426 0.154471
l_pos kappa_0 -0.027781 0.150989
l_pos sigma_neg -0.073349 0.153991
l_pos sigma_pos -0.073241 0.153976
Rp_neg Rp_pos -0.000502 0.001038
Rp_neg epsilon_f_neg -0.000502 0.001038
Rp_neg epsilon_f_pos -0.000502 0.001038
Rp_neg epsilon_neg -0.000500 0.001035
Rp_neg epsilon_sep -0.000502 0.001038
Rp_neg epsilon_pos -0.000454 0.001048
Rp_neg Cdl_neg -0.000494 0.001032
Rp_neg Cdl_pos -0.000523 0.001039
Rp_neg cs_max_neg -0.000502 0.001038
Rp_neg cs_max_pos -0.000502 0.001038
Rp_neg c0 -0.000501 0.001038
Rp_neg D -0.000502 0.001038
Rp_neg Ds_neg -0.000502 0.001038
Rp_neg Ds_pos -0.000502 0.001038
Rp_neg d2Udcp2_pos_sgn -0.000502 0.001038
Rp_neg d2Udcp2_neg_sgn -0.000502 0.001038
Rp_neg d3Udcp3_pos_sgn -0.000502 0.001038
Rp_neg d3Udcp3_neg_sgn -0.000502 0.001038
Rp_neg dUdcp_pos_mag -0.000502 0.001038
Rp_neg dUdcp_neg_mag -0.000502 0.001038
Rp_neg d2Udcp2_pos_mag -0.000502 0.001038
Rp_neg d2Udcp2_neg_mag -0.000502 0.001038
Rp_neg d3Udcp3_pos_mag -0.000502 0.001038
Rp_neg d3Udcp3_neg_mag -0.000502 0.001038
Rp_neg i0_neg -0.000499 0.001039
Rp_neg i0_pos -0.000505 0.001036
Rp_neg SOC_neg -0.000502 0.001038
Rp_neg SOC_pos -0.000502 0.001038
Rp_neg tP -0.000501 0.001038
Rp_neg aa_neg -0.000501 0.001038
Rp_neg aa_pos -0.000499 0.001038
Rp_neg kappa_0 -0.000541 0.001034
Rp_neg sigma_neg -0.000502 0.001038
Rp_neg sigma_pos -0.000502 0.001038
Rp_pos epsilon_f_neg -0.000682 0.000937
Rp_pos epsilon_f_pos -0.000682 0.000937
Rp_pos epsilon_neg -0.000649 0.000920
Rp_pos epsilon_sep -0.000682 0.000937
Rp_pos epsilon_pos -0.000620 0.000915
Rp_pos Cdl_neg -0.000652 0.000920
Rp_pos Cdl_pos -0.000651 0.000934
Rp_pos cs_max_neg -0.000682 0.000937
Rp_pos cs_max_pos -0.000682 0.000937
Rp_pos c0 -0.000682 0.000938
Rp_pos D -0.000682 0.000937
Rp_pos Ds_neg -0.000682 0.000937
Rp_pos Ds_pos -0.000682 0.000937
Rp_pos d2Udcp2_pos_sgn -0.000682 0.000937
Rp_pos d2Udcp2_neg_sgn -0.000682 0.000937
Rp_pos d3Udcp3_pos_sgn -0.000682 0.000937
Rp_pos d3Udcp3_neg_sgn -0.000682 0.000937
Rp_pos dUdcp_pos_mag -0.000679 0.000933
Rp_pos dUdcp_neg_mag -0.000682 0.000937
Rp_pos d2Udcp2_pos_mag -0.000682 0.000937
Rp_pos d2Udcp2_neg_mag -0.000682 0.000937
Rp_pos d3Udcp3_pos_mag -0.000682 0.000937
Rp_pos d3Udcp3_neg_mag -0.000682 0.000937
Rp_pos i0_neg -0.000666 0.000928
Rp_pos i0_pos -0.000607 0.000827
Rp_pos SOC_neg -0.000682 0.000937
Rp_pos SOC_pos -0.000682 0.000937
Rp_pos tP -0.000682 0.000937
Rp_pos aa_neg -0.000682 0.000936
Rp_pos aa_pos -0.000680 0.000934
Rp_pos kappa_0 -0.000685 0.001014
Rp_pos sigma_neg -0.000682 0.000937
Rp_pos sigma_pos -0.000680 0.000936
