Parameter S1 S1_conf ST ST_conf
a_neg -0.181540 0.159338 0.289509 0.155258
a_pos -0.157320 0.132860 0.139520 0.122730
l_neg -0.095658 0.121217 0.108142 0.120817
l_sep -0.214149 0.148664 0.215561 0.149428
l_pos -0.000872 0.000658 0.000003 0.000003
Rp_neg -0.001771 0.027876 0.003377 0.001967
Rp_pos 0.050123 0.103625 0.077738 0.081000
epsilon_f_neg 0.000006 0.000006 0.000000 0.000000
epsilon_f_pos 0.000166 0.000215 0.000000 0.000001
epsilon_neg -0.173630 0.121807 0.109419 0.095552
epsilon_sep 0.000000 0.000000 0.000000 0.000000
epsilon_pos -0.446657 0.190352 0.292195 0.168424
Cdl_neg -0.112446 0.131616 0.132152 0.098955
Cdl_pos 0.031950 0.153184 0.230559 0.159973
cs_max_neg 0.000000 0.000000 0.000000 0.000000
cs_max_pos 0.000000 0.000000 0.000000 0.000000
c0 -0.010589 0.010033 0.000182 0.000121
D -0.106296 0.095531 0.107719 0.096692
Ds_neg 0.097263 0.085981 0.017939 0.011263
Ds_pos 0.067936 0.058338 0.021743 0.016533
d2Udcp2_pos_sgn -0.030993 0.026153 0.000980 0.000835
d2Udcp2_neg_sgn -0.000331 0.001160 0.000007 0.000007
d3Udcp3_pos_sgn 0.000011 0.000009 0.000000 0.000000
d3Udcp3_neg_sgn -0.000001 0.000016 0.000000 0.000000
dUdcp_pos_mag 0.228539 0.186255 0.117452 0.093437
dUdcp_neg_mag -0.009124 0.045713 0.007303 0.003690
d2Udcp2_pos_mag -0.045967 0.169432 0.075993 0.046307
d2Udcp2_neg_mag -0.010354 0.013601 0.001980 0.001895
d3Udcp3_pos_mag -0.003635 0.003841 0.000113 0.000126
d3Udcp3_neg_mag -0.000081 0.000085 0.000000 0.000000
i0_neg -0.094462 0.189784 0.290618 0.179690
i0_pos 0.070535 0.283978 0.619901 0.259796
SOC_neg 0.000000 0.000000 0.000000 0.000000
SOC_pos 0.000000 0.000000 0.000000 0.000000
tP -0.110455 0.095686 0.108716 0.097540
aa_neg -0.096710 0.160748 0.207386 0.106907
aa_pos -0.017404 0.109370 0.085614 0.043349
kappa_0 -0.109868 0.095643 0.108101 0.096958
sigma_neg -0.000054 0.000056 0.000000 0.000000
sigma_pos 0.000060 0.001324 0.000017 0.000017

Parameter_1 Parameter_2 S2 S2_conf
a_neg a_pos 0.331249 0.355654
a_neg l_neg 0.268849 0.317325
a_neg l_sep 0.268051 0.318517
a_neg l_pos 0.269956 0.318161
a_neg Rp_neg 0.276484 0.322720
a_neg Rp_pos 0.267810 0.317917
a_neg epsilon_f_neg 0.270374 0.318353
a_neg epsilon_f_pos 0.270817 0.318644
a_neg epsilon_neg 0.331299 0.360723
a_neg epsilon_sep 0.270374 0.318353
a_neg epsilon_pos 0.228833 0.292752
a_neg Cdl_neg 0.259416 0.313669
a_neg Cdl_pos 0.259433 0.323274
a_neg cs_max_neg 0.270374 0.318353
a_neg cs_max_pos 0.270374 0.318353
a_neg c0 0.269987 0.317688
a_neg D 0.267520 0.318166
a_neg Ds_neg 0.328555 0.360317
a_neg Ds_pos 0.248198 0.305118
a_neg d2Udcp2_pos_sgn 0.267842 0.316256
a_neg d2Udcp2_neg_sgn 0.270384 0.318371
a_neg d3Udcp3_pos_sgn 0.270375 0.318353
a_neg d3Udcp3_neg_sgn 0.270375 0.318353
a_neg dUdcp_pos_mag 0.254663 0.309283
a_neg dUdcp_neg_mag 0.277198 0.314855
a_neg d2Udcp2_pos_mag 0.273751 0.317483
a_neg d2Udcp2_neg_mag 0.273810 0.320908
a_neg d3Udcp3_pos_mag 0.270642 0.318247
a_neg d3Udcp3_neg_mag 0.270371 0.318349
a_neg i0_neg 0.457199 0.452303
a_neg i0_pos 0.463766 0.481387
a_neg SOC_neg 0.270374 0.318353
a_neg SOC_pos 0.270374 0.318353
a_neg tP 0.267034 0.317909
a_neg aa_neg 0.228081 0.302227
a_neg aa_pos 0.253005 0.299063
a_neg kappa_0 0.268388 0.318153
a_neg sigma_neg 0.270427 0.318381
a_neg sigma_pos 0.273087 0.320069
a_pos l_neg -0.041296 0.260676
a_pos l_sep -0.063466 0.253687
a_pos l_pos -0.041388 0.260640
a_pos Rp_neg -0.052604 0.267971
a_pos Rp_pos -0.042171 0.261017
a_pos epsilon_f_neg -0.041303 0.260628
a_pos epsilon_f_pos -0.041327 0.260635
a_pos epsilon_neg 0.003650 0.234555
a_pos epsilon_sep -0.041303 0.260628
a_pos epsilon_pos -0.000460 0.234504
a_pos Cdl_neg -0.056275 0.273564
a_pos Cdl_pos -0.042050 0.260371
a_pos cs_max_neg -0.041303 0.260628
a_pos cs_max_pos -0.041303 0.260628
