Parameter S1 S1_conf ST ST_conf
a_neg -0.093170 0.084188 0.353219 0.139260
a_pos -0.153871 0.120378 0.136052 0.117555
l_neg -0.096923 0.104735 0.103176 0.113318
l_sep -0.182998 0.131747 0.206468 0.147524
l_pos -0.000016 0.000229 0.000002 0.000002
Rp_neg -0.008223 0.006864 0.000155 0.000092
Rp_pos -0.002698 0.003246 0.000244 0.000212
epsilon_f_neg -0.000006 0.000006 0.000000 0.000000
epsilon_f_pos 0.000047 0.000076 0.000000 0.000000
epsilon_neg -0.015362 0.057092 0.121115 0.092169
epsilon_sep 0.000000 0.000000 0.000000 0.000000
epsilon_pos -0.203685 0.133340 0.333821 0.160897
Cdl_neg 0.053251 0.145139 0.184354 0.093524
Cdl_pos 0.145229 0.142912 0.260800 0.145527
cs_max_neg 0.000000 0.000000 0.000000 0.000000
cs_max_pos 0.000000 0.000000 0.000000 0.000000
c0 0.000218 0.001029 0.000006 0.000005
D -0.087650 0.082123 0.103231 0.096668
Ds_neg 0.102144 0.096361 0.018970 0.017491
Ds_pos -0.004800 0.005897 0.000819 0.000730
d2Udcp2_pos_sgn 0.000176 0.000110 0.000000 0.000000
d2Udcp2_neg_sgn -0.000019 0.000018 0.000000 0.000000
d3Udcp3_pos_sgn 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_sgn 0.000000 0.000000 0.000000 0.000000
dUdcp_pos_mag 0.015871 0.023580 0.002168 0.001472
dUdcp_neg_mag -0.010161 0.011905 0.000377 0.000249
d2Udcp2_pos_mag 0.000270 0.000947 0.000023 0.000017
d2Udcp2_neg_mag -0.000220 0.000266 0.000000 0.000000
d3Udcp3_pos_mag 0.000012 0.000014 0.000000 0.000000
d3Udcp3_neg_mag -0.000000 0.000000 0.000000 0.000000
i0_neg -0.180535 0.140178 0.246408 0.117252
i0_pos 0.169456 0.113070 0.529691 0.177790
SOC_neg 0.000000 0.000000 0.000000 0.000000
SOC_pos 0.000000 0.000000 0.000000 0.000000
tP -0.087726 0.082179 0.103239 0.096671
aa_neg -0.020368 0.093096 0.127414 0.092255
aa_pos 0.011902 0.062396 0.119999 0.086434
kappa_0 -0.088051 0.082101 0.103231 0.096662
sigma_neg -0.000128 0.000192 0.000000 0.000000
sigma_pos -0.000082 0.001059 0.000004 0.000003

Parameter_1 Parameter_2 S2 S2_conf
a_neg a_pos 0.221927 0.196501
a_neg l_neg 0.202494 0.183880
a_neg l_sep 0.194002 0.183439
a_neg l_pos 0.202576 0.183860
a_neg Rp_neg 0.202276 0.183833
a_neg Rp_pos 0.201967 0.183817
a_neg epsilon_f_neg 0.202442 0.183915
a_neg epsilon_f_pos 0.202481 0.183959
a_neg epsilon_neg 0.237817 0.209764
a_neg epsilon_sep 0.202442 0.183915
a_neg epsilon_pos 0.189642 0.184657
a_neg Cdl_neg 0.216632 0.192061
a_neg Cdl_pos 0.199713 0.186610
a_neg cs_max_neg 0.202442 0.183915
a_neg cs_max_pos 0.202442 0.183915
a_neg c0 0.202535 0.183919
a_neg D 0.193987 0.183435
a_neg Ds_neg 0.201918 0.184139
a_neg Ds_pos 0.200952 0.183643
a_neg d2Udcp2_pos_sgn 0.202441 0.183924
a_neg d2Udcp2_neg_sgn 0.202442 0.183916
a_neg d3Udcp3_pos_sgn 0.202442 0.183915
a_neg d3Udcp3_neg_sgn 0.202442 0.183915
a_neg dUdcp_pos_mag 0.201787 0.183749
a_neg dUdcp_neg_mag 0.203258 0.183654
a_neg d2Udcp2_pos_mag 0.202660 0.183701
a_neg d2Udcp2_neg_mag 0.202472 0.183889
a_neg d3Udcp3_pos_mag 0.202443 0.183915
a_neg d3Udcp3_neg_mag 0.202442 0.183915
a_neg i0_neg 0.322169 0.268531
a_neg i0_pos 0.462872 0.376555
a_neg SOC_neg 0.202442 0.183915
a_neg SOC_pos 0.202442 0.183915
a_neg tP 0.193929 0.183506
a_neg aa_neg 0.127734 0.184280
a_neg aa_pos 0.191502 0.181311
a_neg kappa_0 0.193909 0.183350
a_neg sigma_neg 0.202463 0.183921
a_neg sigma_pos 0.202936 0.184097
a_pos l_neg 0.028543 0.178109
a_pos l_sep 0.006332 0.173978
a_pos l_pos 0.029180 0.178432
a_pos Rp_neg 0.027519 0.179332
a_pos Rp_pos 0.029093 0.178411
a_pos epsilon_f_neg 0.029058 0.178491
a_pos epsilon_f_pos 0.029059 0.178490
a_pos epsilon_neg 0.022758 0.181417
a_pos epsilon_sep 0.029058 0.178491
a_pos epsilon_pos 0.012541 0.182515
a_pos Cdl_neg -0.029797 0.223225
a_pos Cdl_pos 0.026015 0.178049
a_pos cs_max_neg 0.029058 0.178491
a_pos cs_max_pos 0.029058 0.178491
a_pos c0 0.029048 0.178477
a_pos D 0.006862 0.174364
a_pos Ds_neg 0.029404 0.178456
