Parameter S1 S1_conf ST ST_conf
a_neg 0.011829 0.081451 0.201426 0.079978
a_pos -0.096176 0.079112 0.207340 0.198499
l_neg -0.068268 0.070390 0.159454 0.164032
l_sep -0.075968 0.070462 0.319475 0.209185
l_pos -0.001155 0.001153 0.000213 0.000120
Rp_neg -0.003199 0.003574 0.000042 0.000040
Rp_pos 0.001232 0.001077 0.000337 0.000318
epsilon_f_neg -0.000026 0.000026 0.000000 0.000000
epsilon_f_pos -0.000067 0.000034 0.000000 0.000000
epsilon_neg 0.021835 0.031779 0.115082 0.082550
epsilon_sep 0.000000 0.000000 0.000000 0.000000
epsilon_pos -0.019116 0.080937 0.326106 0.207959
Cdl_neg 0.266881 0.155852 0.299620 0.103788
Cdl_pos 0.077090 0.084542 0.342042 0.132311
cs_max_neg 0.000000 0.000000 0.000000 0.000000
cs_max_pos 0.000000 0.000000 0.000000 0.000000
c0 -0.000270 0.000342 0.000004 0.000004
D -0.007541 0.006401 0.159736 0.136281
Ds_neg 0.038911 0.038586 0.004726 0.004673
Ds_pos 0.001665 0.001334 0.000517 0.000491
d2Udcp2_pos_sgn 0.000001 0.000001 0.000000 0.000000
d2Udcp2_neg_sgn -0.000003 0.000003 0.000000 0.000000
d3Udcp3_pos_sgn 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_sgn 0.000000 0.000000 0.000000 0.000000
dUdcp_pos_mag 0.003513 0.003425 0.000100 0.000097
dUdcp_neg_mag -0.004242 0.004712 0.000075 0.000069
d2Udcp2_pos_mag 0.001138 0.001097 0.000351 0.000334
d2Udcp2_neg_mag 0.000000 0.000000 0.000000 0.000000
d3Udcp3_pos_mag -0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_mag 0.000000 0.000000 0.000000 0.000000
i0_neg -0.038664 0.095437 0.233914 0.157702
i0_pos 0.212466 0.111034 0.427925 0.137900
SOC_neg 0.000000 0.000000 0.000000 0.000000
SOC_pos 0.000000 0.000000 0.000000 0.000000
tP -0.007829 0.006394 0.159689 0.136239
aa_neg -0.009352 0.017214 0.016842 0.008203
aa_pos -0.020247 0.024471 0.020935 0.011048
kappa_0 -0.010281 0.006426 0.160681 0.136228
sigma_neg -0.000067 0.000165 0.000000 0.000000
sigma_pos 0.000986 0.001236 0.000017 0.000016

Parameter_1 Parameter_2 S2 S2_conf
a_neg a_pos 0.029430 0.073571
a_neg l_neg 0.016836 0.068930
a_neg l_sep 0.014575 0.068913
a_neg l_pos 0.019200 0.068838
a_neg Rp_neg 0.017219 0.068848
a_neg Rp_pos 0.016681 0.068886
a_neg epsilon_f_neg 0.016619 0.068902
a_neg epsilon_f_pos 0.016697 0.068922
a_neg epsilon_neg 0.026472 0.070276
a_neg epsilon_sep 0.016619 0.068902
a_neg epsilon_pos 0.009113 0.064242
a_neg Cdl_neg -0.026001 0.072899
a_neg Cdl_pos 0.035647 0.072241
a_neg cs_max_neg 0.016619 0.068902
a_neg cs_max_pos 0.016619 0.068902
a_neg c0 0.016607 0.068905
a_neg D 0.014522 0.068915
a_neg Ds_neg 0.009961 0.069831
a_neg Ds_pos 0.016332 0.068815
a_neg d2Udcp2_pos_sgn 0.016619 0.068902
a_neg d2Udcp2_neg_sgn 0.016620 0.068902
a_neg d3Udcp3_pos_sgn 0.016619 0.068902
a_neg d3Udcp3_neg_sgn 0.016619 0.068902
a_neg dUdcp_pos_mag 0.016321 0.068818
a_neg dUdcp_neg_mag 0.017448 0.068831
a_neg d2Udcp2_pos_mag 0.016677 0.068890
a_neg d2Udcp2_neg_mag 0.016619 0.068902
a_neg d3Udcp3_pos_mag 0.016619 0.068902
a_neg d3Udcp3_neg_mag 0.016619 0.068902
a_neg i0_neg 0.032677 0.070526
a_neg i0_pos 0.223363 0.199476
a_neg SOC_neg 0.016619 0.068902
a_neg SOC_pos 0.016619 0.068902
a_neg tP 0.014532 0.068920
a_neg aa_neg 0.016709 0.070970
a_neg aa_pos 0.042316 0.085467
a_neg kappa_0 0.016041 0.068748
a_neg sigma_neg 0.016634 0.068904
a_neg sigma_pos 0.017053 0.069022
a_pos l_neg 0.073713 0.079781
a_pos l_sep 0.068713 0.079858
a_pos l_pos 0.082808 0.088167
a_pos Rp_neg 0.082408 0.088237
a_pos Rp_pos 0.083015 0.088257
a_pos epsilon_f_neg 0.083123 0.088256
a_pos epsilon_f_pos 0.083144 0.088257
a_pos epsilon_neg 0.070584 0.090358
a_pos epsilon_sep 0.083123 0.088256
a_pos epsilon_pos 0.054458 0.080637
a_pos Cdl_neg 0.037260 0.109737
a_pos Cdl_pos 0.045558 0.092875
a_pos cs_max_neg 0.083123 0.088256
a_pos cs_max_pos 0.083123 0.088256
