Parameter S1 S1_conf ST ST_conf
a_neg 0.048251 0.054105 0.046865 0.034919
a_pos -0.016620 0.029127 0.554478 0.762644
l_neg 0.017087 0.014576 0.467356 0.668850
l_sep 0.127001 0.072247 0.941284 0.649187
l_pos 0.002423 0.028717 0.017149 0.014760
Rp_neg -0.000372 0.000605 0.000044 0.000065
Rp_pos 0.000013 0.000101 0.000000 0.000000
epsilon_f_neg 0.000000 0.000001 0.000000 0.000000
epsilon_f_pos 0.000012 0.000047 0.000000 0.000000
epsilon_neg 0.016396 0.028518 0.024322 0.025089
epsilon_sep 0.000000 0.000000 0.000000 0.000000
epsilon_pos 0.040436 0.035966 0.523884 0.724362
Cdl_neg 0.143095 0.109248 0.151726 0.119657
Cdl_pos 0.232594 0.158822 0.331456 0.195412
cs_max_neg 0.000000 0.000000 0.000000 0.000000
cs_max_pos 0.000000 0.000000 0.000000 0.000000
c0 0.000021 0.000240 0.000001 0.000001
D 0.119343 0.074686 0.470185 0.294323
Ds_neg 0.000557 0.000810 0.000079 0.000117
Ds_pos 0.000066 0.000081 0.000000 0.000000
d2Udcp2_pos_sgn 0.000000 0.000000 0.000000 0.000000
d2Udcp2_neg_sgn -0.000000 0.000000 0.000000 0.000000
d3Udcp3_pos_sgn 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_sgn 0.000000 0.000000 0.000000 0.000000
dUdcp_pos_mag 0.000117 0.000235 0.000004 0.000005
dUdcp_neg_mag -0.000412 0.000633 0.000049 0.000072
d2Udcp2_pos_mag -0.000000 0.000000 0.000000 0.000000
d2Udcp2_neg_mag 0.000000 0.000000 0.000000 0.000000
d3Udcp3_pos_mag 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_mag 0.000000 0.000000 0.000000 0.000000
i0_neg -0.022128 0.036724 0.507687 0.705672
i0_pos 0.065254 0.077935 0.226825 0.144927
SOC_neg 0.000000 0.000000 0.000000 0.000000
SOC_pos 0.000000 0.000000 0.000000 0.000000
tP 0.118977 0.074856 0.470145 0.294297
aa_neg 0.009495 0.009505 0.002165 0.002061
aa_pos -0.012387 0.011751 0.003087 0.002437
kappa_0 0.152761 0.065299 0.481344 0.288716
sigma_neg 0.000002 0.000028 0.000000 0.000000
sigma_pos -0.000124 0.000217 0.000003 0.000002

Parameter_1 Parameter_2 S2 S2_conf
a_neg a_pos 0.024988 0.065302
a_neg l_neg 0.025081 0.064511
a_neg l_sep 0.018818 0.064856
a_neg l_pos 0.021565 0.064539
a_neg Rp_neg 0.022025 0.064569
a_neg Rp_pos 0.021912 0.064571
a_neg epsilon_f_neg 0.022054 0.064565
a_neg epsilon_f_pos 0.022081 0.064554
a_neg epsilon_neg 0.010211 0.069336
a_neg epsilon_sep 0.022054 0.064565
a_neg epsilon_pos -0.000521 0.074558
a_neg Cdl_neg -0.015033 0.056709
a_neg Cdl_pos 0.073714 0.097207
a_neg cs_max_neg 0.022054 0.064565
a_neg cs_max_pos 0.022054 0.064565
a_neg c0 0.022109 0.064564
a_neg D 0.016244 0.064857
a_neg Ds_neg 0.022081 0.064563
a_neg Ds_pos 0.021932 0.064571
a_neg d2Udcp2_pos_sgn 0.022054 0.064565
a_neg d2Udcp2_neg_sgn 0.022054 0.064565
a_neg d3Udcp3_pos_sgn 0.022054 0.064565
a_neg d3Udcp3_neg_sgn 0.022054 0.064565
a_neg dUdcp_pos_mag 0.021807 0.064582
a_neg dUdcp_neg_mag 0.022036 0.064565
a_neg d2Udcp2_pos_mag 0.022054 0.064565
a_neg d2Udcp2_neg_mag 0.022054 0.064565
a_neg d3Udcp3_pos_mag 0.022054 0.064565
a_neg d3Udcp3_neg_mag 0.022054 0.064565
a_neg i0_neg 0.023651 0.060740
a_neg i0_pos 0.007040 0.069313
a_neg SOC_neg 0.022054 0.064565
a_neg SOC_pos 0.022054 0.064565
a_neg tP 0.016312 0.064855
a_neg aa_neg 0.016682 0.060595
a_neg aa_pos 0.022452 0.064645
a_neg kappa_0 0.000994 0.068541
a_neg sigma_neg 0.022046 0.064565
a_neg sigma_pos 0.022111 0.064541
a_pos l_neg -0.078055 0.191015
a_pos l_sep -0.096523 0.189198
a_pos l_pos 0.033525 0.041348
a_pos Rp_neg 0.035647 0.041635
a_pos Rp_pos 0.035676 0.041571
a_pos epsilon_f_neg 0.035605 0.041631
a_pos epsilon_f_pos 0.035606 0.041630
a_pos epsilon_neg 0.033734 0.035972
a_pos epsilon_sep 0.035606 0.041631
a_pos epsilon_pos -0.087699 0.197716
a_pos Cdl_neg 0.031750 0.041424
a_pos Cdl_pos 0.060940 0.039989
a_pos cs_max_neg 0.035606 0.041631
a_pos cs_max_pos 0.035606 0.041631
