Parameter S1 S1_conf ST ST_conf
a_neg 0.107639 0.162835 0.390711 0.265563
a_pos 0.016543 0.071241 0.091881 0.081705
l_neg -0.007326 0.064338 0.068516 0.043708
l_sep 0.238221 0.156713 0.759902 0.515197
l_pos 0.065353 0.107848 0.223290 0.154606
Rp_neg 0.000264 0.000359 0.000003 0.000004
Rp_pos 0.000005 0.000019 0.000000 0.000000
epsilon_f_neg 0.000005 0.000006 0.000000 0.000000
epsilon_f_pos 0.000092 0.000102 0.000000 0.000000
epsilon_neg -0.056822 0.127830 0.219780 0.132524
epsilon_sep 0.000000 0.000000 0.000000 0.000000
epsilon_pos 0.282839 0.165603 0.350886 0.176090
Cdl_neg -0.120492 0.093474 0.162036 0.123072
Cdl_pos 0.065838 0.127410 0.260072 0.148856
cs_max_neg 0.000000 0.000000 0.000000 0.000000
cs_max_pos 0.000000 0.000000 0.000000 0.000000
c0 -0.082428 0.083188 0.143716 0.143484
D 0.202956 0.137373 0.573174 0.388967
Ds_neg -0.000011 0.000014 0.000000 0.000000
Ds_pos -0.000000 0.000001 0.000000 0.000000
d2Udcp2_pos_sgn 0.000000 0.000000 0.000000 0.000000
d2Udcp2_neg_sgn -0.000000 0.000000 0.000000 0.000000
d3Udcp3_pos_sgn 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_sgn 0.000000 0.000000 0.000000 0.000000
dUdcp_pos_mag -0.000020 0.000087 0.000000 0.000000
dUdcp_neg_mag 0.000297 0.000367 0.000003 0.000004
d2Udcp2_pos_mag 0.000000 0.000000 0.000000 0.000000
d2Udcp2_neg_mag -0.000000 0.000000 0.000000 0.000000
d3Udcp3_pos_mag 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_mag 0.000000 0.000000 0.000000 0.000000
i0_neg 0.000397 0.027830 0.012127 0.008435
i0_pos 0.020963 0.034362 0.016905 0.016729
SOC_neg 0.000000 0.000000 0.000000 0.000000
SOC_pos 0.000000 0.000000 0.000000 0.000000
tP 0.072751 0.154906 0.490636 0.233494
aa_neg 0.005247 0.007614 0.000725 0.000789
aa_pos -0.007193 0.005352 0.000231 0.000143
kappa_0 0.343872 0.133497 0.748257 0.335055
sigma_neg -0.000046 0.000056 0.000000 0.000000
sigma_pos -0.001056 0.001332 0.000011 0.000013

Parameter_1 Parameter_2 S2 S2_conf
a_neg a_pos -0.016894 0.135080
a_neg l_neg -0.010609 0.134239
a_neg l_sep -0.005825 0.134754
a_neg l_pos -0.020437 0.139005
a_neg Rp_neg -0.016625 0.134792
a_neg Rp_pos -0.016619 0.134794
a_neg epsilon_f_neg -0.016620 0.134794
a_neg epsilon_f_pos -0.016617 0.134794
a_neg epsilon_neg -0.042546 0.145935
a_neg epsilon_sep -0.016620 0.134794
a_neg epsilon_pos -0.037857 0.143820
a_neg Cdl_neg -0.005589 0.156109
a_neg Cdl_pos -0.013218 0.137533
a_neg cs_max_neg -0.016620 0.134794
a_neg cs_max_pos -0.016620 0.134794
a_neg c0 -0.017298 0.134732
a_neg D -0.007271 0.134734
a_neg Ds_neg -0.016620 0.134794
a_neg Ds_pos -0.016620 0.134794
a_neg d2Udcp2_pos_sgn -0.016620 0.134794
a_neg d2Udcp2_neg_sgn -0.016620 0.134794
a_neg d3Udcp3_pos_sgn -0.016620 0.134794
a_neg d3Udcp3_neg_sgn -0.016620 0.134794
a_neg dUdcp_pos_mag -0.016626 0.134794
a_neg dUdcp_neg_mag -0.016624 0.134792
a_neg d2Udcp2_pos_mag -0.016620 0.134794
a_neg d2Udcp2_neg_mag -0.016620 0.134794
a_neg d3Udcp3_pos_mag -0.016620 0.134794
a_neg d3Udcp3_neg_mag -0.016620 0.134794
a_neg i0_neg -0.025030 0.130113
a_neg i0_pos -0.018620 0.133990
a_neg SOC_neg -0.016620 0.134794
a_neg SOC_pos -0.016620 0.134794
a_neg tP -0.010117 0.134674
a_neg aa_neg -0.016126 0.135210
a_neg aa_pos -0.016971 0.134334
a_neg kappa_0 -0.020169 0.145660
a_neg sigma_neg -0.016619 0.134790
a_neg sigma_pos -0.016621 0.134786
a_pos l_neg -0.058996 0.108935
a_pos l_sep -0.119455 0.094887
a_pos l_pos -0.047291 0.108164
a_pos Rp_neg -0.054673 0.108030
a_pos Rp_pos -0.054670 0.108027
a_pos epsilon_f_neg -0.054670 0.108027
a_pos epsilon_f_pos -0.054666 0.108026
a_pos epsilon_neg -0.029970 0.099005
a_pos epsilon_sep -0.054670 0.108027
a_pos epsilon_pos -0.062809 0.104085
a_pos Cdl_neg -0.024782 0.107888
a_pos Cdl_pos -0.025080 0.104506
a_pos cs_max_neg -0.054670 0.108027
a_pos cs_max_pos -0.054670 0.108027
