Parameter S1 S1_conf ST ST_conf
a_neg 0.003105 0.034288 0.341197 0.214370
a_pos -0.005218 0.015021 0.010285 0.018771
l_neg 0.045104 0.076297 0.990863 2.060948
l_sep 0.000055 0.000467 0.000009 0.000017
l_pos 0.001473 0.002478 0.000176 0.000304
Rp_neg -0.012838 0.010682 0.159137 0.126579
Rp_pos 0.002057 0.004350 0.000432 0.000909
epsilon_f_neg 0.000021 0.000053 0.000000 0.000000
epsilon_f_pos -0.000035 0.000590 0.000004 0.000007
epsilon_neg -0.002964 0.027999 0.186540 0.117788
epsilon_sep 0.000000 0.000000 0.000000 0.000000
epsilon_pos -0.016607 0.014862 0.009496 0.017633
Cdl_neg -0.000274 0.000248 0.000109 0.000091
Cdl_pos 0.000000 0.000003 0.000000 0.000000
cs_max_neg 0.000000 0.000000 0.000000 0.000000
cs_max_pos 0.000000 0.000000 0.000000 0.000000
c0 0.000866 0.003634 0.001241 0.003060
D -0.001601 0.005031 0.000964 0.001764
Ds_neg 0.013637 0.080046 0.458758 0.322088
Ds_pos 0.030770 0.067205 0.132448 0.312439
d2Udcp2_pos_sgn 0.000000 0.000000 0.000000 0.000000
d2Udcp2_neg_sgn 0.000000 0.000000 0.000000 0.000000
d3Udcp3_pos_sgn 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_sgn 0.000000 0.000000 0.000000 0.000000
dUdcp_pos_mag 0.002496 0.013410 0.006138 0.010594
dUdcp_neg_mag 0.065989 0.055216 0.196393 0.332419
d2Udcp2_pos_mag 0.000000 0.000000 0.000000 0.000000
d2Udcp2_neg_mag 0.000000 0.000000 0.000000 0.000000
d3Udcp3_pos_mag 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_mag 0.000000 0.000000 0.000000 0.000000
i0_neg -0.002135 0.002247 0.000487 0.000979
i0_pos -0.014176 0.015244 0.002921 0.005029
SOC_neg 0.000000 0.000000 0.000000 0.000000
SOC_pos 0.000000 0.000000 0.000000 0.000000
tP 0.005494 0.016959 0.007873 0.018217
aa_neg 0.000000 0.000000 0.000000 0.000000
aa_pos 0.000000 0.000000 0.000000 0.000000
kappa_0 0.036372 0.069380 0.157925 0.277125
sigma_neg -0.000222 0.000391 0.000011 0.000020
sigma_pos 0.002333 0.004772 0.000263 0.000470

Parameter_1 Parameter_2 S2 S2_conf
a_neg a_pos -0.016151 0.067162
a_neg l_neg -0.010726 0.090422
a_neg l_sep -0.022977 0.067208
a_neg l_pos -0.023961 0.068046
a_neg Rp_neg -0.029714 0.065510
a_neg Rp_pos -0.022614 0.067220
a_neg epsilon_f_neg -0.022971 0.067174
a_neg epsilon_f_pos -0.022713 0.067001
a_neg epsilon_neg -0.040809 0.067196
a_neg epsilon_sep -0.022953 0.067170
a_neg epsilon_pos -0.017485 0.065290
a_neg Cdl_neg -0.023089 0.067119
a_neg Cdl_pos -0.022952 0.067170
a_neg cs_max_neg -0.022953 0.067170
a_neg cs_max_pos -0.022953 0.067170
a_neg c0 -0.023495 0.067235
a_neg D -0.022345 0.067257
a_neg Ds_neg -0.034551 0.065511
a_neg Ds_pos -0.018455 0.068410
a_neg d2Udcp2_pos_sgn -0.022953 0.067170
a_neg d2Udcp2_neg_sgn -0.022953 0.067170
a_neg d3Udcp3_pos_sgn -0.022953 0.067170
a_neg d3Udcp3_neg_sgn -0.022953 0.067170
a_neg dUdcp_pos_mag -0.022624 0.066974
a_neg dUdcp_neg_mag -0.059920 0.074151
a_neg d2Udcp2_pos_mag -0.022953 0.067170
a_neg d2Udcp2_neg_mag -0.022953 0.067170
a_neg d3Udcp3_pos_mag -0.022953 0.067170
a_neg d3Udcp3_neg_mag -0.022953 0.067170
a_neg i0_neg -0.022483 0.066866
a_neg i0_pos -0.011713 0.063786
a_neg SOC_neg -0.022953 0.067170
a_neg SOC_pos -0.022953 0.067170
a_neg tP -0.023303 0.067735
a_neg aa_neg -0.022953 0.067170
a_neg aa_pos -0.022953 0.067170
a_neg kappa_0 -0.016902 0.079575
a_neg sigma_neg -0.022889 0.067174
a_neg sigma_pos -0.024559 0.068817
a_pos l_neg 0.016204 0.039607
a_pos l_sep 0.019473 0.040375
a_pos l_pos 0.019353 0.040286
a_pos Rp_neg 0.021176 0.040444
a_pos Rp_pos 0.020782 0.043539
a_pos epsilon_f_neg 0.019537 0.040422
a_pos epsilon_f_pos 0.019581 0.040476
a_pos epsilon_neg 0.017896 0.038618
a_pos epsilon_sep 0.019560 0.040444
a_pos epsilon_pos 0.016055 0.030820
a_pos Cdl_neg 0.019596 0.040440
a_pos Cdl_pos 0.019559 0.040444
a_pos cs_max_neg 0.019560 0.040444
a_pos cs_max_pos 0.019560 0.040444
a_pos c0 0.020741 0.042245
a_pos D 0.017864 0.036804
a_pos Ds_neg 0.017129 0.038690
a_pos Ds_pos 0.047390 0.110131
a_pos d2Udcp2_pos_sgn 0.019560 0.040444
a_pos d2Udcp2_neg_sgn 0.019560 0.040444
a_pos d3Udcp3_pos_sgn 0.019560 0.040444
a_pos d3Udcp3_neg_sgn 0.019560 0.040444
a_pos dUdcp_pos_mag 0.016707 0.032416
a_pos dUdcp_neg_mag 0.019170 0.039399
a_pos d2Udcp2_pos_mag 0.019560 0.040444
a_pos d2Udcp2_neg_mag 0.019560 0.040444
a_pos d3Udcp3_pos_mag 0.019560 0.040444
a_pos d3Udcp3_neg_mag 0.019560 0.040444
a_pos i0_neg 0.019239 0.039501
a_pos i0_pos 0.017156 0.040425
a_pos SOC_neg 0.019560 0.040444
a_pos SOC_pos 0.019560 0.040444
a_pos tP 0.019047 0.040134
a_pos aa_neg 0.019560 0.040444
a_pos aa_pos 0.019560 0.040444
a_pos kappa_0 0.045841 0.095711
a_pos sigma_neg 0.019437 0.040353
a_pos sigma_pos 0.019771 0.040553
l_neg l_sep -0.062932 0.073430
l_neg l_pos -0.063079 0.073578
l_neg Rp_neg -0.062872 0.072958
l_neg Rp_pos -0.062934 0.073444
l_neg epsilon_f_neg -0.062952 0.073442
l_neg epsilon_f_pos -0.063015 0.073464
l_neg epsilon_neg -0.071017 0.071291
l_neg epsilon_sep -0.062936 0.073445
l_neg epsilon_pos -0.056471 0.074374
l_neg Cdl_neg -0.062936 0.073444
l_neg Cdl_pos -0.062936 0.073445
l_neg cs_max_neg -0.062936 0.073445
l_neg cs_max_pos -0.062936 0.073445
l_neg c0 -0.063220 0.073455
l_neg D -0.062974 0.073207
l_neg Ds_neg -0.071181 0.086084
l_neg Ds_pos -0.062856 0.073278
l_neg d2Udcp2_pos_sgn -0.062936 0.073445
l_neg d2Udcp2_neg_sgn -0.062936 0.073445
l_neg d3Udcp3_pos_sgn -0.062936 0.073445
l_neg d3Udcp3_neg_sgn -0.062936 0.073445
l_neg dUdcp_pos_mag -0.062704 0.073329
l_neg dUdcp_neg_mag -0.088609 0.070434
l_neg d2Udcp2_pos_mag -0.062936 0.073445
l_neg d2Udcp2_neg_mag -0.062936 0.073445
l_neg d3Udcp3_pos_mag -0.062936 0.073445
l_neg d3Udcp3_neg_mag -0.062936 0.073445
l_neg i0_neg -0.061763 0.073521
l_neg i0_pos -0.055217 0.075981
l_neg SOC_neg -0.062936 0.073445
l_neg SOC_pos -0.062936 0.073445
l_neg tP -0.063314 0.073540
l_neg aa_neg -0.062936 0.073445
l_neg aa_pos -0.062936 0.073445
l_neg kappa_0 -0.052915 0.072045
l_neg sigma_neg -0.062852 0.073455
l_neg sigma_pos -0.062248 0.073213
l_sep l_pos -0.000688 0.001206
l_sep Rp_neg -0.000459 0.001160
l_sep Rp_pos -0.000673 0.001191
l_sep epsilon_f_neg -0.000684 0.001193
l_sep epsilon_f_pos -0.000685 0.001194
l_sep epsilon_neg -0.000299 0.000838
l_sep epsilon_sep -0.000684 0.001193
l_sep epsilon_pos -0.000703 0.001189
l_sep Cdl_neg -0.000679 0.001193
l_sep Cdl_pos -0.000684 0.001193
l_sep cs_max_neg -0.000684 0.001193
l_sep cs_max_pos -0.000684 0.001193
l_sep c0 -0.000679 0.001190
l_sep D -0.000686 0.001190
l_sep Ds_neg -0.000879 0.002105
l_sep Ds_pos -0.000443 0.001176
l_sep d2Udcp2_pos_sgn -0.000684 0.001193
l_sep d2Udcp2_neg_sgn -0.000684 0.001193
l_sep d3Udcp3_pos_sgn -0.000684 0.001193
l_sep d3Udcp3_neg_sgn -0.000684 0.001193
l_sep dUdcp_pos_mag -0.000643 0.001108
l_sep dUdcp_neg_mag -0.000382 0.000709
l_sep d2Udcp2_pos_mag -0.000684 0.001193
l_sep d2Udcp2_neg_mag -0.000684 0.001193
l_sep d3Udcp3_pos_mag -0.000684 0.001193
l_sep d3Udcp3_neg_mag -0.000684 0.001193
l_sep i0_neg -0.000688 0.001197
l_sep i0_pos -0.000685 0.001191
l_sep SOC_neg -0.000684 0.001193
l_sep SOC_pos -0.000684 0.001193
l_sep tP -0.000704 0.001217
l_sep aa_neg -0.000684 0.001193
l_sep aa_pos -0.000684 0.001193
l_sep kappa_0 -0.001405 0.003186
l_sep sigma_neg -0.000683 0.001191
l_sep sigma_pos -0.000679 0.001189
l_pos Rp_neg -0.003907 0.006997
l_pos Rp_pos -0.002860 0.007771
l_pos epsilon_f_neg -0.002634 0.007367
l_pos epsilon_f_pos -0.002627 0.007361
l_pos epsilon_neg -0.002082 0.004663
l_pos epsilon_sep -0.002634 0.007367
l_pos epsilon_pos -0.002330 0.006901
l_pos Cdl_neg -0.002666 0.007350
l_pos Cdl_pos -0.002634 0.007367
l_pos cs_max_neg -0.002634 0.007367
l_pos cs_max_pos -0.002634 0.007367
l_pos c0 -0.002458 0.007093
l_pos D -0.002637 0.007368
l_pos Ds_neg -0.005305 0.008658
l_pos Ds_pos -0.004135 0.011077
l_pos d2Udcp2_pos_sgn -0.002634 0.007367
l_pos d2Udcp2_neg_sgn -0.002634 0.007367
l_pos d3Udcp3_pos_sgn -0.002634 0.007367
l_pos d3Udcp3_neg_sgn -0.002634 0.007367
l_pos dUdcp_pos_mag -0.002562 0.007312
l_pos dUdcp_neg_mag -0.001505 0.005906
l_pos d2Udcp2_pos_mag -0.002634 0.007367
l_pos d2Udcp2_neg_mag -0.002634 0.007367
l_pos d3Udcp3_pos_mag -0.002634 0.007367
l_pos d3Udcp3_neg_mag -0.002634 0.007367
l_pos i0_neg -0.002420 0.007094
l_pos i0_pos -0.002365 0.007048
l_pos SOC_neg -0.002634 0.007367
l_pos SOC_pos -0.002634 0.007367
l_pos tP -0.002608 0.007378
l_pos aa_neg -0.002634 0.007367
l_pos aa_pos -0.002634 0.007367
l_pos kappa_0 -0.003148 0.008888
l_pos sigma_neg -0.002636 0.007371
l_pos sigma_pos -0.002575 0.007300
Rp_neg Rp_pos 0.005890 0.029724
Rp_neg epsilon_f_neg 0.005652 0.029387
Rp_neg epsilon_f_pos 0.005641 0.029401
Rp_neg epsilon_neg -0.005581 0.030819
