Parameter S1 S1_conf ST ST_conf
a_neg 0.004475 0.044906 0.369776 0.221939
a_pos -0.006716 0.022209 0.012741 0.025796
l_neg 0.036238 0.050377 0.534534 0.832851
l_sep 0.000108 0.000710 0.000016 0.000034
l_pos 0.002577 0.003604 0.000340 0.000600
Rp_neg -0.017416 0.013702 0.158595 0.123692
Rp_pos 0.000924 0.002377 0.000111 0.000220
epsilon_f_neg 0.000023 0.000093 0.000000 0.000000
epsilon_f_pos -0.000019 0.000857 0.000008 0.000013
epsilon_neg -0.006010 0.036273 0.201625 0.115539
epsilon_sep 0.000000 0.000000 0.000000 0.000000
epsilon_pos -0.022073 0.024473 0.013524 0.026729
Cdl_neg -0.000444 0.000407 0.000156 0.000128
Cdl_pos -0.000000 0.000006 0.000000 0.000000
cs_max_neg 0.000000 0.000000 0.000000 0.000000
cs_max_pos 0.000000 0.000000 0.000000 0.000000
c0 0.001240 0.004914 0.001557 0.003226
D -0.002076 0.006052 0.000856 0.001664
Ds_neg 0.000006 0.065523 0.428162 0.244412
Ds_pos 0.044770 0.113686 0.177328 0.491737
d2Udcp2_pos_sgn 0.000000 0.000000 0.000000 0.000000
d2Udcp2_neg_sgn 0.000000 0.000000 0.000000 0.000000
d3Udcp3_pos_sgn 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_sgn 0.000000 0.000000 0.000000 0.000000
dUdcp_pos_mag 0.003236 0.016723 0.006922 0.014102
dUdcp_neg_mag 0.073233 0.069785 0.205561 0.345478
d2Udcp2_pos_mag 0.000000 0.000000 0.000000 0.000000
d2Udcp2_neg_mag 0.000000 0.000000 0.000000 0.000000
d3Udcp3_pos_mag 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_mag 0.000000 0.000000 0.000000 0.000000
i0_neg -0.003405 0.004007 0.001011 0.002329
i0_pos -0.017726 0.028064 0.005904 0.010831
SOC_neg 0.000000 0.000000 0.000000 0.000000
SOC_pos 0.000000 0.000000 0.000000 0.000000
tP 0.006960 0.023668 0.009757 0.018689
aa_neg 0.000000 0.000000 0.000000 0.000000
aa_pos 0.000000 0.000000 0.000000 0.000000
kappa_0 0.048761 0.105976 0.226011 0.438528
sigma_neg -0.000293 0.000625 0.000024 0.000041
sigma_pos 0.003434 0.006772 0.000541 0.000922

Parameter_1 Parameter_2 S2 S2_conf
a_neg a_pos -0.025470 0.080201
a_neg l_neg -0.018895 0.093610
a_neg l_sep -0.033373 0.081649
a_neg l_pos -0.034636 0.082588
a_neg Rp_neg -0.041595 0.079769
a_neg Rp_pos -0.033139 0.081613
a_neg epsilon_f_neg -0.033330 0.081561
a_neg epsilon_f_pos -0.032912 0.081395
a_neg epsilon_neg -0.055757 0.083114
a_neg epsilon_sep -0.033305 0.081555
a_neg epsilon_pos -0.026217 0.078493
a_neg Cdl_neg -0.033497 0.081493
a_neg Cdl_pos -0.033303 0.081555
a_neg cs_max_neg -0.033305 0.081555
a_neg cs_max_pos -0.033305 0.081555
a_neg c0 -0.033921 0.081665
a_neg D -0.032782 0.081668
a_neg Ds_neg -0.044267 0.076556
a_neg Ds_pos -0.025578 0.085961
a_neg d2Udcp2_pos_sgn -0.033305 0.081555
a_neg d2Udcp2_neg_sgn -0.033305 0.081555
a_neg d3Udcp3_pos_sgn -0.033305 0.081555
a_neg d3Udcp3_neg_sgn -0.033305 0.081555
a_neg dUdcp_pos_mag -0.032749 0.081219
a_neg dUdcp_neg_mag -0.081512 0.092962
a_neg d2Udcp2_pos_mag -0.033305 0.081555
a_neg d2Udcp2_neg_mag -0.033305 0.081555
a_neg d3Udcp3_pos_mag -0.033305 0.081555
a_neg d3Udcp3_neg_mag -0.033305 0.081555
a_neg i0_neg -0.032912 0.080950
a_neg i0_pos -0.017174 0.076150
a_neg SOC_neg -0.033305 0.081555
a_neg SOC_pos -0.033305 0.081555
a_neg tP -0.033733 0.081932
a_neg aa_neg -0.033305 0.081555
a_neg aa_pos -0.033305 0.081555
a_neg kappa_0 -0.018157 0.093625
a_neg sigma_neg -0.033229 0.081552
a_neg sigma_pos -0.035716 0.083459
a_pos l_neg 0.026922 0.071944
a_pos l_sep 0.029796 0.072243
a_pos l_pos 0.029350 0.071712
a_pos Rp_neg 0.032104 0.072259
a_pos Rp_pos 0.030564 0.074182
a_pos epsilon_f_neg 0.029886 0.072328
a_pos epsilon_f_pos 0.029963 0.072466
a_pos epsilon_neg 0.026641 0.064880
a_pos epsilon_sep 0.029926 0.072379
a_pos epsilon_pos 0.025380 0.055878
a_pos Cdl_neg 0.029989 0.072375
a_pos Cdl_pos 0.029924 0.072377
a_pos cs_max_neg 0.029926 0.072379
a_pos cs_max_pos 0.029926 0.072379
a_pos c0 0.031501 0.075658
a_pos D 0.027987 0.067357
a_pos Ds_neg 0.026251 0.063587
a_pos Ds_pos 0.073918 0.199718
a_pos d2Udcp2_pos_sgn 0.029926 0.072379
a_pos d2Udcp2_neg_sgn 0.029926 0.072379
a_pos d3Udcp3_pos_sgn 0.029926 0.072379
a_pos d3Udcp3_neg_sgn 0.029926 0.072379
a_pos dUdcp_pos_mag 0.026431 0.062212
a_pos dUdcp_neg_mag 0.028292 0.067656
a_pos d2Udcp2_pos_mag 0.029926 0.072379
a_pos d2Udcp2_neg_mag 0.029926 0.072379
a_pos d3Udcp3_pos_mag 0.029926 0.072379
a_pos d3Udcp3_neg_mag 0.029926 0.072379
a_pos i0_neg 0.029348 0.070423
a_pos i0_pos 0.025357 0.073439
a_pos SOC_neg 0.029926 0.072379
a_pos SOC_pos 0.029926 0.072379
a_pos tP 0.029151 0.071581
a_pos aa_neg 0.029926 0.072379
a_pos aa_pos 0.029926 0.072379
a_pos kappa_0 0.073875 0.182552
a_pos sigma_neg 0.029714 0.072226
a_pos sigma_pos 0.030331 0.072856
l_neg l_sep -0.077478 0.050691
l_neg l_pos -0.078504 0.051085
l_neg Rp_neg -0.078027 0.050692
l_neg Rp_pos -0.077506 0.050719
l_neg epsilon_f_neg -0.077521 0.050716
l_neg epsilon_f_pos -0.077456 0.050719
l_neg epsilon_neg -0.089364 0.049939
l_neg epsilon_sep -0.077500 0.050718
l_neg epsilon_pos -0.068406 0.051380
l_neg Cdl_neg -0.077511 0.050721
l_neg Cdl_pos -0.077500 0.050718
l_neg cs_max_neg -0.077500 0.050718
l_neg cs_max_pos -0.077500 0.050718
l_neg c0 -0.077859 0.050726
l_neg D -0.077517 0.050486
l_neg Ds_neg -0.085339 0.060234
l_neg Ds_pos -0.077457 0.050675
l_neg d2Udcp2_pos_sgn -0.077500 0.050718
l_neg d2Udcp2_neg_sgn -0.077500 0.050718
l_neg d3Udcp3_pos_sgn -0.077500 0.050718
l_neg d3Udcp3_neg_sgn -0.077500 0.050718
l_neg dUdcp_pos_mag -0.077233 0.050691
l_neg dUdcp_neg_mag -0.108949 0.053673
l_neg d2Udcp2_pos_mag -0.077500 0.050718
l_neg d2Udcp2_neg_mag -0.077500 0.050718
l_neg d3Udcp3_pos_mag -0.077500 0.050718
l_neg d3Udcp3_neg_mag -0.077500 0.050718
