Parameter S1 S1_conf ST ST_conf
a_neg 0.020010 0.060158 0.391739 0.206406
a_pos -0.008953 0.028402 0.017084 0.021077
l_neg 0.023583 0.025734 0.111750 0.140763
l_sep 0.000299 0.001015 0.000048 0.000063
l_pos 0.004392 0.005002 0.000711 0.000759
Rp_neg -0.025404 0.018101 0.144231 0.110127
Rp_pos -0.000217 0.001006 0.000042 0.000056
epsilon_f_neg 0.000023 0.000142 0.000001 0.000001
epsilon_f_pos 0.000046 0.001051 0.000018 0.000019
epsilon_neg -0.008156 0.047280 0.185626 0.095052
epsilon_sep 0.000000 0.000000 0.000000 0.000000
epsilon_pos -0.030811 0.026491 0.021189 0.024879
Cdl_neg -0.000589 0.000563 0.000139 0.000115
Cdl_pos -0.000002 0.000010 0.000000 0.000000
cs_max_neg 0.000000 0.000000 0.000000 0.000000
cs_max_pos 0.000000 0.000000 0.000000 0.000000
c0 0.001775 0.005736 0.002141 0.003581
D -0.002503 0.005401 0.000693 0.000874
Ds_neg -0.002637 0.060801 0.415782 0.217498
Ds_pos 0.066661 0.113616 0.221031 0.397354
d2Udcp2_pos_sgn 0.000000 0.000000 0.000000 0.000000
d2Udcp2_neg_sgn 0.000000 0.000000 0.000000 0.000000
d3Udcp3_pos_sgn 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_sgn 0.000000 0.000000 0.000000 0.000000
dUdcp_pos_mag 0.003602 0.020030 0.008230 0.009997
dUdcp_neg_mag 0.092234 0.069755 0.218710 0.235293
d2Udcp2_pos_mag 0.000000 0.000000 0.000000 0.000000
d2Udcp2_neg_mag 0.000000 0.000000 0.000000 0.000000
d3Udcp3_pos_mag 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_mag 0.000000 0.000000 0.000000 0.000000
i0_neg -0.005624 0.005791 0.002185 0.002769
i0_pos -0.021047 0.038054 0.012131 0.012784
SOC_neg 0.000000 0.000000 0.000000 0.000000
SOC_pos 0.000000 0.000000 0.000000 0.000000
tP 0.008420 0.017739 0.011474 0.018046
aa_neg 0.000000 0.000000 0.000000 0.000000
aa_pos 0.000000 0.000000 0.000000 0.000000
kappa_0 0.077488 0.143826 0.342627 0.500398
sigma_neg -0.000369 0.001054 0.000051 0.000063
sigma_pos 0.005048 0.008645 0.001152 0.001289

Parameter_1 Parameter_2 S2 S2_conf
a_neg a_pos -0.047174 0.102818
a_neg l_neg -0.046436 0.110692
a_neg l_sep -0.055668 0.105817
a_neg l_pos -0.057098 0.107407
a_neg Rp_neg -0.066714 0.103821
a_neg Rp_pos -0.055581 0.105797
a_neg epsilon_f_neg -0.055524 0.105809
a_neg epsilon_f_pos -0.054844 0.105519
a_neg epsilon_neg -0.084749 0.106618
a_neg epsilon_sep -0.055487 0.105800
a_neg epsilon_pos -0.046101 0.101567
a_neg Cdl_neg -0.055724 0.105735
a_neg Cdl_pos -0.055483 0.105800
a_neg cs_max_neg -0.055487 0.105800
a_neg cs_max_pos -0.055487 0.105800
a_neg c0 -0.056104 0.106083
a_neg D -0.055009 0.105878
a_neg Ds_neg -0.067647 0.100952
a_neg Ds_pos -0.042291 0.110495
a_neg d2Udcp2_pos_sgn -0.055487 0.105800
a_neg d2Udcp2_neg_sgn -0.055487 0.105800
a_neg d3Udcp3_pos_sgn -0.055487 0.105800
a_neg d3Udcp3_neg_sgn -0.055487 0.105800
a_neg dUdcp_pos_mag -0.054779 0.105406
a_neg dUdcp_neg_mag -0.118992 0.119794
a_neg d2Udcp2_pos_mag -0.055487 0.105800
a_neg d2Udcp2_neg_mag -0.055487 0.105800
a_neg d3Udcp3_pos_mag -0.055487 0.105800
a_neg d3Udcp3_neg_mag -0.055487 0.105800
a_neg i0_neg -0.055399 0.104942
a_neg i0_pos -0.031892 0.098957
a_neg SOC_neg -0.055487 0.105800
a_neg SOC_pos -0.055487 0.105800
a_neg tP -0.055937 0.106500
a_neg aa_neg -0.055487 0.105800
a_neg aa_pos -0.055487 0.105800
a_neg kappa_0 -0.024454 0.122310
a_neg sigma_neg -0.055401 0.105815
a_neg sigma_pos -0.058931 0.108552
a_pos l_neg 0.045648 0.078044
a_pos l_sep 0.047662 0.078209
a_pos l_pos 0.046542 0.077778
a_pos Rp_neg 0.050661 0.077616
a_pos Rp_pos 0.048014 0.078409
a_pos epsilon_f_neg 0.047779 0.078266
a_pos epsilon_f_pos 0.047918 0.078428
a_pos epsilon_neg 0.041172 0.071628
a_pos epsilon_sep 0.047850 0.078323
a_pos epsilon_pos 0.041439 0.063773
a_pos Cdl_neg 0.047944 0.078321
a_pos Cdl_pos 0.047848 0.078321
a_pos cs_max_neg 0.047850 0.078323
a_pos cs_max_pos 0.047850 0.078323
a_pos c0 0.050002 0.080788
a_pos D 0.045524 0.074631
a_pos Ds_neg 0.040268 0.073241
a_pos Ds_pos 0.116116 0.199746
a_pos d2Udcp2_pos_sgn 0.047850 0.078323
a_pos d2Udcp2_neg_sgn 0.047850 0.078323
a_pos d3Udcp3_pos_sgn 0.047850 0.078323
a_pos d3Udcp3_neg_sgn 0.047850 0.078323
a_pos dUdcp_pos_mag 0.042866 0.068567
a_pos dUdcp_neg_mag 0.043333 0.072615
a_pos d2Udcp2_pos_mag 0.047850 0.078323
a_pos d2Udcp2_neg_mag 0.047850 0.078323
a_pos d3Udcp3_pos_mag 0.047850 0.078323
a_pos d3Udcp3_neg_mag 0.047850 0.078323
a_pos i0_neg 0.046906 0.076159
a_pos i0_pos 0.038856 0.083520
a_pos SOC_neg 0.047850 0.078323
a_pos SOC_pos 0.047850 0.078323
a_pos tP 0.046695 0.077763
a_pos aa_neg 0.047850 0.078323
a_pos aa_pos 0.047850 0.078323
a_pos kappa_0 0.124873 0.200486
a_pos sigma_neg 0.047471 0.078175
a_pos sigma_pos 0.048653 0.078778
l_neg l_sep -0.072442 0.031779
l_neg l_pos -0.074025 0.032568
l_neg Rp_neg -0.073731 0.032390
l_neg Rp_pos -0.072485 0.031807
l_neg epsilon_f_neg -0.072503 0.031809
l_neg epsilon_f_pos -0.072367 0.031730
l_neg epsilon_neg -0.085048 0.034208
l_neg epsilon_sep -0.072479 0.031806
l_neg epsilon_pos -0.062383 0.031165
l_neg Cdl_neg -0.072502 0.031818
l_neg Cdl_pos -0.072479 0.031806
l_neg cs_max_neg -0.072479 0.031806
l_neg cs_max_pos -0.072479 0.031806
l_neg c0 -0.072852 0.031862
l_neg D -0.072465 0.031700
l_neg Ds_neg -0.080726 0.038530
l_neg Ds_pos -0.072354 0.031839
l_neg d2Udcp2_pos_sgn -0.072479 0.031806
l_neg d2Udcp2_neg_sgn -0.072479 0.031806
l_neg d3Udcp3_pos_sgn -0.072479 0.031806
l_neg d3Udcp3_neg_sgn -0.072479 0.031806
l_neg dUdcp_pos_mag -0.072220 0.031851
l_neg dUdcp_neg_mag -0.104898 0.042265
l_neg d2Udcp2_pos_mag -0.072479 0.031806
l_neg d2Udcp2_neg_mag -0.072479 0.031806
l_neg d3Udcp3_pos_mag -0.072479 0.031806
l_neg d3Udcp3_neg_mag -0.072479 0.031806
l_neg i0_neg -0.070224 0.031331
l_neg i0_pos -0.059860 0.032082
l_neg SOC_neg -0.072479 0.031806
l_neg SOC_pos -0.072479 0.031806
l_neg tP -0.072925 0.031884
