Parameter S1 S1_conf ST ST_conf
a_neg 0.074104 0.108181 0.440478 0.210617
a_pos -0.012783 0.064170 0.035662 0.024026
l_neg -0.007282 0.014311 0.013993 0.015178
l_sep 0.001377 0.002139 0.000131 0.000095
l_pos 0.011315 0.010230 0.002809 0.001541
Rp_neg -0.060943 0.033456 0.124876 0.081993
Rp_pos -0.000170 0.000996 0.000039 0.000032
epsilon_f_neg 0.000014 0.000251 0.000002 0.000002
epsilon_f_pos 0.000431 0.002170 0.000071 0.000045
epsilon_neg -0.006837 0.082464 0.183418 0.075024
epsilon_sep 0.000000 0.000000 0.000000 0.000000
epsilon_pos -0.059391 0.053804 0.054652 0.037053
Cdl_neg -0.000978 0.000923 0.000102 0.000083
Cdl_pos -0.000017 0.000028 0.000000 0.000000
cs_max_neg 0.000000 0.000000 0.000000 0.000000
cs_max_pos 0.000000 0.000000 0.000000 0.000000
c0 0.001664 0.006869 0.003891 0.004474
D -0.001714 0.003366 0.000256 0.000156
Ds_neg 0.001275 0.087642 0.381398 0.197538
Ds_pos 0.104038 0.122893 0.156331 0.183508
d2Udcp2_pos_sgn 0.000000 0.000000 0.000000 0.000000
d2Udcp2_neg_sgn 0.000000 0.000000 0.000000 0.000000
d3Udcp3_pos_sgn 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_sgn 0.000000 0.000000 0.000000 0.000000
dUdcp_pos_mag -0.000582 0.028116 0.011172 0.008309
dUdcp_neg_mag 0.074570 0.077885 0.194168 0.128616
d2Udcp2_pos_mag 0.000000 0.000000 0.000000 0.000000
d2Udcp2_neg_mag 0.000000 0.000000 0.000000 0.000000
d3Udcp3_pos_mag 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_mag 0.000000 0.000000 0.000000 0.000000
i0_neg -0.011819 0.013062 0.008590 0.006377
i0_pos -0.008641 0.094333 0.046194 0.026885
SOC_neg 0.000000 0.000000 0.000000 0.000000
SOC_pos 0.000000 0.000000 0.000000 0.000000
tP 0.006824 0.015011 0.011265 0.011707
aa_neg 0.000000 0.000000 0.000000 0.000000
aa_pos 0.000000 0.000000 0.000000 0.000000
kappa_0 0.204517 0.248737 0.732154 0.640249
sigma_neg -0.000407 0.002022 0.000203 0.000131
sigma_pos 0.009712 0.016982 0.004623 0.002786

Parameter_1 Parameter_2 S2 S2_conf
a_neg a_pos -0.118167 0.168863
a_neg l_neg -0.128497 0.173577
a_neg l_sep -0.123174 0.174910
a_neg l_pos -0.124648 0.177237
a_neg Rp_neg -0.142986 0.168891
a_neg Rp_pos -0.122613 0.174763
a_neg epsilon_f_neg -0.122500 0.174747
a_neg epsilon_f_pos -0.120773 0.174407
a_neg epsilon_neg -0.173093 0.179486
a_neg epsilon_sep -0.122433 0.174728
a_neg epsilon_pos -0.107735 0.166555
a_neg Cdl_neg -0.122759 0.174607
a_neg Cdl_pos -0.122428 0.174728
a_neg cs_max_neg -0.122433 0.174728
a_neg cs_max_pos -0.122433 0.174728
a_neg c0 -0.122434 0.174799
a_neg D -0.122308 0.174884
a_neg Ds_neg -0.138799 0.167017
a_neg Ds_pos -0.097820 0.179642
a_neg d2Udcp2_pos_sgn -0.122433 0.174728
a_neg d2Udcp2_neg_sgn -0.122433 0.174728
a_neg d3Udcp3_pos_sgn -0.122433 0.174728
a_neg d3Udcp3_neg_sgn -0.122433 0.174728
a_neg dUdcp_pos_mag -0.122008 0.173830
a_neg dUdcp_neg_mag -0.183787 0.183296
a_neg d2Udcp2_pos_mag -0.122433 0.174728
a_neg d2Udcp2_neg_mag -0.122433 0.174728
a_neg d3Udcp3_pos_mag -0.122433 0.174728
a_neg d3Udcp3_neg_mag -0.122433 0.174728
a_neg i0_neg -0.125242 0.172528
a_neg i0_pos -0.075762 0.162360
a_neg SOC_neg -0.122433 0.174728
a_neg SOC_pos -0.122433 0.174728
a_neg tP -0.121811 0.174965
a_neg aa_neg -0.122433 0.174728
a_neg aa_pos -0.122433 0.174728
a_neg kappa_0 -0.031357 0.194705
a_neg sigma_neg -0.122314 0.174762
a_neg sigma_pos -0.128218 0.178163
a_pos l_neg 0.104666 0.152317
a_pos l_sep 0.104343 0.152326
a_pos l_pos 0.100182 0.152444
a_pos Rp_neg 0.110794 0.152409
a_pos Rp_pos 0.105547 0.152850
a_pos epsilon_f_neg 0.104606 0.152395
a_pos epsilon_f_pos 0.105016 0.152761
a_pos epsilon_neg 0.085768 0.144615
a_pos epsilon_sep 0.104811 0.152482
a_pos epsilon_pos 0.090865 0.131523
a_pos Cdl_neg 0.105037 0.152496
a_pos Cdl_pos 0.104803 0.152476
a_pos cs_max_neg 0.104811 0.152482
