Parameter S1 S1_conf ST ST_conf
a_neg 0.103436 0.124034 0.454840 0.214496
a_pos -0.008375 0.098295 0.053730 0.029578
l_neg -0.013099 0.018281 0.013786 0.014949
l_sep 0.002249 0.003910 0.000204 0.000146
l_pos 0.016978 0.014764 0.004954 0.002045
Rp_neg -0.076692 0.043962 0.106810 0.068478
Rp_pos 0.000340 0.001117 0.000046 0.000031
epsilon_f_neg 0.000012 0.000354 0.000004 0.000003
epsilon_f_pos 0.000758 0.002881 0.000127 0.000056
epsilon_neg 0.004718 0.104759 0.183098 0.065342
epsilon_sep 0.000000 0.000000 0.000000 0.000000
epsilon_pos -0.076161 0.073871 0.083811 0.051626
Cdl_neg -0.001153 0.001156 0.000083 0.000069
Cdl_pos -0.000028 0.000040 0.000000 0.000000
cs_max_neg 0.000000 0.000000 0.000000 0.000000
cs_max_pos 0.000000 0.000000 0.000000 0.000000
c0 0.000409 0.007800 0.004487 0.004710
D -0.000397 0.002363 0.000138 0.000071
Ds_neg 0.001228 0.086069 0.313184 0.156976
Ds_pos 0.108584 0.116381 0.097485 0.104568
d2Udcp2_pos_sgn 0.000000 0.000000 0.000000 0.000000
d2Udcp2_neg_sgn 0.000000 0.000000 0.000000 0.000000
d3Udcp3_pos_sgn 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_sgn 0.000000 0.000000 0.000000 0.000000
dUdcp_pos_mag -0.005321 0.032222 0.011717 0.008140
dUdcp_neg_mag 0.043407 0.074427 0.129510 0.068068
d2Udcp2_pos_mag 0.000000 0.000000 0.000000 0.000000
d2Udcp2_neg_mag 0.000000 0.000000 0.000000 0.000000
d3Udcp3_pos_mag 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_mag 0.000000 0.000000 0.000000 0.000000
i0_neg -0.014918 0.020285 0.015290 0.008975
i0_pos 0.020703 0.145397 0.081005 0.036288
SOC_neg 0.000000 0.000000 0.000000 0.000000
SOC_pos 0.000000 0.000000 0.000000 0.000000
tP 0.003019 0.012903 0.009436 0.007382
aa_neg 0.000000 0.000000 0.000000 0.000000
aa_pos 0.000000 0.000000 0.000000 0.000000
kappa_0 0.291912 0.354023 0.960905 0.788727
sigma_neg -0.000080 0.003042 0.000361 0.000192
sigma_pos 0.012228 0.024468 0.008216 0.004104

Parameter_1 Parameter_2 S2 S2_conf
a_neg a_pos -0.155972 0.198255
a_neg l_neg -0.164000 0.203833
a_neg l_sep -0.156824 0.205539
a_neg l_pos -0.157929 0.207763
a_neg Rp_neg -0.179890 0.196897
a_neg Rp_pos -0.155714 0.205112
a_neg epsilon_f_neg -0.155633 0.205068
a_neg epsilon_f_pos -0.152974 0.204746
a_neg epsilon_neg -0.213757 0.212819
a_neg epsilon_sep -0.155554 0.205049
a_neg epsilon_pos -0.139546 0.194395
a_neg Cdl_neg -0.155925 0.204898
a_neg Cdl_pos -0.155549 0.205048
a_neg cs_max_neg -0.155554 0.205049
a_neg cs_max_pos -0.155554 0.205049
a_neg c0 -0.155043 0.204981
a_neg D -0.155584 0.205231
a_neg Ds_neg -0.171814 0.196514
a_neg Ds_pos -0.128038 0.210771
a_neg d2Udcp2_pos_sgn -0.155554 0.205049
a_neg d2Udcp2_neg_sgn -0.155554 0.205049
a_neg d3Udcp3_pos_sgn -0.155554 0.205049
a_neg d3Udcp3_neg_sgn -0.155554 0.205049
a_neg dUdcp_pos_mag -0.155400 0.203337
a_neg dUdcp_neg_mag -0.209753 0.208664
a_neg d2Udcp2_pos_mag -0.155554 0.205049
a_neg d2Udcp2_neg_mag -0.155554 0.205049
a_neg d3Udcp3_pos_mag -0.155554 0.205049
a_neg d3Udcp3_neg_mag -0.155554 0.205049
a_neg i0_neg -0.162567 0.201948
a_neg i0_pos -0.095138 0.190917
a_neg SOC_neg -0.155554 0.205049
a_neg SOC_pos -0.155554 0.205049
a_neg tP -0.153707 0.205027
a_neg aa_neg -0.155554 0.205049
a_neg aa_pos -0.155554 0.205049
a_neg kappa_0 -0.020128 0.237124
a_neg sigma_neg -0.155451 0.205084
a_neg sigma_pos -0.162263 0.208838
a_pos l_neg 0.131742 0.217504
a_pos l_sep 0.130342 0.217499
a_pos l_pos 0.123558 0.218371
a_pos Rp_neg 0.144816 0.220568
a_pos Rp_pos 0.131858 0.218089
a_pos epsilon_f_neg 0.130811 0.217579
a_pos epsilon_f_pos 0.131415 0.218151
a_pos epsilon_neg 0.105861 0.210736
a_pos epsilon_sep 0.131105 0.217706
a_pos epsilon_pos 0.112089 0.187781
a_pos Cdl_neg 0.131426 0.217738
a_pos Cdl_pos 0.131090 0.217695
a_pos cs_max_neg 0.131105 0.217706
