Parameter S1 S1_conf ST ST_conf
a_neg 0.142713 0.127481 0.432093 0.188623
a_pos 0.002041 0.131005 0.075772 0.032584
l_neg -0.010723 0.014468 0.005990 0.005673
l_sep 0.003369 0.005565 0.000316 0.000207
l_pos 0.023203 0.018593 0.007651 0.002953
Rp_neg -0.074985 0.046103 0.073648 0.047783
Rp_pos 0.000785 0.001098 0.000044 0.000032
epsilon_f_neg 0.000028 0.000458 0.000006 0.000004
epsilon_f_pos 0.001115 0.003743 0.000197 0.000077
epsilon_neg 0.029042 0.123755 0.173539 0.054324
epsilon_sep 0.000000 0.000000 0.000000 0.000000
epsilon_pos -0.087007 0.094757 0.117214 0.062180
Cdl_neg -0.001255 0.001260 0.000062 0.000053
Cdl_pos -0.000027 0.000048 0.000000 0.000000
cs_max_neg 0.000000 0.000000 0.000000 0.000000
cs_max_pos 0.000000 0.000000 0.000000 0.000000
c0 -0.001454 0.007307 0.004148 0.004282
D 0.000777 0.001874 0.000078 0.000039
Ds_neg -0.001518 0.072911 0.199609 0.105064
Ds_pos 0.094723 0.090687 0.048483 0.043967
d2Udcp2_pos_sgn 0.000000 0.000000 0.000000 0.000000
d2Udcp2_neg_sgn 0.000000 0.000000 0.000000 0.000000
d3Udcp3_pos_sgn 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_sgn 0.000000 0.000000 0.000000 0.000000
dUdcp_pos_mag -0.010315 0.031468 0.010534 0.006645
dUdcp_neg_mag 0.011362 0.058267 0.062845 0.027109
d2Udcp2_pos_mag 0.000000 0.000000 0.000000 0.000000
d2Udcp2_neg_mag 0.000000 0.000000 0.000000 0.000000
d3Udcp3_pos_mag 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_mag 0.000000 0.000000 0.000000 0.000000
i0_neg -0.016709 0.030214 0.024197 0.013018
i0_pos 0.069184 0.182449 0.124884 0.042111
SOC_neg 0.000000 0.000000 0.000000 0.000000
SOC_pos 0.000000 0.000000 0.000000 0.000000
tP -0.001265 0.009157 0.006812 0.004901
aa_neg 0.000000 0.000000 0.000000 0.000000
aa_pos 0.000000 0.000000 0.000000 0.000000
kappa_0 0.363514 0.425880 1.151956 0.855315
sigma_neg 0.000740 0.003963 0.000560 0.000265
sigma_pos 0.013640 0.030924 0.012741 0.005595

Parameter_1 Parameter_2 S2 S2_conf
a_neg a_pos -0.198042 0.210569
a_neg l_neg -0.198777 0.216644
a_neg l_sep -0.192878 0.218236
a_neg l_pos -0.192860 0.219835
a_neg Rp_neg -0.214110 0.210460
a_neg Rp_pos -0.191005 0.217430
a_neg epsilon_f_neg -0.191033 0.217435
a_neg epsilon_f_pos -0.187300 0.217346
a_neg epsilon_neg -0.247099 0.233398
a_neg epsilon_sep -0.190950 0.217409
a_neg epsilon_pos -0.175383 0.204404
a_neg Cdl_neg -0.191347 0.217257
a_neg Cdl_pos -0.190950 0.217410
a_neg cs_max_neg -0.190950 0.217409
a_neg cs_max_pos -0.190950 0.217409
a_neg c0 -0.189994 0.217211
a_neg D -0.191118 0.217692
a_neg Ds_neg -0.202548 0.210802
a_neg Ds_pos -0.165671 0.220611
a_neg d2Udcp2_pos_sgn -0.190950 0.217409
a_neg d2Udcp2_neg_sgn -0.190950 0.217409
a_neg d3Udcp3_pos_sgn -0.190950 0.217409
a_neg d3Udcp3_neg_sgn -0.190950 0.217409
a_neg dUdcp_pos_mag -0.190964 0.215533
a_neg dUdcp_neg_mag -0.233459 0.217498
a_neg d2Udcp2_pos_mag -0.190950 0.217409
a_neg d2Udcp2_neg_mag -0.190950 0.217409
a_neg d3Udcp3_pos_mag -0.190950 0.217409
a_neg d3Udcp3_neg_mag -0.190950 0.217409
a_neg i0_neg -0.204168 0.212950
a_neg i0_pos -0.120228 0.203373
a_neg SOC_neg -0.190950 0.217409
a_neg SOC_pos -0.190950 0.217409
a_neg tP -0.188207 0.217318
a_neg aa_neg -0.190950 0.217409
a_neg aa_pos -0.190950 0.217409
a_neg kappa_0 -0.013712 0.247705
a_neg sigma_neg -0.190900 0.217380
a_neg sigma_pos -0.197840 0.220144
a_pos l_neg 0.146450 0.277567
a_pos l_sep 0.144530 0.277719
a_pos l_pos 0.134650 0.279310
a_pos Rp_neg 0.170597 0.285427
a_pos Rp_pos 0.146083 0.278185
a_pos epsilon_f_neg 0.145255 0.277786
a_pos epsilon_f_pos 0.146017 0.278540
a_pos epsilon_neg 0.117046 0.271672
a_pos epsilon_sep 0.145607 0.277946
a_pos epsilon_pos 0.122631 0.239979
a_pos Cdl_neg 0.145978 0.277973
a_pos Cdl_pos 0.145579 0.277925
a_pos cs_max_neg 0.145607 0.277946
a_pos cs_max_pos 0.145607 0.277946
a_pos c0 0.148112 0.279225
a_pos D 0.145779 0.278153
a_pos Ds_neg 0.128297 0.275029
a_pos Ds_pos 0.228714 0.350622
a_pos d2Udcp2_pos_sgn 0.145607 0.277946
a_pos d2Udcp2_neg_sgn 0.145607 0.277946
a_pos d3Udcp3_pos_sgn 0.145607 0.277946
a_pos d3Udcp3_neg_sgn 0.145607 0.277946
a_pos dUdcp_pos_mag 0.126863 0.260712
a_pos dUdcp_neg_mag 0.128411 0.271368
a_pos d2Udcp2_pos_mag 0.145607 0.277946
a_pos d2Udcp2_neg_mag 0.145607 0.277946
a_pos d3Udcp3_pos_mag 0.145607 0.277946
a_pos d3Udcp3_neg_mag 0.145607 0.277946
a_pos i0_neg 0.144993 0.272090
a_pos i0_pos 0.066103 0.369246
a_pos SOC_neg 0.145607 0.277946
a_pos SOC_pos 0.145607 0.277946
a_pos tP 0.143192 0.277922
a_pos aa_neg 0.145607 0.277946
a_pos aa_pos 0.145607 0.277946
a_pos kappa_0 0.586678 0.627033
a_pos sigma_neg 0.143810 0.278669
a_pos sigma_pos 0.153371 0.279020
l_neg l_sep 0.008973 0.016113
l_neg l_pos 0.009049 0.016206
l_neg Rp_neg 0.007752 0.015521
l_neg Rp_pos 0.008999 0.016115
l_neg epsilon_f_neg 0.009004 0.016115
l_neg epsilon_f_pos 0.008923 0.016120
l_neg epsilon_neg 0.008242 0.015220
l_neg epsilon_sep 0.009007 0.016115
l_neg epsilon_pos 0.008799 0.016118
l_neg Cdl_neg 0.008991 0.016111
l_neg Cdl_pos 0.009007 0.016115
l_neg cs_max_neg 0.009007 0.016115
l_neg cs_max_pos 0.009007 0.016115
l_neg c0 0.009056 0.016116
l_neg D 0.009014 0.016111
l_neg Ds_neg 0.007887 0.016240
l_neg Ds_pos 0.009317 0.016135
l_neg d2Udcp2_pos_sgn 0.009007 0.016115
l_neg d2Udcp2_neg_sgn 0.009007 0.016115
l_neg d3Udcp3_pos_sgn 0.009007 0.016115
l_neg d3Udcp3_neg_sgn 0.009007 0.016115
l_neg dUdcp_pos_mag 0.008846 0.016113
l_neg dUdcp_neg_mag 0.007362 0.015619
l_neg d2Udcp2_pos_mag 0.009007 0.016115
l_neg d2Udcp2_neg_mag 0.009007 0.016115
l_neg d3Udcp3_pos_mag 0.009007 0.016115
l_neg d3Udcp3_neg_mag 0.009007 0.016115
l_neg i0_neg 0.009884 0.016176
l_neg i0_pos 0.009050 0.016275
l_neg SOC_neg 0.009007 0.016115
l_neg SOC_pos 0.009007 0.016115
l_neg tP 0.009002 0.016121
l_neg aa_neg 0.009007 0.016115
l_neg aa_pos 0.009007 0.016115
l_neg kappa_0 0.010460 0.016095
l_neg sigma_neg 0.009049 0.016126
l_neg sigma_pos 0.008537 0.016093
l_sep l_pos -0.008147 0.009352
l_sep Rp_neg -0.005942 0.008340
l_sep Rp_pos -0.008151 0.009200
l_sep epsilon_f_neg -0.008115 0.009179
l_sep epsilon_f_pos -0.008164 0.009180
l_sep epsilon_neg -0.006033 0.008328
l_sep epsilon_sep -0.008105 0.009175
l_sep epsilon_pos -0.007602 0.008919
l_sep Cdl_neg -0.008099 0.009185
l_sep Cdl_pos -0.008105 0.009175
l_sep cs_max_neg -0.008105 0.009175
l_sep cs_max_pos -0.008105 0.009175
l_sep c0 -0.007954 0.009173
l_sep D -0.008130 0.009179
l_sep Ds_neg -0.007519 0.009091
l_sep Ds_pos -0.007001 0.009132
l_sep d2Udcp2_pos_sgn -0.008105 0.009175
l_sep d2Udcp2_neg_sgn -0.008105 0.009175
l_sep d3Udcp3_pos_sgn -0.008105 0.009175
l_sep d3Udcp3_neg_sgn -0.008105 0.009175
l_sep dUdcp_pos_mag -0.007555 0.009032
l_sep dUdcp_neg_mag -0.005977 0.008015
l_sep d2Udcp2_pos_mag -0.008105 0.009175
l_sep d2Udcp2_neg_mag -0.008105 0.009175
l_sep d3Udcp3_pos_mag -0.008105 0.009175
l_sep d3Udcp3_neg_mag -0.008105 0.009175
l_sep i0_neg -0.008126 0.009328
l_sep i0_pos -0.007865 0.008788
l_sep SOC_neg -0.008105 0.009175
l_sep SOC_pos -0.008105 0.009175
l_sep tP -0.008281 0.009173
l_sep aa_neg -0.008105 0.009175
l_sep aa_pos -0.008105 0.009175
l_sep kappa_0 -0.014051 0.017697
l_sep sigma_neg -0.008062 0.009131
l_sep sigma_pos -0.008284 0.009251
l_pos Rp_neg -0.028523 0.042006
l_pos Rp_pos -0.033995 0.046160
l_pos epsilon_f_neg -0.033997 0.046149
l_pos epsilon_f_pos -0.033753 0.046148
l_pos epsilon_neg -0.018337 0.040552
l_pos epsilon_sep -0.033987 0.046150
l_pos epsilon_pos -0.032071 0.045195
l_pos Cdl_neg -0.034105 0.046085
l_pos Cdl_pos -0.033986 0.046151
l_pos cs_max_neg -0.033987 0.046150
l_pos cs_max_pos -0.033987 0.046150
l_pos c0 -0.032715 0.046046
l_pos D -0.033901 0.046142
l_pos Ds_neg -0.035800 0.044702
l_pos Ds_pos -0.031405 0.046367
l_pos d2Udcp2_pos_sgn -0.033987 0.046150
l_pos d2Udcp2_neg_sgn -0.033987 0.046150
l_pos d3Udcp3_pos_sgn -0.033987 0.046150
l_pos d3Udcp3_neg_sgn -0.033987 0.046150
l_pos dUdcp_pos_mag -0.034456 0.046049
l_pos dUdcp_neg_mag -0.027211 0.043633
l_pos d2Udcp2_pos_mag -0.033987 0.046150
l_pos d2Udcp2_neg_mag -0.033987 0.046150
l_pos d3Udcp3_pos_mag -0.033987 0.046150
l_pos d3Udcp3_neg_mag -0.033987 0.046150
l_pos i0_neg -0.026109 0.046810
l_pos i0_pos -0.033966 0.043167
l_pos SOC_neg -0.033987 0.046150
