Parameter S1 S1_conf ST ST_conf
a_neg 0.177680 0.143678 0.369167 0.169534
a_pos 0.014915 0.155927 0.094676 0.035003
l_neg -0.001421 0.007570 0.001147 0.000848
l_sep 0.004397 0.007193 0.000404 0.000261
l_pos 0.027673 0.022222 0.010037 0.003647
Rp_neg -0.055590 0.041652 0.037336 0.028148
Rp_pos 0.000942 0.000942 0.000029 0.000025
epsilon_f_neg 0.000060 0.000515 0.000008 0.000005
epsilon_f_pos 0.001409 0.004849 0.000260 0.000098
epsilon_neg 0.056868 0.130185 0.158247 0.053096
epsilon_sep 0.000000 0.000000 0.000000 0.000000
epsilon_pos -0.087921 0.114249 0.144375 0.073832
Cdl_neg -0.001192 0.001304 0.000042 0.000040
Cdl_pos -0.000007 0.000066 0.000000 0.000000
cs_max_neg 0.000000 0.000000 0.000000 0.000000
cs_max_pos 0.000000 0.000000 0.000000 0.000000
c0 -0.002960 0.005723 0.002808 0.002796
D 0.001139 0.001574 0.000036 0.000017
Ds_neg 0.003365 0.057997 0.111636 0.079270
Ds_pos 0.061459 0.054985 0.017203 0.013393
d2Udcp2_pos_sgn 0.000000 0.000000 0.000000 0.000000
d2Udcp2_neg_sgn 0.000000 0.000000 0.000000 0.000000
d3Udcp3_pos_sgn 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_sgn 0.000000 0.000000 0.000000 0.000000
dUdcp_pos_mag -0.013042 0.026288 0.007850 0.004954
dUdcp_neg_mag -0.002636 0.041108 0.024455 0.011709
d2Udcp2_pos_mag 0.000000 0.000000 0.000000 0.000000
d2Udcp2_neg_mag 0.000000 0.000000 0.000000 0.000000
d3Udcp3_pos_mag 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_mag 0.000000 0.000000 0.000000 0.000000
i0_neg -0.016184 0.040355 0.032972 0.017390
i0_pos 0.123618 0.218959 0.164430 0.042542
SOC_neg 0.000000 0.000000 0.000000 0.000000
SOC_pos 0.000000 0.000000 0.000000 0.000000
tP -0.003840 0.006850 0.004132 0.002950
aa_neg 0.000000 0.000000 0.000000 0.000000
aa_pos 0.000000 0.000000 0.000000 0.000000
kappa_0 0.395875 0.486187 1.258306 0.927834
sigma_neg 0.001823 0.004600 0.000736 0.000355
sigma_pos 0.013203 0.037285 0.016757 0.007045

Parameter_1 Parameter_2 S2 S2_conf
a_neg a_pos -0.227454 0.244309
a_neg l_neg -0.217706 0.248730
a_neg l_sep -0.215629 0.249928
a_neg l_pos -0.214010 0.251593
a_neg Rp_neg -0.230114 0.243187
a_neg Rp_pos -0.213037 0.248648
a_neg epsilon_f_neg -0.213202 0.248650
a_neg epsilon_f_pos -0.208638 0.248549
a_neg epsilon_neg -0.257167 0.270789
a_neg epsilon_sep -0.213128 0.248619
a_neg epsilon_pos -0.199643 0.233956
a_neg Cdl_neg -0.213501 0.248485
a_neg Cdl_pos -0.213144 0.248625
a_neg cs_max_neg -0.213128 0.248619
a_neg cs_max_pos -0.213128 0.248619
a_neg c0 -0.211981 0.248308
a_neg D -0.213437 0.248920
a_neg Ds_neg -0.217464 0.244697
a_neg Ds_pos -0.195735 0.250447
a_neg d2Udcp2_pos_sgn -0.213128 0.248619
a_neg d2Udcp2_neg_sgn -0.213128 0.248619
a_neg d3Udcp3_pos_sgn -0.213128 0.248619
a_neg d3Udcp3_neg_sgn -0.213128 0.248619
a_neg dUdcp_pos_mag -0.213068 0.246616
a_neg dUdcp_neg_mag -0.241192 0.246601
a_neg d2Udcp2_pos_mag -0.213128 0.248619
a_neg d2Udcp2_neg_mag -0.213128 0.248619
a_neg d3Udcp3_pos_mag -0.213128 0.248619
a_neg d3Udcp3_neg_mag -0.213128 0.248619
a_neg i0_neg -0.232379 0.243550
a_neg i0_pos -0.139686 0.238140
a_neg SOC_neg -0.213128 0.248619
a_neg SOC_pos -0.213128 0.248619
a_neg tP -0.210364 0.248275
a_neg aa_neg -0.213128 0.248619
a_neg aa_pos -0.213128 0.248619
a_neg kappa_0 -0.010096 0.284200
a_neg sigma_neg -0.213133 0.248668
a_neg sigma_pos -0.219443 0.251000
a_pos l_neg 0.147203 0.325602
a_pos l_sep 0.145971 0.325582
a_pos l_pos 0.133548 0.327889
a_pos Rp_neg 0.176941 0.336233
a_pos Rp_pos 0.147456 0.325998
a_pos epsilon_f_neg 0.146916 0.325694
a_pos epsilon_f_pos 0.147756 0.326604
a_pos epsilon_neg 0.117796 0.320863
a_pos epsilon_sep 0.147278 0.325883
a_pos epsilon_pos 0.123136 0.286299
a_pos Cdl_neg 0.147642 0.325936
a_pos Cdl_pos 0.147232 0.325849
a_pos cs_max_neg 0.147278 0.325883
a_pos cs_max_pos 0.147278 0.325883
