Parameter S1 S1_conf ST ST_conf
a_neg 0.195912 0.146644 0.307955 0.141180
a_pos 0.026260 0.178016 0.105959 0.038588
l_neg 0.004353 0.004691 0.000320 0.000147
l_sep 0.004903 0.007411 0.000451 0.000269
l_pos 0.029653 0.024532 0.011510 0.004490
Rp_neg -0.032070 0.028393 0.013052 0.011219
Rp_pos 0.000679 0.000678 0.000016 0.000013
epsilon_f_neg 0.000090 0.000623 0.000009 0.000007
epsilon_f_pos 0.001608 0.005107 0.000299 0.000117
epsilon_neg 0.076858 0.146371 0.145376 0.054176
epsilon_sep 0.000000 0.000000 0.000000 0.000000
epsilon_pos -0.081167 0.120899 0.159270 0.082772
Cdl_neg -0.001038 0.001254 0.000027 0.000030
Cdl_pos 0.000060 0.000137 0.000001 0.000001
cs_max_neg 0.000000 0.000000 0.000000 0.000000
cs_max_pos 0.000000 0.000000 0.000000 0.000000
c0 -0.003160 0.004241 0.001342 0.001442
D 0.000899 0.001124 0.000011 0.000005
Ds_neg 0.010328 0.040729 0.059847 0.055937
Ds_pos 0.025346 0.025346 0.004169 0.002677
d2Udcp2_pos_sgn 0.000000 0.000000 0.000000 0.000000
d2Udcp2_neg_sgn 0.000000 0.000000 0.000000 0.000000
d3Udcp3_pos_sgn 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_sgn 0.000000 0.000000 0.000000 0.000000
dUdcp_pos_mag -0.012590 0.020287 0.004865 0.003809
dUdcp_neg_mag -0.002234 0.023438 0.007844 0.003978
d2Udcp2_pos_mag 0.000000 0.000000 0.000000 0.000000
d2Udcp2_neg_mag 0.000000 0.000000 0.000000 0.000000
d3Udcp3_pos_mag 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_mag 0.000000 0.000000 0.000000 0.000000
i0_neg -0.013763 0.046075 0.039975 0.019692
i0_pos 0.166679 0.242981 0.189655 0.040908
SOC_neg 0.000000 0.000000 0.000000 0.000000
SOC_pos 0.000000 0.000000 0.000000 0.000000
tP -0.004192 0.005222 0.002145 0.001748
aa_neg 0.000000 0.000000 0.000000 0.000000
aa_pos 0.000000 0.000000 0.000000 0.000000
kappa_0 0.392364 0.540634 1.278930 0.995793
sigma_neg 0.002730 0.005458 0.000846 0.000436
sigma_pos 0.011659 0.041259 0.019246 0.008591

Parameter_1 Parameter_2 S2 S2_conf
a_neg a_pos -0.234685 0.248706
a_neg l_neg -0.217054 0.253976
a_neg l_sep -0.217622 0.254890
a_neg l_pos -0.214575 0.255538
a_neg Rp_neg -0.224458 0.250245
a_neg Rp_pos -0.214673 0.253386
a_neg epsilon_f_neg -0.214879 0.253375
a_neg epsilon_f_pos -0.209896 0.253343
a_neg epsilon_neg -0.243850 0.277932
a_neg epsilon_sep -0.214818 0.253353
a_neg epsilon_pos -0.204168 0.238118
a_neg Cdl_neg -0.215141 0.253234
a_neg Cdl_pos -0.214882 0.253371
a_neg cs_max_neg -0.214818 0.253353
a_neg cs_max_pos -0.214818 0.253353
a_neg c0 -0.213763 0.253022
a_neg D -0.215195 0.253672
a_neg Ds_neg -0.213660 0.251460
a_neg Ds_pos -0.206278 0.253510
a_neg d2Udcp2_pos_sgn -0.214818 0.253353
a_neg d2Udcp2_neg_sgn -0.214818 0.253353
a_neg d3Udcp3_pos_sgn -0.214818 0.253353
a_neg d3Udcp3_neg_sgn -0.214818 0.253353
a_neg dUdcp_pos_mag -0.214720 0.251424
a_neg dUdcp_neg_mag -0.230508 0.252023
a_neg d2Udcp2_pos_mag -0.214818 0.253353
a_neg d2Udcp2_neg_mag -0.214818 0.253353
a_neg d3Udcp3_pos_mag -0.214818 0.253353
a_neg d3Udcp3_neg_mag -0.214818 0.253353
a_neg i0_neg -0.237986 0.248486
a_neg i0_pos -0.144623 0.246450
a_neg SOC_neg -0.214818 0.253353
a_neg SOC_pos -0.214818 0.253353
a_neg tP -0.212623 0.252933
a_neg aa_neg -0.214818 0.253353
a_neg aa_pos -0.214818 0.253353
a_neg kappa_0 -0.003857 0.293780
a_neg sigma_neg -0.214855 0.253387
a_neg sigma_pos -0.220191 0.254773
a_pos l_neg 0.140746 0.365816
a_pos l_sep 0.140040 0.365885
a_pos l_pos 0.126170 0.368722
a_pos Rp_neg 0.164032 0.372668
a_pos Rp_pos 0.141418 0.366201
a_pos epsilon_f_neg 0.141097 0.365972
a_pos epsilon_f_pos 0.141946 0.366932
a_pos epsilon_neg 0.111544 0.364379
a_pos epsilon_sep 0.141439 0.366190
a_pos epsilon_pos 0.118126 0.319939
a_pos Cdl_neg 0.141776 0.366239
a_pos Cdl_pos 0.141365 0.366131
a_pos cs_max_neg 0.141439 0.366190
a_pos cs_max_pos 0.141439 0.366190
