Parameter S1 S1_conf ST ST_conf
a_neg 0.200950 0.149423 0.273267 0.133416
a_pos 0.033771 0.181995 0.111017 0.040282
l_neg 0.005503 0.005058 0.000305 0.000147
l_sep 0.004950 0.008550 0.000472 0.000308
l_pos 0.030173 0.025707 0.012213 0.005364
Rp_neg -0.014409 0.015331 0.002744 0.002666
Rp_pos 0.000137 0.000450 0.000020 0.000018
epsilon_f_neg 0.000113 0.000641 0.000009 0.000007
epsilon_f_pos 0.001749 0.005489 0.000317 0.000128
epsilon_neg 0.087467 0.148666 0.137857 0.054901
epsilon_sep 0.000000 0.000000 0.000000 0.000000
epsilon_pos -0.071945 0.122163 0.164901 0.085958
Cdl_neg -0.000926 0.001202 0.000020 0.000024
Cdl_pos 0.000315 0.000463 0.000002 0.000001
cs_max_neg 0.000000 0.000000 0.000000 0.000000
cs_max_pos 0.000000 0.000000 0.000000 0.000000
c0 -0.002401 0.002857 0.000455 0.000518
D 0.000623 0.000702 0.000003 0.000001
Ds_neg 0.014433 0.028286 0.030689 0.034070
Ds_pos 0.002424 0.007343 0.001048 0.000794
d2Udcp2_pos_sgn 0.000000 0.000000 0.000000 0.000000
d2Udcp2_neg_sgn 0.000000 0.000000 0.000000 0.000000
d3Udcp3_pos_sgn 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_sgn 0.000000 0.000000 0.000000 0.000000
dUdcp_pos_mag -0.010762 0.013584 0.002466 0.001818
dUdcp_neg_mag 0.000025 0.012230 0.001900 0.001103
d2Udcp2_pos_mag 0.000000 0.000000 0.000000 0.000000
d2Udcp2_neg_mag 0.000000 0.000000 0.000000 0.000000
d3Udcp3_pos_mag 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_mag 0.000000 0.000000 0.000000 0.000000
i0_neg -0.011118 0.054061 0.045432 0.023679
i0_pos 0.192257 0.246990 0.201815 0.042627
SOC_neg 0.000000 0.000000 0.000000 0.000000
SOC_pos 0.000000 0.000000 0.000000 0.000000
tP -0.003349 0.003523 0.000972 0.000822
aa_neg 0.000000 0.000000 0.000000 0.000000
aa_pos 0.000000 0.000000 0.000000 0.000000
kappa_0 0.374581 0.558745 1.256417 0.999124
sigma_neg 0.003317 0.005337 0.000899 0.000484
sigma_pos 0.010165 0.043711 0.020440 0.009444

Parameter_1 Parameter_2 S2 S2_conf
a_neg a_pos -0.229086 0.262729
a_neg l_neg -0.207153 0.267523
a_neg l_sep -0.208566 0.268651
a_neg l_pos -0.204608 0.269629
a_neg Rp_neg -0.209804 0.265278
a_neg Rp_pos -0.205523 0.266811
a_neg epsilon_f_neg -0.205738 0.266797
a_neg epsilon_f_pos -0.200601 0.266866
a_neg epsilon_neg -0.223206 0.293446
a_neg epsilon_sep -0.205688 0.266789
a_neg epsilon_pos -0.197838 0.251084
a_neg Cdl_neg -0.205968 0.266688
a_neg Cdl_pos -0.205914 0.266866
a_neg cs_max_neg -0.205688 0.266789
a_neg cs_max_pos -0.205688 0.266789
a_neg c0 -0.204868 0.266526
a_neg D -0.206031 0.267011
a_neg Ds_neg -0.202123 0.266393
a_neg Ds_pos -0.202854 0.266166
a_neg d2Udcp2_pos_sgn -0.205688 0.266789
a_neg d2Udcp2_neg_sgn -0.205688 0.266789
a_neg d3Udcp3_pos_sgn -0.205688 0.266789
a_neg d3Udcp3_neg_sgn -0.205688 0.266789
a_neg dUdcp_pos_mag -0.205778 0.265178
a_neg dUdcp_neg_mag -0.213039 0.266112
a_neg d2Udcp2_pos_mag -0.205688 0.266789
a_neg d2Udcp2_neg_mag -0.205688 0.266789
a_neg d3Udcp3_pos_mag -0.205688 0.266789
a_neg d3Udcp3_neg_mag -0.205688 0.266789
a_neg i0_neg -0.230907 0.260230
a_neg i0_pos -0.140034 0.262108
a_neg SOC_neg -0.205688 0.266789
a_neg SOC_pos -0.205688 0.266789
a_neg tP -0.204150 0.266468
a_neg aa_neg -0.205688 0.266789
a_neg aa_pos -0.205688 0.266789
a_neg kappa_0 0.004270 0.314820
a_neg sigma_neg -0.205740 0.266882
a_neg sigma_pos -0.210153 0.268735
a_pos l_neg 0.134978 0.389902
a_pos l_sep 0.134281 0.389875
a_pos l_pos 0.119797 0.392224
a_pos Rp_neg 0.146314 0.394896
a_pos Rp_pos 0.135569 0.390264
a_pos epsilon_f_neg 0.135389 0.390072
a_pos epsilon_f_pos 0.136215 0.391302
a_pos epsilon_neg 0.105195 0.383040
a_pos epsilon_sep 0.135704 0.390322
a_pos epsilon_pos 0.113438 0.344875
a_pos Cdl_neg 0.136023 0.390392
a_pos Cdl_pos 0.135588 0.390224
a_pos cs_max_neg 0.135704 0.390322
a_pos cs_max_pos 0.135704 0.390322
a_pos c0 0.135937 0.390540
a_pos D 0.135792 0.390488
a_pos Ds_neg 0.139712 0.391451
a_pos Ds_pos 0.137299 0.392284
a_pos d2Udcp2_pos_sgn 0.135704 0.390322
a_pos d2Udcp2_neg_sgn 0.135704 0.390322
a_pos d3Udcp3_pos_sgn 0.135704 0.390322
a_pos d3Udcp3_neg_sgn 0.135704 0.390322
a_pos dUdcp_pos_mag 0.125029 0.380800
a_pos dUdcp_neg_mag 0.135020 0.389806
a_pos d2Udcp2_pos_mag 0.135704 0.390322
a_pos d2Udcp2_neg_mag 0.135704 0.390322
a_pos d3Udcp3_pos_mag 0.135704 0.390322
a_pos d3Udcp3_neg_mag 0.135704 0.390322
a_pos i0_neg 0.140944 0.382253
a_pos i0_pos 0.012089 0.537461
a_pos SOC_neg 0.135704 0.390322
a_pos SOC_pos 0.135704 0.390322
a_pos tP 0.134536 0.390354
a_pos aa_neg 0.135704 0.390322
a_pos aa_pos 0.135704 0.390322
a_pos kappa_0 0.694770 0.861129
a_pos sigma_neg 0.134214 0.391559
a_pos sigma_pos 0.148410 0.393169
l_neg l_sep -0.004398 0.006848
l_neg l_pos -0.004181 0.006886
l_neg Rp_neg -0.004435 0.006710
l_neg Rp_pos -0.004281 0.006796
l_neg epsilon_f_neg -0.004290 0.006795
l_neg epsilon_f_pos -0.004290 0.006796
l_neg epsilon_neg -0.005978 0.006843
l_neg epsilon_sep -0.004285 0.006795
l_neg epsilon_pos -0.003981 0.006421
l_neg Cdl_neg -0.004298 0.006793
l_neg Cdl_pos -0.004287 0.006796
l_neg cs_max_neg -0.004285 0.006795
l_neg cs_max_pos -0.004285 0.006795
l_neg c0 -0.004283 0.006794
l_neg D -0.004287 0.006795
l_neg Ds_neg -0.004160 0.006777
l_neg Ds_pos -0.004299 0.006800
l_neg d2Udcp2_pos_sgn -0.004285 0.006795
