Parameter S1 S1_conf ST ST_conf
a_neg 0.204883 0.163352 0.278310 0.136198
a_pos 0.014262 0.180320 0.123496 0.040142
l_neg 0.006441 0.004999 0.000366 0.000162
l_sep 0.005659 0.009923 0.000562 0.000347
l_pos 0.030997 0.027983 0.014473 0.005625
Rp_neg 0.001131 0.001453 0.000029 0.000030
Rp_pos 0.000984 0.001783 0.000018 0.000012
epsilon_f_neg 0.000170 0.000639 0.000011 0.000008
epsilon_f_pos 0.002170 0.006102 0.000377 0.000148
epsilon_neg 0.096758 0.145941 0.149776 0.052607
epsilon_sep 0.000000 0.000000 0.000000 0.000000
epsilon_pos -0.046517 0.133009 0.180017 0.092021
Cdl_neg -0.003898 0.003203 0.000207 0.000102
Cdl_pos 0.018075 0.023329 0.002288 0.001973
cs_max_neg 0.000000 0.000000 0.000000 0.000000
cs_max_pos 0.000000 0.000000 0.000000 0.000000
c0 -0.000501 0.000450 0.000005 0.000005
D 0.000222 0.000172 0.000000 0.000000
Ds_neg 0.006961 0.007259 0.001666 0.001938
Ds_pos -0.003379 0.003059 0.000052 0.000034
d2Udcp2_pos_sgn 0.000000 0.000000 0.000000 0.000000
d2Udcp2_neg_sgn 0.000000 0.000000 0.000000 0.000000
d3Udcp3_pos_sgn 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_sgn 0.000000 0.000000 0.000000 0.000000
dUdcp_pos_mag -0.002959 0.002226 0.000042 0.000024
dUdcp_neg_mag 0.000376 0.000886 0.000019 0.000017
d2Udcp2_pos_mag 0.000000 0.000000 0.000000 0.000000
d2Udcp2_neg_mag 0.000000 0.000000 0.000000 0.000000
d3Udcp3_pos_mag 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_mag 0.000000 0.000000 0.000000 0.000000
i0_neg -0.023250 0.061709 0.052106 0.022330
i0_pos 0.141076 0.201261 0.189184 0.043527
SOC_neg 0.000000 0.000000 0.000000 0.000000
SOC_pos 0.000000 0.000000 0.000000 0.000000
tP -0.000922 0.000741 0.000044 0.000047
aa_neg 0.000000 0.000000 0.000000 0.000000
aa_pos 0.000000 0.000000 0.000000 0.000000
kappa_0 0.394978 0.568825 1.293790 0.979212
sigma_neg 0.003863 0.005643 0.001067 0.000524
sigma_pos 0.012456 0.047648 0.024266 0.010185

Parameter_1 Parameter_2 S2 S2_conf
a_neg a_pos -0.211269 0.278184
a_neg l_neg -0.182397 0.278855
a_neg l_sep -0.184490 0.280333
a_neg l_pos -0.178684 0.281257
a_neg Rp_neg -0.180846 0.278332
a_neg Rp_pos -0.180278 0.278142
a_neg epsilon_f_neg -0.181217 0.278253
a_neg epsilon_f_pos -0.175428 0.278237
a_neg epsilon_neg -0.189922 0.302917
a_neg epsilon_sep -0.181167 0.278241
a_neg epsilon_pos -0.182305 0.265885
a_neg Cdl_neg -0.181353 0.278238
a_neg Cdl_pos -0.191939 0.282069
a_neg cs_max_neg -0.181167 0.278241
a_neg cs_max_pos -0.181167 0.278241
a_neg c0 -0.180899 0.278118
a_neg D -0.181303 0.278304
a_neg Ds_neg -0.179350 0.278463
a_neg Ds_pos -0.181084 0.277777
a_neg d2Udcp2_pos_sgn -0.181167 0.278241
a_neg d2Udcp2_neg_sgn -0.181167 0.278241
a_neg d3Udcp3_pos_sgn -0.181167 0.278241
a_neg d3Udcp3_neg_sgn -0.181167 0.278241
a_neg dUdcp_pos_mag -0.181057 0.277833
a_neg dUdcp_neg_mag -0.181030 0.278282
a_neg d2Udcp2_pos_mag -0.181167 0.278241
a_neg d2Udcp2_neg_mag -0.181167 0.278241
a_neg d3Udcp3_pos_mag -0.181167 0.278241
a_neg d3Udcp3_neg_mag -0.181167 0.278241
a_neg i0_neg -0.212062 0.271751
a_neg i0_pos -0.122747 0.277626
a_neg SOC_neg -0.181167 0.278241
a_neg SOC_pos -0.181167 0.278241
a_neg tP -0.180722 0.278083
a_neg aa_neg -0.181167 0.278241
a_neg aa_pos -0.181167 0.278241
a_neg kappa_0 0.043076 0.322050
a_neg sigma_neg -0.181229 0.278348
a_neg sigma_pos -0.185947 0.280025
a_pos l_neg 0.186226 0.384522
a_pos l_sep 0.185331 0.384534
a_pos l_pos 0.171208 0.386205
a_pos Rp_neg 0.186526 0.384911
a_pos Rp_pos 0.188587 0.386359
a_pos epsilon_f_neg 0.186612 0.384718
a_pos epsilon_f_pos 0.187528 0.386014
a_pos epsilon_neg 0.157690 0.380039
a_pos epsilon_sep 0.186926 0.384978
a_pos epsilon_pos 0.163860 0.340505
a_pos Cdl_neg 0.187913 0.384934
a_pos Cdl_pos 0.185810 0.384116
a_pos cs_max_neg 0.186926 0.384978
a_pos cs_max_pos 0.186926 0.384978
a_pos c0 0.186946 0.385010
a_pos D 0.186904 0.384998
a_pos Ds_neg 0.188326 0.385118
a_pos Ds_pos 0.183927 0.382734
a_pos d2Udcp2_pos_sgn 0.186926 0.384978
a_pos d2Udcp2_neg_sgn 0.186926 0.384978
a_pos d3Udcp3_pos_sgn 0.186926 0.384978
a_pos d3Udcp3_neg_sgn 0.186926 0.384978
a_pos dUdcp_pos_mag 0.185106 0.383444
a_pos dUdcp_neg_mag 0.186968 0.384982
a_pos d2Udcp2_pos_mag 0.186926 0.384978
a_pos d2Udcp2_neg_mag 0.186926 0.384978
a_pos d3Udcp3_pos_mag 0.186926 0.384978
a_pos d3Udcp3_neg_mag 0.186926 0.384978
a_pos i0_neg 0.195666 0.375772
a_pos i0_pos 0.113286 0.489186
a_pos SOC_neg 0.186926 0.384978
a_pos SOC_pos 0.186926 0.384978
a_pos tP 0.186618 0.384982
a_pos aa_neg 0.186926 0.384978
a_pos aa_pos 0.186926 0.384978
a_pos kappa_0 0.784885 0.886281
a_pos sigma_neg 0.185901 0.386010
a_pos sigma_pos 0.201056 0.386437
l_neg l_sep -0.005219 0.007098
l_neg l_pos -0.004974 0.007156
l_neg Rp_neg -0.005071 0.007050
l_neg Rp_pos -0.005083 0.007047
l_neg epsilon_f_neg -0.005093 0.007046
l_neg epsilon_f_pos -0.005096 0.007045
l_neg epsilon_neg -0.006906 0.006998
l_neg epsilon_sep -0.005087 0.007046
l_neg epsilon_pos -0.004796 0.006724
l_neg Cdl_neg -0.005129 0.007044
l_neg Cdl_pos -0.005201 0.007113
l_neg cs_max_neg -0.005087 0.007046
l_neg cs_max_pos -0.005087 0.007046
l_neg c0 -0.005086 0.007045
l_neg D -0.005087 0.007046
l_neg Ds_neg -0.005063 0.007046
l_neg Ds_pos -0.005097 0.007043
l_neg d2Udcp2_pos_sgn -0.005087 0.007046
l_neg d2Udcp2_neg_sgn -0.005087 0.007046
l_neg d3Udcp3_pos_sgn -0.005087 0.007046
l_neg d3Udcp3_neg_sgn -0.005087 0.007046
l_neg dUdcp_pos_mag -0.005096 0.007044
l_neg dUdcp_neg_mag -0.005082 0.007051
l_neg d2Udcp2_pos_mag -0.005087 0.007046
l_neg d2Udcp2_neg_mag -0.005087 0.007046
l_neg d3Udcp3_pos_mag -0.005087 0.007046
l_neg d3Udcp3_neg_mag -0.005087 0.007046
l_neg i0_neg -0.004119 0.007536
l_neg i0_pos -0.003423 0.006732
l_neg SOC_neg -0.005087 0.007046
l_neg SOC_pos -0.005087 0.007046
l_neg tP -0.005091 0.007046
l_neg aa_neg -0.005087 0.007046
l_neg aa_pos -0.005087 0.007046
l_neg kappa_0 -0.004366 0.007756
l_neg sigma_neg -0.005009 0.007073
l_neg sigma_pos -0.006258 0.007401
