Parameter S1 S1_conf ST ST_conf
a_neg 0.229651 0.203891 0.284836 0.132696
a_pos -0.035276 0.223120 0.163833 0.057370
l_neg 0.008414 0.007667 0.000742 0.000334
l_sep 0.008194 0.014603 0.001155 0.000729
l_pos 0.043441 0.047580 0.029783 0.011789
Rp_neg 0.000246 0.000318 0.000001 0.000001
Rp_pos -0.000478 0.000487 0.000001 0.000001
epsilon_f_neg -0.000103 0.000948 0.000023 0.000017
epsilon_f_pos 0.002748 0.008751 0.000780 0.000288
epsilon_neg 0.062698 0.162906 0.178574 0.068758
epsilon_sep 0.000000 0.000000 0.000000 0.000000
epsilon_pos 0.025379 0.143000 0.199667 0.099096
Cdl_neg -0.065195 0.047834 0.032727 0.014241
Cdl_pos 0.014812 0.087886 0.028947 0.021712
cs_max_neg 0.000000 0.000000 0.000000 0.000000
cs_max_pos 0.000000 0.000000 0.000000 0.000000
c0 -0.000196 0.000170 0.000001 0.000001
D 0.000014 0.000012 0.000000 0.000000
Ds_neg -0.000664 0.000826 0.000022 0.000025
Ds_pos -0.000064 0.000137 0.000001 0.000001
d2Udcp2_pos_sgn 0.000000 0.000000 0.000000 0.000000
d2Udcp2_neg_sgn 0.000000 0.000000 0.000000 0.000000
d3Udcp3_pos_sgn 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_sgn 0.000000 0.000000 0.000000 0.000000
dUdcp_pos_mag 0.000528 0.000672 0.000003 0.000002
dUdcp_neg_mag -0.000017 0.000360 0.000001 0.000001
d2Udcp2_pos_mag 0.000000 0.000000 0.000000 0.000000
d2Udcp2_neg_mag 0.000000 0.000000 0.000000 0.000000
d3Udcp3_pos_mag 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_mag 0.000000 0.000000 0.000000 0.000000
i0_neg -0.038497 0.048415 0.014548 0.008314
i0_pos -0.010057 0.093228 0.097737 0.038543
SOC_neg 0.000000 0.000000 0.000000 0.000000
SOC_pos 0.000000 0.000000 0.000000 0.000000
tP -0.000340 0.000225 0.000002 0.000002
aa_neg 0.000000 0.000000 0.000000 0.000000
aa_pos 0.000000 0.000000 0.000000 0.000000
kappa_0 0.517550 0.695348 1.394996 0.992214
sigma_neg 0.005480 0.009325 0.002214 0.001148
sigma_pos 0.044956 0.081127 0.050237 0.021549

Parameter_1 Parameter_2 S2 S2_conf
a_neg a_pos -0.228651 0.323234
a_neg l_neg -0.182511 0.317752
a_neg l_sep -0.183847 0.319180
a_neg l_pos -0.171596 0.321703
a_neg Rp_neg -0.180316 0.316765
a_neg Rp_pos -0.180406 0.316712
a_neg epsilon_f_neg -0.180482 0.316732
a_neg epsilon_f_pos -0.171680 0.316232
a_neg epsilon_neg -0.160225 0.356473
a_neg epsilon_sep -0.180337 0.316751
a_neg epsilon_pos -0.199942 0.310903
a_neg Cdl_neg -0.170521 0.316733
a_neg Cdl_pos -0.203454 0.326380
a_neg cs_max_neg -0.180337 0.316751
a_neg cs_max_pos -0.180337 0.316751
a_neg c0 -0.180254 0.316709
a_neg D -0.180347 0.316755
a_neg Ds_neg -0.180572 0.316764
a_neg Ds_pos -0.180348 0.316748
a_neg d2Udcp2_pos_sgn -0.180337 0.316751
a_neg d2Udcp2_neg_sgn -0.180337 0.316751
a_neg d3Udcp3_pos_sgn -0.180337 0.316751
a_neg d3Udcp3_neg_sgn -0.180337 0.316751
a_neg dUdcp_pos_mag -0.180200 0.316771
a_neg dUdcp_neg_mag -0.180151 0.316760
a_neg d2Udcp2_pos_mag -0.180337 0.316751
a_neg d2Udcp2_neg_mag -0.180337 0.316751
a_neg d3Udcp3_pos_mag -0.180337 0.316751
a_neg d3Udcp3_neg_mag -0.180337 0.316751
a_neg i0_neg -0.196698 0.314635
a_neg i0_pos -0.154884 0.318591
a_neg SOC_neg -0.180337 0.316751
a_neg SOC_pos -0.180337 0.316751
a_neg tP -0.180198 0.316697
a_neg aa_neg -0.180337 0.316751
a_neg aa_pos -0.180337 0.316751
a_neg kappa_0 0.060380 0.366041
a_neg sigma_neg -0.180198 0.316944
a_neg sigma_pos -0.190108 0.317413
a_pos l_neg 0.243068 0.400922
a_pos l_sep 0.241619 0.400989
a_pos l_pos 0.230567 0.401741
a_pos Rp_neg 0.244071 0.401528
a_pos Rp_pos 0.243839 0.401247
a_pos epsilon_f_neg 0.243771 0.401224
a_pos epsilon_f_pos 0.244400 0.402730
a_pos epsilon_neg 0.228463 0.398310
a_pos epsilon_sep 0.244220 0.401546
a_pos epsilon_pos 0.232885 0.360362
a_pos Cdl_neg 0.259520 0.402108
a_pos Cdl_pos 0.223412 0.385942
a_pos cs_max_neg 0.244220 0.401546
a_pos cs_max_pos 0.244220 0.401546
a_pos c0 0.244230 0.401554
a_pos D 0.244218 0.401546
a_pos Ds_neg 0.244173 0.401541
a_pos Ds_pos 0.244214 0.401532
a_pos d2Udcp2_pos_sgn 0.244220 0.401546
a_pos d2Udcp2_neg_sgn 0.244220 0.401546
a_pos d3Udcp3_pos_sgn 0.244220 0.401546
a_pos d3Udcp3_neg_sgn 0.244220 0.401546
a_pos dUdcp_pos_mag 0.244736 0.401956
a_pos dUdcp_neg_mag 0.244244 0.401560
a_pos d2Udcp2_pos_mag 0.244220 0.401546
