Parameter S1 S1_conf ST ST_conf
a_neg 0.129863 0.141239 0.145268 0.060278
a_pos 0.065095 0.227990 0.174946 0.117764
l_neg 0.014258 0.014995 0.002916 0.001261
l_sep 0.013388 0.031366 0.004551 0.003179
l_pos 0.139033 0.103152 0.117621 0.042520
Rp_neg 0.000040 0.000038 0.000000 0.000000
Rp_pos -0.000009 0.000027 0.000000 0.000000
epsilon_f_neg -0.001040 0.002020 0.000093 0.000064
epsilon_f_pos 0.000793 0.020255 0.003101 0.000956
epsilon_neg 0.030889 0.110920 0.087417 0.033237
epsilon_sep 0.000000 0.000000 0.000000 0.000000
epsilon_pos 0.045029 0.115030 0.083882 0.041625
Cdl_neg -0.035980 0.087804 0.055424 0.024952
Cdl_pos -0.003953 0.052055 0.045929 0.035254
cs_max_neg 0.000000 0.000000 0.000000 0.000000
cs_max_pos 0.000000 0.000000 0.000000 0.000000
c0 -0.000152 0.000162 0.000000 0.000000
D -0.000004 0.000004 0.000000 0.000000
Ds_neg -0.000134 0.000148 0.000000 0.000000
Ds_pos 0.000049 0.000053 0.000000 0.000000
d2Udcp2_pos_sgn 0.000000 0.000000 0.000000 0.000000
d2Udcp2_neg_sgn 0.000000 0.000000 0.000000 0.000000
d3Udcp3_pos_sgn 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_sgn 0.000000 0.000000 0.000000 0.000000
dUdcp_pos_mag 0.000040 0.000040 0.000000 0.000000
dUdcp_neg_mag -0.000005 0.000048 0.000000 0.000000
d2Udcp2_pos_mag 0.000000 0.000000 0.000000 0.000000
d2Udcp2_neg_mag 0.000000 0.000000 0.000000 0.000000
d3Udcp3_pos_mag 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_mag 0.000000 0.000000 0.000000 0.000000
i0_neg -0.004100 0.006909 0.000434 0.000239
i0_pos 0.018878 0.024307 0.004245 0.002854
SOC_neg 0.000000 0.000000 0.000000 0.000000
SOC_pos 0.000000 0.000000 0.000000 0.000000
tP -0.000261 0.000187 0.000001 0.000001
aa_neg 0.000000 0.000000 0.000000 0.000000
aa_pos 0.000000 0.000000 0.000000 0.000000
kappa_0 0.432585 0.570021 0.818308 0.552538
sigma_neg 0.016273 0.024560 0.008849 0.004420
sigma_pos 0.207775 0.201384 0.199323 0.071168

Parameter_1 Parameter_2 S2 S2_conf
a_neg a_pos -0.136127 0.255647
a_neg l_neg -0.097209 0.245848
a_neg l_sep -0.097613 0.247627
a_neg l_pos -0.087534 0.246326
a_neg Rp_neg -0.095219 0.244579
a_neg Rp_pos -0.095246 0.244580
a_neg epsilon_f_neg -0.095565 0.244441
a_neg epsilon_f_pos -0.078762 0.246037
a_neg epsilon_neg -0.028163 0.284284
a_neg epsilon_sep -0.095231 0.244578
a_neg epsilon_pos -0.092189 0.242104
a_neg Cdl_neg -0.062871 0.253670
a_neg Cdl_pos -0.105885 0.245960
a_neg cs_max_neg -0.095231 0.244578
a_neg cs_max_pos -0.095231 0.244578
a_neg c0 -0.095215 0.244573
a_neg D -0.095229 0.244578
a_neg Ds_neg -0.095275 0.244575
a_neg Ds_pos -0.095250 0.244585
a_neg d2Udcp2_pos_sgn -0.095231 0.244578
a_neg d2Udcp2_neg_sgn -0.095231 0.244578
a_neg d3Udcp3_pos_sgn -0.095231 0.244578
a_neg d3Udcp3_neg_sgn -0.095231 0.244578
a_neg dUdcp_pos_mag -0.095236 0.244586
a_neg dUdcp_neg_mag -0.095216 0.244579
a_neg d2Udcp2_pos_mag -0.095231 0.244578
a_neg d2Udcp2_neg_mag -0.095231 0.244578
a_neg d3Udcp3_pos_mag -0.095231 0.244578
a_neg d3Udcp3_neg_mag -0.095231 0.244578
a_neg i0_neg -0.095215 0.244678
a_neg i0_pos -0.093826 0.245489
a_neg SOC_neg -0.095231 0.244578
a_neg SOC_pos -0.095231 0.244578
a_neg tP -0.095191 0.244574
a_neg aa_neg -0.095231 0.244578
a_neg aa_pos -0.095231 0.244578
a_neg kappa_0 0.014233 0.257299
a_neg sigma_neg -0.093052 0.244347
a_neg sigma_pos -0.126069 0.241157
a_pos l_neg 0.076606 0.325853
a_pos l_sep 0.070978 0.323831
a_pos l_pos 0.057331 0.325769
a_pos Rp_neg 0.078069 0.326043
a_pos Rp_pos 0.078060 0.326039
a_pos epsilon_f_neg 0.077387 0.325824
a_pos epsilon_f_pos 0.078632 0.326992
a_pos epsilon_neg 0.070308 0.326210
a_pos epsilon_sep 0.078067 0.326043
a_pos epsilon_pos 0.115136 0.335243
a_pos Cdl_neg 0.106960 0.329462
a_pos Cdl_pos 0.075015 0.324076
a_pos cs_max_neg 0.078067 0.326043
a_pos cs_max_pos 0.078067 0.326043
