Parameter S1 S1_conf ST ST_conf
a_neg 0.030051 0.059516 0.039942 0.021150
a_pos 0.001670 0.080300 0.032673 0.024447
l_neg 0.017398 0.020285 0.005793 0.002648
l_sep 0.018034 0.039214 0.008961 0.005857
l_pos 0.264562 0.143184 0.236733 0.077051
Rp_neg 0.000000 0.000001 0.000000 0.000000
Rp_pos 0.000001 0.000001 0.000000 0.000000
epsilon_f_neg -0.001242 0.002447 0.000184 0.000130
epsilon_f_pos 0.001578 0.028302 0.006134 0.001912
epsilon_neg 0.008757 0.045303 0.020424 0.009757
epsilon_sep 0.000000 0.000000 0.000000 0.000000
epsilon_pos -0.000955 0.051201 0.021702 0.010968
Cdl_neg -0.011530 0.040988 0.013578 0.005982
Cdl_pos -0.007289 0.024345 0.010063 0.005525
cs_max_neg 0.000000 0.000000 0.000000 0.000000
cs_max_pos 0.000000 0.000000 0.000000 0.000000
c0 -0.000057 0.000070 0.000000 0.000000
D -0.000000 0.000000 0.000000 0.000000
Ds_neg 0.000000 0.000000 0.000000 0.000000
Ds_pos -0.000000 0.000000 0.000000 0.000000
d2Udcp2_pos_sgn 0.000000 0.000000 0.000000 0.000000
d2Udcp2_neg_sgn 0.000000 0.000000 0.000000 0.000000
d3Udcp3_pos_sgn 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_sgn 0.000000 0.000000 0.000000 0.000000
dUdcp_pos_mag 0.000004 0.000004 0.000000 0.000000
dUdcp_neg_mag 0.000001 0.000001 0.000000 0.000000
d2Udcp2_pos_mag 0.000000 0.000000 0.000000 0.000000
d2Udcp2_neg_mag 0.000000 0.000000 0.000000 0.000000
d3Udcp3_pos_mag 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_mag 0.000000 0.000000 0.000000 0.000000
i0_neg 0.001303 0.001044 0.000006 0.000003
i0_pos 0.000653 0.002634 0.000058 0.000025
SOC_neg 0.000000 0.000000 0.000000 0.000000
SOC_pos 0.000000 0.000000 0.000000 0.000000
tP -0.000087 0.000069 0.000000 0.000000
aa_neg 0.000000 0.000000 0.000000 0.000000
aa_pos 0.000000 0.000000 0.000000 0.000000
kappa_0 0.365436 0.399742 0.394038 0.258635
sigma_neg 0.033611 0.035412 0.017513 0.008287
sigma_pos 0.372136 0.289750 0.393825 0.117377

Parameter_1 Parameter_2 S2 S2_conf
a_neg a_pos -0.036118 0.106812
a_neg l_neg -0.030503 0.106196
a_neg l_sep -0.030844 0.107119
a_neg l_pos -0.024384 0.106034
a_neg Rp_neg -0.029282 0.105476
a_neg Rp_pos -0.029283 0.105476
a_neg epsilon_f_neg -0.029514 0.105374
a_neg epsilon_f_pos -0.019610 0.106460
a_neg epsilon_neg -0.018496 0.112782
a_neg epsilon_sep -0.029283 0.105476
a_neg epsilon_pos -0.028809 0.103719
a_neg Cdl_neg -0.022065 0.106734
a_neg Cdl_pos -0.032853 0.105797
a_neg cs_max_neg -0.029283 0.105476
a_neg cs_max_pos -0.029283 0.105476
a_neg c0 -0.029280 0.105475
a_neg D -0.029283 0.105476
a_neg Ds_neg -0.029283 0.105476
a_neg Ds_pos -0.029283 0.105476
a_neg d2Udcp2_pos_sgn -0.029283 0.105476
a_neg d2Udcp2_neg_sgn -0.029283 0.105476
a_neg d3Udcp3_pos_sgn -0.029283 0.105476
a_neg d3Udcp3_neg_sgn -0.029283 0.105476
a_neg dUdcp_pos_mag -0.029282 0.105476
a_neg dUdcp_neg_mag -0.029282 0.105476
a_neg d2Udcp2_pos_mag -0.029283 0.105476
a_neg d2Udcp2_neg_mag -0.029283 0.105476
a_neg d3Udcp3_pos_mag -0.029283 0.105476
a_neg d3Udcp3_neg_mag -0.029283 0.105476
a_neg i0_neg -0.029268 0.105497
a_neg i0_pos -0.029321 0.105436
a_neg SOC_neg -0.029283 0.105476
a_neg SOC_pos -0.029283 0.105476
a_neg tP -0.029276 0.105475
a_neg aa_neg -0.029283 0.105476
a_neg aa_pos -0.029283 0.105476
a_neg kappa_0 0.004913 0.108409
a_neg sigma_neg -0.027575 0.105591
a_neg sigma_pos -0.047445 0.102575
a_pos l_neg 0.046021 0.111435
a_pos l_sep 0.042490 0.110200
a_pos l_pos 0.034819 0.112861
a_pos Rp_neg 0.046920 0.111596
a_pos Rp_pos 0.046920 0.111596
a_pos epsilon_f_neg 0.046495 0.111457
a_pos epsilon_f_pos 0.047187 0.112138
a_pos epsilon_neg 0.045226 0.111712
a_pos epsilon_sep 0.046920 0.111596
a_pos epsilon_pos 0.057216 0.114042
a_pos Cdl_neg 0.052982 0.111680
a_pos Cdl_pos 0.046761 0.111041
a_pos cs_max_neg 0.046920 0.111596
a_pos cs_max_pos 0.046920 0.111596
a_pos c0 0.046918 0.111596
a_pos D 0.046920 0.111596
a_pos Ds_neg 0.046920 0.111596
a_pos Ds_pos 0.046920 0.111596
a_pos d2Udcp2_pos_sgn 0.046920 0.111596
a_pos d2Udcp2_neg_sgn 0.046920 0.111596
a_pos d3Udcp3_pos_sgn 0.046920 0.111596
a_pos d3Udcp3_neg_sgn 0.046920 0.111596
a_pos dUdcp_pos_mag 0.046920 0.111596
a_pos dUdcp_neg_mag 0.046920 0.111596
a_pos d2Udcp2_pos_mag 0.046920 0.111596
a_pos d2Udcp2_neg_mag 0.046920 0.111596
a_pos d3Udcp3_pos_mag 0.046920 0.111596
a_pos d3Udcp3_neg_mag 0.046920 0.111596
a_pos i0_neg 0.046876 0.111599
a_pos i0_pos 0.047473 0.111677
a_pos SOC_neg 0.046920 0.111596
a_pos SOC_pos 0.046920 0.111596
a_pos tP 0.046913 0.111596
a_pos aa_neg 0.046920 0.111596
a_pos aa_pos 0.046920 0.111596
a_pos kappa_0 0.096782 0.145016
a_pos sigma_neg 0.044177 0.111678
a_pos sigma_pos 0.054505 0.111258
l_neg l_sep -0.023537 0.029695
l_neg l_pos -0.021638 0.031201
l_neg Rp_neg -0.021883 0.029131
l_neg Rp_pos -0.021883 0.029131
l_neg epsilon_f_neg -0.021976 0.029125
l_neg epsilon_f_pos -0.022606 0.029002
l_neg epsilon_neg -0.023682 0.028947
l_neg epsilon_sep -0.021883 0.029131
l_neg epsilon_pos -0.019999 0.028999
l_neg Cdl_neg -0.022281 0.029144
l_neg Cdl_pos -0.020862 0.029178
l_neg cs_max_neg -0.021883 0.029131
l_neg cs_max_pos -0.021883 0.029131
l_neg c0 -0.021882 0.029132
l_neg D -0.021883 0.029131
l_neg Ds_neg -0.021883 0.029131
l_neg Ds_pos -0.021883 0.029131
l_neg d2Udcp2_pos_sgn -0.021883 0.029131
l_neg d2Udcp2_neg_sgn -0.021883 0.029131
l_neg d3Udcp3_pos_sgn -0.021883 0.029131
l_neg d3Udcp3_neg_sgn -0.021883 0.029131
l_neg dUdcp_pos_mag -0.021883 0.029131
l_neg dUdcp_neg_mag -0.021883 0.029131
l_neg d2Udcp2_pos_mag -0.021883 0.029131
