Parameter S1 S1_conf ST ST_conf
a_neg 0.004915 0.016113 0.003783 0.001884
a_pos -0.001209 0.019300 0.002851 0.002268
l_neg 0.019368 0.021368 0.006833 0.002914
l_sep 0.017532 0.037908 0.010144 0.006783
l_pos 0.302481 0.135331 0.280068 0.080075
Rp_neg -0.000000 0.000000 0.000000 0.000000
Rp_pos 0.000000 0.000000 0.000000 0.000000
epsilon_f_neg -0.001211 0.002506 0.000208 0.000129
epsilon_f_pos 0.001515 0.029371 0.006954 0.002078
epsilon_neg 0.003095 0.013565 0.002828 0.001125
epsilon_sep 0.000000 0.000000 0.000000 0.000000
epsilon_pos 0.024131 0.043476 0.024777 0.013225
Cdl_neg -0.003562 0.012460 0.001205 0.000486
Cdl_pos -0.005747 0.006012 0.000610 0.000276
cs_max_neg 0.000000 0.000000 0.000000 0.000000
cs_max_pos 0.000000 0.000000 0.000000 0.000000
c0 -0.000002 0.000005 0.000000 0.000000
D 0.000000 0.000000 0.000000 0.000000
Ds_neg 0.000000 0.000000 0.000000 0.000000
Ds_pos 0.000000 0.000000 0.000000 0.000000
d2Udcp2_pos_sgn 0.000000 0.000000 0.000000 0.000000
d2Udcp2_neg_sgn 0.000000 0.000000 0.000000 0.000000
d3Udcp3_pos_sgn 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_sgn 0.000000 0.000000 0.000000 0.000000
dUdcp_pos_mag 0.000000 0.000000 0.000000 0.000000
dUdcp_neg_mag 0.000000 0.000000 0.000000 0.000000
d2Udcp2_pos_mag 0.000000 0.000000 0.000000 0.000000
d2Udcp2_neg_mag 0.000000 0.000000 0.000000 0.000000
d3Udcp3_pos_mag 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_mag 0.000000 0.000000 0.000000 0.000000
i0_neg 0.000079 0.000055 0.000000 0.000000
i0_pos -0.000070 0.000161 0.000000 0.000000
SOC_neg 0.000000 0.000000 0.000000 0.000000
SOC_pos 0.000000 0.000000 0.000000 0.000000
tP -0.000003 0.000005 0.000000 0.000000
aa_neg 0.000000 0.000000 0.000000 0.000000
aa_pos 0.000000 0.000000 0.000000 0.000000
kappa_0 0.289871 0.300116 0.234916 0.152284
sigma_neg 0.038724 0.034374 0.019855 0.008274
sigma_pos 0.412340 0.293457 0.446361 0.121185

Parameter_1 Parameter_2 S2 S2_conf
a_neg a_pos -0.006091 0.028411
a_neg l_neg -0.005738 0.028565
a_neg l_sep -0.005702 0.028784
a_neg l_pos -0.003697 0.028665
a_neg Rp_neg -0.005366 0.028339
a_neg Rp_pos -0.005366 0.028339
a_neg epsilon_f_neg -0.005436 0.028306
a_neg epsilon_f_pos -0.002266 0.028634
a_neg epsilon_neg -0.004552 0.028992
a_neg epsilon_sep -0.005366 0.028339
a_neg epsilon_pos -0.005512 0.027760
a_neg Cdl_neg -0.004665 0.028449
a_neg Cdl_pos -0.005509 0.028313
a_neg cs_max_neg -0.005366 0.028339
a_neg cs_max_pos -0.005366 0.028339
a_neg c0 -0.005366 0.028339
a_neg D -0.005366 0.028339
a_neg Ds_neg -0.005366 0.028339
a_neg Ds_pos -0.005366 0.028339
a_neg d2Udcp2_pos_sgn -0.005366 0.028339
a_neg d2Udcp2_neg_sgn -0.005366 0.028339
a_neg d3Udcp3_pos_sgn -0.005366 0.028339
a_neg d3Udcp3_neg_sgn -0.005366 0.028339
a_neg dUdcp_pos_mag -0.005366 0.028339
a_neg dUdcp_neg_mag -0.005366 0.028339
a_neg d2Udcp2_pos_mag -0.005366 0.028339
a_neg d2Udcp2_neg_mag -0.005366 0.028339
a_neg d3Udcp3_pos_mag -0.005366 0.028339
a_neg d3Udcp3_neg_mag -0.005366 0.028339
a_neg i0_neg -0.005363 0.028339
a_neg i0_pos -0.005374 0.028338
a_neg SOC_neg -0.005366 0.028339
a_neg SOC_pos -0.005366 0.028339
a_neg tP -0.005366 0.028339
a_neg aa_neg -0.005366 0.028339
a_neg aa_pos -0.005366 0.028339
a_neg kappa_0 0.003199 0.028961
a_neg sigma_neg -0.004813 0.028286
a_neg sigma_pos -0.012147 0.027837
a_pos l_neg 0.011800 0.025217
a_pos l_sep 0.011002 0.025077
a_pos l_pos 0.008151 0.025790
a_pos Rp_neg 0.012290 0.025316
a_pos Rp_pos 0.012290 0.025316
a_pos epsilon_f_neg 0.012137 0.025251
a_pos epsilon_f_pos 0.012279 0.025542
a_pos epsilon_neg 0.011907 0.025313
a_pos epsilon_sep 0.012290 0.025316
a_pos epsilon_pos 0.015631 0.026142
a_pos Cdl_neg 0.012789 0.025398
a_pos Cdl_pos 0.012255 0.025214
a_pos cs_max_neg 0.012290 0.025316
a_pos cs_max_pos 0.012290 0.025316
a_pos c0 0.012290 0.025316
a_pos D 0.012290 0.025316
a_pos Ds_neg 0.012290 0.025316
a_pos Ds_pos 0.012290 0.025316
a_pos d2Udcp2_pos_sgn 0.012290 0.025316
a_pos d2Udcp2_neg_sgn 0.012290 0.025316
a_pos d3Udcp3_pos_sgn 0.012290 0.025316
a_pos d3Udcp3_neg_sgn 0.012290 0.025316
a_pos dUdcp_pos_mag 0.012290 0.025316
a_pos dUdcp_neg_mag 0.012290 0.025316
a_pos d2Udcp2_pos_mag 0.012290 0.025316
a_pos d2Udcp2_neg_mag 0.012290 0.025316
