Parameter S1 S1_conf ST ST_conf
a_neg 0.201107 0.145600 0.259309 0.137233
a_pos 0.036670 0.184520 0.113032 0.040339
l_neg 0.005683 0.004845 0.000317 0.000155
l_sep 0.004938 0.008996 0.000486 0.000318
l_pos 0.030249 0.027566 0.012575 0.005563
Rp_neg -0.004323 0.004505 0.000267 0.000239
Rp_pos -0.000232 0.000485 0.000045 0.000052
epsilon_f_neg 0.000132 0.000661 0.000010 0.000008
epsilon_f_pos 0.001850 0.005717 0.000327 0.000131
epsilon_neg 0.092423 0.147737 0.135150 0.055222
epsilon_sep 0.000000 0.000000 0.000000 0.000000
epsilon_pos -0.064360 0.127883 0.166763 0.087380
Cdl_neg -0.000956 0.001211 0.000018 0.000022
Cdl_pos 0.001391 0.001766 0.000014 0.000012
cs_max_neg 0.000000 0.000000 0.000000 0.000000
cs_max_pos 0.000000 0.000000 0.000000 0.000000
c0 -0.001493 0.001522 0.000115 0.000128
D 0.000440 0.000424 0.000001 0.000000
Ds_neg 0.014099 0.018103 0.013815 0.015702
Ds_pos -0.005606 0.006191 0.000515 0.000380
d2Udcp2_pos_sgn 0.000000 0.000000 0.000000 0.000000
d2Udcp2_neg_sgn 0.000000 0.000000 0.000000 0.000000
d3Udcp3_pos_sgn 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_sgn 0.000000 0.000000 0.000000 0.000000
dUdcp_pos_mag -0.008611 0.009374 0.000986 0.000679
dUdcp_neg_mag 0.000455 0.004168 0.000286 0.000174
d2Udcp2_pos_mag 0.000000 0.000000 0.000000 0.000000
d2Udcp2_neg_mag 0.000000 0.000000 0.000000 0.000000
d3Udcp3_pos_mag 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_mag 0.000000 0.000000 0.000000 0.000000
i0_neg -0.010684 0.057466 0.049219 0.025132
i0_pos 0.200942 0.238946 0.205820 0.043825
SOC_neg 0.000000 0.000000 0.000000 0.000000
SOC_pos 0.000000 0.000000 0.000000 0.000000
tP -0.002299 0.002094 0.000385 0.000391
aa_neg 0.000000 0.000000 0.000000 0.000000
aa_pos 0.000000 0.000000 0.000000 0.000000
kappa_0 0.360585 0.585837 1.229833 1.032893
sigma_neg 0.003639 0.005398 0.000926 0.000493
sigma_pos 0.009369 0.041839 0.021062 0.009421

Parameter_1 Parameter_2 S2 S2_conf
a_neg a_pos -0.222137 0.249323
a_neg l_neg -0.197945 0.253592
a_neg l_sep -0.199636 0.254619
a_neg l_pos -0.195183 0.255527
a_neg Rp_neg -0.197847 0.252674
a_neg Rp_pos -0.196431 0.253002
a_neg epsilon_f_neg -0.196781 0.253035
a_neg epsilon_f_pos -0.191571 0.253159
a_neg epsilon_neg -0.207981 0.277143
a_neg epsilon_sep -0.196737 0.253027
a_neg epsilon_pos -0.191000 0.241010
a_neg Cdl_neg -0.196998 0.252953
a_neg Cdl_pos -0.197603 0.253240
a_neg cs_max_neg -0.196737 0.253027
a_neg cs_max_pos -0.196737 0.253027
a_neg c0 -0.196160 0.252831
a_neg D -0.197003 0.253171
a_neg Ds_neg -0.193006 0.253404
a_neg Ds_pos -0.196189 0.252044
a_neg d2Udcp2_pos_sgn -0.196737 0.253027
a_neg d2Udcp2_neg_sgn -0.196737 0.253027
a_neg d3Udcp3_pos_sgn -0.196737 0.253027
a_neg d3Udcp3_neg_sgn -0.196737 0.253027
a_neg dUdcp_pos_mag -0.196991 0.251806
a_neg dUdcp_neg_mag -0.199413 0.252814
a_neg d2Udcp2_pos_mag -0.196737 0.253027
a_neg d2Udcp2_neg_mag -0.196737 0.253027
a_neg d3Udcp3_pos_mag -0.196737 0.253027
a_neg d3Udcp3_neg_mag -0.196737 0.253027
a_neg i0_neg -0.223307 0.247884
a_neg i0_pos -0.134060 0.256012
a_neg SOC_neg -0.196737 0.253027
a_neg SOC_pos -0.196737 0.253027
a_neg tP -0.195717 0.252778
a_neg aa_neg -0.196737 0.253027
a_neg aa_pos -0.196737 0.253027
a_neg kappa_0 0.011402 0.314086
a_neg sigma_neg -0.196797 0.253040
a_neg sigma_pos -0.200649 0.253512
a_pos l_neg 0.133241 0.402577
a_pos l_sep 0.132466 0.402582
a_pos l_pos 0.117836 0.404754
a_pos Rp_neg 0.136925 0.404281
a_pos Rp_pos 0.133858 0.403055
a_pos epsilon_f_neg 0.133622 0.402758
a_pos epsilon_f_pos 0.134430 0.404031
a_pos epsilon_neg 0.103121 0.395272
a_pos epsilon_sep 0.133917 0.403025
a_pos epsilon_pos 0.112647 0.354047
a_pos Cdl_neg 0.134249 0.403093
a_pos Cdl_pos 0.133721 0.402846
a_pos cs_max_neg 0.133917 0.403025
a_pos cs_max_pos 0.133917 0.403025
