Parameter S1 S1_conf ST ST_conf
a_neg 0.211064 0.167835 0.299106 0.154759
a_pos -0.019033 0.179046 0.136658 0.046495
l_neg 0.007292 0.005623 0.000425 0.000182
l_sep 0.006481 0.010838 0.000656 0.000396
l_pos 0.031560 0.032045 0.016902 0.006566
Rp_neg 0.001161 0.001434 0.000027 0.000026
Rp_pos 0.001637 0.002108 0.000015 0.000014
epsilon_f_neg 0.000155 0.000673 0.000013 0.000010
epsilon_f_pos 0.002549 0.006038 0.000440 0.000161
epsilon_neg 0.090944 0.161055 0.166640 0.056482
epsilon_sep 0.000000 0.000000 0.000000 0.000000
epsilon_pos -0.025381 0.134497 0.194862 0.098916
Cdl_neg -0.015184 0.011268 0.002421 0.001105
Cdl_pos 0.031335 0.048909 0.009687 0.007811
cs_max_neg 0.000000 0.000000 0.000000 0.000000
cs_max_pos 0.000000 0.000000 0.000000 0.000000
c0 -0.000336 0.000308 0.000001 0.000001
D 0.000134 0.000110 0.000000 0.000000
Ds_neg 0.003692 0.003915 0.000388 0.000435
Ds_pos -0.001307 0.001225 0.000009 0.000005
d2Udcp2_pos_sgn 0.000000 0.000000 0.000000 0.000000
d2Udcp2_neg_sgn 0.000000 0.000000 0.000000 0.000000
d3Udcp3_pos_sgn 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_sgn 0.000000 0.000000 0.000000 0.000000
dUdcp_pos_mag -0.000532 0.000661 0.000004 0.000002
dUdcp_neg_mag 0.000366 0.000833 0.000012 0.000009
d2Udcp2_pos_mag 0.000000 0.000000 0.000000 0.000000
d2Udcp2_neg_mag 0.000000 0.000000 0.000000 0.000000
d3Udcp3_pos_mag 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_mag 0.000000 0.000000 0.000000 0.000000
i0_neg -0.037738 0.058890 0.043516 0.018678
i0_pos 0.073701 0.141804 0.164908 0.049073
SOC_neg 0.000000 0.000000 0.000000 0.000000
SOC_pos 0.000000 0.000000 0.000000 0.000000
tP -0.000610 0.000456 0.000013 0.000013
aa_neg 0.000000 0.000000 0.000000 0.000000
aa_pos 0.000000 0.000000 0.000000 0.000000
kappa_0 0.450154 0.614044 1.388469 1.003580
sigma_neg 0.003889 0.006267 0.001248 0.000622
sigma_pos 0.018433 0.053207 0.028368 0.012076

Parameter_1 Parameter_2 S2 S2_conf
a_neg a_pos -0.206498 0.273702
a_neg l_neg -0.172967 0.274581
a_neg l_sep -0.175317 0.276247
a_neg l_pos -0.167827 0.277136
a_neg Rp_neg -0.171291 0.273996
a_neg Rp_pos -0.170773 0.273899
a_neg epsilon_f_neg -0.171663 0.273940
a_neg epsilon_f_pos -0.165306 0.273865
a_neg epsilon_neg -0.180114 0.301539
a_neg epsilon_sep -0.171597 0.273937
a_neg epsilon_pos -0.181843 0.263783
a_neg Cdl_neg -0.170513 0.274205
a_neg Cdl_pos -0.192225 0.281071
a_neg cs_max_neg -0.171597 0.273937
a_neg cs_max_pos -0.171597 0.273937
a_neg c0 -0.171406 0.273839
a_neg D -0.171683 0.273979
a_neg Ds_neg -0.170641 0.274051
a_neg Ds_pos -0.171479 0.273688
a_neg d2Udcp2_pos_sgn -0.171597 0.273937
a_neg d2Udcp2_neg_sgn -0.171597 0.273937
a_neg d3Udcp3_pos_sgn -0.171597 0.273937
a_neg d3Udcp3_neg_sgn -0.171597 0.273937
a_neg dUdcp_pos_mag -0.171311 0.273740
a_neg dUdcp_neg_mag -0.171262 0.273961
a_neg d2Udcp2_pos_mag -0.171597 0.273937
a_neg d2Udcp2_neg_mag -0.171597 0.273937
a_neg d3Udcp3_pos_mag -0.171597 0.273937
a_neg d3Udcp3_neg_mag -0.171597 0.273937
a_neg i0_neg -0.204308 0.269266
a_neg i0_pos -0.122226 0.274798
a_neg SOC_neg -0.171597 0.273937
a_neg SOC_pos -0.171597 0.273937
a_neg tP -0.171289 0.273811
a_neg aa_neg -0.171597 0.273937
a_neg aa_pos -0.171597 0.273937
a_neg kappa_0 0.070054 0.326003
a_neg sigma_neg -0.171646 0.274121
a_neg sigma_pos -0.178204 0.275621
a_pos l_neg 0.247553 0.383248
a_pos l_sep 0.246662 0.383378
a_pos l_pos 0.233657 0.383963
a_pos Rp_neg 0.247872 0.383710
a_pos Rp_pos 0.250500 0.385539
a_pos epsilon_f_neg 0.248038 0.383515
a_pos epsilon_f_pos 0.249003 0.384910
a_pos epsilon_neg 0.223502 0.379414
a_pos epsilon_sep 0.248398 0.383812
a_pos epsilon_pos 0.220824 0.331609
a_pos Cdl_neg 0.251629 0.383406
a_pos Cdl_pos 0.244357 0.380874
a_pos cs_max_neg 0.248398 0.383812
a_pos cs_max_pos 0.248398 0.383812
