Parameter S1 S1_conf ST ST_conf
a_neg 0.213387 0.188246 0.251843 0.102972
a_pos 0.009353 0.237027 0.172968 0.073513
l_neg 0.010373 0.009638 0.001200 0.000523
l_sep 0.009924 0.019428 0.001873 0.001226
l_pos 0.064331 0.064460 0.048308 0.018249
Rp_neg 0.000137 0.000095 0.000000 0.000000
Rp_pos -0.000425 0.000453 0.000000 0.000000
epsilon_f_neg -0.000359 0.001284 0.000038 0.000028
epsilon_f_pos 0.002332 0.011995 0.001269 0.000438
epsilon_neg 0.055050 0.150140 0.163101 0.062420
epsilon_sep 0.000000 0.000000 0.000000 0.000000
epsilon_pos 0.052102 0.155301 0.164664 0.079482
Cdl_neg -0.068943 0.069843 0.044272 0.016525
Cdl_pos 0.009074 0.076857 0.038995 0.023445
cs_max_neg 0.000000 0.000000 0.000000 0.000000
cs_max_pos 0.000000 0.000000 0.000000 0.000000
c0 -0.000182 0.000170 0.000001 0.000001
D -0.000010 0.000011 0.000000 0.000000
Ds_neg -0.001138 0.001262 0.000046 0.000051
Ds_pos -0.000021 0.000162 0.000000 0.000000
d2Udcp2_pos_sgn 0.000000 0.000000 0.000000 0.000000
d2Udcp2_neg_sgn 0.000000 0.000000 0.000000 0.000000
d3Udcp3_pos_sgn 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_sgn 0.000000 0.000000 0.000000 0.000000
dUdcp_pos_mag 0.000159 0.000238 0.000001 0.000001
dUdcp_neg_mag -0.000090 0.000195 0.000000 0.000000
d2Udcp2_pos_mag 0.000000 0.000000 0.000000 0.000000
d2Udcp2_neg_mag 0.000000 0.000000 0.000000 0.000000
d3Udcp3_pos_mag 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_mag 0.000000 0.000000 0.000000 0.000000
i0_neg -0.030361 0.037036 0.007155 0.003786
i0_pos -0.012345 0.069948 0.043450 0.016587
SOC_neg 0.000000 0.000000 0.000000 0.000000
SOC_pos 0.000000 0.000000 0.000000 0.000000
tP -0.000319 0.000219 0.000002 0.000002
aa_neg 0.000000 0.000000 0.000000 0.000000
aa_pos 0.000000 0.000000 0.000000 0.000000
kappa_0 0.504372 0.711713 1.235493 0.916099
sigma_neg 0.008012 0.012932 0.003610 0.001860
sigma_pos 0.082308 0.113785 0.081695 0.034085

Parameter_1 Parameter_2 S2 S2_conf
a_neg a_pos -0.212495 0.319459
a_neg l_neg -0.160707 0.309213
a_neg l_sep -0.161549 0.310879
a_neg l_pos -0.147017 0.313228
a_neg Rp_neg -0.158471 0.308257
a_neg Rp_pos -0.158573 0.308237
a_neg epsilon_f_neg -0.158711 0.308202
a_neg epsilon_f_pos -0.146727 0.308636
a_neg epsilon_neg -0.094782 0.363374
a_neg epsilon_sep -0.158495 0.308253
a_neg epsilon_pos -0.169446 0.303850
a_neg Cdl_neg -0.144929 0.310540
a_neg Cdl_pos -0.176729 0.313522
a_neg cs_max_neg -0.158495 0.308253
a_neg cs_max_pos -0.158495 0.308253
a_neg c0 -0.158444 0.308231
a_neg D -0.158489 0.308250
a_neg Ds_neg -0.158857 0.308238
a_neg Ds_pos -0.158520 0.308266
a_neg d2Udcp2_pos_sgn -0.158495 0.308253
a_neg d2Udcp2_neg_sgn -0.158495 0.308253
a_neg d3Udcp3_pos_sgn -0.158495 0.308253
a_neg d3Udcp3_neg_sgn -0.158495 0.308253
a_neg dUdcp_pos_mag -0.158470 0.308266
a_neg dUdcp_neg_mag -0.158409 0.308255
a_neg d2Udcp2_pos_mag -0.158495 0.308253
a_neg d2Udcp2_neg_mag -0.158495 0.308253
a_neg d3Udcp3_pos_mag -0.158495 0.308253
a_neg d3Udcp3_neg_mag -0.158495 0.308253
a_neg i0_neg -0.165335 0.308137
a_neg i0_pos -0.143510 0.310721
a_neg SOC_neg -0.158495 0.308253
a_neg SOC_pos -0.158495 0.308253
a_neg tP -0.158399 0.308227
a_neg aa_neg -0.158495 0.308253
a_neg aa_pos -0.158495 0.308253
a_neg kappa_0 0.043429 0.348175
a_neg sigma_neg -0.157995 0.308505
a_neg sigma_pos -0.172828 0.306053
a_pos l_neg 0.174460 0.384029
a_pos l_sep 0.171864 0.383834
a_pos l_pos 0.159854 0.384539
a_pos Rp_neg 0.175780 0.384660
a_pos Rp_pos 0.175537 0.384461
a_pos epsilon_f_neg 0.175274 0.384335
a_pos epsilon_f_pos 0.175965 0.385850
a_pos epsilon_neg 0.160570 0.382329
a_pos epsilon_sep 0.175808 0.384663
a_pos epsilon_pos 0.190801 0.361948
a_pos Cdl_neg 0.198027 0.388206
a_pos Cdl_pos 0.158368 0.371016
a_pos cs_max_neg 0.175808 0.384663
a_pos cs_max_pos 0.175808 0.384663
a_pos c0 0.175815 0.384671
a_pos D 0.175807 0.384663
a_pos Ds_neg 0.175699 0.384661
a_pos Ds_pos 0.175824 0.384664
a_pos d2Udcp2_pos_sgn 0.175808 0.384663
a_pos d2Udcp2_neg_sgn 0.175808 0.384663
a_pos d3Udcp3_pos_sgn 0.175808 0.384663
a_pos d3Udcp3_neg_sgn 0.175808 0.384663
a_pos dUdcp_pos_mag 0.175934 0.384764
a_pos dUdcp_neg_mag 0.175833 0.384665
a_pos d2Udcp2_pos_mag 0.175808 0.384663
a_pos d2Udcp2_neg_mag 0.175808 0.384663
a_pos d3Udcp3_pos_mag 0.175808 0.384663
a_pos d3Udcp3_neg_mag 0.175808 0.384663
a_pos i0_neg 0.179633 0.385646
a_pos i0_pos 0.137521 0.386713
a_pos SOC_neg 0.175808 0.384663
a_pos SOC_pos 0.175808 0.384663
a_pos tP 0.175727 0.384661
a_pos aa_neg 0.175808 0.384663
a_pos aa_pos 0.175808 0.384663
a_pos kappa_0 0.552722 0.738240
a_pos sigma_neg 0.172844 0.384926
a_pos sigma_pos 0.188105 0.382226
l_neg l_sep -0.011081 0.014649
l_neg l_pos -0.010783 0.015057
l_neg Rp_neg -0.010738 0.014528
l_neg Rp_pos -0.010742 0.014525
l_neg epsilon_f_neg -0.010759 0.014523
l_neg epsilon_f_pos -0.010894 0.014510
l_neg epsilon_neg -0.013012 0.013964
l_neg epsilon_sep -0.010740 0.014526
l_neg epsilon_pos -0.010718 0.014254
l_neg Cdl_neg -0.011565 0.014459
l_neg Cdl_pos -0.010853 0.014604
l_neg cs_max_neg -0.010740 0.014526
