Parameter S1 S1_conf ST ST_conf
a_neg 0.089635 0.115801 0.104483 0.047374
a_pos 0.041588 0.170164 0.122955 0.083593
l_neg 0.015990 0.017724 0.004073 0.001730
l_sep 0.015644 0.033334 0.006346 0.003957
l_pos 0.188918 0.124092 0.164567 0.055720
Rp_neg 0.000012 0.000013 0.000000 0.000000
Rp_pos 0.000006 0.000011 0.000000 0.000000
epsilon_f_neg -0.001194 0.002415 0.000130 0.000090
epsilon_f_pos 0.000951 0.023817 0.004332 0.001359
epsilon_neg 0.021402 0.087749 0.060094 0.025973
epsilon_sep 0.000000 0.000000 0.000000 0.000000
epsilon_pos 0.017612 0.091088 0.053192 0.027672
Cdl_neg -0.021566 0.077318 0.042850 0.020343
Cdl_pos -0.009966 0.044741 0.033176 0.023141
cs_max_neg 0.000000 0.000000 0.000000 0.000000
cs_max_pos 0.000000 0.000000 0.000000 0.000000
c0 -0.000124 0.000139 0.000000 0.000000
D -0.000001 0.000001 0.000000 0.000000
Ds_neg -0.000018 0.000022 0.000000 0.000000
Ds_pos 0.000020 0.000018 0.000000 0.000000
d2Udcp2_pos_sgn 0.000000 0.000000 0.000000 0.000000
d2Udcp2_neg_sgn 0.000000 0.000000 0.000000 0.000000
d3Udcp3_pos_sgn 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_sgn 0.000000 0.000000 0.000000 0.000000
dUdcp_pos_mag 0.000028 0.000028 0.000000 0.000000
dUdcp_neg_mag 0.000005 0.000014 0.000000 0.000000
d2Udcp2_pos_mag 0.000000 0.000000 0.000000 0.000000
d2Udcp2_neg_mag 0.000000 0.000000 0.000000 0.000000
d3Udcp3_pos_mag 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_mag 0.000000 0.000000 0.000000 0.000000
i0_neg 0.003139 0.004474 0.000274 0.000207
i0_pos 0.013488 0.012771 0.001726 0.000792
SOC_neg 0.000000 0.000000 0.000000 0.000000
SOC_pos 0.000000 0.000000 0.000000 0.000000
tP -0.000216 0.000164 0.000001 0.000001
aa_neg 0.000000 0.000000 0.000000 0.000000
aa_pos 0.000000 0.000000 0.000000 0.000000
kappa_0 0.420555 0.524612 0.656043 0.447733
sigma_neg 0.022654 0.028328 0.012368 0.006006
sigma_pos 0.277069 0.255993 0.278330 0.094912

Parameter_1 Parameter_2 S2 S2_conf
a_neg a_pos -0.097163 0.212781
a_neg l_neg -0.073119 0.207480
a_neg l_sep -0.073569 0.208531
a_neg l_pos -0.064608 0.205730
a_neg Rp_neg -0.071284 0.206174
a_neg Rp_pos -0.071294 0.206174
a_neg epsilon_f_neg -0.071622 0.206008
a_neg epsilon_f_pos -0.055727 0.207677
a_neg epsilon_neg -0.030384 0.231731
a_neg epsilon_sep -0.071287 0.206173
a_neg epsilon_pos -0.068902 0.203343
a_neg Cdl_neg -0.046531 0.212710
a_neg Cdl_pos -0.079257 0.206777
a_neg cs_max_neg -0.071287 0.206173
a_neg cs_max_pos -0.071287 0.206173
a_neg c0 -0.071277 0.206171
a_neg D -0.071287 0.206173
a_neg Ds_neg -0.071292 0.206172
a_neg Ds_pos -0.071293 0.206175
a_neg d2Udcp2_pos_sgn -0.071287 0.206173
a_neg d2Udcp2_neg_sgn -0.071287 0.206173
a_neg d3Udcp3_pos_sgn -0.071287 0.206173
a_neg d3Udcp3_neg_sgn -0.071287 0.206173
a_neg dUdcp_pos_mag -0.071287 0.206176
a_neg dUdcp_neg_mag -0.071283 0.206174
a_neg d2Udcp2_pos_mag -0.071287 0.206173
a_neg d2Udcp2_neg_mag -0.071287 0.206173
a_neg d3Udcp3_pos_mag -0.071287 0.206173
a_neg d3Udcp3_neg_mag -0.071287 0.206173
a_neg i0_neg -0.071788 0.206448
a_neg i0_pos -0.070908 0.206233
a_neg SOC_neg -0.071287 0.206173
a_neg SOC_pos -0.071287 0.206173
a_neg tP -0.071261 0.206172
a_neg aa_neg -0.071287 0.206173
a_neg aa_pos -0.071287 0.206173
a_neg kappa_0 0.007316 0.213296
a_neg sigma_neg -0.068683 0.206391
a_neg sigma_pos -0.101156 0.196774
a_pos l_neg 0.068129 0.244111
a_pos l_sep 0.062340 0.241822
a_pos l_pos 0.050111 0.243705
a_pos Rp_neg 0.069470 0.244329
a_pos Rp_pos 0.069468 0.244328
a_pos epsilon_f_neg 0.068814 0.244122
a_pos epsilon_f_pos 0.070063 0.245258
a_pos epsilon_neg 0.064441 0.243851
a_pos epsilon_sep 0.069469 0.244329
a_pos epsilon_pos 0.097280 0.252619
a_pos Cdl_neg 0.091028 0.248946
a_pos Cdl_pos 0.068223 0.243376
a_pos cs_max_neg 0.069469 0.244329
a_pos cs_max_pos 0.069469 0.244329
a_pos c0 0.069465 0.244332
a_pos D 0.069469 0.244329
a_pos Ds_neg 0.069469 0.244329
a_pos Ds_pos 0.069469 0.244329
a_pos d2Udcp2_pos_sgn 0.069469 0.244329
a_pos d2Udcp2_neg_sgn 0.069469 0.244329
a_pos d3Udcp3_pos_sgn 0.069469 0.244329
a_pos d3Udcp3_neg_sgn 0.069469 0.244329
a_pos dUdcp_pos_mag 0.069469 0.244329
a_pos dUdcp_neg_mag 0.069470 0.244329
a_pos d2Udcp2_pos_mag 0.069469 0.244329
a_pos d2Udcp2_neg_mag 0.069469 0.244329
a_pos d3Udcp3_pos_mag 0.069469 0.244329
a_pos d3Udcp3_neg_mag 0.069469 0.244329
a_pos i0_neg 0.069132 0.244334
a_pos i0_pos 0.073085 0.245224
a_pos SOC_neg 0.069469 0.244329
a_pos SOC_pos 0.069469 0.244329
a_pos tP 0.069435 0.244330
a_pos aa_neg 0.069469 0.244329
a_pos aa_pos 0.069469 0.244329
a_pos kappa_0 0.188266 0.327946
