Parameter S1 S1_conf ST ST_conf
a_neg 0.014610 0.038428 0.019155 0.009734
a_pos -0.001614 0.046131 0.014915 0.010123
l_neg 0.017475 0.021065 0.006266 0.002617
l_sep 0.018138 0.040907 0.009620 0.006717
l_pos 0.284941 0.144627 0.257551 0.078046
Rp_neg 0.000000 0.000000 0.000000 0.000000
Rp_pos 0.000000 0.000000 0.000000 0.000000
epsilon_f_neg -0.001242 0.002641 0.000197 0.000130
epsilon_f_pos 0.001670 0.029793 0.006590 0.002029
epsilon_neg 0.005220 0.029594 0.010049 0.004682
epsilon_sep 0.000000 0.000000 0.000000 0.000000
epsilon_pos 0.005795 0.044296 0.019995 0.010611
Cdl_neg -0.008077 0.025943 0.006267 0.002842
Cdl_pos -0.007788 0.014482 0.004337 0.002281
cs_max_neg 0.000000 0.000000 0.000000 0.000000
cs_max_pos 0.000000 0.000000 0.000000 0.000000
c0 -0.000025 0.000033 0.000000 0.000000
D 0.000000 0.000000 0.000000 0.000000
Ds_neg 0.000000 0.000000 0.000000 0.000000
Ds_pos -0.000000 0.000000 0.000000 0.000000
d2Udcp2_pos_sgn 0.000000 0.000000 0.000000 0.000000
d2Udcp2_neg_sgn 0.000000 0.000000 0.000000 0.000000
d3Udcp3_pos_sgn 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_sgn 0.000000 0.000000 0.000000 0.000000
dUdcp_pos_mag 0.000001 0.000001 0.000000 0.000000
dUdcp_neg_mag 0.000000 0.000000 0.000000 0.000000
d2Udcp2_pos_mag 0.000000 0.000000 0.000000 0.000000
d2Udcp2_neg_mag 0.000000 0.000000 0.000000 0.000000
d3Udcp3_pos_mag 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_mag 0.000000 0.000000 0.000000 0.000000
i0_neg 0.000612 0.000430 0.000002 0.000001
i0_pos -0.000200 0.001234 0.000013 0.000007
SOC_neg 0.000000 0.000000 0.000000 0.000000
SOC_pos 0.000000 0.000000 0.000000 0.000000
tP -0.000035 0.000031 0.000000 0.000000
aa_neg 0.000000 0.000000 0.000000 0.000000
aa_pos 0.000000 0.000000 0.000000 0.000000
kappa_0 0.333736 0.346480 0.314762 0.209449
sigma_neg 0.036466 0.034340 0.018815 0.007987
sigma_pos 0.394899 0.281887 0.423045 0.121214

Parameter_1 Parameter_2 S2 S2_conf
a_neg a_pos -0.019212 0.066796
a_neg l_neg -0.016817 0.066957
a_neg l_sep -0.017053 0.067607
a_neg l_pos -0.012265 0.067281
a_neg Rp_neg -0.015913 0.066530
a_neg Rp_pos -0.015913 0.066530
a_neg epsilon_f_neg -0.016076 0.066476
a_neg epsilon_f_pos -0.009015 0.067009
a_neg epsilon_neg -0.010996 0.069299
a_neg epsilon_sep -0.015913 0.066530
a_neg epsilon_pos -0.015651 0.065471
a_neg Cdl_neg -0.012504 0.066831
a_neg Cdl_pos -0.017456 0.066563
a_neg cs_max_neg -0.015913 0.066530
a_neg cs_max_pos -0.015913 0.066530
a_neg c0 -0.015912 0.066530
a_neg D -0.015913 0.066530
a_neg Ds_neg -0.015913 0.066530
a_neg Ds_pos -0.015913 0.066530
a_neg d2Udcp2_pos_sgn -0.015913 0.066530
a_neg d2Udcp2_neg_sgn -0.015913 0.066530
a_neg d3Udcp3_pos_sgn -0.015913 0.066530
a_neg d3Udcp3_neg_sgn -0.015913 0.066530
a_neg dUdcp_pos_mag -0.015913 0.066530
a_neg dUdcp_neg_mag -0.015913 0.066530
a_neg d2Udcp2_pos_mag -0.015913 0.066530
a_neg d2Udcp2_neg_mag -0.015913 0.066530
a_neg d3Udcp3_pos_mag -0.015913 0.066530
a_neg d3Udcp3_neg_mag -0.015913 0.066530
a_neg i0_neg -0.015871 0.066534
a_neg i0_pos -0.015981 0.066521
a_neg SOC_neg -0.015913 0.066530
a_neg SOC_pos -0.015913 0.066530
a_neg tP -0.015910 0.066530
a_neg aa_neg -0.015913 0.066530
a_neg aa_pos -0.015913 0.066530
a_neg kappa_0 0.005888 0.068208
a_neg sigma_neg -0.014710 0.066499
a_neg sigma_pos -0.029501 0.065356
a_pos l_neg 0.031731 0.067383
a_pos l_sep 0.029309 0.066353
a_pos l_pos 0.023389 0.067342
a_pos Rp_neg 0.032456 0.067501
a_pos Rp_pos 0.032456 0.067501
a_pos epsilon_f_neg 0.032146 0.067384
a_pos epsilon_f_pos 0.032605 0.068030
a_pos epsilon_neg 0.031508 0.067441
a_pos epsilon_sep 0.032456 0.067501
a_pos epsilon_pos 0.039565 0.070001
a_pos Cdl_neg 0.035290 0.067928
a_pos Cdl_pos 0.032397 0.067269
a_pos cs_max_neg 0.032456 0.067501
a_pos cs_max_pos 0.032456 0.067501
a_pos c0 0.032456 0.067502
a_pos D 0.032456 0.067501
a_pos Ds_neg 0.032456 0.067501
a_pos Ds_pos 0.032456 0.067501
a_pos d2Udcp2_pos_sgn 0.032456 0.067501
a_pos d2Udcp2_neg_sgn 0.032456 0.067501
a_pos d3Udcp3_pos_sgn 0.032456 0.067501
a_pos d3Udcp3_neg_sgn 0.032456 0.067501
a_pos dUdcp_pos_mag 0.032456 0.067501
a_pos dUdcp_neg_mag 0.032456 0.067501
a_pos d2Udcp2_pos_mag 0.032456 0.067501
a_pos d2Udcp2_neg_mag 0.032456 0.067501
a_pos d3Udcp3_pos_mag 0.032456 0.067501
a_pos d3Udcp3_neg_mag 0.032456 0.067501
a_pos i0_neg 0.032446 0.067502
a_pos i0_pos 0.032609 0.067526
a_pos SOC_neg 0.032456 0.067501
a_pos SOC_pos 0.032456 0.067501
a_pos tP 0.032455 0.067501
a_pos aa_neg 0.032456 0.067501
a_pos aa_pos 0.032456 0.067501
a_pos kappa_0 0.063362 0.090656
a_pos sigma_neg 0.030533 0.067628
a_pos sigma_pos 0.038033 0.068095
l_neg l_sep -0.023440 0.030202
l_neg l_pos -0.021542 0.031957
l_neg Rp_neg -0.021649 0.029537
l_neg Rp_pos -0.021649 0.029537
l_neg epsilon_f_neg -0.021749 0.029529
l_neg epsilon_f_pos -0.022418 0.029444
l_neg epsilon_neg -0.022980 0.029405
l_neg epsilon_sep -0.021649 0.029537
l_neg epsilon_pos -0.019621 0.029453
l_neg Cdl_neg -0.021907 0.029507
l_neg Cdl_pos -0.020949 0.029520
l_neg cs_max_neg -0.021649 0.029537
l_neg cs_max_pos -0.021649 0.029537
l_neg c0 -0.021648 0.029537
l_neg D -0.021649 0.029537
l_neg Ds_neg -0.021649 0.029537
l_neg Ds_pos -0.021649 0.029537
l_neg d2Udcp2_pos_sgn -0.021649 0.029537
l_neg d2Udcp2_neg_sgn -0.021649 0.029537
l_neg d3Udcp3_pos_sgn -0.021649 0.029537
l_neg d3Udcp3_neg_sgn -0.021649 0.029537
l_neg dUdcp_pos_mag -0.021649 0.029537
l_neg dUdcp_neg_mag -0.021649 0.029537
l_neg d2Udcp2_pos_mag -0.021649 0.029537
l_neg d2Udcp2_neg_mag -0.021649 0.029537
l_neg d3Udcp3_pos_mag -0.021649 0.029537
l_neg d3Udcp3_neg_mag -0.021649 0.029537
l_neg i0_neg -0.021659 0.029536
l_neg i0_pos -0.021683 0.029535
l_neg SOC_neg -0.021649 0.029537
l_neg SOC_pos -0.021649 0.029537
l_neg tP -0.021649 0.029537
l_neg aa_neg -0.021649 0.029537
l_neg aa_pos -0.021649 0.029537
l_neg kappa_0 -0.015724 0.031369
l_neg sigma_neg -0.020351 0.030094
l_neg sigma_pos -0.038187 0.032353
l_sep l_pos -0.027225 0.058002
l_sep Rp_neg -0.027219 0.056102
l_sep Rp_pos -0.027219 0.056102
l_sep epsilon_f_neg -0.027550 0.056196
l_sep epsilon_f_pos -0.029180 0.056359
l_sep epsilon_neg -0.028286 0.056574
l_sep epsilon_sep -0.027219 0.056102
l_sep epsilon_pos -0.025426 0.055143
l_sep Cdl_neg -0.027883 0.056507
l_sep Cdl_pos -0.027366 0.056052
l_sep cs_max_neg -0.027219 0.056102
l_sep cs_max_pos -0.027219 0.056102
l_sep c0 -0.027217 0.056102
l_sep D -0.027219 0.056102
l_sep Ds_neg -0.027219 0.056102
l_sep Ds_pos -0.027219 0.056102
l_sep d2Udcp2_pos_sgn -0.027219 0.056102
l_sep d2Udcp2_neg_sgn -0.027219 0.056102
l_sep d3Udcp3_pos_sgn -0.027219 0.056102
l_sep d3Udcp3_neg_sgn -0.027219 0.056102
l_sep dUdcp_pos_mag -0.027219 0.056102
l_sep dUdcp_neg_mag -0.027219 0.056102
l_sep d2Udcp2_pos_mag -0.027219 0.056102
l_sep d2Udcp2_neg_mag -0.027219 0.056102
l_sep d3Udcp3_pos_mag -0.027219 0.056102
l_sep d3Udcp3_neg_mag -0.027219 0.056102
l_sep i0_neg -0.027231 0.056103
l_sep i0_pos -0.027151 0.056104
l_sep SOC_neg -0.027219 0.056102
l_sep SOC_pos -0.027219 0.056102
l_sep tP -0.027220 0.056102
l_sep aa_neg -0.027219 0.056102
l_sep aa_pos -0.027219 0.056102
l_sep kappa_0 -0.032146 0.062622
l_sep sigma_neg -0.025668 0.055461
l_sep sigma_pos -0.033220 0.058766
l_pos Rp_neg -0.138101 0.292901
l_pos Rp_pos -0.138101 0.292901
l_pos epsilon_f_neg -0.138424 0.292894
l_pos epsilon_f_pos -0.128989 0.293128
l_pos epsilon_neg -0.127092 0.292398
l_pos epsilon_sep -0.138101 0.292901
l_pos epsilon_pos -0.128738 0.296870
l_pos Cdl_neg -0.123902 0.292499
l_pos Cdl_pos -0.135534 0.292654
l_pos cs_max_neg -0.138101 0.292901
l_pos cs_max_pos -0.138101 0.292901
l_pos c0 -0.138089 0.292900
l_pos D -0.138101 0.292901
l_pos Ds_neg -0.138101 0.292901
l_pos Ds_pos -0.138101 0.292901
l_pos d2Udcp2_pos_sgn -0.138101 0.292901
l_pos d2Udcp2_neg_sgn -0.138101 0.292901
l_pos d3Udcp3_pos_sgn -0.138101 0.292901
l_pos d3Udcp3_neg_sgn -0.138101 0.292901
l_pos dUdcp_pos_mag -0.138101 0.292901
l_pos dUdcp_neg_mag -0.138101 0.292901
l_pos d2Udcp2_pos_mag -0.138101 0.292901
l_pos d2Udcp2_neg_mag -0.138101 0.292901
l_pos d3Udcp3_pos_mag -0.138101 0.292901
l_pos d3Udcp3_neg_mag -0.138101 0.292901
l_pos i0_neg -0.138114 0.292908
l_pos i0_pos -0.137659 0.292964
l_pos SOC_neg -0.138101 0.292901
l_pos SOC_pos -0.138101 0.292901
l_pos tP -0.138094 0.292901
l_pos aa_neg -0.138101 0.292901
l_pos aa_pos -0.138101 0.292901
l_pos kappa_0 -0.176915 0.291541
l_pos sigma_neg -0.140291 0.297247
l_pos sigma_pos -0.082800 0.356252
Rp_neg Rp_pos -0.000000 0.000000
Rp_neg epsilon_f_neg -0.000000 0.000000
Rp_neg epsilon_f_pos -0.000000 0.000000
Rp_neg epsilon_neg -0.000000 0.000000
Rp_neg epsilon_sep -0.000000 0.000000
Rp_neg epsilon_pos -0.000000 0.000000
Rp_neg Cdl_neg -0.000000 0.000000
Rp_neg Cdl_pos -0.000000 0.000000
Rp_neg cs_max_neg -0.000000 0.000000
Rp_neg cs_max_pos -0.000000 0.000000
Rp_neg c0 -0.000000 0.000000
Rp_neg D -0.000000 0.000000
Rp_neg Ds_neg -0.000000 0.000000
Rp_neg Ds_pos -0.000000 0.000000
Rp_neg d2Udcp2_pos_sgn -0.000000 0.000000
Rp_neg d2Udcp2_neg_sgn -0.000000 0.000000
Rp_neg d3Udcp3_pos_sgn -0.000000 0.000000
Rp_neg d3Udcp3_neg_sgn -0.000000 0.000000
Rp_neg dUdcp_pos_mag -0.000000 0.000000
Rp_neg dUdcp_neg_mag -0.000000 0.000000
Rp_neg d2Udcp2_pos_mag -0.000000 0.000000
Rp_neg d2Udcp2_neg_mag -0.000000 0.000000
Rp_neg d3Udcp3_pos_mag -0.000000 0.000000
Rp_neg d3Udcp3_neg_mag -0.000000 0.000000
Rp_neg i0_neg -0.000000 0.000000
Rp_neg i0_pos -0.000000 0.000000
Rp_neg SOC_neg -0.000000 0.000000
Rp_neg SOC_pos -0.000000 0.000000
Rp_neg tP -0.000000 0.000000
Rp_neg aa_neg -0.000000 0.000000
Rp_neg aa_pos -0.000000 0.000000
Rp_neg kappa_0 -0.000000 0.000000
Rp_neg sigma_neg -0.000000 0.000000
Rp_neg sigma_pos -0.000000 0.000000
Rp_pos epsilon_f_neg -0.000000 0.000000
Rp_pos epsilon_f_pos -0.000000 0.000000
Rp_pos epsilon_neg -0.000000 0.000000
Rp_pos epsilon_sep -0.000000 0.000000
Rp_pos epsilon_pos -0.000000 0.000000
Rp_pos Cdl_neg -0.000000 0.000000
