Parameter S1 S1_conf ST ST_conf
a_neg 0.201532 0.142506 0.260518 0.130722
a_pos 0.032779 0.185595 0.115634 0.038872
l_neg 0.005890 0.004883 0.000331 0.000163
l_sep 0.005130 0.009034 0.000508 0.000323
l_pos 0.030474 0.026680 0.013106 0.005610
Rp_neg -0.000083 0.000694 0.000016 0.000017
Rp_pos 0.000070 0.000846 0.000038 0.000044
epsilon_f_neg 0.000151 0.000633 0.000010 0.000008
epsilon_f_pos 0.001951 0.005452 0.000341 0.000136
epsilon_neg 0.095196 0.142366 0.137995 0.054707
epsilon_sep 0.000000 0.000000 0.000000 0.000000
epsilon_pos -0.057694 0.121466 0.170037 0.090265
Cdl_neg -0.001414 0.001320 0.000030 0.000024
Cdl_pos 0.005737 0.007064 0.000221 0.000192
cs_max_neg 0.000000 0.000000 0.000000 0.000000
cs_max_pos 0.000000 0.000000 0.000000 0.000000
c0 -0.000847 0.000726 0.000024 0.000022
D 0.000317 0.000261 0.000000 0.000000
Ds_neg 0.010723 0.012068 0.005233 0.006328
Ds_pos -0.005631 0.005132 0.000222 0.000146
d2Udcp2_pos_sgn 0.000000 0.000000 0.000000 0.000000
d2Udcp2_neg_sgn 0.000000 0.000000 0.000000 0.000000
d3Udcp3_pos_sgn 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_sgn 0.000000 0.000000 0.000000 0.000000
dUdcp_pos_mag -0.005917 0.005056 0.000287 0.000185
dUdcp_neg_mag 0.000389 0.001188 0.000040 0.000037
d2Udcp2_pos_mag 0.000000 0.000000 0.000000 0.000000
d2Udcp2_neg_mag 0.000000 0.000000 0.000000 0.000000
d3Udcp3_pos_mag 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_mag 0.000000 0.000000 0.000000 0.000000
i0_neg -0.014153 0.059079 0.051724 0.025667
i0_pos 0.188436 0.237801 0.203172 0.043771
SOC_neg 0.000000 0.000000 0.000000 0.000000
SOC_pos 0.000000 0.000000 0.000000 0.000000
tP -0.001457 0.001138 0.000137 0.000138
aa_neg 0.000000 0.000000 0.000000 0.000000
aa_pos 0.000000 0.000000 0.000000 0.000000
kappa_0 0.361992 0.530422 1.229946 0.919640
sigma_neg 0.003800 0.005356 0.000965 0.000526
sigma_pos 0.009781 0.044053 0.021962 0.010180

Parameter_1 Parameter_2 S2 S2_conf
a_neg a_pos -0.217166 0.247980
a_neg l_neg -0.191319 0.249127
a_neg l_sep -0.193179 0.250490
a_neg l_pos -0.188288 0.251041
a_neg Rp_neg -0.190139 0.248551
a_neg Rp_pos -0.189552 0.248479
a_neg epsilon_f_neg -0.190206 0.248529
a_neg epsilon_f_pos -0.184834 0.248726
a_neg epsilon_neg -0.199135 0.275290
a_neg epsilon_sep -0.190162 0.248533
a_neg epsilon_pos -0.186492 0.234562
a_neg Cdl_neg -0.190426 0.248502
a_neg Cdl_pos -0.193552 0.249692
a_neg cs_max_neg -0.190162 0.248533
a_neg cs_max_pos -0.190162 0.248533
a_neg c0 -0.189772 0.248389
a_neg D -0.190352 0.248622
a_neg Ds_neg -0.187332 0.249028
a_neg Ds_pos -0.190108 0.247809
a_neg d2Udcp2_pos_sgn -0.190162 0.248533
a_neg d2Udcp2_neg_sgn -0.190162 0.248533
a_neg d3Udcp3_pos_sgn -0.190162 0.248533
a_neg d3Udcp3_neg_sgn -0.190162 0.248533
a_neg dUdcp_pos_mag -0.190315 0.247755
a_neg dUdcp_neg_mag -0.190749 0.248535
a_neg d2Udcp2_pos_mag -0.190162 0.248533
a_neg d2Udcp2_neg_mag -0.190162 0.248533
a_neg d3Udcp3_pos_mag -0.190162 0.248533
a_neg d3Udcp3_neg_mag -0.190162 0.248533
a_neg i0_neg -0.218414 0.241503
a_neg i0_pos -0.128906 0.250314
a_neg SOC_neg -0.190162 0.248533
a_neg SOC_pos -0.190162 0.248533
a_neg tP -0.189497 0.248359
a_neg aa_neg -0.190162 0.248533
a_neg aa_pos -0.190162 0.248533
a_neg kappa_0 0.020978 0.295067
a_neg sigma_neg -0.190224 0.248659
a_neg sigma_pos -0.194085 0.250500
a_pos l_neg 0.144224 0.383994
a_pos l_sep 0.143380 0.383975
a_pos l_pos 0.128831 0.386683
a_pos Rp_neg 0.145198 0.384529
a_pos Rp_pos 0.145450 0.384903
a_pos epsilon_f_neg 0.144586 0.384144
a_pos epsilon_f_pos 0.145413 0.385296
a_pos epsilon_neg 0.114307 0.379311
a_pos epsilon_sep 0.144876 0.384376
a_pos epsilon_pos 0.123897 0.343936
a_pos Cdl_neg 0.145320 0.384434
a_pos Cdl_pos 0.144480 0.384069
a_pos cs_max_neg 0.144876 0.384376
a_pos cs_max_pos 0.144876 0.384376
a_pos c0 0.144908 0.384432
a_pos D 0.144848 0.384420
a_pos Ds_neg 0.147028 0.384917
a_pos Ds_pos 0.139768 0.380681
a_pos d2Udcp2_pos_sgn 0.144876 0.384376
a_pos d2Udcp2_neg_sgn 0.144876 0.384376
a_pos d3Udcp3_pos_sgn 0.144876 0.384376
a_pos d3Udcp3_neg_sgn 0.144876 0.384376
a_pos dUdcp_pos_mag 0.140362 0.380773
a_pos dUdcp_neg_mag 0.144922 0.384312
a_pos d2Udcp2_pos_mag 0.144876 0.384376
a_pos d2Udcp2_neg_mag 0.144876 0.384376
a_pos d3Udcp3_pos_mag 0.144876 0.384376
a_pos d3Udcp3_neg_mag 0.144876 0.384376
a_pos i0_neg 0.152300 0.377296
a_pos i0_pos 0.036133 0.525186
a_pos SOC_neg 0.144876 0.384376
a_pos SOC_pos 0.144876 0.384376
a_pos tP 0.144364 0.384366
a_pos aa_neg 0.144876 0.384376
a_pos aa_pos 0.144876 0.384376
a_pos kappa_0 0.711201 0.834189
a_pos sigma_neg 0.143678 0.385637
a_pos sigma_pos 0.158299 0.386770
l_neg l_sep -0.004818 0.006818
l_neg l_pos -0.004584 0.006850
l_neg Rp_neg -0.004682 0.006761
l_neg Rp_pos -0.004696 0.006763
l_neg epsilon_f_neg -0.004701 0.006762
l_neg epsilon_f_pos -0.004701 0.006756
l_neg epsilon_neg -0.006404 0.006827
l_neg epsilon_sep -0.004696 0.006762
l_neg epsilon_pos -0.004362 0.006390
l_neg Cdl_neg -0.004715 0.006761
l_neg Cdl_pos -0.004731 0.006784
l_neg cs_max_neg -0.004696 0.006762
l_neg cs_max_pos -0.004696 0.006762
l_neg c0 -0.004694 0.006762
l_neg D -0.004696 0.006762
l_neg Ds_neg -0.004644 0.006761
l_neg Ds_pos -0.004716 0.006759
l_neg d2Udcp2_pos_sgn -0.004696 0.006762
l_neg d2Udcp2_neg_sgn -0.004696 0.006762
l_neg d3Udcp3_pos_sgn -0.004696 0.006762
l_neg d3Udcp3_neg_sgn -0.004696 0.006762
l_neg dUdcp_pos_mag -0.004719 0.006760
l_neg dUdcp_neg_mag -0.004715 0.006765
l_neg d2Udcp2_pos_mag -0.004696 0.006762
l_neg d2Udcp2_neg_mag -0.004696 0.006762
l_neg d3Udcp3_pos_mag -0.004696 0.006762
l_neg d3Udcp3_neg_mag -0.004696 0.006762
l_neg i0_neg -0.003736 0.007258
l_neg i0_pos -0.002925 0.006346
l_neg SOC_neg -0.004696 0.006762
l_neg SOC_pos -0.004696 0.006762
l_neg tP -0.004702 0.006763
l_neg aa_neg -0.004696 0.006762
l_neg aa_pos -0.004696 0.006762
l_neg kappa_0 -0.003995 0.007334
l_neg sigma_neg -0.004625 0.006785
l_neg sigma_pos -0.005771 0.007076
l_sep l_pos -0.007688 0.012866
l_sep Rp_neg -0.007625 0.012722
l_sep Rp_pos -0.007637 0.012730
l_sep epsilon_f_neg -0.007666 0.012736
l_sep epsilon_f_pos -0.007751 0.012748
l_sep epsilon_neg -0.007022 0.012732
l_sep epsilon_sep -0.007649 0.012731
l_sep epsilon_pos -0.006651 0.012273
l_sep Cdl_neg -0.007644 0.012733
l_sep Cdl_pos -0.007701 0.012770
l_sep cs_max_neg -0.007649 0.012731
l_sep cs_max_pos -0.007649 0.012731
l_sep c0 -0.007636 0.012729
l_sep D -0.007650 0.012731
l_sep Ds_neg -0.007880 0.012776
l_sep Ds_pos -0.007691 0.012726
l_sep d2Udcp2_pos_sgn -0.007649 0.012731
l_sep d2Udcp2_neg_sgn -0.007649 0.012731
l_sep d3Udcp3_pos_sgn -0.007649 0.012731
l_sep d3Udcp3_neg_sgn -0.007649 0.012731
l_sep dUdcp_pos_mag -0.007572 0.012713
l_sep dUdcp_neg_mag -0.007628 0.012727
l_sep d2Udcp2_pos_mag -0.007649 0.012731
l_sep d2Udcp2_neg_mag -0.007649 0.012731
l_sep d3Udcp3_pos_mag -0.007649 0.012731
l_sep d3Udcp3_neg_mag -0.007649 0.012731
l_sep i0_neg -0.008515 0.013398
l_sep i0_pos -0.007516 0.011984
l_sep SOC_neg -0.007649 0.012731
l_sep SOC_pos -0.007649 0.012731
l_sep tP -0.007674 0.012732
l_sep aa_neg -0.007649 0.012731
l_sep aa_pos -0.007649 0.012731
l_sep kappa_0 -0.009292 0.016709
l_sep sigma_neg -0.007569 0.012679
l_sep sigma_pos -0.007964 0.012911
l_pos Rp_neg -0.039526 0.065928
l_pos Rp_pos -0.039746 0.065941
l_pos epsilon_f_neg -0.039687 0.065933
l_pos epsilon_f_pos -0.039252 0.065919
l_pos epsilon_neg -0.021668 0.061884
l_pos epsilon_sep -0.039671 0.065936
l_pos epsilon_pos -0.033483 0.063799
l_pos Cdl_neg -0.039667 0.065866
l_pos Cdl_pos -0.039009 0.066056
l_pos cs_max_neg -0.039671 0.065936
l_pos cs_max_pos -0.039671 0.065936
l_pos c0 -0.039560 0.065917
l_pos D -0.039672 0.065935
l_pos Ds_neg -0.038548 0.065984
l_pos Ds_pos -0.039778 0.065913
l_pos d2Udcp2_pos_sgn -0.039671 0.065936
l_pos d2Udcp2_neg_sgn -0.039671 0.065936
l_pos d3Udcp3_pos_sgn -0.039671 0.065936
l_pos d3Udcp3_neg_sgn -0.039671 0.065936
l_pos dUdcp_pos_mag -0.039776 0.065906
l_pos dUdcp_neg_mag -0.039661 0.065970
l_pos d2Udcp2_pos_mag -0.039671 0.065936
l_pos d2Udcp2_neg_mag -0.039671 0.065936
l_pos d3Udcp3_pos_mag -0.039671 0.065936
l_pos d3Udcp3_neg_mag -0.039671 0.065936
l_pos i0_neg -0.029073 0.068368
l_pos i0_pos -0.048684 0.060055
l_pos SOC_neg -0.039671 0.065936
l_pos SOC_pos -0.039671 0.065936
l_pos tP -0.039607 0.065935
l_pos aa_neg -0.039671 0.065936
l_pos aa_pos -0.039671 0.065936
l_pos kappa_0 -0.065673 0.069099
l_pos sigma_neg -0.039735 0.066257
l_pos sigma_pos -0.036743 0.068962
Rp_neg Rp_pos -0.000602 0.001023
Rp_neg epsilon_f_neg -0.000603 0.001023
Rp_neg epsilon_f_pos -0.000590 0.001023
Rp_neg epsilon_neg -0.000851 0.001193
Rp_neg epsilon_sep -0.000602 0.001023
Rp_neg epsilon_pos -0.000393 0.000944
Rp_neg Cdl_neg -0.000601 0.001023
Rp_neg Cdl_pos -0.000632 0.001045
Rp_neg cs_max_neg -0.000602 0.001023
Rp_neg cs_max_pos -0.000602 0.001023
Rp_neg c0 -0.000602 0.001023
Rp_neg D -0.000602 0.001023
Rp_neg Ds_neg -0.000577 0.001027
Rp_neg Ds_pos -0.000604 0.001023
Rp_neg d2Udcp2_pos_sgn -0.000602 0.001023
Rp_neg d2Udcp2_neg_sgn -0.000602 0.001023
Rp_neg d3Udcp3_pos_sgn -0.000602 0.001023
Rp_neg d3Udcp3_neg_sgn -0.000602 0.001023
Rp_neg dUdcp_pos_mag -0.000606 0.001023
Rp_neg dUdcp_neg_mag -0.000606 0.001025
Rp_neg d2Udcp2_pos_mag -0.000602 0.001023
Rp_neg d2Udcp2_neg_mag -0.000602 0.001023
Rp_neg d3Udcp3_pos_mag -0.000602 0.001023
Rp_neg d3Udcp3_neg_mag -0.000602 0.001023
Rp_neg i0_neg -0.000569 0.001006
Rp_neg i0_pos -0.000377 0.000900
Rp_neg SOC_neg -0.000602 0.001023
Rp_neg SOC_pos -0.000602 0.001023
Rp_neg tP -0.000601 0.001023
Rp_neg aa_neg -0.000602 0.001023
