Parameter S1 S1_conf ST ST_conf
a_neg 0.223003 0.191435 0.299389 0.148019
a_pos -0.043130 0.195054 0.151377 0.048608
l_neg 0.008004 0.006274 0.000520 0.000229
l_sep 0.007248 0.013352 0.000811 0.000531
l_pos 0.034147 0.035917 0.020912 0.008483
Rp_neg 0.000624 0.000827 0.000008 0.000006
Rp_pos 0.000820 0.000958 0.000003 0.000003
epsilon_f_neg 0.000059 0.000780 0.000016 0.000012
epsilon_f_pos 0.002802 0.006744 0.000546 0.000190
epsilon_neg 0.074976 0.167803 0.177080 0.065888
epsilon_sep 0.000000 0.000000 0.000000 0.000000
epsilon_pos 0.000007 0.145227 0.206225 0.104502
Cdl_neg -0.041721 0.026920 0.014481 0.006730
Cdl_pos 0.027752 0.070967 0.019541 0.015939
cs_max_neg 0.000000 0.000000 0.000000 0.000000
cs_max_pos 0.000000 0.000000 0.000000 0.000000
c0 -0.000246 0.000226 0.000001 0.000001
D 0.000055 0.000048 0.000000 0.000000
Ds_neg 0.000927 0.001270 0.000027 0.000025
Ds_pos -0.000318 0.000334 0.000003 0.000003
d2Udcp2_pos_sgn 0.000000 0.000000 0.000000 0.000000
d2Udcp2_neg_sgn 0.000000 0.000000 0.000000 0.000000
d3Udcp3_pos_sgn 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_sgn 0.000000 0.000000 0.000000 0.000000
dUdcp_pos_mag 0.000592 0.000900 0.000006 0.000004
dUdcp_neg_mag 0.000177 0.000610 0.000005 0.000003
d2Udcp2_pos_mag 0.000000 0.000000 0.000000 0.000000
d2Udcp2_neg_mag 0.000000 0.000000 0.000000 0.000000
d3Udcp3_pos_mag 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_mag 0.000000 0.000000 0.000000 0.000000
i0_neg -0.044453 0.052190 0.026328 0.011392
i0_pos 0.022000 0.114185 0.139602 0.051464
SOC_neg 0.000000 0.000000 0.000000 0.000000
SOC_pos 0.000000 0.000000 0.000000 0.000000
tP -0.000427 0.000319 0.000004 0.000004
aa_neg 0.000000 0.000000 0.000000 0.000000
aa_pos 0.000000 0.000000 0.000000 0.000000
kappa_0 0.492252 0.654210 1.429722 1.006154
sigma_neg 0.004243 0.007879 0.001548 0.000795
sigma_pos 0.027572 0.062283 0.035170 0.015154

Parameter_1 Parameter_2 S2 S2_conf
a_neg a_pos -0.219280 0.304389
a_neg l_neg -0.180234 0.302233
a_neg l_sep -0.182415 0.304301
a_neg l_pos -0.172852 0.304651
a_neg Rp_neg -0.178465 0.301413
a_neg Rp_pos -0.178235 0.301367
a_neg epsilon_f_neg -0.178683 0.301362
a_neg epsilon_f_pos -0.171594 0.301257
a_neg epsilon_neg -0.181659 0.337910
a_neg epsilon_sep -0.178586 0.301377
a_neg epsilon_pos -0.197194 0.289945
a_neg Cdl_neg -0.172929 0.302326
a_neg Cdl_pos -0.203148 0.312863
a_neg cs_max_neg -0.178586 0.301377
a_neg cs_max_pos -0.178586 0.301377
a_neg c0 -0.178455 0.301305
a_neg D -0.178623 0.301395
a_neg Ds_neg -0.178371 0.301412
a_neg Ds_pos -0.178543 0.301294
a_neg d2Udcp2_pos_sgn -0.178586 0.301377
a_neg d2Udcp2_neg_sgn -0.178586 0.301377
a_neg d3Udcp3_pos_sgn -0.178586 0.301377
a_neg d3Udcp3_neg_sgn -0.178586 0.301377
a_neg dUdcp_pos_mag -0.178323 0.301357
a_neg dUdcp_neg_mag -0.178290 0.301391
a_neg d2Udcp2_pos_mag -0.178586 0.301377
a_neg d2Udcp2_neg_mag -0.178586 0.301377
a_neg d3Udcp3_pos_mag -0.178586 0.301377
a_neg d3Udcp3_neg_mag -0.178586 0.301377
a_neg i0_neg -0.206024 0.297412
a_neg i0_pos -0.141855 0.305001
a_neg SOC_neg -0.178586 0.301377
a_neg SOC_pos -0.178586 0.301377
a_neg tP -0.178377 0.301286
a_neg aa_neg -0.178586 0.301377
a_neg aa_pos -0.178586 0.301377
a_neg kappa_0 0.071319 0.354835
a_neg sigma_neg -0.178590 0.301702
a_neg sigma_pos -0.186855 0.303685
a_pos l_neg 0.272052 0.390033
a_pos l_sep 0.271132 0.390330
a_pos l_pos 0.259505 0.390380
a_pos Rp_neg 0.272725 0.390637
a_pos Rp_pos 0.273981 0.391409
a_pos epsilon_f_neg 0.272687 0.390384
a_pos epsilon_f_pos 0.273492 0.391814
a_pos epsilon_neg 0.254625 0.387445
a_pos epsilon_sep 0.273088 0.390695
a_pos epsilon_pos 0.245666 0.337938
a_pos Cdl_neg 0.281836 0.389976
a_pos Cdl_pos 0.260853 0.382031
a_pos cs_max_neg 0.273088 0.390695
a_pos cs_max_pos 0.273088 0.390695
