Parameter S1 S1_conf ST ST_conf
a_neg 0.173694 0.174637 0.196712 0.079939
a_pos 0.053667 0.235255 0.183541 0.103676
l_neg 0.012574 0.011529 0.001921 0.000826
l_sep 0.011660 0.024545 0.003002 0.002021
l_pos 0.096146 0.085136 0.077468 0.028360
Rp_neg 0.000093 0.000083 0.000000 0.000000
Rp_pos -0.000109 0.000110 0.000000 0.000000
epsilon_f_neg -0.000714 0.001644 0.000061 0.000045
epsilon_f_pos 0.001450 0.016982 0.002040 0.000692
epsilon_neg 0.043796 0.134530 0.124611 0.046392
epsilon_sep 0.000000 0.000000 0.000000 0.000000
epsilon_pos 0.062571 0.132320 0.121313 0.058836
Cdl_neg -0.056256 0.088097 0.054391 0.021317
Cdl_pos 0.004749 0.068095 0.048484 0.036580
cs_max_neg 0.000000 0.000000 0.000000 0.000000
cs_max_pos 0.000000 0.000000 0.000000 0.000000
c0 -0.000171 0.000173 0.000000 0.000000
D -0.000012 0.000012 0.000000 0.000000
Ds_neg -0.000592 0.000700 0.000009 0.000011
Ds_pos 0.000031 0.000112 0.000000 0.000000
d2Udcp2_pos_sgn 0.000000 0.000000 0.000000 0.000000
d2Udcp2_neg_sgn 0.000000 0.000000 0.000000 0.000000
d3Udcp3_pos_sgn 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_sgn 0.000000 0.000000 0.000000 0.000000
dUdcp_pos_mag 0.000054 0.000065 0.000000 0.000000
dUdcp_neg_mag -0.000052 0.000135 0.000000 0.000000
d2Udcp2_pos_mag 0.000000 0.000000 0.000000 0.000000
d2Udcp2_neg_mag 0.000000 0.000000 0.000000 0.000000
d3Udcp3_pos_mag 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_mag 0.000000 0.000000 0.000000 0.000000
i0_neg -0.019382 0.023184 0.002109 0.001155
i0_pos 0.006942 0.043444 0.011641 0.006160
SOC_neg 0.000000 0.000000 0.000000 0.000000
SOC_pos 0.000000 0.000000 0.000000 0.000000
tP -0.000296 0.000216 0.000002 0.000002
aa_neg 0.000000 0.000000 0.000000 0.000000
aa_pos 0.000000 0.000000 0.000000 0.000000
kappa_0 0.460717 0.623799 1.008631 0.702088
sigma_neg 0.011468 0.018143 0.005815 0.002879
sigma_pos 0.139919 0.159671 0.131222 0.053616

Parameter_1 Parameter_2 S2 S2_conf
a_neg a_pos -0.176037 0.299949
a_neg l_neg -0.126647 0.289631
a_neg l_sep -0.127170 0.291183
a_neg l_pos -0.114344 0.291151
a_neg Rp_neg -0.124558 0.288340
a_neg Rp_pos -0.124612 0.288340
a_neg epsilon_f_neg -0.124878 0.288238
a_neg epsilon_f_pos -0.109657 0.288727
a_neg epsilon_neg -0.039604 0.334489
a_neg epsilon_sep -0.124585 0.288339
a_neg epsilon_pos -0.125482 0.284504
a_neg Cdl_neg -0.098933 0.292773
a_neg Cdl_pos -0.138729 0.291837
a_neg cs_max_neg -0.124585 0.288339
a_neg cs_max_pos -0.124585 0.288339
a_neg c0 -0.124556 0.288326
a_neg D -0.124578 0.288336
a_neg Ds_neg -0.124776 0.288323
a_neg Ds_pos -0.124611 0.288351
a_neg d2Udcp2_pos_sgn -0.124585 0.288339
a_neg d2Udcp2_neg_sgn -0.124585 0.288339
a_neg d3Udcp3_pos_sgn -0.124585 0.288339
a_neg d3Udcp3_neg_sgn -0.124585 0.288339
a_neg dUdcp_pos_mag -0.124590 0.288347
a_neg dUdcp_neg_mag -0.124544 0.288337
a_neg d2Udcp2_pos_mag -0.124585 0.288339
a_neg d2Udcp2_neg_mag -0.124585 0.288339
a_neg d3Udcp3_pos_mag -0.124585 0.288339
a_neg d3Udcp3_neg_mag -0.124585 0.288339
a_neg i0_neg -0.125983 0.288094
a_neg i0_pos -0.118612 0.289837
a_neg SOC_neg -0.124585 0.288339
a_neg SOC_pos -0.124585 0.288339
a_neg tP -0.124522 0.288324
a_neg aa_neg -0.124585 0.288339
a_neg aa_pos -0.124585 0.288339
a_neg kappa_0 0.025256 0.304642
a_neg sigma_neg -0.123398 0.288465
a_neg sigma_pos -0.148121 0.284047
a_pos l_neg 0.108634 0.348467
a_pos l_sep 0.104444 0.347412
a_pos l_pos 0.091104 0.349220
a_pos Rp_neg 0.110120 0.348952
a_pos Rp_pos 0.110067 0.348921
a_pos epsilon_f_neg 0.109490 0.348663
a_pos epsilon_f_pos 0.110478 0.349904
a_pos epsilon_neg 0.098380 0.348188
a_pos epsilon_sep 0.110120 0.348952
a_pos epsilon_pos 0.143891 0.349234
a_pos Cdl_neg 0.138458 0.353575
a_pos Cdl_pos 0.101415 0.342950
a_pos cs_max_neg 0.110120 0.348952
a_pos cs_max_pos 0.110120 0.348952
a_pos c0 0.110122 0.348956
a_pos D 0.110119 0.348952
a_pos Ds_neg 0.110076 0.348956
a_pos Ds_pos 0.110126 0.348952
a_pos d2Udcp2_pos_sgn 0.110120 0.348952
a_pos d2Udcp2_neg_sgn 0.110120 0.348952
a_pos d3Udcp3_pos_sgn 0.110120 0.348952
a_pos d3Udcp3_neg_sgn 0.110120 0.348952
a_pos dUdcp_pos_mag 0.110137 0.348965
a_pos dUdcp_neg_mag 0.110132 0.348952
a_pos d2Udcp2_pos_mag 0.110120 0.348952
a_pos d2Udcp2_neg_mag 0.110120 0.348952
a_pos d3Udcp3_pos_mag 0.110120 0.348952
a_pos d3Udcp3_neg_mag 0.110120 0.348952
a_pos i0_neg 0.110648 0.349271
a_pos i0_pos 0.092553 0.347311
a_pos SOC_neg 0.110120 0.348952
a_pos SOC_pos 0.110120 0.348952
a_pos tP 0.110051 0.348952
a_pos aa_neg 0.110120 0.348952
a_pos aa_pos 0.110120 0.348952
a_pos kappa_0 0.367920 0.560358
a_pos sigma_neg 0.106291 0.349138
a_pos sigma_pos 0.122411 0.348530
l_neg l_sep -0.014859 0.017396
l_neg l_pos -0.014328 0.017985
l_neg Rp_neg -0.014313 0.017198
l_neg Rp_pos -0.014315 0.017198
l_neg epsilon_f_neg -0.014345 0.017193
l_neg epsilon_f_pos -0.014557 0.017180
l_neg epsilon_neg -0.016768 0.016620
l_neg epsilon_sep -0.014314 0.017198
l_neg epsilon_pos -0.014027 0.016969
l_neg Cdl_neg -0.015382 0.017274
l_neg Cdl_pos -0.014139 0.017263
l_neg cs_max_neg -0.014314 0.017198
l_neg cs_max_pos -0.014314 0.017198
l_neg c0 -0.014313 0.017198
l_neg D -0.014314 0.017198
l_neg Ds_neg -0.014317 0.017198
l_neg Ds_pos -0.014314 0.017198
l_neg d2Udcp2_pos_sgn -0.014314 0.017198
l_neg d2Udcp2_neg_sgn -0.014314 0.017198
l_neg d3Udcp3_pos_sgn -0.014314 0.017198
l_neg d3Udcp3_neg_sgn -0.014314 0.017198
l_neg dUdcp_pos_mag -0.014314 0.017198
l_neg dUdcp_neg_mag -0.014312 0.017198
l_neg d2Udcp2_pos_mag -0.014314 0.017198
l_neg d2Udcp2_neg_mag -0.014314 0.017198
l_neg d3Udcp3_pos_mag -0.014314 0.017198
l_neg d3Udcp3_neg_mag -0.014314 0.017198
l_neg i0_neg -0.014454 0.017136
l_neg i0_pos -0.013914 0.017234
l_neg SOC_neg -0.014314 0.017198
l_neg SOC_pos -0.014314 0.017198
l_neg tP -0.014316 0.017198
l_neg aa_neg -0.014314 0.017198
l_neg aa_pos -0.014314 0.017198
l_neg kappa_0 -0.010356 0.018610
l_neg sigma_neg -0.013877 0.017386
l_neg sigma_pos -0.019521 0.018533
l_sep l_pos -0.017120 0.033705
l_sep Rp_neg -0.016918 0.032928
l_sep Rp_pos -0.016916 0.032927
l_sep epsilon_f_neg -0.017017 0.032961
l_sep epsilon_f_pos -0.017522 0.033068
l_sep epsilon_neg -0.016906 0.033124
l_sep epsilon_sep -0.016914 0.032926
l_sep epsilon_pos -0.015984 0.033164
l_sep Cdl_neg -0.018690 0.033864
l_sep Cdl_pos -0.018093 0.033259
l_sep cs_max_neg -0.016914 0.032926
l_sep cs_max_pos -0.016914 0.032926
l_sep c0 -0.016910 0.032926
l_sep D -0.016914 0.032926
l_sep Ds_neg -0.016891 0.032920
l_sep Ds_pos -0.016913 0.032926
l_sep d2Udcp2_pos_sgn -0.016914 0.032926
l_sep d2Udcp2_neg_sgn -0.016914 0.032926
l_sep d3Udcp3_pos_sgn -0.016914 0.032926
l_sep d3Udcp3_neg_sgn -0.016914 0.032926
l_sep dUdcp_pos_mag -0.016919 0.032927
l_sep dUdcp_neg_mag -0.016918 0.032928
l_sep d2Udcp2_pos_mag -0.016914 0.032926
l_sep d2Udcp2_neg_mag -0.016914 0.032926
l_sep d3Udcp3_pos_mag -0.016914 0.032926
l_sep d3Udcp3_neg_mag -0.016914 0.032926
l_sep i0_neg -0.016456 0.032799
l_sep i0_pos -0.018192 0.033014
l_sep SOC_neg -0.016914 0.032926
l_sep SOC_pos -0.016914 0.032926
l_sep tP -0.016921 0.032928
l_sep aa_neg -0.016914 0.032926
l_sep aa_pos -0.016914 0.032926
l_sep kappa_0 -0.023305 0.041748
l_sep sigma_neg -0.016435 0.032658
l_sep sigma_pos -0.018791 0.034069
l_pos Rp_neg -0.105529 0.180781
l_pos Rp_pos -0.105530 0.180777
l_pos epsilon_f_neg -0.105630 0.180733
l_pos epsilon_f_pos -0.103045 0.180918
l_pos epsilon_neg -0.069791 0.174122
l_pos epsilon_sep -0.105534 0.180779
l_pos epsilon_pos -0.078245 0.184335
l_pos Cdl_neg -0.077718 0.174468
l_pos Cdl_pos -0.093788 0.180913
l_pos cs_max_neg -0.105534 0.180779
l_pos cs_max_pos -0.105534 0.180779
l_pos c0 -0.105495 0.180776
l_pos D -0.105534 0.180779
l_pos Ds_neg -0.105636 0.180767
