Parameter S1 S1_conf ST ST_conf
a_neg 0.007754 0.026802 0.008638 0.004550
a_pos -0.001278 0.029775 0.006588 0.005038
l_neg 0.018197 0.020402 0.006592 0.003033
l_sep 0.017956 0.037882 0.009986 0.006445
l_pos 0.297101 0.144420 0.271689 0.081137
Rp_neg 0.000000 0.000000 0.000000 0.000000
Rp_pos 0.000000 0.000000 0.000000 0.000000
epsilon_f_neg -0.001229 0.002622 0.000205 0.000141
epsilon_f_pos 0.001654 0.029952 0.006844 0.002141
epsilon_neg 0.003849 0.020345 0.005071 0.002092
epsilon_sep 0.000000 0.000000 0.000000 0.000000
epsilon_pos 0.016041 0.045038 0.022611 0.012159
Cdl_neg -0.005408 0.018863 0.002798 0.001106
Cdl_pos -0.007305 0.009711 0.001644 0.000771
cs_max_neg 0.000000 0.000000 0.000000 0.000000
cs_max_pos 0.000000 0.000000 0.000000 0.000000
c0 -0.000007 0.000012 0.000000 0.000000
D 0.000000 0.000000 0.000000 0.000000
Ds_neg -0.000000 0.000000 0.000000 0.000000
Ds_pos 0.000000 0.000000 0.000000 0.000000
d2Udcp2_pos_sgn 0.000000 0.000000 0.000000 0.000000
d2Udcp2_neg_sgn 0.000000 0.000000 0.000000 0.000000
d3Udcp3_pos_sgn 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_sgn 0.000000 0.000000 0.000000 0.000000
dUdcp_pos_mag 0.000000 0.000000 0.000000 0.000000
dUdcp_neg_mag 0.000000 0.000000 0.000000 0.000000
d2Udcp2_pos_mag 0.000000 0.000000 0.000000 0.000000
d2Udcp2_neg_mag 0.000000 0.000000 0.000000 0.000000
d3Udcp3_pos_mag 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_mag 0.000000 0.000000 0.000000 0.000000
i0_neg 0.000233 0.000151 0.000000 0.000000
i0_pos -0.000163 0.000478 0.000003 0.000002
SOC_neg 0.000000 0.000000 0.000000 0.000000
SOC_pos 0.000000 0.000000 0.000000 0.000000
tP -0.000011 0.000011 0.000000 0.000000
aa_neg 0.000000 0.000000 0.000000 0.000000
aa_pos 0.000000 0.000000 0.000000 0.000000
kappa_0 0.308830 0.341925 0.264295 0.186550
sigma_neg 0.038018 0.034360 0.019539 0.009060
sigma_pos 0.407183 0.283518 0.439299 0.125574

Parameter_1 Parameter_2 S2 S2_conf
a_neg a_pos -0.010555 0.045027
a_neg l_neg -0.009620 0.045131
a_neg l_sep -0.009727 0.045621
a_neg l_pos -0.006320 0.045470
a_neg Rp_neg -0.008991 0.044816
a_neg Rp_pos -0.008991 0.044816
a_neg epsilon_f_neg -0.009101 0.044781
a_neg epsilon_f_pos -0.004296 0.045066
a_neg epsilon_neg -0.006929 0.046136
a_neg epsilon_sep -0.008991 0.044816
a_neg epsilon_pos -0.008940 0.043981
a_neg Cdl_neg -0.007422 0.044907
a_neg Cdl_pos -0.009522 0.044790
a_neg cs_max_neg -0.008991 0.044816
a_neg cs_max_pos -0.008991 0.044816
a_neg c0 -0.008991 0.044816
a_neg D -0.008991 0.044816
a_neg Ds_neg -0.008991 0.044816
a_neg Ds_pos -0.008991 0.044816
a_neg d2Udcp2_pos_sgn -0.008991 0.044816
a_neg d2Udcp2_neg_sgn -0.008991 0.044816
a_neg d3Udcp3_pos_sgn -0.008991 0.044816
a_neg d3Udcp3_neg_sgn -0.008991 0.044816
a_neg dUdcp_pos_mag -0.008991 0.044816
a_neg dUdcp_neg_mag -0.008991 0.044816
a_neg d2Udcp2_pos_mag -0.008991 0.044816
a_neg d2Udcp2_neg_mag -0.008991 0.044816
a_neg d3Udcp3_pos_mag -0.008991 0.044816
a_neg d3Udcp3_neg_mag -0.008991 0.044816
a_neg i0_neg -0.008978 0.044816
a_neg i0_pos -0.009021 0.044812
a_neg SOC_neg -0.008991 0.044816
a_neg SOC_pos -0.008991 0.044816
a_neg tP -0.008990 0.044816
a_neg aa_neg -0.008991 0.044816
a_neg aa_pos -0.008991 0.044816
a_neg kappa_0 0.004842 0.045951
a_neg sigma_neg -0.008151 0.044780
a_neg sigma_pos -0.018972 0.044038
a_pos l_neg 0.020146 0.042393
a_pos l_sep 0.018609 0.041767
a_pos l_pos 0.014294 0.042523
a_pos Rp_neg 0.020743 0.042457
a_pos Rp_pos 0.020743 0.042457
a_pos epsilon_f_neg 0.020521 0.042369
a_pos epsilon_f_pos 0.020794 0.042830
a_pos epsilon_neg 0.020163 0.042401
a_pos epsilon_sep 0.020743 0.042457
a_pos epsilon_pos 0.025984 0.044327
a_pos Cdl_neg 0.022003 0.042668
a_pos Cdl_pos 0.020701 0.042288
a_pos cs_max_neg 0.020743 0.042457
a_pos cs_max_pos 0.020743 0.042457
