Parameter S1 S1_conf ST ST_conf
a_neg 0.000666 0.009379 1.093892 34.072697
a_pos 0.019081 0.015533 0.001394 0.238364
l_neg -0.000905 0.000763 242.661079 208.425656
l_sep 0.000107 0.003330 0.000003 0.000161
l_pos 0.000406 0.000313 0.000001 0.000221
Rp_neg 0.000101 0.029633 0.000885 0.052953
Rp_pos -0.008947 0.006242 0.000097 0.011108
epsilon_f_neg 0.000000 0.000001 0.000000 0.000000
epsilon_f_pos 0.000006 0.000020 0.000000 0.000000
epsilon_neg 0.000225 0.043213 0.511153 5.311632
epsilon_sep 0.000000 0.000000 0.000000 0.000000
epsilon_pos -0.105309 0.072925 0.005201 0.011927
Cdl_neg -0.000000 0.000002 0.000004 0.000003
Cdl_pos -0.000001 0.000000 0.000000 0.000000
cs_max_neg -0.000000 0.000000 0.000000 0.000000
cs_max_pos -0.000000 0.000000 0.000000 0.000000
c0 -0.001257 0.001161 0.000107 0.011993
D -0.000455 0.001692 0.000058 0.005612
Ds_neg 0.007223 3.362434 2.280546 522.574162
Ds_pos 0.052454 0.036585 0.267038 36.682033
d2Udcp2_pos_sgn 0.105071 0.072591 0.005243 0.020971
d2Udcp2_neg_sgn 0.000066 0.010212 0.039875 0.777842
d3Udcp3_pos_sgn -0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_sgn -0.000000 0.000000 0.000000 0.000000
dUdcp_pos_mag 0.051032 0.035685 0.001715 0.061686
dUdcp_neg_mag -0.008672 0.559460 52.482025 44.393700
d2Udcp2_pos_mag -3.351400 2.314121 5.157512 3.555801
d2Udcp2_neg_mag -0.000274 0.014903 0.342214 1.507280
d3Udcp3_pos_mag -0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_mag -0.000000 0.000000 0.000000 0.000000
i0_neg 0.000022 0.001849 0.007672 0.133864
i0_pos -0.001684 0.002122 0.000038 0.004487
SOC_neg -0.000000 0.000000 0.000000 0.000000
SOC_pos -0.000000 0.000000 0.000000 0.000000
tP 0.000133 0.004306 0.000017 0.001611
aa_neg -0.000007 0.000067 0.000000 0.000088
aa_pos 0.000021 0.001294 0.000001 0.000047
kappa_0 0.030297 0.021097 0.055816 0.141283
sigma_neg -0.000000 0.000011 0.000000 0.000001
sigma_pos 0.000040 0.000102 0.000000 0.000001

Parameter_1 Parameter_2 S2 S2_conf
a_neg a_pos 0.028270 0.038496
a_neg l_neg 0.130690 0.060276
a_neg l_sep 0.046653 0.050286
a_neg l_pos 0.046328 0.049619
a_neg Rp_neg 0.047637 0.282658
a_neg Rp_pos 0.055357 0.053416
a_neg epsilon_f_neg 0.046721 0.049786
a_neg epsilon_f_pos 0.046715 0.049705
a_neg epsilon_neg 0.051271 0.375348
a_neg epsilon_sep 0.046721 0.049777
a_neg epsilon_pos 0.148521 0.108746
a_neg Cdl_neg 0.046731 0.049771
a_neg Cdl_pos 0.046722 0.049777
a_neg cs_max_neg 0.046721 0.049777
a_neg cs_max_pos 0.046721 0.049777
a_neg c0 0.047969 0.054996
a_neg D 0.047095 0.041590
a_neg Ds_neg 0.142253 27.259639
a_neg Ds_pos -0.004178 0.039798
a_neg d2Udcp2_pos_sgn -0.054833 0.055006
a_neg d2Udcp2_neg_sgn 0.046503 0.043724
a_neg d3Udcp3_pos_sgn 0.046721 0.049777
a_neg d3Udcp3_neg_sgn 0.046721 0.049777
a_neg dUdcp_pos_mag -0.002437 0.049950
a_neg dUdcp_neg_mag 0.011165 0.231756
a_neg d2Udcp2_pos_mag 3.285936 2.268348
a_neg d2Udcp2_neg_mag 0.048845 0.057690
a_neg d3Udcp3_pos_mag 0.046721 0.049777
a_neg d3Udcp3_neg_mag 0.046721 0.049777
a_neg i0_neg 0.046696 0.049218
a_neg i0_pos 0.048336 0.050760
a_neg SOC_neg 0.046721 0.049777
a_neg SOC_pos 0.046721 0.049777
a_neg tP 0.046666 0.054477
a_neg aa_neg 0.046720 0.050011
a_neg aa_pos 0.046713 0.049707
a_neg kappa_0 0.018584 0.034486
a_neg sigma_neg 0.046721 0.049829
a_neg sigma_pos 0.046685 0.050282
a_pos l_neg -0.019076 0.025878
a_pos l_sep -0.019002 0.024856
a_pos l_pos -0.019013 0.026443
a_pos Rp_neg -0.018993 0.023297
a_pos Rp_pos -0.018962 0.022934
a_pos epsilon_f_neg -0.019001 0.024810
a_pos epsilon_f_pos -0.019001 0.024807
a_pos epsilon_neg -0.018995 0.023133
a_pos epsilon_sep -0.019001 0.024807
a_pos epsilon_pos -0.018606 0.015074
a_pos Cdl_neg -0.019001 0.024807
a_pos Cdl_pos -0.019001 0.024807
a_pos cs_max_neg -0.019001 0.024807
a_pos cs_max_pos -0.019001 0.024807
a_pos c0 -0.019032 0.030146
a_pos D -0.018957 0.018894
a_pos Ds_neg -0.018293 0.214728
a_pos Ds_pos -0.019079 0.015972
a_pos d2Udcp2_pos_sgn -0.019311 0.024525
a_pos d2Udcp2_neg_sgn -0.019003 0.025149
a_pos d3Udcp3_pos_sgn -0.019001 0.024807
a_pos d3Udcp3_neg_sgn -0.019001 0.024807
a_pos dUdcp_pos_mag -0.019128 0.021499
a_pos dUdcp_neg_mag -0.018974 0.024835
a_pos d2Udcp2_pos_mag -0.009039 0.022653
a_pos d2Udcp2_neg_mag -0.019082 0.037003
a_pos d3Udcp3_pos_mag -0.019001 0.024807
a_pos d3Udcp3_neg_mag -0.019001 0.024807
a_pos i0_neg -0.019012 0.026437
a_pos i0_pos -0.018995 0.024520
a_pos SOC_neg -0.019001 0.024807
a_pos SOC_pos -0.019001 0.024807
a_pos tP -0.019000 0.024510
a_pos aa_neg -0.019012 0.026372
a_pos aa_pos -0.019006 0.025566
a_pos kappa_0 -0.019189 0.040459
a_pos sigma_neg -0.019001 0.024819
a_pos sigma_pos -0.019001 0.024803
l_neg l_sep 0.000942 0.003229
l_neg l_pos 0.000942 0.003233
