Parameter S1 S1_conf ST ST_conf
a_neg 0.000225 0.013132 0.793243 10.179756
a_pos -0.000208 0.002996 0.000899 0.061970
l_neg -0.001530 0.000895 1398.810412 830.903879
l_sep 0.000154 0.008606 0.000008 0.000479
l_pos 0.000171 0.000443 0.000000 0.000030
Rp_neg 0.000000 0.004601 0.004631 0.012230
Rp_pos -0.027302 0.070349 0.001691 0.004664
epsilon_f_neg -0.000000 0.000001 0.000000 0.000000
epsilon_f_pos 0.000000 0.000002 0.000000 0.000000
epsilon_neg 0.000472 0.016163 0.648896 1.620499
epsilon_sep 0.000000 0.000000 0.000000 0.000000
epsilon_pos 0.000482 0.002882 0.000023 0.001107
Cdl_neg -0.000000 0.000004 0.000013 0.000008
Cdl_pos -0.000000 0.000001 0.000000 0.000000
cs_max_neg 0.000000 0.000000 0.000000 0.000000
cs_max_pos 0.000000 0.000000 0.000000 0.000000
c0 0.000116 0.000888 0.000095 0.006155
D 0.000056 0.000359 0.000049 0.004223
Ds_neg -0.015026 0.906458 2.365224 120.947857
Ds_pos -0.000997 0.002749 0.038523 3.651813
d2Udcp2_pos_sgn -0.000679 0.001789 0.000228 0.015720
d2Udcp2_neg_sgn 0.000050 0.005518 0.030898 0.646097
d3Udcp3_pos_sgn 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_sgn 0.000000 0.000000 0.000000 0.000000
dUdcp_pos_mag -0.001141 0.016661 0.000121 0.009584
dUdcp_neg_mag -0.011133 0.702799 63.124093 37.026327
d2Udcp2_pos_mag 0.021723 0.056222 0.001952 0.051462
d2Udcp2_neg_mag -0.000190 0.007146 0.620365 11.438369
d3Udcp3_pos_mag 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_mag 0.000000 0.000000 0.000000 0.000000
i0_neg 0.000010 0.000622 0.007048 0.146530
i0_pos -0.000786 0.002216 0.000045 0.002904
SOC_neg 0.000000 0.000000 0.000000 0.000000
SOC_pos 0.000000 0.000000 0.000000 0.000000
tP 0.000164 0.009395 0.000246 0.005110
aa_neg -0.000043 0.000064 0.000001 0.000068
aa_pos 0.000040 0.002003 0.000002 0.000096
kappa_0 -0.000107 0.003708 0.066086 0.143088
sigma_neg 0.000000 0.000004 0.000000 0.000001
sigma_pos 0.000002 0.000022 0.000000 0.000000

Parameter_1 Parameter_2 S2 S2_conf
a_neg a_pos -0.002202 0.016243
a_neg l_neg 0.085781 0.054494
a_neg l_sep -0.002381 0.015707
a_neg l_pos -0.002485 0.016792
a_neg Rp_neg -0.001765 0.036290
a_neg Rp_pos 0.024162 0.069630
a_neg epsilon_f_neg -0.002319 0.016760
a_neg epsilon_f_pos -0.002320 0.016751
a_neg epsilon_neg 0.000564 0.081537
a_neg epsilon_sep -0.002319 0.016759
a_neg epsilon_pos -0.002790 0.015196
a_neg Cdl_neg -0.002311 0.016758
a_neg Cdl_pos -0.002319 0.016759
a_neg cs_max_neg -0.002319 0.016759
a_neg cs_max_pos -0.002319 0.016759
a_neg c0 -0.002412 0.017279
a_neg D -0.002417 0.016063
a_neg Ds_neg 0.083188 7.166800
a_neg Ds_pos -0.002283 0.014865
a_neg d2Udcp2_pos_sgn -0.001656 0.016801
a_neg d2Udcp2_neg_sgn -0.002490 0.017353
a_neg d3Udcp3_pos_sgn -0.002319 0.016759
a_neg d3Udcp3_neg_sgn -0.002319 0.016759
a_neg dUdcp_pos_mag -0.001035 0.013697
a_neg dUdcp_neg_mag -0.016975 0.272842
a_neg d2Udcp2_pos_mag -0.023426 0.057148
a_neg d2Udcp2_neg_mag -0.000431 0.043096
a_neg d3Udcp3_pos_mag -0.002319 0.016759
a_neg d3Udcp3_neg_mag -0.002319 0.016759
a_neg i0_neg -0.002333 0.017094
a_neg i0_pos -0.001586 0.016801
a_neg SOC_neg -0.002319 0.016759
a_neg SOC_pos -0.002319 0.016759
a_neg tP -0.002339 0.015811
a_neg aa_neg -0.002335 0.016839
a_neg aa_pos -0.002329 0.016448
a_neg kappa_0 -0.001696 0.016123
a_neg sigma_neg -0.002319 0.016766
a_neg sigma_pos -0.002319 0.016813
a_pos l_neg 0.000054 0.002444
a_pos l_sep 0.000187 0.002333
a_pos l_pos 0.000188 0.002350
a_pos Rp_neg 0.000190 0.002417
a_pos Rp_pos 0.000295 0.002344
a_pos epsilon_f_neg 0.000189 0.002359
a_pos epsilon_f_pos 0.000189 0.002359
a_pos epsilon_neg 0.000190 0.002532
a_pos epsilon_sep 0.000189 0.002359
a_pos epsilon_pos 0.000217 0.003574
a_pos Cdl_neg 0.000189 0.002359
a_pos Cdl_pos 0.000189 0.002359
a_pos cs_max_neg 0.000189 0.002359
a_pos cs_max_pos 0.000189 0.002359
