Parameter S1 S1_conf ST ST_conf
a_neg 0.001449 0.102209 0.515312 1.705516
a_pos -0.005018 0.052876 0.000863 0.060216
l_neg -0.000399 0.000340 2339.660387 1774.424415
l_sep 0.000161 0.012194 0.000011 0.000785
l_pos -0.000022 0.000246 0.000000 0.000006
Rp_neg -0.000055 0.004139 0.020742 0.015356
Rp_pos -0.023578 0.249697 0.007207 0.076039
epsilon_f_neg -0.000000 0.000001 0.000000 0.000000
epsilon_f_pos -0.000001 0.000016 0.000000 0.000000
epsilon_neg 0.001039 0.019058 0.421061 0.387122
epsilon_sep 0.000000 0.000000 0.000000 0.000000
epsilon_pos 0.027311 0.289095 0.009715 0.102319
Cdl_neg 0.000000 0.000008 0.000018 0.000014
Cdl_pos -0.000000 0.000002 0.000000 0.000000
cs_max_neg 0.000000 0.000000 0.000000 0.000000
cs_max_pos 0.000000 0.000000 0.000000 0.000000
c0 0.000364 0.004303 0.000049 0.003965
D 0.000172 0.002053 0.000030 0.002745
Ds_neg -0.022559 0.184269 0.996098 25.352724
Ds_pos -0.015057 0.144802 0.148149 15.017926
d2Udcp2_pos_sgn -0.027368 0.289101 0.009938 0.106158
d2Udcp2_neg_sgn 0.000026 0.001587 0.022856 0.560472
d3Udcp3_pos_sgn 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_sgn 0.000000 0.000000 0.000000 0.000000
dUdcp_pos_mag -0.014053 0.147937 0.002534 0.026689
dUdcp_neg_mag -0.007269 0.554705 25.473631 19.031202
d2Udcp2_pos_mag 0.872984 9.221102 9.818316 103.676658
d2Udcp2_neg_mag -0.000039 0.011339 0.438450 5.005055
d3Udcp3_pos_mag 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_mag 0.000000 0.000000 0.000000 0.000000
i0_neg 0.000038 0.001310 0.005683 0.134548
i0_pos 0.000014 0.002318 0.000115 0.011270
SOC_neg 0.000000 0.000000 0.000000 0.000000
SOC_pos 0.000000 0.000000 0.000000 0.000000
tP 0.000187 0.014350 0.000804 0.019654
aa_neg -0.000120 0.000100 0.000003 0.000276
aa_pos 0.000066 0.001378 0.000006 0.000398
kappa_0 -0.007952 0.083458 0.045537 0.152179
sigma_neg 0.000000 0.000007 0.000000 0.000001
sigma_pos -0.000010 0.000107 0.000000 0.000000

Parameter_1 Parameter_2 S2 S2_conf
a_neg a_pos -0.011337 0.144931
a_neg l_neg 0.072992 0.217385
a_neg l_sep -0.016253 0.183800
a_neg l_pos -0.016175 0.182621
a_neg Rp_neg -0.015781 0.178625
a_neg Rp_pos 0.007017 0.148059
a_neg epsilon_f_neg -0.016197 0.182803
a_neg epsilon_f_pos -0.016196 0.182794
a_neg epsilon_neg -0.014517 0.184013
a_neg epsilon_sep -0.016197 0.182803
a_neg epsilon_pos -0.042993 0.442051
a_neg Cdl_neg -0.016189 0.182807
a_neg Cdl_pos -0.016197 0.182803
a_neg cs_max_neg -0.016197 0.182803
a_neg cs_max_pos -0.016197 0.182803
a_neg c0 -0.016550 0.185344
a_neg D -0.016376 0.184954
a_neg Ds_neg 0.001692 1.441658
a_neg Ds_pos -0.003238 0.101748
a_neg d2Udcp2_pos_sgn 0.010666 0.175842
a_neg d2Udcp2_neg_sgn -0.016253 0.184015
a_neg d3Udcp3_pos_sgn -0.016197 0.182803
a_neg d3Udcp3_neg_sgn -0.016197 0.182803
a_neg dUdcp_pos_mag -0.002360 0.097607
a_neg dUdcp_neg_mag -0.023088 0.256925
a_neg d2Udcp2_pos_mag -0.872917 9.195353
a_neg d2Udcp2_neg_mag -0.014778 0.174747
a_neg d3Udcp3_pos_mag -0.016197 0.182803
a_neg d3Udcp3_neg_mag -0.016197 0.182803
a_neg i0_neg -0.016217 0.183519
a_neg i0_pos -0.016294 0.183123
a_neg SOC_neg -0.016197 0.182803
a_neg SOC_pos -0.016197 0.182803
a_neg tP -0.016225 0.183158
a_neg aa_neg -0.016249 0.182721
a_neg aa_pos -0.016183 0.182925
a_neg kappa_0 -0.008061 0.122911
a_neg sigma_neg -0.016197 0.182802
a_neg sigma_pos -0.016187 0.182712
a_pos l_neg 0.004798 0.051503
a_pos l_sep 0.004890 0.051458
a_pos l_pos 0.004891 0.051465
a_pos Rp_neg 0.004891 0.051469
a_pos Rp_pos 0.005139 0.054075
a_pos epsilon_f_neg 0.004892 0.051469
a_pos epsilon_f_pos 0.004892 0.051470
a_pos epsilon_neg 0.004885 0.051482
a_pos epsilon_sep 0.004892 0.051469
a_pos epsilon_pos 0.004564 0.048067
a_pos Cdl_neg 0.004892 0.051469
a_pos Cdl_pos 0.004892 0.051469
a_pos cs_max_neg 0.004892 0.051469
a_pos cs_max_pos 0.004892 0.051469
