Parameter S1 S1_conf ST ST_conf
a_neg 0.007626 0.177061 0.327749 1.189053
a_pos -0.004292 0.062386 0.001290 0.062739
l_neg 0.001656 0.001963 2442.101085 2761.931757
l_sep 0.000136 0.010744 0.000009 0.000684
l_pos -0.000074 0.001010 0.000000 0.000005
Rp_neg -0.000005 0.003328 0.030440 0.034113
Rp_pos -0.018095 0.239583 0.012479 0.163927
epsilon_f_neg -0.000000 0.000002 0.000000 0.000000
epsilon_f_pos -0.000001 0.000017 0.000000 0.000000
epsilon_neg 0.003354 0.028248 0.210192 0.391906
epsilon_sep 0.000000 0.000000 0.000000 0.000000
epsilon_pos 0.022830 0.302188 0.020492 0.275166
Cdl_neg 0.000000 0.000019 0.000018 0.000020
Cdl_pos 0.000000 0.000002 0.000000 0.000000
cs_max_neg 0.000000 0.000000 0.000000 0.000000
cs_max_pos 0.000000 0.000000 0.000000 0.000000
c0 0.000229 0.004290 0.000117 0.019376
D 0.000192 0.002543 0.000067 0.011461
Ds_neg -0.025676 0.892976 0.515633 42.112016
Ds_pos -0.014921 0.155395 1.182720 126.412151
d2Udcp2_pos_sgn -0.023085 0.303415 0.020492 0.275102
d2Udcp2_neg_sgn 0.000057 0.003068 0.032581 0.567609
d3Udcp3_pos_sgn 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_sgn 0.000000 0.000000 0.000000 0.000000
dUdcp_pos_mag -0.012150 0.156067 0.005122 0.067859
dUdcp_neg_mag -0.004905 0.414461 6.087204 6.747428
d2Udcp2_pos_mag 0.736377 9.678883 20.329436 267.083529
d2Udcp2_neg_mag 0.000034 0.069965 0.275641 7.643695
d3Udcp3_pos_mag 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_mag 0.000000 0.000000 0.000000 0.000000
i0_neg 0.000125 0.002909 0.009982 0.138547
i0_pos 0.000113 0.008359 0.000464 0.122579
SOC_neg 0.000000 0.000000 0.000000 0.000000
SOC_pos 0.000000 0.000000 0.000000 0.000000
tP 0.000203 0.020505 0.002247 0.038945
aa_neg -0.000412 0.000382 0.000023 0.002758
aa_pos 0.000244 0.000694 0.000051 0.011375
kappa_0 -0.007055 0.090571 0.036214 0.669811
sigma_neg 0.000001 0.000012 0.000000 0.000002
sigma_pos -0.000009 0.000118 0.000000 0.000000

Parameter_1 Parameter_2 S2 S2_conf
a_neg a_pos -0.017769 0.235223
a_neg l_neg 0.164874 0.384328
a_neg l_sep -0.022081 0.273737
a_neg l_pos -0.021960 0.272319
a_neg Rp_neg -0.021494 0.275933
a_neg Rp_pos -0.003556 0.191905
a_neg epsilon_f_neg -0.022037 0.273044
a_neg epsilon_f_pos -0.022036 0.273031
a_neg epsilon_neg -0.020574 0.320078
a_neg epsilon_sep -0.022037 0.273044
a_neg epsilon_pos -0.044977 0.534588
a_neg Cdl_neg -0.022021 0.273049
a_neg Cdl_pos -0.022037 0.273045
a_neg cs_max_neg -0.022037 0.273044
a_neg cs_max_pos -0.022037 0.273044
a_neg c0 -0.022287 0.275114
a_neg D -0.022220 0.275391
a_neg Ds_neg -0.061391 5.997663
a_neg Ds_pos -0.011194 0.179811
a_neg d2Udcp2_pos_sgn 0.001301 0.215296
a_neg d2Udcp2_neg_sgn -0.021949 0.272175
a_neg d3Udcp3_pos_sgn -0.022037 0.273044
a_neg d3Udcp3_neg_sgn -0.022037 0.273044
a_neg dUdcp_pos_mag -0.009804 0.180542
a_neg dUdcp_neg_mag -0.011182 0.299215
a_neg d2Udcp2_pos_mag -0.765981 9.978105
a_neg d2Udcp2_neg_mag -0.017773 1.103448
a_neg d3Udcp3_pos_mag -0.022037 0.273044
a_neg d3Udcp3_neg_mag -0.022037 0.273044
a_neg i0_neg -0.022139 0.273086
a_neg i0_pos -0.022388 0.275003
a_neg SOC_neg -0.022037 0.273044
a_neg SOC_pos -0.022037 0.273044
a_neg tP -0.022073 0.273460
a_neg aa_neg -0.022242 0.273055
a_neg aa_pos -0.021924 0.273102
a_neg kappa_0 -0.014301 0.208768
a_neg sigma_neg -0.022036 0.273044
a_neg sigma_pos -0.022028 0.272968
a_pos l_neg 0.004270 0.062235
a_pos l_sep 0.004030 0.062221
a_pos l_pos 0.004031 0.062227
a_pos Rp_neg 0.004031 0.062244
a_pos Rp_pos 0.004520 0.065965
a_pos epsilon_f_neg 0.004030 0.062286
a_pos epsilon_f_pos 0.004030 0.062284
a_pos epsilon_neg 0.004014 0.062367
a_pos epsilon_sep 0.004030 0.062286
a_pos epsilon_pos 0.003309 0.051063
a_pos Cdl_neg 0.004030 0.062286
a_pos Cdl_pos 0.004030 0.062284
a_pos cs_max_neg 0.004030 0.062286
a_pos cs_max_pos 0.004030 0.062286
