Parameter S1 S1_conf ST ST_conf
a_neg 0.026798 0.288809 0.144254 0.447628
a_pos -0.005230 0.061877 0.002798 0.044546
l_neg 0.001809 0.004912 2785.569120 7464.457890
l_sep -0.000077 0.001369 0.000009 0.000197
l_pos -0.000080 0.000960 0.000001 0.000005
Rp_neg 0.000927 0.010370 0.038683 0.103355
Rp_pos -0.014683 0.150560 0.011398 0.114098
epsilon_f_neg -0.000001 0.000001 0.000000 0.000000
epsilon_f_pos -0.000001 0.000012 0.000000 0.000000
epsilon_neg 0.014865 0.030653 0.089264 0.262386
epsilon_sep 0.000000 0.000000 0.000000 0.000000
epsilon_pos 0.022026 0.232877 0.034318 0.342763
Cdl_neg 0.000001 0.000018 0.000021 0.000055
Cdl_pos 0.000001 0.000008 0.000000 0.000000
cs_max_neg 0.000000 0.000000 0.000000 0.000000
cs_max_pos 0.000000 0.000000 0.000000 0.000000
c0 0.000049 0.003419 0.001449 0.031768
D 0.000346 0.002960 0.000334 0.007161
Ds_neg -0.039476 0.421364 0.296373 4.508463
Ds_pos -0.023244 0.126663 3.323803 78.808735
d2Udcp2_pos_sgn -0.023396 0.235601 0.030070 0.295612
d2Udcp2_neg_sgn 0.000315 0.002536 0.092382 0.686097
d3Udcp3_pos_sgn 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_sgn 0.000000 0.000000 0.000000 0.000000
dUdcp_pos_mag -0.014094 0.125951 0.007019 0.069483
dUdcp_neg_mag -0.001773 0.064034 624.475140 1673.279771
d2Udcp2_pos_mag 0.747067 7.528460 27.859751 280.047695
d2Udcp2_neg_mag 0.000871 0.047945 0.144452 0.669934
d3Udcp3_pos_mag 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_mag 0.000000 0.000000 0.000000 0.000000
i0_neg 0.000472 0.003879 0.062192 0.194030
i0_pos -0.000162 0.020005 0.003979 0.079868
SOC_neg 0.000000 0.000000 0.000000 0.000000
SOC_pos 0.000000 0.000000 0.000000 0.000000
tP 0.000175 0.007713 0.006890 0.050794
aa_neg -0.002014 0.001136 0.000406 0.009043
aa_pos 0.001319 0.001185 0.000961 0.021326
kappa_0 -0.008788 0.078548 0.036298 0.245625
sigma_neg 0.000003 0.000006 0.000000 0.000002
sigma_pos -0.000009 0.000090 0.000000 0.000000

Parameter_1 Parameter_2 S2 S2_conf
a_neg a_pos -0.040203 0.346933
a_neg l_neg 0.413937 1.303306
a_neg l_sep -0.045011 0.370043
a_neg l_pos -0.044972 0.370026
a_neg Rp_neg -0.044915 0.385721
a_neg Rp_pos -0.029340 0.316826
a_neg epsilon_f_neg -0.045068 0.370496
a_neg epsilon_f_pos -0.045066 0.370488
a_neg epsilon_neg -0.041459 0.421943
a_neg epsilon_sep -0.045067 0.370496
a_neg epsilon_pos -0.067147 0.526621
a_neg Cdl_neg -0.045027 0.370496
a_neg Cdl_pos -0.045068 0.370502
a_neg cs_max_neg -0.045067 0.370496
a_neg cs_max_pos -0.045067 0.370496
a_neg c0 -0.045173 0.370358
a_neg D -0.045457 0.373815
a_neg Ds_neg -0.182997 3.322778
a_neg Ds_pos -0.034788 0.291809
a_neg d2Udcp2_pos_sgn -0.020616 0.317658
a_neg d2Udcp2_neg_sgn -0.044755 0.368118
a_neg d3Udcp3_pos_sgn -0.045067 0.370496
a_neg d3Udcp3_neg_sgn -0.045067 0.370496
a_neg dUdcp_pos_mag -0.030674 0.298831
a_neg dUdcp_neg_mag 0.173105 0.702421
a_neg d2Udcp2_pos_mag -0.822490 8.034643
a_neg d2Udcp2_neg_mag -0.014663 0.936573
a_neg d3Udcp3_pos_mag -0.045067 0.370496
a_neg d3Udcp3_neg_mag -0.045067 0.370496
a_neg i0_neg -0.046205 0.368012
a_neg i0_pos -0.045629 0.369152
a_neg SOC_neg -0.045067 0.370496
a_neg SOC_pos -0.045067 0.370496
a_neg tP -0.044993 0.369402
a_neg aa_neg -0.046249 0.371436
a_neg aa_pos -0.044353 0.370399
a_neg kappa_0 -0.035513 0.321060
a_neg sigma_neg -0.045065 0.370493
a_neg sigma_pos -0.045060 0.370462
a_pos l_neg 0.006538 0.048146
a_pos l_sep 0.003949 0.047999
a_pos l_pos 0.003940 0.047841
a_pos Rp_neg 0.003956 0.047980
a_pos Rp_pos 0.004612 0.052963
a_pos epsilon_f_neg 0.003946 0.047978
a_pos epsilon_f_pos 0.003946 0.047981
a_pos epsilon_neg 0.003920 0.048003
a_pos epsilon_sep 0.003946 0.047978
a_pos epsilon_pos 0.003422 0.047156
a_pos Cdl_neg 0.003946 0.047978
a_pos Cdl_pos 0.003946 0.047980
a_pos cs_max_neg 0.003946 0.047978
a_pos cs_max_pos 0.003946 0.047978
