Parameter S1 S1_conf ST ST_conf
a_neg 0.036320 0.193520 0.365336 0.305033
a_pos -0.005548 0.037087 0.010309 0.059523
l_neg -0.019836 0.018343 1763.103136 1635.207191
l_sep -0.000675 0.005157 0.000303 0.002206
l_pos 0.000011 0.000419 0.000001 0.000003
Rp_neg 0.002721 0.015185 0.025714 0.023494
Rp_pos 0.015950 0.096328 0.023449 0.141184
epsilon_f_neg -0.000003 0.000002 0.000000 0.000000
epsilon_f_pos 0.000001 0.000006 0.000000 0.000000
epsilon_neg 0.040635 0.025500 0.259591 0.213362
epsilon_sep 0.000000 0.000000 0.000000 0.000000
epsilon_pos 0.010999 0.087998 0.103460 0.607378
Cdl_neg -0.000002 0.000016 0.000015 0.000014
Cdl_pos 0.000003 0.000016 0.000000 0.000000
cs_max_neg 0.000000 0.000000 0.000000 0.000000
cs_max_pos 0.000000 0.000000 0.000000 0.000000
c0 -0.000218 0.002113 0.007576 0.055480
D 0.000434 0.002224 0.000680 0.004591
Ds_neg -0.029412 0.152122 0.703096 1.089857
Ds_pos -0.028626 0.064942 2.283626 17.644549
d2Udcp2_pos_sgn -0.014526 0.092798 0.034204 0.193693
d2Udcp2_neg_sgn 0.001535 0.005641 0.174987 0.624452
d3Udcp3_pos_sgn 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_sgn 0.000000 0.000000 0.000000 0.000000
dUdcp_pos_mag -0.014461 0.068483 0.005354 0.030810
dUdcp_neg_mag -0.016789 0.060063 2641.593536 2449.806293
d2Udcp2_pos_mag 0.468853 2.971487 19.852342 124.530860
d2Udcp2_neg_mag 0.002986 0.025797 0.344671 0.414894
d3Udcp3_pos_mag 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_mag 0.000000 0.000000 0.000000 0.000000
i0_neg 0.002411 0.004430 0.573049 0.473169
i0_pos 0.005067 0.053543 0.026211 0.152713
SOC_neg 0.000000 0.000000 0.000000 0.000000
SOC_pos 0.000000 0.000000 0.000000 0.000000
tP -0.000415 0.003571 0.007399 0.026023
aa_neg -0.005958 0.004678 0.005620 0.048472
aa_pos 0.004740 0.007911 0.013513 0.087492
kappa_0 -0.016635 0.109609 0.112252 0.402345
sigma_neg 0.000012 0.000008 0.000000 0.000001
sigma_pos -0.000006 0.000038 0.000000 0.000000

Parameter_1 Parameter_2 S2 S2_conf
a_neg a_pos -0.040466 0.247793
a_neg l_neg 0.448909 0.588823
a_neg l_sep -0.044610 0.259429
a_neg l_pos -0.044880 0.260362
a_neg Rp_neg -0.046539 0.278060
a_neg Rp_pos -0.060907 0.324931
a_neg epsilon_f_neg -0.044918 0.260422
a_neg epsilon_f_pos -0.044915 0.260422
a_neg epsilon_neg -0.035055 0.285591
a_neg epsilon_sep -0.044916 0.260423
a_neg epsilon_pos -0.053306 0.294910
a_neg Cdl_neg -0.044866 0.260420
a_neg Cdl_pos -0.044919 0.260438
a_neg cs_max_neg -0.044916 0.260423
a_neg cs_max_pos -0.044916 0.260423
a_neg c0 -0.044764 0.259313
a_neg D -0.045506 0.263216
a_neg Ds_neg -0.195219 1.345757
a_neg Ds_pos -0.038669 0.198998
a_neg d2Udcp2_pos_sgn -0.029091 0.224557
a_neg d2Udcp2_neg_sgn -0.044474 0.259132
a_neg d3Udcp3_pos_sgn -0.044916 0.260423
a_neg d3Udcp3_neg_sgn -0.044916 0.260423
a_neg dUdcp_pos_mag -0.031264 0.206300
a_neg dUdcp_neg_mag 0.557268 0.689053
a_neg d2Udcp2_pos_mag -0.540620 3.281682
a_neg d2Udcp2_neg_mag 0.037236 0.646931
a_neg d3Udcp3_pos_mag -0.044916 0.260423
a_neg d3Udcp3_neg_mag -0.044916 0.260423
a_neg i0_neg -0.051824 0.256169
a_neg i0_pos -0.045535 0.254309
a_neg SOC_neg -0.044916 0.260423
a_neg SOC_pos -0.044916 0.260423
a_neg tP -0.044303 0.257460
a_neg aa_neg -0.048498 0.260173
a_neg aa_pos -0.041996 0.258235
a_neg kappa_0 -0.040910 0.236079
a_neg sigma_neg -0.044909 0.260416
a_neg sigma_pos -0.044912 0.260406
a_pos l_neg -0.002516 0.154617
a_pos l_sep -0.011070 0.153224
a_pos l_pos -0.011109 0.153273
a_pos Rp_neg -0.011029 0.153199
a_pos Rp_pos -0.011452 0.145983
a_pos epsilon_f_neg -0.011070 0.153248
a_pos epsilon_f_pos -0.011066 0.153216
a_pos epsilon_neg -0.011114 0.153130
a_pos epsilon_sep -0.011070 0.153252
a_pos epsilon_pos 0.002421 0.034003
a_pos Cdl_neg -0.011070 0.153253
a_pos Cdl_pos -0.011068 0.153235
a_pos cs_max_neg -0.011070 0.153252
a_pos cs_max_pos -0.011070 0.153252
a_pos c0 -0.012071 0.163676
a_pos D -0.010849 0.150890
a_pos Ds_neg -0.010267 0.147865
a_pos Ds_pos 0.001370 0.040915
a_pos d2Udcp2_pos_sgn -0.010306 0.151207
a_pos d2Udcp2_neg_sgn -0.011106 0.153249
a_pos d3Udcp3_pos_sgn -0.011070 0.153252
a_pos d3Udcp3_neg_sgn -0.011070 0.153252
a_pos dUdcp_pos_mag -0.027558 0.312996
a_pos dUdcp_neg_mag -0.000145 0.152330
a_pos d2Udcp2_pos_mag -0.037768 0.253990
a_pos d2Udcp2_neg_mag -0.011732 0.158073
a_pos d3Udcp3_pos_mag -0.011070 0.153252
a_pos d3Udcp3_neg_mag -0.011070 0.153252
a_pos i0_neg -0.012154 0.161995
a_pos i0_pos -0.021850 0.183560
a_pos SOC_neg -0.011070 0.153252
a_pos SOC_pos -0.011070 0.153252
a_pos tP -0.011044 0.152827
a_pos aa_neg -0.007060 0.115816
a_pos aa_pos 0.017641 0.129492
a_pos kappa_0 -0.249365 2.424230
a_pos sigma_neg -0.011069 0.153239
a_pos sigma_pos -0.011084 0.153385
l_neg l_sep 0.019799 0.018297
l_neg l_pos 0.019800 0.018296
l_neg Rp_neg 0.019789 0.018286
l_neg Rp_pos 0.019797 0.018300
l_neg epsilon_f_neg 0.019800 0.018296
l_neg epsilon_f_pos 0.019800 0.018296
l_neg epsilon_neg 0.019846 0.018310
l_neg epsilon_sep 0.019800 0.018296
l_neg epsilon_pos 0.019821 0.018264
l_neg Cdl_neg 0.019800 0.018296
l_neg Cdl_pos 0.019800 0.018296
l_neg cs_max_neg 0.019800 0.018296
l_neg cs_max_pos 0.019800 0.018296
l_neg c0 0.019794 0.018306
l_neg D 0.019804 0.018289
l_neg Ds_neg 0.019829 0.018381
l_neg Ds_pos 0.020111 0.017978
l_neg d2Udcp2_pos_sgn 0.019776 0.018333
l_neg d2Udcp2_neg_sgn 0.019798 0.018298
l_neg d3Udcp3_pos_sgn 0.019800 0.018296
l_neg d3Udcp3_neg_sgn 0.019800 0.018296
l_neg dUdcp_pos_mag 0.019801 0.018295
l_neg dUdcp_neg_mag 0.016193 0.014971
l_neg d2Udcp2_pos_mag 0.019763 0.018348
l_neg d2Udcp2_neg_mag 0.019791 0.018404
l_neg d3Udcp3_pos_mag 0.019800 0.018296
l_neg d3Udcp3_neg_mag 0.019800 0.018296
l_neg i0_neg 0.019852 0.018340
l_neg i0_pos 0.019789 0.018313
l_neg SOC_neg 0.019800 0.018296
l_neg SOC_pos 0.019800 0.018296
l_neg tP 0.019800 0.018297
l_neg aa_neg 0.019804 0.018292
l_neg aa_pos 0.019793 0.018308
