Parameter S1 S1_conf ST ST_conf
a_neg 0.005489 0.091391 0.912460 0.417762
a_pos 0.001569 0.019942 0.008054 0.097067
l_neg -0.005904 0.002911 61.282918 30.046266
l_sep -0.000092 0.002108 0.000091 0.002226
l_pos 0.000016 0.000255 0.000000 0.000001
Rp_neg 0.000397 0.008072 0.000281 0.000222
Rp_pos 0.003992 0.085572 0.034869 0.766003
epsilon_f_neg -0.000001 0.000007 0.000000 0.000000
epsilon_f_pos 0.000000 0.000004 0.000000 0.000000
epsilon_neg 0.007986 0.076686 0.647328 0.260536
epsilon_sep 0.000000 0.000000 0.000000 0.000000
epsilon_pos -0.000657 0.031682 0.081775 1.025889
Cdl_neg -0.000003 0.000050 0.000001 0.000009
Cdl_pos 0.000001 0.000026 0.000000 0.000000
cs_max_neg 0.000000 0.000000 0.000000 0.000000
cs_max_pos 0.000000 0.000000 0.000000 0.000000
c0 -0.000064 0.001455 0.001764 0.034589
D 0.000045 0.001019 0.000037 0.000516
Ds_neg -0.000265 0.018370 1.088524 0.423996
Ds_pos -0.002521 0.041480 0.064991 1.199045
d2Udcp2_pos_sgn -0.000549 0.014210 0.007259 0.128481
d2Udcp2_neg_sgn 0.000537 0.010097 0.018441 0.347129
d3Udcp3_pos_sgn 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_sgn 0.000000 0.000000 0.000000 0.000000
dUdcp_pos_mag -0.002569 0.042203 0.000500 0.008114
dUdcp_neg_mag -0.010273 0.030874 237.933899 116.433609
d2Udcp2_pos_mag 0.018431 0.442268 0.970162 21.693467
d2Udcp2_neg_mag 0.000829 0.006580 0.699154 0.255777
d3Udcp3_pos_mag 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_mag 0.000000 0.000000 0.000000 0.000000
i0_neg 0.001097 0.006919 0.467186 0.185898
i0_pos 0.008137 0.126941 0.016055 0.180539
SOC_neg 0.000000 0.000000 0.000000 0.000000
SOC_pos 0.000000 0.000000 0.000000 0.000000
tP -0.000185 0.004199 0.000518 0.009140
aa_neg -0.000979 0.012568 0.005978 0.110964
aa_pos 0.001444 0.026275 0.014255 0.168862
kappa_0 -0.009269 0.214743 0.137073 1.120462
sigma_neg 0.000003 0.000027 0.000000 0.000001
sigma_pos -0.000001 0.000016 0.000000 0.000000

Parameter_1 Parameter_2 S2 S2_conf
a_neg a_pos -0.003145 0.133169
a_neg l_neg 0.033895 0.150376
a_neg l_sep -0.003591 0.138336
a_neg l_pos -0.003643 0.138937
a_neg Rp_neg -0.003927 0.146240
a_neg Rp_pos -0.007712 0.197675
a_neg epsilon_f_neg -0.003634 0.138731
a_neg epsilon_f_pos -0.003633 0.138730
a_neg epsilon_neg -0.003885 0.142967
a_neg epsilon_sep -0.003634 0.138730
a_neg epsilon_pos -0.001997 0.112447
a_neg Cdl_neg -0.003628 0.138723
a_neg Cdl_pos -0.003635 0.138755
a_neg cs_max_neg -0.003634 0.138730
a_neg cs_max_pos -0.003634 0.138730
a_neg c0 -0.003609 0.137678
a_neg D -0.003704 0.139961
a_neg Ds_neg -0.015179 0.232471
a_neg Ds_pos -0.001984 0.100105
a_neg d2Udcp2_pos_sgn -0.002891 0.132161
a_neg d2Udcp2_neg_sgn -0.003444 0.137201
a_neg d3Udcp3_pos_sgn -0.003634 0.138730
a_neg d3Udcp3_neg_sgn -0.003634 0.138730
a_neg dUdcp_pos_mag -0.001783 0.104051
a_neg dUdcp_neg_mag 0.070003 0.165545
a_neg d2Udcp2_pos_mag -0.023572 0.544762
a_neg d2Udcp2_neg_mag 0.001039 0.193753
a_neg d3Udcp3_pos_mag -0.003634 0.138730
a_neg d3Udcp3_neg_mag -0.003634 0.138730
a_neg i0_neg -0.006451 0.134746
a_neg i0_pos -0.003528 0.129553
a_neg SOC_neg -0.003634 0.138730
a_neg SOC_pos -0.003634 0.138730
a_neg tP -0.003471 0.136390
a_neg aa_neg -0.003817 0.135534
a_neg aa_pos -0.002313 0.130755
a_neg kappa_0 -0.006936 0.162764
a_neg sigma_neg -0.003632 0.138722
a_neg sigma_pos -0.003633 0.138719
a_pos l_neg -0.012474 0.321328
a_pos l_sep -0.013910 0.321113
a_pos l_pos -0.013911 0.321045
a_pos Rp_neg -0.013911 0.321172
a_pos Rp_pos -0.013942 0.315555
a_pos epsilon_f_neg -0.013905 0.321029
a_pos epsilon_f_pos -0.013902 0.320962
a_pos epsilon_neg -0.014035 0.321228
a_pos epsilon_sep -0.013905 0.321028
a_pos epsilon_pos -0.003511 0.063756
a_pos Cdl_neg -0.013905 0.321031
a_pos Cdl_pos -0.013906 0.321038
a_pos cs_max_neg -0.013905 0.321028
a_pos cs_max_pos -0.013905 0.321028
a_pos c0 -0.013919 0.322525
a_pos D -0.014257 0.329298
a_pos Ds_neg -0.013589 0.314319
a_pos Ds_pos -0.003022 0.043902
a_pos d2Udcp2_pos_sgn -0.013755 0.319564
a_pos d2Udcp2_neg_sgn -0.013923 0.321163
a_pos d3Udcp3_pos_sgn -0.013905 0.321028
a_pos d3Udcp3_neg_sgn -0.013905 0.321028
a_pos dUdcp_pos_mag -0.024125 0.573659
a_pos dUdcp_neg_mag -0.010672 0.315964
a_pos d2Udcp2_pos_mag -0.015052 0.332448
a_pos d2Udcp2_neg_mag -0.013808 0.317585
a_pos d3Udcp3_pos_mag -0.013905 0.321028
a_pos d3Udcp3_neg_mag -0.013905 0.321028
a_pos i0_neg -0.013509 0.310153
a_pos i0_pos -0.024395 0.405175
a_pos SOC_neg -0.013905 0.321028
a_pos SOC_pos -0.013905 0.321028
a_pos tP -0.013930 0.321374
a_pos aa_neg -0.010822 0.243536
a_pos aa_pos 0.012122 0.318685
a_pos kappa_0 -0.210066 5.143516
a_pos sigma_neg -0.013905 0.321033
a_pos sigma_pos -0.013915 0.321278
l_neg l_sep 0.005910 0.002885
l_neg l_pos 0.005911 0.002883
l_neg Rp_neg 0.005911 0.002882
l_neg Rp_pos 0.005907 0.002919
l_neg epsilon_f_neg 0.005911 0.002883
l_neg epsilon_f_pos 0.005911 0.002883
l_neg epsilon_neg 0.005911 0.002854
l_neg epsilon_sep 0.005911 0.002883
l_neg epsilon_pos 0.005925 0.002761
l_neg Cdl_neg 0.005911 0.002883
l_neg Cdl_pos 0.005911 0.002883
l_neg cs_max_neg 0.005911 0.002883
l_neg cs_max_pos 0.005911 0.002883
l_neg c0 0.005907 0.002914
l_neg D 0.005912 0.002873
l_neg Ds_neg 0.005911 0.002854
l_neg Ds_pos 0.005968 0.002540
l_neg d2Udcp2_pos_sgn 0.005893 0.003059
l_neg d2Udcp2_neg_sgn 0.005910 0.002890
l_neg d3Udcp3_pos_sgn 0.005911 0.002883
l_neg d3Udcp3_neg_sgn 0.005911 0.002883
l_neg dUdcp_pos_mag 0.005911 0.002882
l_neg dUdcp_neg_mag 0.005945 0.002914
l_neg d2Udcp2_pos_mag 0.005900 0.002983
l_neg d2Udcp2_neg_mag 0.005905 0.002923
l_neg d3Udcp3_pos_mag 0.005911 0.002883
l_neg d3Udcp3_neg_mag 0.005911 0.002883
l_neg i0_neg 0.005911 0.002861
l_neg i0_pos 0.005900 0.002985
l_neg SOC_neg 0.005911 0.002883
l_neg SOC_pos 0.005911 0.002883
l_neg tP 0.005911 0.002884
l_neg aa_neg 0.005918 0.002807
l_neg aa_pos 0.005911 0.002879
l_neg kappa_0 0.005912 0.002853
l_neg sigma_neg 0.005911 0.002883
l_neg sigma_pos 0.005911 0.002883
l_sep l_pos 0.000097 0.002147
l_sep Rp_neg 0.000097 0.002147
l_sep Rp_pos 0.000084 0.002029
l_sep epsilon_f_neg 0.000097 0.002147
l_sep epsilon_f_pos 0.000097 0.002147
l_sep epsilon_neg 0.000092 0.002104
l_sep epsilon_sep 0.000097 0.002147
l_sep epsilon_pos 0.000094 0.002117
l_sep Cdl_neg 0.000097 0.002147
l_sep Cdl_pos 0.000097 0.002147
l_sep cs_max_neg 0.000097 0.002147
l_sep cs_max_pos 0.000097 0.002147
l_sep c0 0.000096 0.002139
l_sep D 0.000097 0.002147
l_sep Ds_neg 0.000085 0.002030
l_sep Ds_pos 0.000098 0.002158
l_sep d2Udcp2_pos_sgn 0.000098 0.002166
l_sep d2Udcp2_neg_sgn 0.000097 0.002147
l_sep d3Udcp3_pos_sgn 0.000097 0.002147
l_sep d3Udcp3_neg_sgn 0.000097 0.002147
l_sep dUdcp_pos_mag 0.000098 0.002162
l_sep dUdcp_neg_mag 0.000106 0.002125
l_sep d2Udcp2_pos_mag 0.000032 0.001935
l_sep d2Udcp2_neg_mag 0.000097 0.002163
l_sep d3Udcp3_pos_mag 0.000097 0.002147
l_sep d3Udcp3_neg_mag 0.000097 0.002147
l_sep i0_neg 0.000093 0.002116
l_sep i0_pos 0.000098 0.002158
l_sep SOC_neg 0.000097 0.002147
l_sep SOC_pos 0.000097 0.002147
l_sep tP 0.000097 0.002150
l_sep aa_neg 0.000096 0.002147
l_sep aa_pos 0.000096 0.002136
