Parameter S1 S1_conf ST ST_conf
a_neg 0.002801 0.060742 0.929487 0.415859
a_pos 0.004471 0.078851 0.010336 0.155397
l_neg -0.001119 0.000596 1.429661 0.691470
l_sep -0.000011 0.000372 0.000004 0.000193
l_pos -0.000001 0.000327 0.000000 0.000000
Rp_neg 0.000127 0.003220 0.002968 0.001336
Rp_pos 0.000269 0.008411 0.006850 0.279334
epsilon_f_neg -0.000000 0.000001 0.000000 0.000000
epsilon_f_pos 0.000000 0.000004 0.000000 0.000000
epsilon_neg 0.000942 0.011945 0.659152 0.256358
epsilon_sep 0.000000 0.000000 0.000000 0.000000
epsilon_pos -0.001105 0.030445 0.102538 1.622259
Cdl_neg -0.000004 0.000142 0.000001 0.000026
Cdl_pos 0.000002 0.000050 0.000000 0.000000
cs_max_neg 0.000000 0.000000 0.000000 0.000000
cs_max_pos 0.000000 0.000000 0.000000 0.000000
c0 -0.000024 0.000990 0.000346 0.012401
D -0.000001 0.000186 0.000004 0.000035
Ds_neg 0.000827 0.005352 1.042681 0.474467
Ds_pos -0.000452 0.029274 0.001715 0.055590
d2Udcp2_pos_sgn -0.000012 0.001685 0.002334 0.084272
d2Udcp2_neg_sgn -0.000072 0.002762 0.000297 0.010953
d3Udcp3_pos_sgn 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_sgn 0.000000 0.000000 0.000000 0.000000
dUdcp_pos_mag -0.001284 0.039934 0.000193 0.005733
dUdcp_neg_mag -0.003032 0.009484 12.294883 5.899962
d2Udcp2_pos_mag -0.000323 0.031677 0.059951 2.466414
d2Udcp2_neg_mag 0.000706 0.002787 0.705444 0.301305
d3Udcp3_pos_mag 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_mag 0.000000 0.000000 0.000000 0.000000
i0_neg 0.000542 0.002533 0.305974 0.128582
i0_pos 0.011672 0.225043 0.016388 0.223184
SOC_neg 0.000000 0.000000 0.000000 0.000000
SOC_pos 0.000000 0.000000 0.000000 0.000000
tP -0.000066 0.002181 0.000191 0.007882
aa_neg 0.000175 0.007619 0.008201 0.297961
aa_pos 0.000533 0.040472 0.019398 0.343586
kappa_0 -0.008569 0.295660 0.172451 2.799617
sigma_neg -0.000000 0.000005 0.000000 0.000000
sigma_pos -0.000001 0.000024 0.000000 0.000000

Parameter_1 Parameter_2 S2 S2_conf
a_neg a_pos -0.000758 0.109509
a_neg l_neg 0.003696 0.115988
a_neg l_sep -0.000834 0.114273
a_neg l_pos -0.000849 0.114803
a_neg Rp_neg -0.001116 0.116881
a_neg Rp_pos -0.001081 0.119950
a_neg epsilon_f_neg -0.000841 0.114518
a_neg epsilon_f_pos -0.000841 0.114515
a_neg epsilon_neg -0.003244 0.109606
a_neg epsilon_sep -0.000841 0.114517
a_neg epsilon_pos 0.000724 0.077179
a_neg Cdl_neg -0.000840 0.114521
a_neg Cdl_pos -0.000843 0.114566
a_neg cs_max_neg -0.000841 0.114517
a_neg cs_max_pos -0.000841 0.114517
a_neg c0 -0.000848 0.113973
a_neg D -0.000840 0.114617
a_neg Ds_neg -0.004729 0.114101
a_neg Ds_pos 0.000347 0.077767
a_neg d2Udcp2_pos_sgn -0.000770 0.113206
a_neg d2Udcp2_neg_sgn -0.000818 0.114007
a_neg d3Udcp3_pos_sgn -0.000841 0.114517
a_neg d3Udcp3_neg_sgn -0.000841 0.114517
a_neg dUdcp_pos_mag -0.000080 0.087257
a_neg dUdcp_neg_mag 0.012468 0.118746
a_neg d2Udcp2_pos_mag -0.000681 0.104074
a_neg d2Udcp2_neg_mag -0.003322 0.103626
a_neg d3Udcp3_pos_mag -0.000841 0.114517
a_neg d3Udcp3_neg_mag -0.000841 0.114517
a_neg i0_neg -0.002636 0.107061
a_neg i0_pos -0.000620 0.099765
a_neg SOC_neg -0.000841 0.114517
a_neg SOC_pos -0.000841 0.114517
a_neg tP -0.000804 0.113198
a_neg aa_neg 0.000050 0.099198
a_neg aa_pos 0.000520 0.088799
a_neg kappa_0 -0.006267 0.241615
a_neg sigma_neg -0.000841 0.114510
a_neg sigma_pos -0.000840 0.114492
a_pos l_neg -0.012425 0.335395
a_pos l_sep -0.012652 0.335388
a_pos l_pos -0.012640 0.335267
a_pos Rp_neg -0.012764 0.337120
a_pos Rp_pos -0.012614 0.332835
a_pos epsilon_f_neg -0.012649 0.335359
a_pos epsilon_f_pos -0.012647 0.335293
a_pos epsilon_neg -0.012858 0.337041
a_pos epsilon_sep -0.012649 0.335353
a_pos epsilon_pos -0.005799 0.114161
a_pos Cdl_neg -0.012649 0.335354
a_pos Cdl_pos -0.012650 0.335377
a_pos cs_max_neg -0.012649 0.335353
a_pos cs_max_pos -0.012649 0.335353
a_pos c0 -0.012583 0.333402
a_pos D -0.012737 0.338285
a_pos Ds_neg -0.012446 0.329417
a_pos Ds_pos -0.005554 0.105309
a_pos d2Udcp2_pos_sgn -0.012511 0.333259
a_pos d2Udcp2_neg_sgn -0.012655 0.335443
a_pos d3Udcp3_pos_sgn -0.012649 0.335353
a_pos d3Udcp3_neg_sgn -0.012649 0.335353
a_pos dUdcp_pos_mag -0.017260 0.494610
a_pos dUdcp_neg_mag -0.011663 0.330535
a_pos d2Udcp2_pos_mag -0.012630 0.335204
a_pos d2Udcp2_neg_mag -0.012365 0.329104
a_pos d3Udcp3_pos_mag -0.012649 0.335353
a_pos d3Udcp3_neg_mag -0.012649 0.335353
a_pos i0_neg -0.011859 0.313238
a_pos i0_pos -0.025382 0.506044
a_pos SOC_neg -0.012649 0.335353
a_pos SOC_pos -0.012649 0.335353
a_pos tP -0.012671 0.335802
a_pos aa_neg -0.010731 0.268458
a_pos aa_pos 0.005787 0.323281
a_pos kappa_0 -0.141552 4.835525
a_pos sigma_neg -0.012650 0.335375
a_pos sigma_pos -0.012656 0.335576
l_neg l_sep 0.001121 0.000637
l_neg l_pos 0.001121 0.000638
l_neg Rp_neg 0.001121 0.000637
l_neg Rp_pos 0.001118 0.000673
l_neg epsilon_f_neg 0.001121 0.000638
l_neg epsilon_f_pos 0.001121 0.000638
l_neg epsilon_neg 0.001123 0.000571
l_neg epsilon_sep 0.001121 0.000638
l_neg epsilon_pos 0.001131 0.000640
l_neg Cdl_neg 0.001121 0.000638
l_neg Cdl_pos 0.001121 0.000638
l_neg cs_max_neg 0.001121 0.000638
l_neg cs_max_pos 0.001121 0.000638
l_neg c0 0.001120 0.000650
l_neg D 0.001121 0.000639
l_neg Ds_neg 0.001124 0.000550
l_neg Ds_pos 0.001131 0.000640
l_neg d2Udcp2_pos_sgn 0.001109 0.000878
l_neg d2Udcp2_neg_sgn 0.001121 0.000636
l_neg d3Udcp3_pos_sgn 0.001121 0.000638
l_neg d3Udcp3_neg_sgn 0.001121 0.000638
l_neg dUdcp_pos_mag 0.001121 0.000637
l_neg dUdcp_neg_mag 0.001125 0.000643
l_neg d2Udcp2_pos_mag 0.001115 0.000735
l_neg d2Udcp2_neg_mag 0.001120 0.000646
l_neg d3Udcp3_pos_mag 0.001121 0.000638
l_neg d3Udcp3_neg_mag 0.001121 0.000638
l_neg i0_neg 0.001123 0.000587
l_neg i0_pos 0.001114 0.000775
l_neg SOC_neg 0.001121 0.000638
l_neg SOC_pos 0.001121 0.000638
l_neg tP 0.001121 0.000637
l_neg aa_neg 0.001128 0.000505
l_neg aa_pos 0.001121 0.000636
l_neg kappa_0 0.001124 0.000533
l_neg sigma_neg 0.001121 0.000638
l_neg sigma_pos 0.001121 0.000638
l_sep l_pos 0.000012 0.000396
l_sep Rp_neg 0.000012 0.000396
l_sep Rp_pos 0.000012 0.000385
l_sep epsilon_f_neg 0.000012 0.000396
l_sep epsilon_f_pos 0.000012 0.000396
l_sep epsilon_neg 0.000011 0.000378
l_sep epsilon_sep 0.000012 0.000396
l_sep epsilon_pos 0.000012 0.000386
l_sep Cdl_neg 0.000012 0.000396
l_sep Cdl_pos 0.000012 0.000396
l_sep cs_max_neg 0.000012 0.000396
l_sep cs_max_pos 0.000012 0.000396
l_sep c0 0.000012 0.000395
l_sep D 0.000012 0.000395
l_sep Ds_neg 0.000012 0.000380
l_sep Ds_pos 0.000012 0.000393
l_sep d2Udcp2_pos_sgn 0.000012 0.000394
l_sep d2Udcp2_neg_sgn 0.000012 0.000395
l_sep d3Udcp3_pos_sgn 0.000012 0.000396
l_sep d3Udcp3_neg_sgn 0.000012 0.000396
l_sep dUdcp_pos_mag 0.000013 0.000400
l_sep dUdcp_neg_mag 0.000012 0.000395
l_sep d2Udcp2_pos_mag 0.000011 0.000370
l_sep d2Udcp2_neg_mag 0.000012 0.000390
l_sep d3Udcp3_pos_mag 0.000012 0.000396
l_sep d3Udcp3_neg_mag 0.000012 0.000396
l_sep i0_neg 0.000012 0.000381
l_sep i0_pos 0.000012 0.000397
l_sep SOC_neg 0.000012 0.000396
l_sep SOC_pos 0.000012 0.000396
l_sep tP 0.000012 0.000396
l_sep aa_neg 0.000012 0.000396
l_sep aa_pos 0.000012 0.000383
l_sep kappa_0 0.000017 0.000517
l_sep sigma_neg 0.000012 0.000396
l_sep sigma_pos 0.000012 0.000396
l_pos Rp_neg 0.000050 0.001106
l_pos Rp_pos 0.000079 0.001656
l_pos epsilon_f_neg 0.000050 0.001106
l_pos epsilon_f_pos 0.000050 0.001106
l_pos epsilon_neg 0.000055 0.001207
l_pos epsilon_sep 0.000050 0.001106
l_pos epsilon_pos 0.000023 0.000625
l_pos Cdl_neg 0.000050 0.001106
l_pos Cdl_pos 0.000050 0.001106
l_pos cs_max_neg 0.000050 0.001106
l_pos cs_max_pos 0.000050 0.001106
l_pos c0 0.000051 0.001120
l_pos D 0.000052 0.001144
l_pos Ds_neg 0.000049 0.001084
l_pos Ds_pos 0.000061 0.001309
l_pos d2Udcp2_pos_sgn 0.000067 0.001422
l_pos d2Udcp2_neg_sgn 0.000050 0.001106
l_pos d3Udcp3_pos_sgn 0.000050 0.001106
l_pos d3Udcp3_neg_sgn 0.000050 0.001106
l_pos dUdcp_pos_mag 0.000037 0.000879
l_pos dUdcp_neg_mag 0.000050 0.001112
l_pos d2Udcp2_pos_mag 0.000043 0.001051
l_pos d2Udcp2_neg_mag 0.000050 0.001105
l_pos d3Udcp3_pos_mag 0.000050 0.001106
l_pos d3Udcp3_neg_mag 0.000050 0.001106
l_pos i0_neg 0.000050 0.001105
l_pos i0_pos 0.005313 0.099998
l_pos SOC_neg 0.000050 0.001106
l_pos SOC_pos 0.000050 0.001106
l_pos tP 0.000051 0.001128
l_pos aa_neg 0.000123 0.002458
l_pos aa_pos 0.000030 0.000733
l_pos kappa_0 0.000021 0.000555
l_pos sigma_neg 0.000050 0.001106
l_pos sigma_pos 0.000050 0.001106
Rp_neg Rp_pos 0.000185 0.017444
Rp_neg epsilon_f_neg 0.000176 0.017376
Rp_neg epsilon_f_pos 0.000178 0.017459
Rp_neg epsilon_neg 0.016673 0.803671
Rp_neg epsilon_sep 0.000177 0.017443
Rp_neg epsilon_pos 0.001178 0.061917
Rp_neg Cdl_neg 0.000177 0.017441
Rp_neg Cdl_pos 0.000177 0.017443
Rp_neg cs_max_neg 0.000177 0.017443
Rp_neg cs_max_pos 0.000177 0.017443
Rp_neg c0 0.000182 0.017562
Rp_neg D 0.000176 0.017394
Rp_neg Ds_neg -0.000112 0.006086
Rp_neg Ds_pos 0.001033 0.054630
Rp_neg d2Udcp2_pos_sgn 0.000175 0.017423
Rp_neg d2Udcp2_neg_sgn 0.000168 0.017219
Rp_neg d3Udcp3_pos_sgn 0.000177 0.017443
Rp_neg d3Udcp3_neg_sgn 0.000177 0.017443
Rp_neg dUdcp_pos_mag 0.000228 0.016493
Rp_neg dUdcp_neg_mag 0.000181 0.017497
Rp_neg d2Udcp2_pos_mag 0.000281 0.017979
Rp_neg d2Udcp2_neg_mag 0.000199 0.017758
Rp_neg d3Udcp3_pos_mag 0.000177 0.017443
Rp_neg d3Udcp3_neg_mag 0.000177 0.017443
Rp_neg i0_neg 0.001084 0.060090
Rp_neg i0_pos -0.001047 0.042962
Rp_neg SOC_neg 0.000177 0.017443
Rp_neg SOC_pos 0.000177 0.017443
Rp_neg tP 0.000206 0.018642
Rp_neg aa_neg -0.002632 0.117632
Rp_neg aa_pos 0.002086 0.107061
Rp_neg kappa_0 0.000241 0.019473
Rp_neg sigma_neg 0.000182 0.017644
Rp_neg sigma_pos 0.000176 0.017408
Rp_pos epsilon_f_neg -0.000137 0.007388
Rp_pos epsilon_f_pos -0.000137 0.007388
Rp_pos epsilon_neg -0.000118 0.007146
Rp_pos epsilon_sep -0.000137 0.007388
Rp_pos epsilon_pos -0.000242 0.007811
Rp_pos Cdl_neg -0.000137 0.007388
Rp_pos Cdl_pos -0.000137 0.007388
Rp_pos cs_max_neg -0.000137 0.007388
Rp_pos cs_max_pos -0.000137 0.007388
Rp_pos c0 -0.000126 0.007245
Rp_pos D -0.000136 0.007399
Rp_pos Ds_neg -0.000136 0.007368
Rp_pos Ds_pos -0.000252 0.008141
Rp_pos d2Udcp2_pos_sgn -0.000143 0.007552
Rp_pos d2Udcp2_neg_sgn -0.000137 0.007389
Rp_pos d3Udcp3_pos_sgn -0.000137 0.007388
Rp_pos d3Udcp3_neg_sgn -0.000137 0.007388
Rp_pos dUdcp_pos_mag -0.000067 0.008056
Rp_pos dUdcp_neg_mag -0.000137 0.007391
Rp_pos d2Udcp2_pos_mag -0.000006 0.003966
Rp_pos d2Udcp2_neg_mag -0.000138 0.007393
Rp_pos d3Udcp3_pos_mag -0.000137 0.007388
Rp_pos d3Udcp3_neg_mag -0.000137 0.007388
Rp_pos i0_neg -0.000145 0.007380
Rp_pos i0_pos -0.000140 0.007694
Rp_pos SOC_neg -0.000137 0.007388
Rp_pos SOC_pos -0.000137 0.007388
Rp_pos tP -0.000138 0.007407
Rp_pos aa_neg -0.000168 0.007364
Rp_pos aa_pos -0.000423 0.011884
Rp_pos kappa_0 0.001861 0.070956
Rp_pos sigma_neg -0.000137 0.007388
Rp_pos sigma_pos -0.000137 0.007388
epsilon_f_neg epsilon_f_pos 0.000000 0.000003
epsilon_f_neg epsilon_neg 0.000000 0.000002
epsilon_f_neg epsilon_sep 0.000000 0.000003
epsilon_f_neg epsilon_pos 0.000000 0.000003
epsilon_f_neg Cdl_neg 0.000000 0.000002
epsilon_f_neg Cdl_pos 0.000000 0.000003
epsilon_f_neg cs_max_neg 0.000000 0.000003
epsilon_f_neg cs_max_pos 0.000000 0.000003
epsilon_f_neg c0 0.000000 0.000003
epsilon_f_neg D 0.000000 0.000003
epsilon_f_neg Ds_neg 0.000000 0.000002
epsilon_f_neg Ds_pos 0.000000 0.000003
epsilon_f_neg d2Udcp2_pos_sgn 0.000000 0.000002
epsilon_f_neg d2Udcp2_neg_sgn -0.000000 0.000002
epsilon_f_neg d3Udcp3_pos_sgn 0.000000 0.000003
epsilon_f_neg d3Udcp3_neg_sgn 0.000000 0.000003
epsilon_f_neg dUdcp_pos_mag 0.000000 0.000003
epsilon_f_neg dUdcp_neg_mag 0.000000 0.000010
epsilon_f_neg d2Udcp2_pos_mag 0.000000 0.000002
epsilon_f_neg d2Udcp2_neg_mag 0.000000 0.000001
epsilon_f_neg d3Udcp3_pos_mag 0.000000 0.000003
epsilon_f_neg d3Udcp3_neg_mag 0.000000 0.000003
epsilon_f_neg i0_neg 0.000000 0.000004
epsilon_f_neg i0_pos 0.000000 0.000002
epsilon_f_neg SOC_neg 0.000000 0.000003
epsilon_f_neg SOC_pos 0.000000 0.000003
epsilon_f_neg tP 0.000000 0.000002
epsilon_f_neg aa_neg 0.000000 0.000003
epsilon_f_neg aa_pos 0.000000 0.000002
epsilon_f_neg kappa_0 0.000000 0.000003
epsilon_f_neg sigma_neg 0.000000 0.000003
epsilon_f_neg sigma_pos 0.000000 0.000003
epsilon_f_pos epsilon_neg -0.000001 0.000025
epsilon_f_pos epsilon_sep 0.000000 0.000010
epsilon_f_pos epsilon_pos 0.000000 0.000010
epsilon_f_pos Cdl_neg 0.000000 0.000010
epsilon_f_pos Cdl_pos 0.000000 0.000010
epsilon_f_pos cs_max_neg 0.000000 0.000010
epsilon_f_pos cs_max_pos 0.000000 0.000010
epsilon_f_pos c0 0.000000 0.000010
epsilon_f_pos D 0.000000 0.000010
epsilon_f_pos Ds_neg -0.000000 0.000010
epsilon_f_pos Ds_pos 0.000000 0.000010
epsilon_f_pos d2Udcp2_pos_sgn 0.000000 0.000010
epsilon_f_pos d2Udcp2_neg_sgn 0.000000 0.000011
epsilon_f_pos d3Udcp3_pos_sgn 0.000000 0.000010
epsilon_f_pos d3Udcp3_neg_sgn 0.000000 0.000010
epsilon_f_pos dUdcp_pos_mag 0.000000 0.000010
epsilon_f_pos dUdcp_neg_mag 0.000000 0.000010
epsilon_f_pos d2Udcp2_pos_mag 0.000000 0.000010
epsilon_f_pos d2Udcp2_neg_mag 0.000000 0.000010
epsilon_f_pos d3Udcp3_pos_mag 0.000000 0.000010
epsilon_f_pos d3Udcp3_neg_mag 0.000000 0.000010
epsilon_f_pos i0_neg 0.000000 0.000007
epsilon_f_pos i0_pos 0.000000 0.000013
epsilon_f_pos SOC_neg 0.000000 0.000010
epsilon_f_pos SOC_pos 0.000000 0.000010
epsilon_f_pos tP 0.000000 0.000010
epsilon_f_pos aa_neg -0.000000 0.000007
epsilon_f_pos aa_pos 0.000000 0.000010
epsilon_f_pos kappa_0 -0.000001 0.000022
epsilon_f_pos sigma_neg 0.000000 0.000010
epsilon_f_pos sigma_pos 0.000000 0.000010
epsilon_neg epsilon_sep -0.001394 0.037161
epsilon_neg epsilon_pos -0.000598 0.014352
epsilon_neg Cdl_neg -0.001398 0.037219
epsilon_neg Cdl_pos -0.001395 0.037201
epsilon_neg cs_max_neg -0.001394 0.037161
epsilon_neg cs_max_pos -0.001394 0.037161
epsilon_neg c0 -0.001375 0.036487
epsilon_neg D -0.001391 0.037111
epsilon_neg Ds_neg -0.001845 0.036265
epsilon_neg Ds_pos -0.000693 0.016592
epsilon_neg d2Udcp2_pos_sgn -0.001445 0.037974
