Parameter S1 S1_conf ST ST_conf
a_neg 0.005123 0.026988 0.853553 0.399701
a_pos 0.018516 0.098924 0.032201 0.148869
l_neg -0.000373 0.000194 0.051748 0.025827
l_sep -0.000008 0.000064 0.000000 0.000001
l_pos -0.000043 0.000328 0.000000 0.000000
Rp_neg 0.000224 0.000952 0.016624 0.007761
Rp_pos -0.000124 0.001422 0.001283 0.013613
epsilon_f_neg 0.000000 0.000005 0.000000 0.000000
epsilon_f_pos 0.000000 0.000004 0.000000 0.000000
epsilon_neg -0.004688 0.059097 0.611202 0.239359
epsilon_sep 0.000000 0.000000 0.000000 0.000000
epsilon_pos -0.002655 0.019878 0.306844 1.550714
Cdl_neg -0.000012 0.000098 0.000002 0.000017
Cdl_pos 0.000008 0.000064 0.000000 0.000000
cs_max_neg 0.000000 0.000000 0.000000 0.000000
cs_max_pos 0.000000 0.000000 0.000000 0.000000
c0 -0.000003 0.000151 0.000077 0.000796
D -0.000036 0.000377 0.000003 0.000025
Ds_neg 0.000745 0.007905 0.969650 0.429180
Ds_pos -0.000823 0.016165 0.000810 0.010953
d2Udcp2_pos_sgn -0.000161 0.000905 0.001051 0.010188
d2Udcp2_neg_sgn -0.001644 0.014651 0.042766 0.380291
d3Udcp3_pos_sgn 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_sgn 0.000000 0.000000 0.000000 0.000000
dUdcp_pos_mag -0.001923 0.015974 0.000282 0.003202
dUdcp_neg_mag -0.001044 0.002407 0.585183 0.287463
d2Udcp2_pos_mag -0.001463 0.012356 0.008657 0.089781
d2Udcp2_neg_mag 0.000517 0.007599 0.670810 0.287529
d3Udcp3_pos_mag 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_mag 0.000000 0.000000 0.000000 0.000000
i0_neg -0.000493 0.006836 0.070636 0.037717
i0_pos 0.035414 0.201411 0.045719 0.193723
SOC_neg 0.000000 0.000000 0.000000 0.000000
SOC_pos 0.000000 0.000000 0.000000 0.000000
tP -0.000052 0.000437 0.000076 0.000711
aa_neg 0.001468 0.013712 0.026461 0.222338
aa_pos 0.000605 0.043139 0.060600 0.315084
kappa_0 -0.023439 0.339137 0.430569 4.816514
sigma_neg -0.000004 0.000029 0.000000 0.000001
sigma_pos -0.000002 0.000023 0.000000 0.000000

Parameter_1 Parameter_2 S2 S2_conf
a_neg a_pos -0.002732 0.054235
a_neg l_neg -0.001127 0.059469
a_neg l_sep -0.002652 0.058887
a_neg l_pos -0.002671 0.059037
a_neg Rp_neg -0.003580 0.059204
a_neg Rp_pos -0.002552 0.058447
a_neg epsilon_f_neg -0.002658 0.058931
a_neg epsilon_f_pos -0.002657 0.058930
a_neg epsilon_neg -0.009035 0.069840
a_neg epsilon_sep -0.002658 0.058933
a_neg epsilon_pos 0.000834 0.039940
a_neg Cdl_neg -0.002659 0.058950
a_neg Cdl_pos -0.002665 0.058982
a_neg cs_max_neg -0.002658 0.058933
a_neg cs_max_pos -0.002658 0.058933
a_neg c0 -0.002681 0.058917
a_neg D -0.002611 0.058617
a_neg Ds_neg -0.009076 0.055356
a_neg Ds_pos -0.000868 0.044140
a_neg d2Udcp2_pos_sgn -0.002589 0.058491
a_neg d2Udcp2_neg_sgn -0.002860 0.060449
a_neg d3Udcp3_pos_sgn -0.002658 0.058933
a_neg d3Udcp3_neg_sgn -0.002658 0.058933
a_neg dUdcp_pos_mag -0.001705 0.053247
a_neg dUdcp_neg_mag 0.002540 0.060385
a_neg d2Udcp2_pos_mag -0.001264 0.049190
a_neg d2Udcp2_neg_mag -0.008119 0.057099
a_neg d3Udcp3_pos_mag -0.002658 0.058933
a_neg d3Udcp3_neg_mag -0.002658 0.058933
a_neg i0_neg -0.003571 0.052937
a_neg i0_pos -0.002231 0.051581
a_neg SOC_neg -0.002658 0.058933
a_neg SOC_pos -0.002658 0.058933
a_neg tP -0.002653 0.058844
a_neg aa_neg 0.001032 0.040762
a_neg aa_pos 0.001476 0.044570
a_neg kappa_0 -0.020468 0.296324
a_neg sigma_neg -0.002658 0.058932
a_neg sigma_pos -0.002654 0.058909
a_pos l_neg -0.033009 0.280423
a_pos l_sep -0.033081 0.280410
a_pos l_pos -0.033025 0.280263
a_pos Rp_neg -0.033819 0.283674
a_pos Rp_pos -0.033005 0.279678
a_pos epsilon_f_neg -0.033081 0.280414
a_pos epsilon_f_pos -0.033077 0.280362
a_pos epsilon_neg -0.033869 0.283885
a_pos epsilon_sep -0.033080 0.280408
a_pos epsilon_pos -0.020229 0.117705
a_pos Cdl_neg -0.033080 0.280409
a_pos Cdl_pos -0.033080 0.280398
a_pos cs_max_neg -0.033080 0.280408
a_pos cs_max_pos -0.033080 0.280408
a_pos c0 -0.033018 0.279461
a_pos D -0.033104 0.280710
a_pos Ds_neg -0.032877 0.278274
a_pos Ds_pos -0.022196 0.135212
a_pos d2Udcp2_pos_sgn -0.032747 0.279419
a_pos d2Udcp2_neg_sgn -0.033046 0.280460
a_pos d3Udcp3_pos_sgn -0.033080 0.280408
a_pos d3Udcp3_neg_sgn -0.033080 0.280408
a_pos dUdcp_pos_mag -0.038576 0.361716
a_pos dUdcp_neg_mag -0.032403 0.278435
a_pos d2Udcp2_pos_mag -0.033020 0.280130
a_pos d2Udcp2_neg_mag -0.032678 0.277530
a_pos d3Udcp3_pos_mag -0.033080 0.280408
a_pos d3Udcp3_neg_mag -0.033080 0.280408
a_pos i0_neg -0.030893 0.262723
a_pos i0_pos -0.069663 0.426223
a_pos SOC_neg -0.033080 0.280408
a_pos SOC_pos -0.033080 0.280408
a_pos tP -0.033106 0.280573
a_pos aa_neg -0.029881 0.233554
a_pos aa_pos 0.001420 0.283299
a_pos kappa_0 -0.263989 3.841769
a_pos sigma_neg -0.033082 0.280429
a_pos sigma_pos -0.033092 0.280582
l_neg l_sep 0.000363 0.000260
l_neg l_pos 0.000363 0.000261
l_neg Rp_neg 0.000363 0.000261
l_neg Rp_pos 0.000362 0.000265
l_neg epsilon_f_neg 0.000363 0.000261
l_neg epsilon_f_pos 0.000363 0.000261
