Parameter S1 S1_conf ST ST_conf
a_neg 0.018013 0.025076 0.439432 0.266090
a_pos 0.115360 0.124996 0.170710 0.133159
l_neg -0.000291 0.000194 0.006277 0.004181
l_sep 0.000006 0.000012 0.000000 0.000000
l_pos -0.000348 0.000463 0.000000 0.000000
Rp_neg 0.000588 0.001415 0.018971 0.012282
Rp_pos -0.001119 0.001218 0.000488 0.001149
epsilon_f_neg 0.000003 0.000006 0.000000 0.000000
epsilon_f_pos 0.000001 0.000003 0.000000 0.000000
epsilon_neg -0.034410 0.071497 0.344498 0.173803
epsilon_sep 0.000000 0.000000 0.000000 0.000000
epsilon_pos -0.010841 0.015421 1.545848 1.514595
Cdl_neg -0.000041 0.000068 0.000005 0.000008
Cdl_pos 0.000140 0.000242 0.000004 0.000009
cs_max_neg 0.000000 0.000000 0.000000 0.000000
cs_max_pos 0.000000 0.000000 0.000000 0.000000
c0 0.000078 0.000100 0.000003 0.000004
D -0.000168 0.000389 0.000002 0.000003
Ds_neg -0.001162 0.007640 0.564035 0.324262
Ds_pos -0.002671 0.007241 0.001347 0.002868
d2Udcp2_pos_sgn -0.001919 0.002329 0.001018 0.002026
d2Udcp2_neg_sgn -0.007861 0.013685 0.196812 0.342582
d3Udcp3_pos_sgn 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_sgn 0.000000 0.000000 0.000000 0.000000
dUdcp_pos_mag -0.005026 0.008453 0.000713 0.001327
dUdcp_neg_mag -0.000168 0.000808 0.014724 0.009333
d2Udcp2_pos_mag -0.002758 0.005892 0.002225 0.005911
d2Udcp2_neg_mag -0.001609 0.007303 0.415101 0.231546
d3Udcp3_pos_mag 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_mag 0.000000 0.000000 0.000000 0.000000
i0_neg -0.006437 0.006992 0.148513 0.068978
i0_pos 0.163731 0.195722 0.225587 0.166376
SOC_neg 0.000000 0.000000 0.000000 0.000000
SOC_pos 0.000000 0.000000 0.000000 0.000000
tP 0.000015 0.000126 0.000021 0.000049
aa_neg 0.008550 0.014945 0.143460 0.198005
aa_pos 0.003290 0.041115 0.311212 0.258616
kappa_0 -0.120271 0.260321 2.171913 4.388901
sigma_neg -0.000020 0.000029 0.000000 0.000001
sigma_pos -0.000011 0.000024 0.000000 0.000001

Parameter_1 Parameter_2 S2 S2_conf
a_neg a_pos -0.023984 0.045513
a_neg l_neg -0.021790 0.050582
a_neg l_sep -0.023181 0.050088
a_neg l_pos -0.023199 0.050126
a_neg Rp_neg -0.025498 0.049163
a_neg Rp_pos -0.022882 0.049788
a_neg epsilon_f_neg -0.023171 0.050074
a_neg epsilon_f_pos -0.023171 0.050072
a_neg epsilon_neg -0.047482 0.066874
a_neg epsilon_sep -0.023173 0.050075
a_neg epsilon_pos -0.008275 0.038337
a_neg Cdl_neg -0.023211 0.050114
a_neg Cdl_pos -0.023285 0.050184
a_neg cs_max_neg -0.023173 0.050075
a_neg cs_max_pos -0.023173 0.050075
a_neg c0 -0.023234 0.050130
a_neg D -0.022970 0.049754
a_neg Ds_neg -0.035599 0.045920
a_neg Ds_pos -0.018789 0.042878
a_neg d2Udcp2_pos_sgn -0.022962 0.049892
a_neg d2Udcp2_neg_sgn -0.023870 0.050701
a_neg d3Udcp3_pos_sgn -0.023173 0.050075
a_neg d3Udcp3_neg_sgn -0.023173 0.050075
a_neg dUdcp_pos_mag -0.021377 0.047445
a_neg dUdcp_neg_mag -0.020891 0.050645
a_neg d2Udcp2_pos_mag -0.020235 0.045543
a_neg d2Udcp2_neg_mag -0.034130 0.046966
a_neg d3Udcp3_pos_mag -0.023173 0.050075
a_neg d3Udcp3_neg_mag -0.023173 0.050075
a_neg i0_neg -0.013286 0.048044
a_neg i0_pos -0.022167 0.045012
a_neg SOC_neg -0.023173 0.050075
a_neg SOC_pos -0.023173 0.050075
a_neg tP -0.023250 0.050177
a_neg aa_neg -0.002516 0.039074
a_neg aa_pos -0.001741 0.036918
a_neg kappa_0 -0.116955 0.248122
a_neg sigma_neg -0.023176 0.050077
a_neg sigma_pos -0.023152 0.050052
a_pos l_neg -0.177943 0.203355
a_pos l_sep -0.177996 0.203334
a_pos l_pos -0.177629 0.203076
a_pos Rp_neg -0.181560 0.205060
a_pos Rp_pos -0.177302 0.202920
a_pos epsilon_f_neg -0.178000 0.203338
a_pos epsilon_f_pos -0.177984 0.203311
a_pos epsilon_neg -0.183002 0.205910
a_pos epsilon_sep -0.177998 0.203335
a_pos epsilon_pos -0.120707 0.130465
a_pos Cdl_neg -0.177989 0.203331
a_pos Cdl_pos -0.177945 0.203241
a_pos cs_max_neg -0.177998 0.203335
a_pos cs_max_pos -0.177998 0.203335
a_pos c0 -0.177908 0.203116
a_pos D -0.177981 0.203278
a_pos Ds_neg -0.177905 0.202953
a_pos Ds_pos -0.151953 0.161723
a_pos d2Udcp2_pos_sgn -0.175875 0.201881
a_pos d2Udcp2_neg_sgn -0.177777 0.203273
a_pos d3Udcp3_pos_sgn -0.177998 0.203335
a_pos d3Udcp3_neg_sgn -0.177998 0.203335
a_pos dUdcp_pos_mag -0.193597 0.232431
a_pos dUdcp_neg_mag -0.177263 0.203067
a_pos d2Udcp2_pos_mag -0.178228 0.203490
a_pos d2Udcp2_neg_mag -0.177404 0.202728
a_pos d3Udcp3_pos_mag -0.177998 0.203335
a_pos d3Udcp3_neg_mag -0.177998 0.203335
a_pos i0_neg -0.167594 0.195184
a_pos i0_pos -0.344996 0.354760
a_pos SOC_neg -0.177998 0.203335
a_pos SOC_pos -0.177998 0.203335
a_pos tP -0.178060 0.203392
a_pos aa_neg -0.165024 0.182357
a_pos aa_pos -0.026294 0.229486
a_pos kappa_0 -1.173603 2.469236
a_pos sigma_neg -0.178007 0.203346
a_pos sigma_pos -0.178049 0.203428
l_neg l_sep 0.000221 0.000265
l_neg l_pos 0.000221 0.000265
l_neg Rp_neg 0.000221 0.000266
l_neg Rp_pos 0.000227 0.000262
l_neg epsilon_f_neg 0.000221 0.000265
l_neg epsilon_f_pos 0.000221 0.000265
l_neg epsilon_neg 0.000271 0.000210
l_neg epsilon_sep 0.000221 0.000265
l_neg epsilon_pos 0.000234 0.000259
l_neg Cdl_neg 0.000221 0.000265
l_neg Cdl_pos 0.000221 0.000266
l_neg cs_max_neg 0.000221 0.000265
l_neg cs_max_pos 0.000221 0.000265
l_neg c0 0.000221 0.000265
l_neg D 0.000221 0.000266
l_neg Ds_neg 0.000236 0.000249
l_neg Ds_pos 0.000221 0.000265
l_neg d2Udcp2_pos_sgn 0.000203 0.000279
l_neg d2Udcp2_neg_sgn 0.000231 0.000259
l_neg d3Udcp3_pos_sgn 0.000221 0.000265
l_neg d3Udcp3_neg_sgn 0.000221 0.000265
l_neg dUdcp_pos_mag 0.000221 0.000265
l_neg dUdcp_neg_mag 0.000224 0.000264
l_neg d2Udcp2_pos_mag 0.000212 0.000271
l_neg d2Udcp2_neg_mag 0.000226 0.000262
l_neg d3Udcp3_pos_mag 0.000221 0.000265
l_neg d3Udcp3_neg_mag 0.000221 0.000265
l_neg i0_neg 0.000252 0.000229
l_neg i0_pos 0.000189 0.000303
l_neg SOC_neg 0.000221 0.000265
l_neg SOC_pos 0.000221 0.000265
l_neg tP 0.000221 0.000265
l_neg aa_neg 0.000321 0.000185
l_neg aa_pos 0.000221 0.000265
l_neg kappa_0 0.000303 0.000190
l_neg sigma_neg 0.000221 0.000266
l_neg sigma_pos 0.000221 0.000265
l_sep l_pos -0.000009 0.000015
l_sep Rp_neg -0.000008 0.000015
l_sep Rp_pos -0.000009 0.000015
l_sep epsilon_f_neg -0.000009 0.000015
l_sep epsilon_f_pos -0.000009 0.000015
l_sep epsilon_neg -0.000010 0.000016
l_sep epsilon_sep -0.000009 0.000015
l_sep epsilon_pos -0.000007 0.000013
l_sep Cdl_neg -0.000009 0.000015
l_sep Cdl_pos -0.000009 0.000015
l_sep cs_max_neg -0.000009 0.000015
l_sep cs_max_pos -0.000009 0.000015
l_sep c0 -0.000009 0.000015
l_sep D -0.000009 0.000015
l_sep Ds_neg -0.000009 0.000015
l_sep Ds_pos -0.000008 0.000014
l_sep d2Udcp2_pos_sgn -0.000009 0.000015
l_sep d2Udcp2_neg_sgn -0.000009 0.000015
l_sep d3Udcp3_pos_sgn -0.000009 0.000015
l_sep d3Udcp3_neg_sgn -0.000009 0.000015
l_sep dUdcp_pos_mag -0.000009 0.000015
l_sep dUdcp_neg_mag -0.000009 0.000015
l_sep d2Udcp2_pos_mag -0.000009 0.000015
l_sep d2Udcp2_neg_mag -0.000009 0.000015
l_sep d3Udcp3_pos_mag -0.000009 0.000015
l_sep d3Udcp3_neg_mag -0.000009 0.000015
l_sep i0_neg -0.000009 0.000014
l_sep i0_pos -0.000008 0.000015
l_sep SOC_neg -0.000009 0.000015
l_sep SOC_pos -0.000009 0.000015
l_sep tP -0.000009 0.000015
l_sep aa_neg -0.000007 0.000014
l_sep aa_pos -0.000004 0.000012
l_sep kappa_0 -0.000035 0.000071
l_sep sigma_neg -0.000009 0.000015
l_sep sigma_pos -0.000009 0.000015
l_pos Rp_neg 0.001475 0.001799
l_pos Rp_pos 0.001136 0.001396
l_pos epsilon_f_neg 0.001475 0.001799
l_pos epsilon_f_pos 0.001475 0.001799
l_pos epsilon_neg 0.001545 0.001884
l_pos epsilon_sep 0.001475 0.001799
l_pos epsilon_pos 0.000757 0.000954
l_pos Cdl_neg 0.001475 0.001799
l_pos Cdl_pos 0.001476 0.001799
l_pos cs_max_neg 0.001475 0.001799
l_pos cs_max_pos 0.001475 0.001799
l_pos c0 0.001482 0.001806
l_pos D 0.001487 0.001813
l_pos Ds_neg 0.001473 0.001797
l_pos Ds_pos 0.001111 0.001367
l_pos d2Udcp2_pos_sgn 0.000728 0.000912
l_pos d2Udcp2_neg_sgn 0.001475 0.001799
l_pos d3Udcp3_pos_sgn 0.001475 0.001799
l_pos d3Udcp3_neg_sgn 0.001475 0.001799
l_pos dUdcp_pos_mag 0.001448 0.001765
l_pos dUdcp_neg_mag 0.001477 0.001801
l_pos d2Udcp2_pos_mag 0.001614 0.001963
l_pos d2Udcp2_neg_mag 0.001474 0.001799
l_pos d3Udcp3_pos_mag 0.001475 0.001799
l_pos d3Udcp3_neg_mag 0.001475 0.001799
l_pos i0_neg 0.001475 0.001798
l_pos i0_pos 0.064294 0.076407
l_pos SOC_neg 0.001475 0.001799
l_pos SOC_pos 0.001475 0.001799
l_pos tP 0.001485 0.001811
l_pos aa_neg 0.002414 0.002914
l_pos aa_pos 0.001203 0.001477
l_pos kappa_0 0.000732 0.000893
l_pos sigma_neg 0.001475 0.001799
l_pos sigma_pos 0.001475 0.001799
Rp_neg Rp_pos -0.000138 0.001504
Rp_neg epsilon_f_neg -0.000139 0.001503
Rp_neg epsilon_f_pos -0.000138 0.001504
Rp_neg epsilon_neg 0.010467 0.024890
Rp_neg epsilon_sep -0.000138 0.001504
Rp_neg epsilon_pos 0.000318 0.002381
Rp_neg Cdl_neg -0.000139 0.001504
Rp_neg Cdl_pos -0.000114 0.001514
Rp_neg cs_max_neg -0.000138 0.001504
Rp_neg cs_max_pos -0.000138 0.001504
Rp_neg c0 -0.000137 0.001505
Rp_neg D -0.000137 0.001504
Rp_neg Ds_neg -0.000139 0.001492
Rp_neg Ds_pos 0.000448 0.002282
Rp_neg d2Udcp2_pos_sgn -0.000139 0.001504
Rp_neg d2Udcp2_neg_sgn -0.000141 0.001505
Rp_neg d3Udcp3_pos_sgn -0.000138 0.001504
Rp_neg d3Udcp3_neg_sgn -0.000138 0.001504
Rp_neg dUdcp_pos_mag -0.000134 0.001501
Rp_neg dUdcp_neg_mag -0.000127 0.001506
Rp_neg d2Udcp2_pos_mag -0.000123 0.001509
Rp_neg d2Udcp2_neg_mag -0.000127 0.001503
Rp_neg d3Udcp3_pos_mag -0.000138 0.001504
Rp_neg d3Udcp3_neg_mag -0.000138 0.001504
Rp_neg i0_neg 0.000559 0.002440
Rp_neg i0_pos -0.001311 0.002137
Rp_neg SOC_neg -0.000138 0.001504
Rp_neg SOC_pos -0.000138 0.001504
Rp_neg tP -0.000131 0.001510
Rp_neg aa_neg -0.001692 0.003756
Rp_neg aa_pos 0.002174 0.004921
Rp_neg kappa_0 -0.000237 0.001493
Rp_neg sigma_neg -0.000135 0.001507
Rp_neg sigma_pos -0.000139 0.001504
Rp_pos epsilon_f_neg 0.001267 0.001278
Rp_pos epsilon_f_pos 0.001267 0.001278
Rp_pos epsilon_neg 0.001353 0.001396
Rp_pos epsilon_sep 0.001267 0.001278
Rp_pos epsilon_pos 0.001155 0.001229
Rp_pos Cdl_neg 0.001267 0.001278
Rp_pos Cdl_pos 0.001268 0.001278
Rp_pos cs_max_neg 0.001267 0.001278
Rp_pos cs_max_pos 0.001267 0.001278
Rp_pos c0 0.001267 0.001278
Rp_pos D 0.001266 0.001277
Rp_pos Ds_neg 0.001267 0.001279
Rp_pos Ds_pos 0.001207 0.001241
Rp_pos d2Udcp2_pos_sgn 0.001230 0.001255
Rp_pos d2Udcp2_neg_sgn 0.001267 0.001278
Rp_pos d3Udcp3_pos_sgn 0.001267 0.001278
Rp_pos d3Udcp3_neg_sgn 0.001267 0.001278
Rp_pos dUdcp_pos_mag 0.001280 0.001289
Rp_pos dUdcp_neg_mag 0.001268 0.001278
Rp_pos d2Udcp2_pos_mag 0.001264 0.001279
Rp_pos d2Udcp2_neg_mag 0.001266 0.001277
Rp_pos d3Udcp3_pos_mag 0.001267 0.001278
Rp_pos d3Udcp3_neg_mag 0.001267 0.001278
Rp_pos i0_neg 0.001259 0.001273
Rp_pos i0_pos 0.001321 0.001324
Rp_pos SOC_neg 0.001267 0.001278
Rp_pos SOC_pos 0.001267 0.001278
Rp_pos tP 0.001267 0.001278
Rp_pos aa_neg 0.001242 0.001262
Rp_pos aa_pos 0.000954 0.001257
Rp_pos kappa_0 0.003345 0.005185
Rp_pos sigma_neg 0.001267 0.001278
Rp_pos sigma_pos 0.001268 0.001279
epsilon_f_neg epsilon_f_pos 0.000002 0.000009
epsilon_f_neg epsilon_neg -0.000001 0.000007
epsilon_f_neg epsilon_sep 0.000002 0.000009
epsilon_f_neg epsilon_pos 0.000002 0.000009
epsilon_f_neg Cdl_neg 0.000002 0.000008
epsilon_f_neg Cdl_pos 0.000002 0.000009
epsilon_f_neg cs_max_neg 0.000002 0.000009
epsilon_f_neg cs_max_pos 0.000002 0.000009
epsilon_f_neg c0 0.000002 0.000009
epsilon_f_neg D 0.000002 0.000009
epsilon_f_neg Ds_neg -0.000002 0.000006
epsilon_f_neg Ds_pos 0.000002 0.000009
epsilon_f_neg d2Udcp2_pos_sgn 0.000002 0.000009
epsilon_f_neg d2Udcp2_neg_sgn -0.000007 0.000010
epsilon_f_neg d3Udcp3_pos_sgn 0.000002 0.000009
epsilon_f_neg d3Udcp3_neg_sgn 0.000002 0.000009
epsilon_f_neg dUdcp_pos_mag 0.000002 0.000009
epsilon_f_neg dUdcp_neg_mag 0.000002 0.000009
epsilon_f_neg d2Udcp2_pos_mag 0.000002 0.000009
epsilon_f_neg d2Udcp2_neg_mag -0.000002 0.000006
epsilon_f_neg d3Udcp3_pos_mag 0.000002 0.000009
epsilon_f_neg d3Udcp3_neg_mag 0.000002 0.000009
epsilon_f_neg i0_neg -0.000001 0.000006
epsilon_f_neg i0_pos 0.000002 0.000008
epsilon_f_neg SOC_neg 0.000002 0.000009
epsilon_f_neg SOC_pos 0.000002 0.000009
epsilon_f_neg tP 0.000002 0.000008
epsilon_f_neg aa_neg 0.000002 0.000009
epsilon_f_neg aa_pos 0.000001 0.000009
epsilon_f_neg kappa_0 -0.000001 0.000006
epsilon_f_neg sigma_neg 0.000002 0.000009
epsilon_f_neg sigma_pos 0.000002 0.000009
epsilon_f_pos epsilon_neg -0.000006 0.000022
epsilon_f_pos epsilon_sep 0.000003 0.000009
epsilon_f_pos epsilon_pos 0.000004 0.000009
epsilon_f_pos Cdl_neg 0.000003 0.000009
epsilon_f_pos Cdl_pos 0.000003 0.000009
epsilon_f_pos cs_max_neg 0.000003 0.000009
epsilon_f_pos cs_max_pos 0.000003 0.000009
epsilon_f_pos c0 0.000003 0.000009
epsilon_f_pos D 0.000003 0.000009
epsilon_f_pos Ds_neg 0.000003 0.000008
epsilon_f_pos Ds_pos 0.000003 0.000009
epsilon_f_pos d2Udcp2_pos_sgn 0.000003 0.000009
epsilon_f_pos d2Udcp2_neg_sgn 0.000004 0.000009
epsilon_f_pos d3Udcp3_pos_sgn 0.000003 0.000009
epsilon_f_pos d3Udcp3_neg_sgn 0.000003 0.000009
epsilon_f_pos dUdcp_pos_mag 0.000003 0.000009
epsilon_f_pos dUdcp_neg_mag 0.000003 0.000009
epsilon_f_pos d2Udcp2_pos_mag 0.000003 0.000009
epsilon_f_pos d2Udcp2_neg_mag 0.000004 0.000009
epsilon_f_pos d3Udcp3_pos_mag 0.000003 0.000009
epsilon_f_pos d3Udcp3_neg_mag 0.000003 0.000009
epsilon_f_pos i0_neg 0.000002 0.000006
epsilon_f_pos i0_pos 0.000004 0.000011
epsilon_f_pos SOC_neg 0.000003 0.000009
epsilon_f_pos SOC_pos 0.000003 0.000009
epsilon_f_pos tP 0.000003 0.000009
epsilon_f_pos aa_neg -0.000002 0.000005
epsilon_f_pos aa_pos 0.000004 0.000009
epsilon_f_pos kappa_0 -0.000004 0.000012
epsilon_f_pos sigma_neg 0.000003 0.000009
epsilon_f_pos sigma_pos 0.000003 0.000009
epsilon_neg epsilon_sep 0.032992 0.071380
epsilon_neg epsilon_pos 0.038879 0.077401
epsilon_neg Cdl_neg 0.032952 0.071354
epsilon_neg Cdl_pos 0.032873 0.071314
epsilon_neg cs_max_neg 0.032992 0.071380
epsilon_neg cs_max_pos 0.032992 0.071380
epsilon_neg c0 0.032960 0.071375
epsilon_neg D 0.033144 0.071423
epsilon_neg Ds_neg 0.028035 0.069340
epsilon_neg Ds_pos 0.036445 0.074996
epsilon_neg d2Udcp2_pos_sgn 0.032940 0.071334
epsilon_neg d2Udcp2_neg_sgn 0.024722 0.067968
epsilon_neg d3Udcp3_pos_sgn 0.032992 0.071380
epsilon_neg d3Udcp3_neg_sgn 0.032992 0.071380
epsilon_neg dUdcp_pos_mag 0.035497 0.072228
epsilon_neg dUdcp_neg_mag 0.033556 0.071601
epsilon_neg d2Udcp2_pos_mag 0.034474 0.071680
epsilon_neg d2Udcp2_neg_mag 0.028366 0.069524
epsilon_neg d3Udcp3_pos_mag 0.032992 0.071380
epsilon_neg d3Udcp3_neg_mag 0.032992 0.071380
epsilon_neg i0_neg 0.033206 0.073883
epsilon_neg i0_pos 0.033973 0.069151
epsilon_neg SOC_neg 0.032992 0.071380
epsilon_neg SOC_pos 0.032992 0.071380
epsilon_neg tP 0.032921 0.071378
epsilon_neg aa_neg 0.028456 0.061185
epsilon_neg aa_pos 0.046415 0.086541
epsilon_neg kappa_0 0.041215 0.078570
epsilon_neg sigma_neg 0.032989 0.071391
epsilon_neg sigma_pos 0.032993 0.071379
epsilon_sep epsilon_pos 0.000000 0.000000
epsilon_sep Cdl_neg 0.000000 0.000000
epsilon_sep Cdl_pos 0.000000 0.000000
epsilon_sep cs_max_neg 0.000000 0.000000
epsilon_sep cs_max_pos 0.000000 0.000000
epsilon_sep c0 0.000000 0.000000
epsilon_sep D -0.000000 0.000000
epsilon_sep Ds_neg -0.000000 0.000000
epsilon_sep Ds_pos 0.000000 0.000000
epsilon_sep d2Udcp2_pos_sgn -0.000000 0.000000
epsilon_sep d2Udcp2_neg_sgn 0.000000 0.000000
epsilon_sep d3Udcp3_pos_sgn 0.000000 0.000000
epsilon_sep d3Udcp3_neg_sgn 0.000000 0.000000
epsilon_sep dUdcp_pos_mag 0.000000 0.000000
epsilon_sep dUdcp_neg_mag 0.000000 0.000000
epsilon_sep d2Udcp2_pos_mag 0.000000 0.000000
epsilon_sep d2Udcp2_neg_mag -0.000000 0.000000
epsilon_sep d3Udcp3_pos_mag 0.000000 0.000000
epsilon_sep d3Udcp3_neg_mag 0.000000 0.000000
epsilon_sep i0_neg 0.000000 0.000000
epsilon_sep i0_pos 0.000000 0.000000
epsilon_sep SOC_neg 0.000000 0.000000
epsilon_sep SOC_pos 0.000000 0.000000
epsilon_sep tP -0.000000 0.000000
epsilon_sep aa_neg 0.000000 0.000000
epsilon_sep aa_pos 0.000000 0.000000
epsilon_sep kappa_0 0.000000 0.000000
epsilon_sep sigma_neg -0.000000 0.000000
epsilon_sep sigma_pos 0.000000 0.000000
epsilon_pos Cdl_neg 0.011565 0.041152
epsilon_pos Cdl_pos 0.011569 0.041137
epsilon_pos cs_max_neg 0.011573 0.041155
epsilon_pos cs_max_pos 0.011573 0.041155
epsilon_pos c0 0.011640 0.041116
epsilon_pos D 0.011667 0.041168
epsilon_pos Ds_neg 0.008536 0.041225
epsilon_pos Ds_pos 0.013663 0.030712
epsilon_pos d2Udcp2_pos_sgn 0.006269 0.039911
epsilon_pos d2Udcp2_neg_sgn 0.012502 0.040845
epsilon_pos d3Udcp3_pos_sgn 0.011573 0.041155
epsilon_pos d3Udcp3_neg_sgn 0.011573 0.041155
epsilon_pos dUdcp_pos_mag 0.008525 0.047247
epsilon_pos dUdcp_neg_mag 0.011976 0.041183
epsilon_pos d2Udcp2_pos_mag 0.012393 0.041550
epsilon_pos d2Udcp2_neg_mag 0.009879 0.041071
epsilon_pos d3Udcp3_pos_mag 0.011573 0.041155
epsilon_pos d3Udcp3_neg_mag 0.011573 0.041155
epsilon_pos i0_neg 0.012537 0.039697
epsilon_pos i0_pos 0.453012 0.536857
epsilon_pos SOC_neg 0.011573 0.041155
epsilon_pos SOC_pos 0.011573 0.041155
epsilon_pos tP 0.011642 0.041182
epsilon_pos aa_neg 0.016177 0.039798
epsilon_pos aa_pos 0.039141 0.031431
epsilon_pos kappa_0 -0.180175 0.460429
epsilon_pos sigma_neg 0.011574 0.041157
epsilon_pos sigma_pos 0.011565 0.041173
Cdl_neg Cdl_pos -0.000008 0.000022
Cdl_neg cs_max_neg -0.000008 0.000022
Cdl_neg cs_max_pos -0.000008 0.000022
Cdl_neg c0 -0.000008 0.000022
Cdl_neg D -0.000008 0.000022
Cdl_neg Ds_neg 0.000031 0.000072
Cdl_neg Ds_pos -0.000012 0.000024
Cdl_neg d2Udcp2_pos_sgn -0.000008 0.000022
Cdl_neg d2Udcp2_neg_sgn 0.000073 0.000141
Cdl_neg d3Udcp3_pos_sgn -0.000008 0.000022
Cdl_neg d3Udcp3_neg_sgn -0.000008 0.000022
Cdl_neg dUdcp_pos_mag -0.000010 0.000022
Cdl_neg dUdcp_neg_mag -0.000011 0.000023
Cdl_neg d2Udcp2_pos_mag -0.000010 0.000022
Cdl_neg d2Udcp2_neg_mag 0.000032 0.000070
Cdl_neg d3Udcp3_pos_mag -0.000008 0.000022
Cdl_neg d3Udcp3_neg_mag -0.000008 0.000022
Cdl_neg i0_neg 0.000016 0.000049
Cdl_neg i0_pos -0.000005 0.000019
