Parameter S1 S1_conf ST ST_conf
a_neg 0.030173 0.067153 0.049222 0.086688
a_pos 0.007638 0.066921 0.510949 0.177779
l_neg 0.000061 0.000178 0.000081 0.000237
l_sep 0.000000 0.000001 0.000000 0.000000
l_pos 0.000084 0.000211 0.000000 0.000001
Rp_neg 0.000011 0.000070 0.000012 0.000033
Rp_pos -0.000979 0.003546 0.000042 0.000079
epsilon_f_neg 0.000004 0.000012 0.000000 0.000000
epsilon_f_pos 0.000004 0.000013 0.000000 0.000000
epsilon_neg -0.058743 0.142394 0.105850 0.156571
epsilon_sep 0.000000 0.000000 0.000000 0.000000
epsilon_pos -0.000616 0.055677 4.831916 2.623201
Cdl_neg -0.001436 0.003093 0.012022 0.017925
Cdl_pos 0.008810 0.019538 0.004758 0.012379
cs_max_neg 0.000000 0.000000 0.000000 0.000000
cs_max_pos 0.000000 0.000000 0.000000 0.000000
c0 0.000075 0.000139 0.000001 0.000002
D -0.000040 0.000082 0.000000 0.000000
Ds_neg -0.000152 0.000431 0.000138 0.000344
Ds_pos -0.000554 0.001941 0.000039 0.000090
d2Udcp2_pos_sgn 0.000091 0.000248 0.000003 0.000007
d2Udcp2_neg_sgn -0.000232 0.000641 0.000440 0.001225
d3Udcp3_pos_sgn 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_sgn 0.000000 0.000000 0.000000 0.000000
dUdcp_pos_mag -0.002062 0.003183 0.000064 0.000142
dUdcp_neg_mag 0.000035 0.000087 0.000002 0.000007
d2Udcp2_pos_mag 0.000114 0.000362 0.000006 0.000014
d2Udcp2_neg_mag -0.000015 0.000347 0.000274 0.000642
d3Udcp3_pos_mag 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_mag 0.000000 0.000000 0.000000 0.000000
i0_neg -0.004111 0.008111 0.030702 0.048790
i0_pos 0.015387 0.016416 0.551802 0.275521
SOC_neg 0.000000 0.000000 0.000000 0.000000
SOC_pos 0.000000 0.000000 0.000000 0.000000
tP 0.000094 0.000177 0.000002 0.000004
aa_neg 0.012625 0.037262 0.316997 0.474926
aa_pos 0.060103 0.135871 0.855677 0.411126
kappa_0 -0.386530 0.901710 8.848782 19.105304
sigma_neg -0.000013 0.000037 0.000000 0.000000
sigma_pos -0.000025 0.000057 0.000001 0.000001

Parameter_1 Parameter_2 S2 S2_conf
a_neg a_pos -0.048819 0.081864
a_neg l_neg -0.060888 0.102149
a_neg l_sep -0.060639 0.101980
a_neg l_pos -0.060629 0.101968
a_neg Rp_neg -0.060680 0.102007
a_neg Rp_pos -0.058221 0.098644
a_neg epsilon_f_neg -0.060638 0.101979
a_neg epsilon_f_pos -0.060634 0.101972
a_neg epsilon_neg -0.081778 0.142790
a_neg epsilon_sep -0.060639 0.101979
a_neg epsilon_pos -0.029149 0.087683
a_neg Cdl_neg -0.067867 0.110659
a_neg Cdl_pos -0.064996 0.103444
a_neg cs_max_neg -0.060639 0.101979
a_neg cs_max_pos -0.060639 0.101979
a_neg c0 -0.060708 0.102073
a_neg D -0.060592 0.101915
a_neg Ds_neg -0.060685 0.102000
a_neg Ds_pos -0.061641 0.103444
a_neg d2Udcp2_pos_sgn -0.060615 0.101964
a_neg d2Udcp2_neg_sgn -0.060668 0.101999
a_neg d3Udcp3_pos_sgn -0.060639 0.101979
a_neg d3Udcp3_neg_sgn -0.060639 0.101979
a_neg dUdcp_pos_mag -0.060578 0.102079
a_neg dUdcp_neg_mag -0.060640 0.101979
a_neg d2Udcp2_pos_mag -0.060756 0.102178
a_neg d2Udcp2_neg_mag -0.061007 0.102230
a_neg d3Udcp3_pos_mag -0.060639 0.101979
a_neg d3Udcp3_neg_mag -0.060639 0.101979
a_neg i0_neg -0.051490 0.094023
a_neg i0_pos -0.066034 0.102095
a_neg SOC_neg -0.060639 0.101979
a_neg SOC_pos -0.060639 0.101979
a_neg tP -0.060735 0.102107
a_neg aa_neg -0.017633 0.098361
a_neg aa_pos -0.012066 0.100261
a_neg kappa_0 -0.414438 0.885893
a_neg sigma_neg -0.060642 0.101981
a_neg sigma_pos -0.060627 0.101983
a_pos l_neg -0.203238 0.517662
a_pos l_sep -0.203224 0.517659
a_pos l_pos -0.203304 0.517674
a_pos Rp_neg -0.203369 0.517707
a_pos Rp_pos -0.197135 0.503484
a_pos epsilon_f_neg -0.203227 0.517666
a_pos epsilon_f_pos -0.203180 0.517557
a_pos epsilon_neg -0.209094 0.521982
a_pos epsilon_sep -0.203224 0.517659
a_pos epsilon_pos -0.024738 0.127817
a_pos Cdl_neg -0.200810 0.516579
a_pos Cdl_pos -0.188171 0.483332
a_pos cs_max_neg -0.203224 0.517659
a_pos cs_max_pos -0.203224 0.517659
