Parameter S1 S1_conf ST ST_conf
a_neg 0.020649 0.037491 0.081207 0.056510
a_pos 0.058589 0.083605 1.851802 2.478146
l_neg -0.000531 0.001072 0.000468 0.000930
l_sep -0.000000 0.000000 0.000000 0.000000
l_pos -0.000163 0.000304 0.000023 0.000034
Rp_neg -0.000251 0.000462 0.000016 0.000023
Rp_pos 0.000391 0.002753 0.000258 0.000417
epsilon_f_neg 0.000004 0.000008 0.000000 0.000000
epsilon_f_pos 0.000006 0.000012 0.000000 0.000000
epsilon_neg -0.061020 0.095884 0.227207 0.201690
epsilon_sep 0.000000 0.000000 0.000000 0.000000
epsilon_pos -0.105253 0.120081 3.329385 2.147470
Cdl_neg -0.021946 0.039772 0.208019 0.160319
Cdl_pos -0.006578 0.026364 1.029259 1.354071
cs_max_neg 0.000000 0.000000 0.000000 0.000000
cs_max_pos 0.000000 0.000000 0.000000 0.000000
c0 0.000008 0.000011 0.000000 0.000001
D -0.000020 0.000023 0.000000 0.000000
Ds_neg -0.000394 0.000510 0.000149 0.000292
Ds_pos -0.001581 0.001771 0.000006 0.000007
d2Udcp2_pos_sgn -0.000021 0.000032 0.000000 0.000000
d2Udcp2_neg_sgn -0.000001 0.000003 0.000000 0.000000
d3Udcp3_pos_sgn 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_sgn 0.000000 0.000000 0.000000 0.000000
dUdcp_pos_mag -0.001441 0.002381 0.000219 0.000357
dUdcp_neg_mag -0.000331 0.000326 0.000022 0.000034
d2Udcp2_pos_mag -0.001522 0.001731 0.000005 0.000006
d2Udcp2_neg_mag -0.000001 0.000002 0.000000 0.000000
d3Udcp3_pos_mag 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_mag 0.000000 0.000000 0.000000 0.000000
i0_neg -0.002790 0.019847 0.184174 0.191786
i0_pos 0.015360 0.020555 1.829454 1.111561
SOC_neg 0.000000 0.000000 0.000000 0.000000
SOC_pos 0.000000 0.000000 0.000000 0.000000
tP 0.000005 0.000008 0.000001 0.000001
aa_neg 0.005951 0.071965 0.269537 0.249541
aa_pos 0.069337 0.058465 0.552660 0.248865
kappa_0 -0.192505 0.300733 3.842684 5.556535
sigma_neg -0.000034 0.000050 0.000000 0.000000
sigma_pos 0.000064 0.000052 0.000001 0.000001

Parameter_1 Parameter_2 S2 S2_conf
a_neg a_pos -0.059904 0.204751
a_neg l_neg 0.044437 0.091132
a_neg l_sep 0.043756 0.091143
a_neg l_pos 0.044171 0.091125
a_neg Rp_neg 0.044249 0.091056
a_neg Rp_pos 0.046118 0.090536
a_neg epsilon_f_neg 0.043751 0.091145
a_neg epsilon_f_pos 0.043756 0.091144
a_neg epsilon_neg 0.165794 0.407818
a_neg epsilon_sep 0.043756 0.091143
a_neg epsilon_pos 0.067533 0.088809
a_neg Cdl_neg 0.045799 0.141039
a_neg Cdl_pos 0.025563 0.095426
a_neg cs_max_neg 0.043756 0.091143
a_neg cs_max_pos 0.043756 0.091143
a_neg c0 0.043768 0.091146
a_neg D 0.043775 0.091139
a_neg Ds_neg 0.043398 0.091175
a_neg Ds_pos 0.045206 0.090891
a_neg d2Udcp2_pos_sgn 0.043754 0.091147
a_neg d2Udcp2_neg_sgn 0.043754 0.091144
a_neg d3Udcp3_pos_sgn 0.043756 0.091143
a_neg d3Udcp3_neg_sgn 0.043756 0.091143
a_neg dUdcp_pos_mag 0.042598 0.091564
a_neg dUdcp_neg_mag 0.043906 0.091152
a_neg d2Udcp2_pos_mag 0.045313 0.090848
a_neg d2Udcp2_neg_mag 0.043755 0.091143
a_neg d3Udcp3_pos_mag 0.043756 0.091143
a_neg d3Udcp3_neg_mag 0.043756 0.091143
a_neg i0_neg -0.010376 0.081428
a_neg i0_pos 0.037884 0.093979
a_neg SOC_neg 0.043756 0.091143
a_neg SOC_pos 0.043756 0.091143
a_neg tP 0.043756 0.091144
a_neg aa_neg 0.019731 0.104669
a_neg aa_pos 0.054296 0.094171
a_neg kappa_0 -0.127329 0.265110
a_neg sigma_neg 0.043762 0.091159
a_neg sigma_pos 0.043659 0.091140
a_pos l_neg -0.202337 0.270907
a_pos l_sep -0.202447 0.270954
a_pos l_pos -0.202748 0.271195
a_pos Rp_neg -0.202859 0.271091
a_pos Rp_pos -0.183848 0.241822
a_pos epsilon_f_neg -0.202449 0.270957
a_pos epsilon_f_pos -0.202416 0.270905
a_pos epsilon_neg -0.169496 0.268135
a_pos epsilon_sep -0.202447 0.270954
a_pos epsilon_pos -0.084829 0.104374
a_pos Cdl_neg -0.276429 0.316232
a_pos Cdl_pos -0.275947 0.397554
a_pos cs_max_neg -0.202447 0.270954
a_pos cs_max_pos -0.202447 0.270954
