Parameter S1 S1_conf ST ST_conf
a_neg -0.135483 0.182933 0.968272 1.405551
a_pos 0.081337 0.136274 0.705621 0.908228
l_neg 0.000010 0.000021 0.000000 0.000000
l_sep 0.000000 0.000000 0.000000 0.000000
l_pos 0.001233 0.002244 0.000164 0.000275
Rp_neg -0.000017 0.000032 0.000003 0.000006
Rp_pos 0.000026 0.000043 0.000000 0.000000
epsilon_f_neg 0.000005 0.000010 0.000000 0.000000
epsilon_f_pos 0.000017 0.000017 0.000000 0.000000
epsilon_neg -0.043698 0.093020 0.182035 0.185889
epsilon_sep 0.000000 0.000000 0.000000 0.000000
epsilon_pos -0.151882 0.195587 1.685049 1.390492
Cdl_neg -0.052118 0.034452 0.398383 0.411144
Cdl_pos 0.061480 0.082258 1.534586 2.479227
cs_max_neg 0.000000 0.000000 0.000000 0.000000
cs_max_pos 0.000000 0.000000 0.000000 0.000000
c0 0.000010 0.000016 0.000000 0.000000
D -0.000001 0.000002 0.000000 0.000000
Ds_neg 0.000035 0.000064 0.000014 0.000026
Ds_pos 0.000013 0.000055 0.000000 0.000000
d2Udcp2_pos_sgn 0.000002 0.000004 0.000000 0.000000
d2Udcp2_neg_sgn -0.000000 0.000000 0.000000 0.000000
d3Udcp3_pos_sgn 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_sgn 0.000000 0.000000 0.000000 0.000000
dUdcp_pos_mag 0.000025 0.000061 0.000000 0.000000
dUdcp_neg_mag 0.000121 0.000301 0.000005 0.000007
d2Udcp2_pos_mag -0.000012 0.000024 0.000000 0.000000
d2Udcp2_neg_mag 0.000000 0.000000 0.000000 0.000000
d3Udcp3_pos_mag 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_mag 0.000000 0.000000 0.000000 0.000000
i0_neg -0.006248 0.015731 0.045887 0.037941
i0_pos 0.010686 0.034805 0.075653 0.050542
SOC_neg 0.000000 0.000000 0.000000 0.000000
SOC_pos 0.000000 0.000000 0.000000 0.000000
tP 0.000018 0.000024 0.000000 0.000000
aa_neg 0.075488 0.108746 0.205520 0.220506
aa_pos 0.050756 0.078141 0.814511 0.825348
kappa_0 -0.149807 0.243351 3.630210 5.917023
sigma_neg -0.000053 0.000086 0.000000 0.000000
sigma_pos -0.000021 0.000056 0.000000 0.000000

Parameter_1 Parameter_2 S2 S2_conf
a_neg a_pos 0.118668 0.208925
a_neg l_neg 0.173529 0.197306
a_neg l_sep 0.173520 0.197302
a_neg l_pos 0.172558 0.197012
a_neg Rp_neg 0.173320 0.197244
a_neg Rp_pos 0.173529 0.197308
a_neg epsilon_f_neg 0.173510 0.197302
a_neg epsilon_f_pos 0.173550 0.197303
a_neg epsilon_neg 0.313635 0.715607
a_neg epsilon_sep 0.173520 0.197302
a_neg epsilon_pos 0.178196 0.199066
a_neg Cdl_neg 0.065290 0.296407
a_neg Cdl_pos 0.185993 0.199331
a_neg cs_max_neg 0.173520 0.197302
a_neg cs_max_pos 0.173520 0.197302
a_neg c0 0.173514 0.197302
a_neg D 0.173521 0.197303
a_neg Ds_neg 0.173930 0.197421
a_neg Ds_pos 0.173492 0.197295
a_neg d2Udcp2_pos_sgn 0.173521 0.197303
a_neg d2Udcp2_neg_sgn 0.173520 0.197302
a_neg d3Udcp3_pos_sgn 0.173520 0.197302
a_neg d3Udcp3_neg_sgn 0.173520 0.197302
a_neg dUdcp_pos_mag 0.173508 0.197293
a_neg dUdcp_neg_mag 0.173180 0.197182
a_neg d2Udcp2_pos_mag 0.173522 0.197303
a_neg d2Udcp2_neg_mag 0.173520 0.197302
a_neg d3Udcp3_pos_mag 0.173520 0.197302
a_neg d3Udcp3_neg_mag 0.173520 0.197302
a_neg i0_neg 0.138025 0.189627
a_neg i0_pos 0.176600 0.197750
a_neg SOC_neg 0.173520 0.197302
a_neg SOC_pos 0.173520 0.197302
a_neg tP 0.173511 0.197300
a_neg aa_neg 0.224266 0.217046
a_neg aa_pos 0.204885 0.208499
a_neg kappa_0 0.006782 0.292279
a_neg sigma_neg 0.173531 0.197339
a_neg sigma_pos 0.173350 0.197334
a_pos l_neg -0.109603 0.166523
a_pos l_sep -0.109589 0.166515
a_pos l_pos -0.109683 0.166656
a_pos Rp_neg -0.109588 0.166514
a_pos Rp_pos -0.109513 0.166432
a_pos epsilon_f_neg -0.109590 0.166516
a_pos epsilon_f_pos -0.109587 0.166508
a_pos epsilon_neg -0.077702 0.153311
a_pos epsilon_sep -0.109590 0.166515
a_pos epsilon_pos -0.032048 0.150383
a_pos Cdl_neg -0.108141 0.166198
a_pos Cdl_pos -0.120001 0.165182
a_pos cs_max_neg -0.109590 0.166515
a_pos cs_max_pos -0.109590 0.166515
a_pos c0 -0.109594 0.166515
a_pos D -0.109591 0.166516
a_pos Ds_neg -0.109595 0.166518
a_pos Ds_pos -0.109584 0.166512
a_pos d2Udcp2_pos_sgn -0.109591 0.166516
a_pos d2Udcp2_neg_sgn -0.109590 0.166515
a_pos d3Udcp3_pos_sgn -0.109590 0.166515
a_pos d3Udcp3_neg_sgn -0.109590 0.166515
a_pos dUdcp_pos_mag -0.109612 0.166540
a_pos dUdcp_neg_mag -0.109584 0.166512
a_pos d2Udcp2_pos_mag -0.109591 0.166516
a_pos d2Udcp2_neg_mag -0.109590 0.166515
a_pos d3Udcp3_pos_mag -0.109590 0.166515
a_pos d3Udcp3_neg_mag -0.109590 0.166515
a_pos i0_neg -0.108070 0.165788
a_pos i0_pos -0.108476 0.162767
a_pos SOC_neg -0.109590 0.166515
a_pos SOC_pos -0.109590 0.166515
a_pos tP -0.109593 0.166515
a_pos aa_neg -0.102505 0.162547
a_pos aa_pos -0.044336 0.131954
a_pos kappa_0 -0.588960 0.959594
a_pos sigma_neg -0.109586 0.166512
a_pos sigma_pos -0.109624 0.166545
l_neg l_sep 0.000596 0.001039
l_neg l_pos 0.000597 0.001039
l_neg Rp_neg 0.000596 0.001039
l_neg Rp_pos 0.000596 0.001039
l_neg epsilon_f_neg 0.000596 0.001039
l_neg epsilon_f_pos 0.000596 0.001039
l_neg epsilon_neg 0.000544 0.000841
l_neg epsilon_sep 0.000596 0.001039
l_neg epsilon_pos 0.000621 0.001057
l_neg Cdl_neg 0.000521 0.000877
l_neg Cdl_pos 0.000620 0.001066
l_neg cs_max_neg 0.000596 0.001039
l_neg cs_max_pos 0.000596 0.001039
l_neg c0 0.000596 0.001039
l_neg D 0.000596 0.001039
l_neg Ds_neg 0.000596 0.001039
l_neg Ds_pos 0.000596 0.001039
l_neg d2Udcp2_pos_sgn 0.000596 0.001039
l_neg d2Udcp2_neg_sgn 0.000596 0.001039
l_neg d3Udcp3_pos_sgn 0.000596 0.001039
l_neg d3Udcp3_neg_sgn 0.000596 0.001039
l_neg dUdcp_pos_mag 0.000596 0.001039
l_neg dUdcp_neg_mag 0.000591 0.001030
l_neg d2Udcp2_pos_mag 0.000596 0.001039
l_neg d2Udcp2_neg_mag 0.000596 0.001039
l_neg d3Udcp3_pos_mag 0.000596 0.001039
l_neg d3Udcp3_neg_mag 0.000596 0.001039
l_neg i0_neg 0.000435 0.000767
l_neg i0_pos 0.000594 0.001032
l_neg SOC_neg 0.000596 0.001039
l_neg SOC_pos 0.000596 0.001039
l_neg tP 0.000596 0.001039
l_neg aa_neg -0.001271 0.002074
l_neg aa_pos 0.000658 0.001084
l_neg kappa_0 0.000049 0.000711
l_neg sigma_neg 0.000598 0.001041
l_neg sigma_pos 0.000596 0.001039
l_sep l_pos -0.000000 0.000000
l_sep Rp_neg -0.000000 0.000000
l_sep Rp_pos -0.000000 0.000000
l_sep epsilon_f_neg -0.000000 0.000000
l_sep epsilon_f_pos -0.000000 0.000000
l_sep epsilon_neg -0.000000 0.000000
l_sep epsilon_sep -0.000000 0.000000
l_sep epsilon_pos -0.000000 0.000000
l_sep Cdl_neg -0.000000 0.000000
l_sep Cdl_pos -0.000000 0.000000
l_sep cs_max_neg -0.000000 0.000000
l_sep cs_max_pos -0.000000 0.000000
l_sep c0 -0.000000 0.000000
l_sep D -0.000000 0.000000
l_sep Ds_neg -0.000000 0.000000
l_sep Ds_pos -0.000000 0.000000
l_sep d2Udcp2_pos_sgn -0.000000 0.000000
l_sep d2Udcp2_neg_sgn -0.000000 0.000000
l_sep d3Udcp3_pos_sgn -0.000000 0.000000
l_sep d3Udcp3_neg_sgn -0.000000 0.000000
l_sep dUdcp_pos_mag -0.000000 0.000000
l_sep dUdcp_neg_mag -0.000000 0.000000
l_sep d2Udcp2_pos_mag -0.000000 0.000000
l_sep d2Udcp2_neg_mag -0.000000 0.000000
l_sep d3Udcp3_pos_mag -0.000000 0.000000
l_sep d3Udcp3_neg_mag -0.000000 0.000000
l_sep i0_neg -0.000000 0.000000
l_sep i0_pos -0.000000 0.000000
l_sep SOC_neg -0.000000 0.000000
l_sep SOC_pos -0.000000 0.000000
l_sep tP -0.000000 0.000000
l_sep aa_neg -0.000000 0.000000
l_sep aa_pos -0.000000 0.000000
l_sep kappa_0 -0.000000 0.000000
l_sep sigma_neg -0.000000 0.000000
l_sep sigma_pos -0.000000 0.000000
l_pos Rp_neg -0.001178 0.002275
l_pos Rp_pos -0.001178 0.002275
l_pos epsilon_f_neg -0.001178 0.002275
l_pos epsilon_f_pos -0.001178 0.002274
l_pos epsilon_neg -0.001206 0.002286
l_pos epsilon_sep -0.001178 0.002275
l_pos epsilon_pos -0.002003 0.003024
l_pos Cdl_neg -0.000983 0.002215
l_pos Cdl_pos -0.001049 0.002263
l_pos cs_max_neg -0.001178 0.002275
l_pos cs_max_pos -0.001178 0.002275
l_pos c0 -0.001178 0.002274
l_pos D -0.001178 0.002275
l_pos Ds_neg -0.001178 0.002275
l_pos Ds_pos -0.001178 0.002275
l_pos d2Udcp2_pos_sgn -0.001178 0.002275
l_pos d2Udcp2_neg_sgn -0.001178 0.002275
l_pos d3Udcp3_pos_sgn -0.001178 0.002275
l_pos d3Udcp3_neg_sgn -0.001178 0.002275
l_pos dUdcp_pos_mag -0.001178 0.002275
l_pos dUdcp_neg_mag -0.001179 0.002275
l_pos d2Udcp2_pos_mag -0.001178 0.002275
l_pos d2Udcp2_neg_mag -0.001178 0.002275
l_pos d3Udcp3_pos_mag -0.001178 0.002275
l_pos d3Udcp3_neg_mag -0.001178 0.002275
l_pos i0_neg -0.001161 0.002268
l_pos i0_pos -0.001057 0.002272
l_pos SOC_neg -0.001178 0.002275
l_pos SOC_pos -0.001178 0.002275
l_pos tP -0.001178 0.002275
l_pos aa_neg -0.001168 0.002268
l_pos aa_pos -0.001172 0.002258
l_pos kappa_0 -0.001401 0.002304
l_pos sigma_neg -0.001178 0.002275
l_pos sigma_pos -0.001178 0.002274
Rp_neg Rp_pos 0.000015 0.000040
Rp_neg epsilon_f_neg 0.000015 0.000040
Rp_neg epsilon_f_pos 0.000015 0.000040
Rp_neg epsilon_neg 0.000009 0.000039
Rp_neg epsilon_sep 0.000015 0.000040
