Parameter S1 S1_conf ST ST_conf
a_neg 0.230888 0.350666 24.022860 33.745335
a_pos 0.181045 0.329163 20.100794 31.997729
l_neg -0.000077 0.000088 0.000002 0.000002
l_sep 0.000004 0.000006 0.000012 0.000019
l_pos -0.005583 0.007045 0.008135 0.012032
Rp_neg 0.000005 0.000009 0.000000 0.000000
Rp_pos -0.000010 0.000015 0.000000 0.000000
epsilon_f_neg 0.000004 0.000008 0.000000 0.000000
epsilon_f_pos 0.000005 0.000017 0.000000 0.000000
epsilon_neg 0.002036 0.023402 0.312360 0.351913
epsilon_sep 0.000000 0.000000 0.000000 0.000000
epsilon_pos -0.075224 0.139594 0.273282 0.183501
Cdl_neg 0.224869 0.378766 4.929674 7.390499
Cdl_pos -0.146450 0.269773 1.772289 2.376080
cs_max_neg 0.000000 0.000000 0.000000 0.000000
cs_max_pos 0.000000 0.000000 0.000000 0.000000
c0 0.000008 0.000020 0.000001 0.000002
D 0.000002 0.000005 0.000000 0.000000
Ds_neg 0.000004 0.000008 0.000000 0.000000
Ds_pos 0.000001 0.000001 0.000000 0.000000
d2Udcp2_pos_sgn -0.000000 0.000000 0.000000 0.000000
d2Udcp2_neg_sgn -0.000000 0.000000 0.000000 0.000000
d3Udcp3_pos_sgn 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_sgn 0.000000 0.000000 0.000000 0.000000
dUdcp_pos_mag -0.000057 0.000080 0.000001 0.000001
dUdcp_neg_mag 0.000006 0.000010 0.000000 0.000000
d2Udcp2_pos_mag -0.000000 0.000000 0.000000 0.000000
d2Udcp2_neg_mag 0.000000 0.000000 0.000000 0.000000
d3Udcp3_pos_mag 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_mag 0.000000 0.000000 0.000000 0.000000
i0_neg 0.005292 0.012796 0.042078 0.036584
i0_pos 0.027711 0.046730 3.387766 4.953404
SOC_neg 0.000000 0.000000 0.000000 0.000000
SOC_pos 0.000000 0.000000 0.000000 0.000000
tP 0.000027 0.000033 0.000012 0.000021
aa_neg 0.055640 0.084946 0.136038 0.139067
aa_pos 0.089491 0.091662 5.929742 5.483415
kappa_0 -0.027414 0.044157 0.806026 0.987765
sigma_neg -0.000042 0.000062 0.000000 0.000000
sigma_pos 0.000091 0.000114 0.000001 0.000001

Parameter_1 Parameter_2 S2 S2_conf
a_neg a_pos -0.340060 0.457637
a_neg l_neg -0.209925 0.362265
a_neg l_sep -0.209851 0.362250
a_neg l_pos -0.206863 0.361844
a_neg Rp_neg -0.209800 0.362240
a_neg Rp_pos -0.209862 0.362252
a_neg epsilon_f_neg -0.209856 0.362250
a_neg epsilon_f_pos -0.209941 0.362258
a_neg epsilon_neg -0.190306 0.405033
a_neg epsilon_sep -0.209851 0.362250
a_neg epsilon_pos -0.198584 0.360899
a_neg Cdl_neg 0.667302 1.440675
a_neg Cdl_pos -0.234032 0.369025
a_neg cs_max_neg -0.209851 0.362250
a_neg cs_max_pos -0.209851 0.362250
a_neg c0 -0.209845 0.362248
a_neg D -0.209850 0.362250
a_neg Ds_neg -0.209805 0.362241
a_neg Ds_pos -0.209851 0.362250
a_neg d2Udcp2_pos_sgn -0.209851 0.362250
a_neg d2Udcp2_neg_sgn -0.209851 0.362250
a_neg d3Udcp3_pos_sgn -0.209851 0.362250
a_neg d3Udcp3_neg_sgn -0.209851 0.362250
a_neg dUdcp_pos_mag -0.209825 0.362246
a_neg dUdcp_neg_mag -0.209802 0.362240
a_neg d2Udcp2_pos_mag -0.209850 0.362250
a_neg d2Udcp2_neg_mag -0.209851 0.362250
a_neg d3Udcp3_pos_mag -0.209851 0.362250
a_neg d3Udcp3_neg_mag -0.209851 0.362250
a_neg i0_neg -0.198517 0.365287
a_neg i0_pos -0.217484 0.362126
a_neg SOC_neg -0.209851 0.362250
a_neg SOC_pos -0.209851 0.362250
a_neg tP -0.209850 0.362250
a_neg aa_neg -0.199196 0.359843
a_neg aa_pos -0.219741 0.361980
a_neg kappa_0 -0.236560 0.367592
a_neg sigma_neg -0.209842 0.362245
a_neg sigma_pos -0.209254 0.362242
a_pos l_neg -0.164511 0.329891
a_pos l_sep -0.164444 0.329864
a_pos l_pos -0.163373 0.329290
a_pos Rp_neg -0.164483 0.329875
a_pos Rp_pos -0.164478 0.329875
a_pos epsilon_f_neg -0.164483 0.329875
a_pos epsilon_f_pos -0.164484 0.329875
a_pos epsilon_neg -0.156218 0.327002
a_pos epsilon_sep -0.164483 0.329875
a_pos epsilon_pos -0.126285 0.324897
a_pos Cdl_neg -0.145173 0.323912
a_pos Cdl_pos -0.042786 0.345925
a_pos cs_max_neg -0.164483 0.329875
a_pos cs_max_pos -0.164483 0.329875
a_pos c0 -0.164498 0.329877
a_pos D -0.164465 0.329866
a_pos Ds_neg -0.164483 0.329875
a_pos Ds_pos -0.164483 0.329875
a_pos d2Udcp2_pos_sgn -0.164483 0.329875
a_pos d2Udcp2_neg_sgn -0.164483 0.329875
a_pos d3Udcp3_pos_sgn -0.164483 0.329875
a_pos d3Udcp3_neg_sgn -0.164483 0.329875
a_pos dUdcp_pos_mag -0.164460 0.329875
a_pos dUdcp_neg_mag -0.164483 0.329875
a_pos d2Udcp2_pos_mag -0.164483 0.329875
a_pos d2Udcp2_neg_mag -0.164483 0.329875
