Parameter S1 S1_conf ST ST_conf
a_neg 0.047379 0.234608 12.421305 57.908660
a_pos 0.014295 0.125544 1.778553 12.661810
l_neg -0.000963 0.004180 0.069760 0.029062
l_sep -0.000979 0.003870 0.556525 0.268376
l_pos -0.000493 0.003966 0.000977 0.006054
Rp_neg -0.000000 0.000000 0.000000 0.000000
Rp_pos 0.000000 0.000000 0.000000 0.000000
epsilon_f_neg 0.000000 0.000002 0.000000 0.000000
epsilon_f_pos 0.000001 0.000005 0.000000 0.000000
epsilon_neg -0.000202 0.011499 1.052391 0.379674
epsilon_sep 0.000000 0.000000 0.000000 0.000000
epsilon_pos -0.003497 0.038028 0.042170 0.116714
Cdl_neg 0.021594 0.130436 0.935154 4.089573
Cdl_pos 0.002485 0.078970 0.231730 1.318751
cs_max_neg 0.000000 0.000000 0.000000 0.000000
cs_max_pos 0.000000 0.000000 0.000000 0.000000
c0 -0.001542 0.007138 0.022373 0.091059
D -0.000451 0.002244 0.115545 0.053425
Ds_neg 0.000000 0.000000 0.000000 0.000000
Ds_pos 0.000000 0.000000 0.000000 0.000000
d2Udcp2_pos_sgn 0.000000 0.000000 0.000000 0.000000
d2Udcp2_neg_sgn 0.000000 0.000000 0.000000 0.000000
d3Udcp3_pos_sgn 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_sgn 0.000000 0.000000 0.000000 0.000000
dUdcp_pos_mag 0.000000 0.000001 0.000000 0.000000
dUdcp_neg_mag -0.000000 0.000000 0.000000 0.000000
d2Udcp2_pos_mag 0.000000 0.000000 0.000000 0.000000
d2Udcp2_neg_mag 0.000000 0.000000 0.000000 0.000000
d3Udcp3_pos_mag 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_mag 0.000000 0.000000 0.000000 0.000000
i0_neg -0.000748 0.005081 0.004628 0.017034
i0_pos 0.002553 0.014253 0.077825 0.250248
SOC_neg 0.000000 0.000000 0.000000 0.000000
SOC_pos 0.000000 0.000000 0.000000 0.000000
tP -0.001486 0.006319 0.853602 0.391007
aa_neg 0.004620 0.028022 0.017994 0.081063
aa_pos 0.013251 0.048242 0.816374 2.922921
kappa_0 0.001099 0.012839 2.723134 1.107038
sigma_neg -0.000004 0.000021 0.000000 0.000000
sigma_pos 0.000009 0.000048 0.000002 0.000007

Parameter_1 Parameter_2 S2 S2_conf
a_neg a_pos -0.057143 0.274956
a_neg l_neg -0.046300 0.238011
a_neg l_sep -0.046438 0.238323
a_neg l_pos -0.046193 0.237823
a_neg Rp_neg -0.046465 0.238367
a_neg Rp_pos -0.046465 0.238367
a_neg epsilon_f_neg -0.046465 0.238368
a_neg epsilon_f_pos -0.046474 0.238386
a_neg epsilon_neg -0.045947 0.251620
a_neg epsilon_sep -0.046465 0.238367
a_neg epsilon_pos -0.045426 0.236362
a_neg Cdl_neg 0.062115 0.548120
a_neg Cdl_pos -0.048426 0.242510
a_neg cs_max_neg -0.046465 0.238367
a_neg cs_max_pos -0.046465 0.238367
a_neg c0 -0.046464 0.238364
a_neg D -0.046455 0.238352
a_neg Ds_neg -0.046465 0.238367
a_neg Ds_pos -0.046465 0.238367
a_neg d2Udcp2_pos_sgn -0.046465 0.238367
a_neg d2Udcp2_neg_sgn -0.046465 0.238367
a_neg d3Udcp3_pos_sgn -0.046465 0.238367
a_neg d3Udcp3_neg_sgn -0.046465 0.238367
a_neg dUdcp_pos_mag -0.046465 0.238367
a_neg dUdcp_neg_mag -0.046465 0.238367
a_neg d2Udcp2_pos_mag -0.046465 0.238367
a_neg d2Udcp2_neg_mag -0.046465 0.238367
a_neg d3Udcp3_pos_mag -0.046465 0.238367
a_neg d3Udcp3_neg_mag -0.046465 0.238367
a_neg i0_neg -0.044874 0.234819
a_neg i0_pos -0.047442 0.239895
a_neg SOC_neg -0.046465 0.238367
a_neg SOC_pos -0.046465 0.238367
a_neg tP -0.046455 0.238354
a_neg aa_neg -0.045087 0.233381
a_neg aa_pos -0.047901 0.240836
a_neg kappa_0 -0.048892 0.241512
a_neg sigma_neg -0.046464 0.238365
a_neg sigma_pos -0.046404 0.238254
a_pos l_neg -0.007782 0.122432
a_pos l_sep -0.008443 0.122022
a_pos l_pos -0.002521 0.121956
a_pos Rp_neg -0.002799 0.122351
a_pos Rp_pos -0.002799 0.122351
a_pos epsilon_f_neg -0.002799 0.122351
a_pos epsilon_f_pos -0.002799 0.122351
a_pos epsilon_neg -0.012007 0.122756
a_pos epsilon_sep -0.002799 0.122351
a_pos epsilon_pos -0.000697 0.116595
a_pos Cdl_neg -0.007391 0.122095
a_pos Cdl_pos 0.014608 0.107623
a_pos cs_max_neg -0.002799 0.122351
a_pos cs_max_pos -0.002799 0.122351
