Parameter S1 S1_conf ST ST_conf
a_neg 0.030472 0.038404 0.071561 0.078761
a_pos 0.205596 0.175107 0.362575 0.151381
l_neg -0.000088 0.000135 0.000268 0.000412
l_sep 0.000021 0.000031 0.000000 0.000000
l_pos -0.000646 0.000665 0.000001 0.000000
Rp_neg 0.000626 0.001148 0.003076 0.004544
Rp_pos -0.003267 0.002554 0.000133 0.000174
epsilon_f_neg 0.000006 0.000010 0.000000 0.000000
epsilon_f_pos 0.000002 0.000006 0.000000 0.000000
epsilon_neg -0.075515 0.117510 0.098358 0.088287
epsilon_sep 0.000000 0.000000 0.000000 0.000000
epsilon_pos -0.017709 0.028484 3.244290 2.058798
Cdl_neg -0.000061 0.000117 0.000031 0.000032
Cdl_pos 0.001249 0.002241 0.000155 0.000325
cs_max_neg 0.000000 0.000000 0.000000 0.000000
cs_max_pos 0.000000 0.000000 0.000000 0.000000
c0 0.000158 0.000184 0.000005 0.000008
D -0.000223 0.000386 0.000001 0.000001
Ds_neg -0.001814 0.006516 0.071314 0.090255
Ds_pos -0.004225 0.004427 0.000126 0.000167
d2Udcp2_pos_sgn -0.003518 0.003469 0.000356 0.000588
d2Udcp2_neg_sgn -0.006905 0.012859 0.078560 0.146424
d3Udcp3_pos_sgn 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_sgn 0.000000 0.000000 0.000000 0.000000
dUdcp_pos_mag -0.005520 0.006474 0.000565 0.000879
dUdcp_neg_mag 0.000246 0.000583 0.000122 0.000138
d2Udcp2_pos_mag -0.002027 0.003904 0.000307 0.000419
d2Udcp2_neg_mag -0.002199 0.006360 0.065301 0.082460
d3Udcp3_pos_mag 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_mag 0.000000 0.000000 0.000000 0.000000
i0_neg -0.009677 0.009781 0.180034 0.236304
i0_pos 0.228563 0.221491 0.442123 0.196266
SOC_neg 0.000000 0.000000 0.000000 0.000000
SOC_pos 0.000000 0.000000 0.000000 0.000000
tP 0.000158 0.000229 0.000009 0.000014
aa_neg 0.018778 0.024402 0.307214 0.329041
aa_pos 0.012362 0.078775 0.642859 0.318836
kappa_0 -0.256974 0.443715 5.037212 8.316066
sigma_neg -0.000029 0.000039 0.000000 0.000000
sigma_pos -0.000023 0.000034 0.000001 0.000001

Parameter_1 Parameter_2 S2 S2_conf
a_neg a_pos -0.058311 0.057346
a_neg l_neg -0.057310 0.061679
a_neg l_sep -0.057764 0.061806
a_neg l_pos -0.057756 0.061817
a_neg Rp_neg -0.058996 0.062141
a_neg Rp_pos -0.056123 0.060112
a_neg epsilon_f_neg -0.057739 0.061781
a_neg epsilon_f_pos -0.057738 0.061779
a_neg epsilon_neg -0.097795 0.100055
a_neg epsilon_sep -0.057742 0.061782
a_neg epsilon_pos -0.029320 0.051827
a_neg Cdl_neg -0.058094 0.062005
a_neg Cdl_pos -0.058713 0.062641
a_neg cs_max_neg -0.057742 0.061782
a_neg cs_max_pos -0.057742 0.061782
a_neg c0 -0.057854 0.061908
a_neg D -0.057484 0.061492
a_neg Ds_neg -0.063739 0.063941
a_neg Ds_pos -0.054827 0.058442
a_neg d2Udcp2_pos_sgn -0.057519 0.061714
a_neg d2Udcp2_neg_sgn -0.058241 0.062065
a_neg d3Udcp3_pos_sgn -0.057742 0.061782
a_neg d3Udcp3_neg_sgn -0.057742 0.061782
a_neg dUdcp_pos_mag -0.056763 0.060599
a_neg dUdcp_neg_mag -0.057398 0.061675
a_neg d2Udcp2_pos_mag -0.055261 0.059118
a_neg d2Udcp2_neg_mag -0.063815 0.064016
a_neg d3Udcp3_pos_mag -0.057742 0.061782
a_neg d3Udcp3_neg_mag -0.057742 0.061782
a_neg i0_neg -0.039272 0.057483
a_neg i0_pos -0.056760 0.054365
a_neg SOC_neg -0.057742 0.061782
a_neg SOC_pos -0.057742 0.061782
a_neg tP -0.057911 0.061962
a_neg aa_neg -0.013641 0.058336
a_neg aa_pos -0.013536 0.060902
a_neg kappa_0 -0.265091 0.416253
a_neg sigma_neg -0.057749 0.061785
a_neg sigma_pos -0.057701 0.061765
a_pos l_neg -0.336672 0.315552
a_pos l_sep -0.336687 0.315554
a_pos l_pos -0.336037 0.315241
a_pos Rp_neg -0.340299 0.315769
a_pos Rp_pos -0.335027 0.314654
a_pos epsilon_f_neg -0.336691 0.315559
a_pos epsilon_f_pos -0.336659 0.315511
a_pos epsilon_neg -0.347734 0.318318
a_pos epsilon_sep -0.336688 0.315555
a_pos epsilon_pos -0.215504 0.188712
a_pos Cdl_neg -0.336577 0.315534
a_pos Cdl_pos -0.336108 0.314728
a_pos cs_max_neg -0.336688 0.315555
a_pos cs_max_pos -0.336688 0.315555
