Parameter S1 S1_conf ST ST_conf
a_neg 0.024006 0.076284 0.040185 0.086630
a_pos 0.006970 0.101709 0.566463 0.189767
l_neg 0.000065 0.000207 0.000052 0.000172
l_sep -0.000000 0.000000 0.000000 0.000000
l_pos 0.000086 0.000324 0.000001 0.000002
Rp_neg -0.000164 0.000674 0.000007 0.000020
Rp_pos 0.001330 0.003215 0.000084 0.000215
epsilon_f_neg 0.000000 0.000001 0.000000 0.000000
epsilon_f_pos 0.000007 0.000016 0.000000 0.000000
epsilon_neg -0.012524 0.036887 0.093684 0.169598
epsilon_sep 0.000000 0.000000 0.000000 0.000000
epsilon_pos 0.011511 0.066849 5.257355 2.728549
Cdl_neg -0.003508 0.008110 0.071238 0.139976
Cdl_pos 0.009461 0.023347 0.010660 0.013678
cs_max_neg 0.000000 0.000000 0.000000 0.000000
cs_max_pos 0.000000 0.000000 0.000000 0.000000
c0 0.000021 0.000057 0.000000 0.000001
D 0.000014 0.000027 0.000000 0.000000
Ds_neg -0.000220 0.000851 0.000065 0.000200
Ds_pos 0.000361 0.002100 0.000013 0.000028
d2Udcp2_pos_sgn 0.000019 0.000091 0.000000 0.000001
d2Udcp2_neg_sgn 0.000020 0.000087 0.000023 0.000098
d3Udcp3_pos_sgn 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_sgn 0.000000 0.000000 0.000000 0.000000
dUdcp_pos_mag -0.000600 0.001131 0.000004 0.000009
dUdcp_neg_mag -0.000068 0.000289 0.000003 0.000008
d2Udcp2_pos_mag 0.000721 0.001816 0.000003 0.000007
d2Udcp2_neg_mag 0.000040 0.000114 0.000016 0.000046
d3Udcp3_pos_mag 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_mag 0.000000 0.000000 0.000000 0.000000
i0_neg -0.001440 0.004635 0.015240 0.034054
i0_pos 0.012479 0.023896 0.566239 0.269547
SOC_neg 0.000000 0.000000 0.000000 0.000000
SOC_pos 0.000000 0.000000 0.000000 0.000000
tP 0.000030 0.000073 0.000000 0.000001
aa_neg 0.001446 0.022502 0.227288 0.443319
aa_pos 0.075070 0.173421 0.954143 0.523859
kappa_0 -0.418288 1.069975 10.115205 24.055315
sigma_neg 0.000000 0.000008 0.000000 0.000000
sigma_pos -0.000022 0.000062 0.000000 0.000001

Parameter_1 Parameter_2 S2 S2_conf
a_neg a_pos -0.033278 0.087595
a_neg l_neg -0.050440 0.111081
a_neg l_sep -0.050220 0.110873
a_neg l_pos -0.050192 0.110847
a_neg Rp_neg -0.050186 0.110831
a_neg Rp_pos -0.049108 0.108989
a_neg epsilon_f_neg -0.050221 0.110875
a_neg epsilon_f_pos -0.050215 0.110864
a_neg epsilon_neg -0.042693 0.131927
a_neg epsilon_sep -0.050220 0.110874
a_neg epsilon_pos -0.018985 0.088255
a_neg Cdl_neg -0.065060 0.140058
a_neg Cdl_pos -0.045111 0.100510
a_neg cs_max_neg -0.050220 0.110874
a_neg cs_max_pos -0.050220 0.110874
a_neg c0 -0.050240 0.110915
a_neg D -0.050228 0.110888
a_neg Ds_neg -0.050277 0.110925
a_neg Ds_pos -0.051400 0.113053
a_neg d2Udcp2_pos_sgn -0.050215 0.110871
a_neg d2Udcp2_neg_sgn -0.050227 0.110880
a_neg d3Udcp3_pos_sgn -0.050220 0.110874
a_neg d3Udcp3_neg_sgn -0.050220 0.110874
a_neg dUdcp_pos_mag -0.050102 0.110618
a_neg dUdcp_neg_mag -0.050218 0.110872
a_neg d2Udcp2_pos_mag -0.050894 0.112209
a_neg d2Udcp2_neg_mag -0.050323 0.110970
a_neg d3Udcp3_pos_mag -0.050220 0.110874
a_neg d3Udcp3_neg_mag -0.050220 0.110874
a_neg i0_neg -0.054535 0.118206
a_neg i0_pos -0.055506 0.113298
a_neg SOC_neg -0.050220 0.110874
a_neg SOC_pos -0.050220 0.110874
a_neg tP -0.050249 0.110928
a_neg aa_neg -0.035168 0.105550
a_neg aa_pos 0.009772 0.120802
a_neg kappa_0 -0.462191 1.116637
a_neg sigma_neg -0.050220 0.110875
a_neg sigma_pos -0.050251 0.110920
a_pos l_neg -0.176228 0.491909
a_pos l_sep -0.176213 0.491901
a_pos l_pos -0.176315 0.491871
a_pos Rp_neg -0.176176 0.491878
a_pos Rp_pos -0.168622 0.472846
a_pos epsilon_f_neg -0.176213 0.491902
a_pos epsilon_f_pos -0.176177 0.491808
a_pos epsilon_neg -0.170595 0.490433
a_pos epsilon_sep -0.176213 0.491901
a_pos epsilon_pos -0.023289 0.140443
a_pos Cdl_neg -0.173402 0.491316
a_pos Cdl_pos -0.129752 0.376564
a_pos cs_max_neg -0.176213 0.491901
a_pos cs_max_pos -0.176213 0.491901
a_pos c0 -0.176225 0.491933
a_pos D -0.176198 0.491861
a_pos Ds_neg -0.176207 0.491881
a_pos Ds_pos -0.178890 0.498593
a_pos d2Udcp2_pos_sgn -0.176246 0.491899
a_pos d2Udcp2_neg_sgn -0.176211 0.491900
a_pos d3Udcp3_pos_sgn -0.176213 0.491901
a_pos d3Udcp3_neg_sgn -0.176213 0.491901
a_pos dUdcp_pos_mag -0.177676 0.495582
a_pos dUdcp_neg_mag -0.176196 0.491891
a_pos d2Udcp2_pos_mag -0.176209 0.491913
a_pos d2Udcp2_neg_mag -0.176217 0.491904
a_pos d3Udcp3_pos_mag -0.176213 0.491901
a_pos d3Udcp3_neg_mag -0.176213 0.491901
a_pos i0_neg -0.177757 0.496765
a_pos i0_pos -0.193858 0.510638
a_pos SOC_neg -0.176213 0.491901
a_pos SOC_pos -0.176213 0.491901
a_pos tP -0.176206 0.491896
a_pos aa_neg -0.168562 0.485753
a_pos aa_pos 0.228357 0.564381
a_pos kappa_0 -2.718911 6.992020
a_pos sigma_neg -0.176216 0.491904
a_pos sigma_pos -0.176363 0.492262
l_neg l_sep -0.000062 0.000258
l_neg l_pos -0.000062 0.000258
l_neg Rp_neg -0.000062 0.000258
l_neg Rp_pos -0.000062 0.000258
l_neg epsilon_f_neg -0.000062 0.000258
l_neg epsilon_f_pos -0.000062 0.000258
l_neg epsilon_neg -0.000074 0.000241
l_neg epsilon_sep -0.000062 0.000258
l_neg epsilon_pos -0.000066 0.000262
l_neg Cdl_neg -0.000083 0.000259
l_neg Cdl_pos -0.000064 0.000259
l_neg cs_max_neg -0.000062 0.000258
l_neg cs_max_pos -0.000062 0.000258
l_neg c0 -0.000062 0.000258
l_neg D -0.000062 0.000258
l_neg Ds_neg -0.000062 0.000258
l_neg Ds_pos -0.000062 0.000258
l_neg d2Udcp2_pos_sgn -0.000062 0.000259
l_neg d2Udcp2_neg_sgn -0.000062 0.000258
l_neg d3Udcp3_pos_sgn -0.000062 0.000258
l_neg d3Udcp3_neg_sgn -0.000062 0.000258
l_neg dUdcp_pos_mag -0.000062 0.000258
l_neg dUdcp_neg_mag -0.000062 0.000258
l_neg d2Udcp2_pos_mag -0.000062 0.000258
l_neg d2Udcp2_neg_mag -0.000062 0.000258
l_neg d3Udcp3_pos_mag -0.000062 0.000258
l_neg d3Udcp3_neg_mag -0.000062 0.000258
l_neg i0_neg -0.000061 0.000240
l_neg i0_pos -0.000054 0.000256
l_neg SOC_neg -0.000062 0.000258
l_neg SOC_pos -0.000062 0.000258
l_neg tP -0.000062 0.000258
l_neg aa_neg -0.000013 0.000262
l_neg aa_pos -0.000072 0.000270
l_neg kappa_0 -0.000034 0.000230
l_neg sigma_neg -0.000062 0.000258
l_neg sigma_pos -0.000062 0.000258
l_sep l_pos 0.000000 0.000000
l_sep Rp_neg 0.000000 0.000000
l_sep Rp_pos 0.000000 0.000000
l_sep epsilon_f_neg 0.000000 0.000000
l_sep epsilon_f_pos 0.000000 0.000000
l_sep epsilon_neg 0.000000 0.000000
