Parameter S1 S1_conf ST ST_conf
a_neg 0.024034 0.055608 0.081908 0.109501
a_pos -0.042229 0.183717 2.351561 4.941835
l_neg -0.000042 0.000078 0.000017 0.000038
l_sep 0.000000 0.000000 0.000000 0.000000
l_pos 0.000284 0.000737 0.000033 0.000084
Rp_neg 0.000003 0.000063 0.000001 0.000003
Rp_pos 0.000752 0.001936 0.000055 0.000114
epsilon_f_neg 0.000003 0.000006 0.000000 0.000000
epsilon_f_pos 0.000006 0.000014 0.000000 0.000000
epsilon_neg 0.001952 0.025323 0.080673 0.111922
epsilon_sep 0.000000 0.000000 0.000000 0.000000
epsilon_pos -0.033142 0.088899 4.629812 2.507491
Cdl_neg 0.020395 0.061644 0.236092 0.378930
Cdl_pos 0.011584 0.028768 0.688777 1.766626
cs_max_neg 0.000000 0.000000 0.000000 0.000000
cs_max_pos 0.000000 0.000000 0.000000 0.000000
c0 0.000006 0.000010 0.000000 0.000000
D -0.000005 0.000012 0.000000 0.000000
Ds_neg 0.000003 0.000042 0.000164 0.000439
Ds_pos -0.000222 0.000535 0.000000 0.000001
d2Udcp2_pos_sgn -0.000001 0.000005 0.000000 0.000000
d2Udcp2_neg_sgn -0.000000 0.000000 0.000000 0.000000
d3Udcp3_pos_sgn 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_sgn 0.000000 0.000000 0.000000 0.000000
dUdcp_pos_mag -0.000395 0.000802 0.000010 0.000019
dUdcp_neg_mag -0.000064 0.000141 0.000005 0.000011
d2Udcp2_pos_mag -0.000218 0.000540 0.000000 0.000001
d2Udcp2_neg_mag -0.000000 0.000000 0.000000 0.000000
d3Udcp3_pos_mag 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_mag 0.000000 0.000000 0.000000 0.000000
i0_neg 0.000087 0.003908 0.050105 0.108010
i0_pos 0.014760 0.009256 2.259741 1.204570
SOC_neg 0.000000 0.000000 0.000000 0.000000
SOC_pos 0.000000 0.000000 0.000000 0.000000
tP 0.000004 0.000009 0.000000 0.000000
aa_neg 0.013429 0.054824 0.230155 0.361157
aa_pos 0.084191 0.128643 0.849683 0.426392
kappa_0 -0.369271 0.775227 9.227612 17.888132
sigma_neg -0.000016 0.000039 0.000000 0.000000
sigma_pos 0.000012 0.000051 0.000000 0.000001

Parameter_1 Parameter_2 S2 S2_conf
a_neg a_pos 0.008437 0.105419
a_neg l_neg -0.048678 0.084837
a_neg l_sep -0.048842 0.084942
a_neg l_pos -0.048972 0.084994
a_neg Rp_neg -0.048862 0.084939
a_neg Rp_pos -0.047715 0.083375
a_neg epsilon_f_neg -0.048839 0.084943
a_neg epsilon_f_pos -0.048839 0.084934
a_neg epsilon_neg 0.028100 0.246338
a_neg epsilon_sep -0.048842 0.084942
a_neg epsilon_pos -0.022358 0.070486
a_neg Cdl_neg -0.046024 0.144244
a_neg Cdl_pos -0.037595 0.071963
a_neg cs_max_neg -0.048842 0.084942
a_neg cs_max_pos -0.048842 0.084942
a_neg c0 -0.048841 0.084940
a_neg D -0.048837 0.084935
a_neg Ds_neg -0.048254 0.084621
a_neg Ds_pos -0.048642 0.084609
a_neg d2Udcp2_pos_sgn -0.048844 0.084942
a_neg d2Udcp2_neg_sgn -0.048841 0.084942
a_neg d3Udcp3_pos_sgn -0.048842 0.084942
a_neg d3Udcp3_neg_sgn -0.048842 0.084942
a_neg dUdcp_pos_mag -0.049226 0.085467
a_neg dUdcp_neg_mag -0.048963 0.085028
a_neg d2Udcp2_pos_mag -0.048610 0.084599
a_neg d2Udcp2_neg_mag -0.048843 0.084943
a_neg d3Udcp3_pos_mag -0.048842 0.084942
a_neg d3Udcp3_neg_mag -0.048842 0.084942
a_neg i0_neg -0.042270 0.082800
a_neg i0_pos -0.053976 0.080965
a_neg SOC_neg -0.048842 0.084942
a_neg SOC_pos -0.048842 0.084942
a_neg tP -0.048842 0.084944
a_neg aa_neg -0.062375 0.103245
a_neg aa_pos 0.002371 0.098429
a_neg kappa_0 -0.438365 0.844811
a_neg sigma_neg -0.048806 0.084944
a_neg sigma_pos -0.048876 0.084988
a_pos l_neg -0.078173 0.309352
a_pos l_sep -0.078176 0.309352
a_pos l_pos -0.078270 0.309200
a_pos Rp_neg -0.078196 0.309343
a_pos Rp_pos -0.073992 0.302580
a_pos epsilon_f_neg -0.078176 0.309353
a_pos epsilon_f_pos -0.078154 0.309312
a_pos epsilon_neg -0.079842 0.308637
a_pos epsilon_sep -0.078176 0.309352
a_pos epsilon_pos -0.009467 0.211768
a_pos Cdl_neg -0.105421 0.307131
a_pos Cdl_pos -0.027417 0.235778
a_pos cs_max_neg -0.078176 0.309352
a_pos cs_max_pos -0.078176 0.309352
