Parameter S1 S1_conf ST ST_conf
a_neg -0.157375 0.308092 2.818214 6.278812
a_pos 0.246241 0.570978 14.611272 33.334788
l_neg 0.000012 0.000026 0.000001 0.000003
l_sep 0.000000 0.000000 0.000000 0.000000
l_pos -0.001864 0.004293 0.000836 0.001913
Rp_neg 0.000008 0.000019 0.000000 0.000001
Rp_pos 0.000015 0.000047 0.000000 0.000000
epsilon_f_neg 0.000006 0.000014 0.000000 0.000000
epsilon_f_pos 0.000013 0.000022 0.000000 0.000000
epsilon_neg -0.020579 0.050750 0.115022 0.109959
epsilon_sep 0.000000 0.000000 0.000000 0.000000
epsilon_pos -0.143892 0.267431 0.695946 0.880509
Cdl_neg 0.104754 0.325092 1.051767 1.808780
Cdl_pos 0.042765 0.089813 2.024725 4.884012
cs_max_neg 0.000000 0.000000 0.000000 0.000000
cs_max_pos 0.000000 0.000000 0.000000 0.000000
c0 -0.000000 0.000007 0.000000 0.000000
D -0.000000 0.000002 0.000000 0.000000
Ds_neg -0.000002 0.000004 0.000000 0.000000
Ds_pos 0.000010 0.000059 0.000000 0.000000
d2Udcp2_pos_sgn 0.000001 0.000001 0.000000 0.000000
d2Udcp2_neg_sgn -0.000000 0.000000 0.000000 0.000000
d3Udcp3_pos_sgn 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_sgn 0.000000 0.000000 0.000000 0.000000
dUdcp_pos_mag 0.000016 0.000082 0.000000 0.000000
dUdcp_neg_mag 0.000048 0.000099 0.000001 0.000001
d2Udcp2_pos_mag 0.000002 0.000004 0.000000 0.000000
d2Udcp2_neg_mag 0.000000 0.000000 0.000000 0.000000
d3Udcp3_pos_mag 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_mag 0.000000 0.000000 0.000000 0.000000
i0_neg 0.002987 0.011336 0.030236 0.035268
i0_pos 0.002116 0.044666 2.624497 3.879139
SOC_neg 0.000000 0.000000 0.000000 0.000000
SOC_pos 0.000000 0.000000 0.000000 0.000000
tP 0.000008 0.000018 0.000000 0.000000
aa_neg 0.087117 0.158405 0.154243 0.241353
aa_pos 0.018936 0.093305 0.165067 0.201012
kappa_0 -0.059056 0.114428 1.333421 2.717581
sigma_neg -0.000059 0.000116 0.000000 0.000000
sigma_pos 0.000006 0.000048 0.000000 0.000000

Parameter_1 Parameter_2 S2 S2_conf
a_neg a_pos 0.000869 0.477572
a_neg l_neg 0.187598 0.317549
a_neg l_sep 0.187595 0.317549
a_neg l_pos 0.188971 0.318293
a_neg Rp_neg 0.187669 0.317606
a_neg Rp_pos 0.187547 0.317531
a_neg epsilon_f_neg 0.187586 0.317545
a_neg epsilon_f_pos 0.187599 0.317552
a_neg epsilon_neg 0.256805 0.519624
a_neg epsilon_sep 0.187595 0.317549
a_neg epsilon_pos 0.194973 0.322046
a_neg Cdl_neg 0.217169 0.646443
a_neg Cdl_pos 0.200427 0.323255
a_neg cs_max_neg 0.187595 0.317549
a_neg cs_max_pos 0.187595 0.317549
a_neg c0 0.187593 0.317550
a_neg D 0.187595 0.317549
a_neg Ds_neg 0.187580 0.317538
a_neg Ds_pos 0.187573 0.317542
a_neg d2Udcp2_pos_sgn 0.187595 0.317549
a_neg d2Udcp2_neg_sgn 0.187595 0.317549
a_neg d3Udcp3_pos_sgn 0.187595 0.317549
a_neg d3Udcp3_neg_sgn 0.187595 0.317549
a_neg dUdcp_pos_mag 0.187654 0.317579
a_neg dUdcp_neg_mag 0.187645 0.317591
a_neg d2Udcp2_pos_mag 0.187592 0.317548
a_neg d2Udcp2_neg_mag 0.187595 0.317549
a_neg d3Udcp3_pos_mag 0.187595 0.317549
a_neg d3Udcp3_neg_mag 0.187595 0.317549
a_neg i0_neg 0.191190 0.314806
a_neg i0_pos 0.191187 0.321599
a_neg SOC_neg 0.187595 0.317549
a_neg SOC_pos 0.187595 0.317549
a_neg tP 0.187589 0.317546
a_neg aa_neg 0.202164 0.317838
a_neg aa_pos 0.206516 0.327317
a_neg kappa_0 0.132062 0.307688
a_neg sigma_neg 0.187604 0.317565
a_neg sigma_pos 0.187553 0.317538
a_pos l_neg -0.243552 0.582864
a_pos l_sep -0.243542 0.582854
a_pos l_pos -0.243444 0.582535
a_pos Rp_neg -0.243543 0.582855
a_pos Rp_pos -0.243536 0.582848
a_pos epsilon_f_neg -0.243544 0.582855
a_pos epsilon_f_pos -0.243544 0.582854
a_pos epsilon_neg -0.229047 0.576475
a_pos epsilon_sep -0.243544 0.582855
a_pos epsilon_pos -0.155964 0.565436
a_pos Cdl_neg -0.222819 0.570189
a_pos Cdl_pos -0.254974 0.593225
a_pos cs_max_neg -0.243544 0.582855
a_pos cs_max_pos -0.243544 0.582855
