Parameter S1 S1_conf ST ST_conf
a_neg 0.360765 0.475225 75.271946 94.873031
a_pos 0.132969 0.230938 16.216044 22.710921
l_neg -0.000298 0.000354 0.000153 0.000173
l_sep -0.000004 0.000019 0.000321 0.000474
l_pos -0.005369 0.005710 0.010571 0.010847
Rp_neg 0.000001 0.000002 0.000000 0.000000
Rp_pos -0.000003 0.000003 0.000000 0.000000
epsilon_f_neg 0.000004 0.000005 0.000000 0.000000
epsilon_f_pos 0.000005 0.000012 0.000000 0.000000
epsilon_neg 0.009362 0.022614 0.524207 0.568757
epsilon_sep 0.000000 0.000000 0.000000 0.000000
epsilon_pos -0.049635 0.102655 0.262206 0.132160
Cdl_neg 0.198032 0.274030 5.992694 7.750317
Cdl_pos -0.099817 0.242799 2.094580 2.322809
cs_max_neg 0.000000 0.000000 0.000000 0.000000
cs_max_pos 0.000000 0.000000 0.000000 0.000000
c0 0.000040 0.000061 0.000004 0.000004
D 0.000009 0.000021 0.000020 0.000030
Ds_neg 0.000001 0.000002 0.000000 0.000000
Ds_pos 0.000001 0.000001 0.000000 0.000000
d2Udcp2_pos_sgn -0.000000 0.000000 0.000000 0.000000
d2Udcp2_neg_sgn -0.000000 0.000000 0.000000 0.000000
d3Udcp3_pos_sgn 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_sgn 0.000000 0.000000 0.000000 0.000000
dUdcp_pos_mag -0.000016 0.000017 0.000000 0.000000
dUdcp_neg_mag 0.000001 0.000002 0.000000 0.000000
d2Udcp2_pos_mag 0.000000 0.000000 0.000000 0.000000
d2Udcp2_neg_mag 0.000000 0.000000 0.000000 0.000000
d3Udcp3_pos_mag 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_mag 0.000000 0.000000 0.000000 0.000000
i0_neg -0.000405 0.009097 0.035877 0.031082
i0_pos 0.031371 0.033425 2.027103 2.476441
SOC_neg 0.000000 0.000000 0.000000 0.000000
SOC_pos 0.000000 0.000000 0.000000 0.000000
tP 0.000036 0.000054 0.000278 0.000408
aa_neg 0.041947 0.060654 0.146667 0.131201
aa_pos 0.105942 0.078760 6.595611 5.066150
kappa_0 -0.020778 0.033915 0.636217 0.774316
sigma_neg -0.000033 0.000044 0.000000 0.000000
sigma_pos 0.000080 0.000088 0.000001 0.000001

Parameter_1 Parameter_2 S2 S2_conf
a_neg a_pos -0.447849 0.531950
a_neg l_neg -0.348977 0.491383
a_neg l_sep -0.348775 0.491363
a_neg l_pos -0.346264 0.491123
a_neg Rp_neg -0.348765 0.491362
a_neg Rp_pos -0.348779 0.491364
a_neg epsilon_f_neg -0.348780 0.491363
a_neg epsilon_f_pos -0.348856 0.491374
a_neg epsilon_neg -0.342549 0.533400
a_neg epsilon_sep -0.348775 0.491363
a_neg epsilon_pos -0.340076 0.490356
a_neg Cdl_neg 0.562204 1.302231
a_neg Cdl_pos -0.375388 0.496816
a_neg cs_max_neg -0.348775 0.491363
a_neg cs_max_pos -0.348775 0.491363
a_neg c0 -0.348772 0.491361
a_neg D -0.348775 0.491363
a_neg Ds_neg -0.348760 0.491361
a_neg Ds_pos -0.348775 0.491363
a_neg d2Udcp2_pos_sgn -0.348775 0.491363
a_neg d2Udcp2_neg_sgn -0.348775 0.491363
a_neg d3Udcp3_pos_sgn -0.348775 0.491363
a_neg d3Udcp3_neg_sgn -0.348775 0.491363
a_neg dUdcp_pos_mag -0.348773 0.491362
a_neg dUdcp_neg_mag -0.348765 0.491362
a_neg d2Udcp2_pos_mag -0.348775 0.491363
a_neg d2Udcp2_neg_mag -0.348775 0.491363
a_neg d3Udcp3_pos_mag -0.348775 0.491363
a_neg d3Udcp3_neg_mag -0.348775 0.491363
a_neg i0_neg -0.337173 0.489683
a_neg i0_pos -0.356584 0.491492
a_neg SOC_neg -0.348775 0.491363
a_neg SOC_pos -0.348775 0.491363
a_neg tP -0.348774 0.491363
a_neg aa_neg -0.337347 0.483717
a_neg aa_pos -0.360605 0.491274
a_neg kappa_0 -0.371472 0.493863
a_neg sigma_neg -0.348767 0.491361
a_neg sigma_pos -0.348243 0.491319
a_pos l_neg -0.115579 0.232825
a_pos l_sep -0.115661 0.232885
a_pos l_pos -0.112517 0.232272
a_pos Rp_neg -0.115581 0.232884
a_pos Rp_pos -0.115580 0.232884
a_pos epsilon_f_neg -0.115581 0.232884
a_pos epsilon_f_pos -0.115583 0.232883
a_pos epsilon_neg -0.108803 0.230508
a_pos epsilon_sep -0.115581 0.232884
a_pos epsilon_pos -0.094848 0.228781
a_pos Cdl_neg -0.100121 0.230327
a_pos Cdl_pos 0.037176 0.272857
a_pos cs_max_neg -0.115581 0.232884
a_pos cs_max_pos -0.115581 0.232884
