Parameter S1 S1_conf ST ST_conf
a_neg 0.033429 0.054823 0.056604 0.087307
a_pos 0.106690 0.157589 0.467108 0.169938
l_neg 0.000024 0.000078 0.000018 0.000054
l_sep 0.000008 0.000013 0.000000 0.000000
l_pos -0.000273 0.000538 0.000001 0.000001
Rp_neg 0.000287 0.000968 0.000227 0.000653
Rp_pos -0.003368 0.005009 0.000044 0.000053
epsilon_f_neg 0.000007 0.000013 0.000000 0.000000
epsilon_f_pos 0.000003 0.000010 0.000000 0.000000
epsilon_neg -0.090532 0.154515 0.099429 0.111368
epsilon_sep 0.000000 0.000000 0.000000 0.000000
epsilon_pos -0.013005 0.042612 4.330902 2.449972
Cdl_neg -0.000269 0.000724 0.000785 0.000965
Cdl_pos 0.005351 0.010542 0.002040 0.004654
cs_max_neg 0.000000 0.000000 0.000000 0.000000
cs_max_pos 0.000000 0.000000 0.000000 0.000000
c0 0.000135 0.000197 0.000003 0.000006
D -0.000148 0.000250 0.000000 0.000000
Ds_neg -0.000582 0.002745 0.003186 0.007773
Ds_pos -0.002633 0.002864 0.000046 0.000090
d2Udcp2_pos_sgn -0.000986 0.001855 0.000040 0.000090
d2Udcp2_neg_sgn -0.002067 0.006017 0.007613 0.022219
d3Udcp3_pos_sgn 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_sgn 0.000000 0.000000 0.000000 0.000000
dUdcp_pos_mag -0.003879 0.005370 0.000251 0.000516
dUdcp_neg_mag 0.000188 0.000571 0.000016 0.000034
d2Udcp2_pos_mag -0.001060 0.001826 0.000045 0.000079
d2Udcp2_neg_mag -0.000640 0.002746 0.004913 0.012338
d3Udcp3_pos_mag 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_mag 0.000000 0.000000 0.000000 0.000000
i0_neg -0.008032 0.011882 0.067750 0.118513
i0_pos 0.056762 0.092522 0.516862 0.250241
SOC_neg 0.000000 0.000000 0.000000 0.000000
SOC_pos 0.000000 0.000000 0.000000 0.000000
tP 0.000157 0.000251 0.000005 0.000011
aa_neg 0.021476 0.037828 0.382812 0.499253
aa_pos 0.032216 0.108842 0.794956 0.355062
kappa_0 -0.346404 0.735100 7.416829 14.759839
sigma_neg -0.000025 0.000044 0.000000 0.000000
sigma_pos -0.000028 0.000052 0.000001 0.000001

Parameter_1 Parameter_2 S2 S2_conf
a_neg a_pos -0.065744 0.073486
a_neg l_neg -0.070022 0.087384
a_neg l_sep -0.069902 0.087303
a_neg l_pos -0.069894 0.087303
a_neg Rp_neg -0.070190 0.087532
a_neg Rp_pos -0.066551 0.083606
a_neg epsilon_f_neg -0.069891 0.087293
a_neg epsilon_f_pos -0.069889 0.087287
a_neg epsilon_neg -0.111689 0.134485
a_neg epsilon_sep -0.069894 0.087293
a_neg epsilon_pos -0.036358 0.075480
a_neg Cdl_neg -0.071846 0.088908
a_neg Cdl_pos -0.073851 0.089661
a_neg cs_max_neg -0.069894 0.087293
a_neg cs_max_pos -0.069894 0.087293
a_neg c0 -0.070009 0.087421
a_neg D -0.069734 0.087113
a_neg Ds_neg -0.070822 0.087989
a_neg Ds_pos -0.069686 0.087189
a_neg d2Udcp2_pos_sgn -0.069793 0.087255
a_neg d2Udcp2_neg_sgn -0.070047 0.087389
a_neg d3Udcp3_pos_sgn -0.069894 0.087293
a_neg d3Udcp3_neg_sgn -0.069894 0.087293
a_neg dUdcp_pos_mag -0.069735 0.087632
a_neg dUdcp_neg_mag -0.069845 0.087276
a_neg d2Udcp2_pos_mag -0.068755 0.086038
a_neg d2Udcp2_neg_mag -0.071552 0.088571
a_neg d3Udcp3_pos_mag -0.069894 0.087293
a_neg d3Udcp3_neg_mag -0.069894 0.087293
a_neg i0_neg -0.054780 0.078288
a_neg i0_pos -0.070505 0.084578
a_neg SOC_neg -0.069894 0.087293
a_neg SOC_pos -0.069894 0.087293
a_neg tP -0.070055 0.087470
a_neg aa_neg -0.015659 0.084809
a_neg aa_pos -0.017357 0.091659
a_neg kappa_0 -0.366560 0.701351
a_neg sigma_neg -0.069901 0.087296
a_neg sigma_pos -0.069851 0.087282
a_pos l_neg -0.284415 0.488099
a_pos l_sep -0.284408 0.488095
a_pos l_pos -0.284131 0.487887
a_pos Rp_neg -0.285655 0.488775
a_pos Rp_pos -0.281646 0.482958
a_pos epsilon_f_neg -0.284412 0.488103
a_pos epsilon_f_pos -0.284368 0.488011
a_pos epsilon_neg -0.296794 0.498915
a_pos epsilon_sep -0.284408 0.488095
a_pos epsilon_pos -0.119909 0.188185
a_pos Cdl_neg -0.283732 0.487778
a_pos Cdl_pos -0.280982 0.481170
a_pos cs_max_neg -0.284408 0.488095
a_pos cs_max_pos -0.284408 0.488095
a_pos c0 -0.284386 0.488006
a_pos D -0.284339 0.487946
a_pos Ds_neg -0.284744 0.488325
a_pos Ds_pos -0.291046 0.502432
a_pos d2Udcp2_pos_sgn -0.283514 0.487456
a_pos d2Udcp2_neg_sgn -0.284328 0.488064
a_pos d3Udcp3_pos_sgn -0.284408 0.488095
a_pos d3Udcp3_neg_sgn -0.284408 0.488095
a_pos dUdcp_pos_mag -0.301426 0.523387
a_pos dUdcp_neg_mag -0.284369 0.488097
a_pos d2Udcp2_pos_mag -0.284612 0.488248
a_pos d2Udcp2_neg_mag -0.284322 0.488089
a_pos d3Udcp3_pos_mag -0.284408 0.488095
a_pos d3Udcp3_neg_mag -0.284408 0.488095
a_pos i0_neg -0.261813 0.468764
a_pos i0_pos -0.353238 0.561137
a_pos SOC_neg -0.284408 0.488095
a_pos SOC_pos -0.284408 0.488095
a_pos tP -0.284431 0.488114
a_pos aa_neg -0.250423 0.427442
a_pos aa_pos 0.159142 0.517029
a_pos kappa_0 -3.167349 6.741690
a_pos sigma_neg -0.284430 0.488125
a_pos sigma_pos -0.284560 0.488413
l_neg l_sep -0.000214 0.000304
l_neg l_pos -0.000213 0.000304
l_neg Rp_neg -0.000214 0.000304
l_neg Rp_pos -0.000211 0.000302
l_neg epsilon_f_neg -0.000214 0.000304
l_neg epsilon_f_pos -0.000214 0.000304
l_neg epsilon_neg -0.000085 0.000123
l_neg epsilon_sep -0.000214 0.000304
l_neg epsilon_pos -0.000209 0.000299
l_neg Cdl_neg -0.000201 0.000286
l_neg Cdl_pos -0.000215 0.000304
l_neg cs_max_neg -0.000214 0.000304
l_neg cs_max_pos -0.000214 0.000304
l_neg c0 -0.000214 0.000304
l_neg D -0.000214 0.000304
l_neg Ds_neg -0.000213 0.000303
l_neg Ds_pos -0.000213 0.000304
l_neg d2Udcp2_pos_sgn -0.000216 0.000306
l_neg d2Udcp2_neg_sgn -0.000213 0.000303
l_neg d3Udcp3_pos_sgn -0.000214 0.000304
l_neg d3Udcp3_neg_sgn -0.000214 0.000304
l_neg dUdcp_pos_mag -0.000213 0.000304
l_neg dUdcp_neg_mag -0.000211 0.000302
l_neg d2Udcp2_pos_mag -0.000215 0.000305
l_neg d2Udcp2_neg_mag -0.000213 0.000304
l_neg d3Udcp3_pos_mag -0.000214 0.000304
l_neg d3Udcp3_neg_mag -0.000214 0.000304
l_neg i0_neg -0.000143 0.000202
l_neg i0_pos -0.000274 0.000394
l_neg SOC_neg -0.000214 0.000304
l_neg SOC_pos -0.000214 0.000304
l_neg tP -0.000213 0.000304
l_neg aa_neg 0.000046 0.000109
l_neg aa_pos -0.000216 0.000303
l_neg kappa_0 -0.000011 0.000103
l_neg sigma_neg -0.000214 0.000304
l_neg sigma_pos -0.000214 0.000304
l_sep l_pos -0.000008 0.000013
l_sep Rp_neg -0.000008 0.000013
l_sep Rp_pos -0.000008 0.000013
l_sep epsilon_f_neg -0.000008 0.000013
l_sep epsilon_f_pos -0.000008 0.000013
l_sep epsilon_neg -0.000008 0.000013
l_sep epsilon_sep -0.000008 0.000013
l_sep epsilon_pos -0.000008 0.000013
l_sep Cdl_neg -0.000008 0.000013
l_sep Cdl_pos -0.000008 0.000013
l_sep cs_max_neg -0.000008 0.000013
l_sep cs_max_pos -0.000008 0.000013
l_sep c0 -0.000008 0.000013
l_sep D -0.000008 0.000013
l_sep Ds_neg -0.000008 0.000013
l_sep Ds_pos -0.000008 0.000013
l_sep d2Udcp2_pos_sgn -0.000008 0.000013
l_sep d2Udcp2_neg_sgn -0.000008 0.000013
l_sep d3Udcp3_pos_sgn -0.000008 0.000013
l_sep d3Udcp3_neg_sgn -0.000008 0.000013
l_sep dUdcp_pos_mag -0.000008 0.000013
l_sep dUdcp_neg_mag -0.000008 0.000013
l_sep d2Udcp2_pos_mag -0.000008 0.000013
l_sep d2Udcp2_neg_mag -0.000008 0.000013
l_sep d3Udcp3_pos_mag -0.000008 0.000013
l_sep d3Udcp3_neg_mag -0.000008 0.000013
l_sep i0_neg -0.000008 0.000013
l_sep i0_pos -0.000008 0.000013
l_sep SOC_neg -0.000008 0.000013
l_sep SOC_pos -0.000008 0.000013
l_sep tP -0.000008 0.000013
