Parameter S1 S1_conf ST ST_conf
a_neg -0.005273 0.028253 0.098894 0.154487
a_pos 0.016919 0.069299 0.738184 0.632333
l_neg -0.000185 0.000494 0.000126 0.000314
l_sep 0.000000 0.000000 0.000000 0.000000
l_pos 0.000041 0.000122 0.000003 0.000009
Rp_neg -0.000364 0.001320 0.000015 0.000029
Rp_pos 0.001257 0.002821 0.000095 0.000210
epsilon_f_neg 0.000001 0.000003 0.000000 0.000000
epsilon_f_pos 0.000009 0.000017 0.000000 0.000000
epsilon_neg -0.034854 0.077717 0.134319 0.229760
epsilon_sep 0.000000 0.000000 0.000000 0.000000
epsilon_pos 0.020247 0.068241 5.021004 2.523749
Cdl_neg -0.004536 0.011452 0.139684 0.251436
Cdl_pos 0.021646 0.054553 0.209267 0.228475
cs_max_neg 0.000000 0.000000 0.000000 0.000000
cs_max_pos 0.000000 0.000000 0.000000 0.000000
c0 -0.000006 0.000013 0.000000 0.000001
D 0.000003 0.000006 0.000000 0.000000
Ds_neg -0.000499 0.001534 0.000239 0.000558
Ds_pos -0.000270 0.000602 0.000012 0.000026
d2Udcp2_pos_sgn -0.000013 0.000037 0.000000 0.000000
d2Udcp2_neg_sgn 0.000009 0.000030 0.000001 0.000003
d3Udcp3_pos_sgn 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_sgn 0.000000 0.000000 0.000000 0.000000
dUdcp_pos_mag 0.000886 0.002041 0.000049 0.000110
dUdcp_neg_mag -0.000211 0.000662 0.000010 0.000020
d2Udcp2_pos_mag 0.000017 0.000142 0.000007 0.000022
d2Udcp2_neg_mag 0.000024 0.000051 0.000001 0.000003
d3Udcp3_pos_mag 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_mag 0.000000 0.000000 0.000000 0.000000
i0_neg -0.000964 0.014145 0.069649 0.124071
i0_pos 0.003883 0.013950 0.336271 0.162193
SOC_neg 0.000000 0.000000 0.000000 0.000000
SOC_pos 0.000000 0.000000 0.000000 0.000000
tP 0.000002 0.000007 0.000000 0.000001
aa_neg -0.002378 0.033785 0.301950 0.566352
aa_pos 0.078496 0.168486 0.971128 0.588824
kappa_0 -0.442470 0.995141 12.087426 25.938270
sigma_neg -0.000010 0.000022 0.000000 0.000000
sigma_pos -0.000006 0.000065 0.000000 0.000000

Parameter_1 Parameter_2 S2 S2_conf
a_neg a_pos -0.014781 0.129745
a_neg l_neg -0.014398 0.109085
a_neg l_sep -0.015017 0.109333
a_neg l_pos -0.014883 0.109315
a_neg Rp_neg -0.014756 0.109204
a_neg Rp_pos -0.013678 0.107265
a_neg epsilon_f_neg -0.015020 0.109335
a_neg epsilon_f_pos -0.015011 0.109322
a_neg epsilon_neg 0.002002 0.299805
a_neg epsilon_sep -0.015017 0.109333
a_neg epsilon_pos 0.012856 0.082618
a_neg Cdl_neg -0.025601 0.094402
a_neg Cdl_pos 0.007674 0.080990
a_neg cs_max_neg -0.015017 0.109333
a_neg cs_max_pos -0.015017 0.109333
a_neg c0 -0.015013 0.109352
a_neg D -0.015015 0.109329
a_neg Ds_neg -0.015218 0.109339
a_neg Ds_pos -0.015374 0.109773
a_neg d2Udcp2_pos_sgn -0.015013 0.109336
a_neg d2Udcp2_neg_sgn -0.015023 0.109338
a_neg d3Udcp3_pos_sgn -0.015017 0.109333
a_neg d3Udcp3_neg_sgn -0.015017 0.109333
a_neg dUdcp_pos_mag -0.013987 0.107808
a_neg dUdcp_neg_mag -0.014908 0.109306
a_neg d2Udcp2_pos_mag -0.014980 0.109304
a_neg d2Udcp2_neg_mag -0.015076 0.109359
a_neg d3Udcp3_pos_mag -0.015017 0.109333
a_neg d3Udcp3_neg_mag -0.015017 0.109333
a_neg i0_neg -0.061129 0.118418
a_neg i0_pos -0.004523 0.105578
a_neg SOC_neg -0.015017 0.109333
a_neg SOC_pos -0.015017 0.109333
a_neg tP -0.015018 0.109334
a_neg aa_neg -0.021007 0.123937
a_neg aa_pos 0.071335 0.141386
a_neg kappa_0 -0.526414 1.210592
a_neg sigma_neg -0.015030 0.109345
a_neg sigma_pos -0.015091 0.109367
a_pos l_neg -0.024702 0.088417
a_pos l_sep -0.024736 0.088429
a_pos l_pos -0.024924 0.088331
a_pos Rp_neg -0.025029 0.088801
a_pos Rp_pos -0.024453 0.087951
a_pos epsilon_f_neg -0.024736 0.088429
a_pos epsilon_f_pos -0.024736 0.088427
a_pos epsilon_neg -0.004364 0.090008
a_pos epsilon_sep -0.024736 0.088429
a_pos epsilon_pos -0.001002 0.079043
a_pos Cdl_neg -0.043894 0.122515
a_pos Cdl_pos -0.018122 0.079250
a_pos cs_max_neg -0.024736 0.088429
a_pos cs_max_pos -0.024736 0.088429
a_pos c0 -0.024740 0.088434
a_pos D -0.024737 0.088428
a_pos Ds_neg -0.024485 0.088305
a_pos Ds_pos -0.024790 0.088525
a_pos d2Udcp2_pos_sgn -0.024740 0.088414
a_pos d2Udcp2_neg_sgn -0.024736 0.088429
a_pos d3Udcp3_pos_sgn -0.024736 0.088429
a_pos d3Udcp3_neg_sgn -0.024736 0.088429
a_pos dUdcp_pos_mag -0.024558 0.088067
a_pos dUdcp_neg_mag -0.024624 0.088327
a_pos d2Udcp2_pos_mag -0.024728 0.088426
a_pos d2Udcp2_neg_mag -0.024740 0.088431
a_pos d3Udcp3_pos_mag -0.024736 0.088429
a_pos d3Udcp3_neg_mag -0.024736 0.088429
a_pos i0_neg -0.017516 0.083614
a_pos i0_pos -0.033153 0.085820
a_pos SOC_neg -0.024736 0.088429
a_pos SOC_pos -0.024736 0.088429
a_pos tP -0.024732 0.088428
a_pos aa_neg -0.018690 0.089579
a_pos aa_pos -0.018621 0.062056
a_pos kappa_0 -0.121440 0.280946
a_pos sigma_neg -0.024732 0.088425
a_pos sigma_pos -0.024761 0.088446
l_neg l_sep 0.000172 0.000665
l_neg l_pos 0.000172 0.000665
l_neg Rp_neg 0.000173 0.000666
l_neg Rp_pos 0.000172 0.000665
l_neg epsilon_f_neg 0.000172 0.000665
l_neg epsilon_f_pos 0.000172 0.000665
l_neg epsilon_neg 0.000122 0.000538
l_neg epsilon_sep 0.000172 0.000665
l_neg epsilon_pos 0.000143 0.000658
l_neg Cdl_neg -0.000017 0.000604
l_neg Cdl_pos 0.000158 0.000664
l_neg cs_max_neg 0.000172 0.000665
l_neg cs_max_pos 0.000172 0.000665
l_neg c0 0.000172 0.000665
l_neg D 0.000172 0.000665
l_neg Ds_neg 0.000178 0.000672
l_neg Ds_pos 0.000172 0.000665
l_neg d2Udcp2_pos_sgn 0.000172 0.000666
l_neg d2Udcp2_neg_sgn 0.000172 0.000665
l_neg d3Udcp3_pos_sgn 0.000172 0.000665
l_neg d3Udcp3_neg_sgn 0.000172 0.000665
l_neg dUdcp_pos_mag 0.000172 0.000665
l_neg dUdcp_neg_mag 0.000172 0.000665
l_neg d2Udcp2_pos_mag 0.000172 0.000665
l_neg d2Udcp2_neg_mag 0.000172 0.000665
l_neg d3Udcp3_pos_mag 0.000172 0.000665
l_neg d3Udcp3_neg_mag 0.000172 0.000665
l_neg i0_neg 0.000315 0.000805
l_neg i0_pos 0.000169 0.000643
l_neg SOC_neg 0.000172 0.000665
l_neg SOC_pos 0.000172 0.000665
l_neg tP 0.000172 0.000665
l_neg aa_neg 0.000484 0.001135
l_neg aa_pos 0.000123 0.000679
l_neg kappa_0 0.000354 0.000759
l_neg sigma_neg 0.000172 0.000666
l_neg sigma_pos 0.000172 0.000665
l_sep l_pos -0.000000 0.000000
l_sep Rp_neg -0.000000 0.000000
l_sep Rp_pos -0.000000 0.000000
l_sep epsilon_f_neg -0.000000 0.000000
l_sep epsilon_f_pos -0.000000 0.000000
l_sep epsilon_neg -0.000000 0.000000
l_sep epsilon_sep -0.000000 0.000000
l_sep epsilon_pos -0.000000 0.000000
l_sep Cdl_neg -0.000000 0.000000
l_sep Cdl_pos -0.000000 0.000000
l_sep cs_max_neg -0.000000 0.000000
l_sep cs_max_pos -0.000000 0.000000
l_sep c0 -0.000000 0.000000
l_sep D -0.000000 0.000000
l_sep Ds_neg -0.000000 0.000000
l_sep Ds_pos -0.000000 0.000000
l_sep d2Udcp2_pos_sgn -0.000000 0.000000
l_sep d2Udcp2_neg_sgn -0.000000 0.000000
l_sep d3Udcp3_pos_sgn -0.000000 0.000000
l_sep d3Udcp3_neg_sgn -0.000000 0.000000
l_sep dUdcp_pos_mag -0.000000 0.000000
l_sep dUdcp_neg_mag -0.000000 0.000000
l_sep d2Udcp2_pos_mag -0.000000 0.000000
l_sep d2Udcp2_neg_mag -0.000000 0.000000
l_sep d3Udcp3_pos_mag -0.000000 0.000000
l_sep d3Udcp3_neg_mag -0.000000 0.000000
l_sep i0_neg -0.000000 0.000000
l_sep i0_pos -0.000000 0.000000
l_sep SOC_neg -0.000000 0.000000
l_sep SOC_pos -0.000000 0.000000
l_sep tP -0.000000 0.000000
l_sep aa_neg -0.000000 0.000000
l_sep aa_pos -0.000000 0.000000
l_sep kappa_0 -0.000000 0.000000
l_sep sigma_neg -0.000000 0.000000
l_sep sigma_pos -0.000000 0.000000
l_pos Rp_neg -0.000039 0.000108
l_pos Rp_pos -0.000039 0.000108
l_pos epsilon_f_neg -0.000039 0.000108
l_pos epsilon_f_pos -0.000039 0.000108
l_pos epsilon_neg -0.000062 0.000133
l_pos epsilon_sep -0.000039 0.000108
l_pos epsilon_pos -0.000131 0.000199
l_pos Cdl_neg -0.000034 0.000109
l_pos Cdl_pos -0.000049 0.000107
l_pos cs_max_neg -0.000039 0.000108
l_pos cs_max_pos -0.000039 0.000108
l_pos c0 -0.000039 0.000108
l_pos D -0.000039 0.000108
l_pos Ds_neg -0.000039 0.000108
l_pos Ds_pos -0.000039 0.000108
l_pos d2Udcp2_pos_sgn -0.000039 0.000108
l_pos d2Udcp2_neg_sgn -0.000039 0.000108
l_pos d3Udcp3_pos_sgn -0.000039 0.000108
l_pos d3Udcp3_neg_sgn -0.000039 0.000108
l_pos dUdcp_pos_mag -0.000039 0.000108
l_pos dUdcp_neg_mag -0.000039 0.000108
l_pos d2Udcp2_pos_mag -0.000039 0.000108
l_pos d2Udcp2_neg_mag -0.000039 0.000108
l_pos d3Udcp3_pos_mag -0.000039 0.000108
l_pos d3Udcp3_neg_mag -0.000039 0.000108
l_pos i0_neg -0.000041 0.000109
l_pos i0_pos -0.000037 0.000132
l_pos SOC_neg -0.000039 0.000108
l_pos SOC_pos -0.000039 0.000108
l_pos tP -0.000039 0.000108
l_pos aa_neg -0.000039 0.000106
l_pos aa_pos -0.000053 0.000126
l_pos kappa_0 0.000106 0.000281
l_pos sigma_neg -0.000039 0.000108
l_pos sigma_pos -0.000039 0.000108
Rp_neg Rp_pos 0.000464 0.001430
Rp_neg epsilon_f_neg 0.000464 0.001430
Rp_neg epsilon_f_pos 0.000464 0.001430
Rp_neg epsilon_neg 0.001388 0.003951
Rp_neg epsilon_sep 0.000464 0.001430
Rp_neg epsilon_pos 0.000454 0.001416
Rp_neg Cdl_neg 0.000353 0.001311
Rp_neg Cdl_pos 0.000293 0.001294
Rp_neg cs_max_neg 0.000464 0.001430
Rp_neg cs_max_pos 0.000464 0.001430
Rp_neg c0 0.000464 0.001430
Rp_neg D 0.000464 0.001430
Rp_neg Ds_neg 0.000464 0.001430
Rp_neg Ds_pos 0.000464 0.001430
