Parameter S1 S1_conf ST ST_conf
a_neg -0.027736 0.141544 0.254657 0.528008
a_pos -0.301860 0.836397 6.369340 14.520666
l_neg 0.000005 0.000024 0.000000 0.000001
l_sep 0.000000 0.000000 0.000000 0.000000
l_pos 0.002155 0.005389 0.000246 0.000602
Rp_neg -0.000024 0.000086 0.000012 0.000034
Rp_pos 0.000183 0.000633 0.000005 0.000010
epsilon_f_neg 0.000001 0.000002 0.000000 0.000000
epsilon_f_pos 0.000001 0.000014 0.000000 0.000000
epsilon_neg -0.044713 0.104143 0.205128 0.374458
epsilon_sep 0.000000 0.000000 0.000000 0.000000
epsilon_pos 0.029780 0.097827 4.864294 2.495113
Cdl_neg 0.047684 0.107094 0.525410 1.138992
Cdl_pos 0.000723 0.038716 0.216909 0.311773
cs_max_neg 0.000000 0.000000 0.000000 0.000000
cs_max_pos 0.000000 0.000000 0.000000 0.000000
c0 0.000016 0.000029 0.000000 0.000000
D -0.000003 0.000007 0.000000 0.000000
Ds_neg 0.000175 0.000493 0.000346 0.000985
Ds_pos -0.000090 0.000238 0.000000 0.000000
d2Udcp2_pos_sgn 0.000002 0.000006 0.000000 0.000000
d2Udcp2_neg_sgn -0.000000 0.000000 0.000000 0.000000
d3Udcp3_pos_sgn 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_sgn 0.000000 0.000000 0.000000 0.000000
dUdcp_pos_mag -0.000091 0.000206 0.000001 0.000001
dUdcp_neg_mag -0.000194 0.000445 0.000020 0.000051
d2Udcp2_pos_mag -0.000111 0.000305 0.000000 0.000001
d2Udcp2_neg_mag 0.000000 0.000001 0.000000 0.000000
d3Udcp3_pos_mag 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_mag 0.000000 0.000000 0.000000 0.000000
i0_neg -0.028654 0.080437 0.109771 0.282487
i0_pos 0.033395 0.025031 3.490955 1.802707
SOC_neg 0.000000 0.000000 0.000000 0.000000
SOC_pos 0.000000 0.000000 0.000000 0.000000
tP 0.000018 0.000036 0.000000 0.000001
aa_neg -0.008457 0.034783 0.274762 0.497303
aa_pos 0.076473 0.143688 1.112769 0.711061
kappa_0 -0.409056 0.909776 10.638775 21.477171
sigma_neg -0.000007 0.000018 0.000000 0.000000
sigma_pos -0.000015 0.000060 0.000000 0.000001

Parameter_1 Parameter_2 S2 S2_conf
a_neg a_pos 0.280328 0.684761
a_neg l_neg 0.002559 0.156876
a_neg l_sep 0.002578 0.156878
a_neg l_pos 0.000997 0.156121
a_neg Rp_neg 0.002151 0.156733
a_neg Rp_pos 0.002971 0.156682
a_neg epsilon_f_neg 0.002580 0.156878
a_neg epsilon_f_pos 0.002583 0.156872
a_neg epsilon_neg 0.106092 0.278746
a_neg epsilon_sep 0.002578 0.156878
a_neg epsilon_pos 0.026540 0.148877
a_neg Cdl_neg 0.077864 0.266184
a_neg Cdl_pos 0.018777 0.148887
a_neg cs_max_neg 0.002578 0.156878
a_neg cs_max_pos 0.002578 0.156878
a_neg c0 0.002571 0.156876
a_neg D 0.002581 0.156878
a_neg Ds_neg 0.004835 0.157795
a_neg Ds_pos 0.002659 0.156866
a_neg d2Udcp2_pos_sgn 0.002577 0.156878
a_neg d2Udcp2_neg_sgn 0.002578 0.156878
a_neg d3Udcp3_pos_sgn 0.002578 0.156878
a_neg d3Udcp3_neg_sgn 0.002578 0.156878
a_neg dUdcp_pos_mag 0.002472 0.156942
a_neg dUdcp_neg_mag 0.001938 0.156612
a_neg d2Udcp2_pos_mag 0.002690 0.156856
a_neg d2Udcp2_neg_mag 0.002578 0.156878
a_neg d3Udcp3_pos_mag 0.002578 0.156878
a_neg d3Udcp3_neg_mag 0.002578 0.156878
a_neg i0_neg -0.057955 0.199981
a_neg i0_pos -0.005607 0.153398
a_neg SOC_neg 0.002578 0.156878
a_neg SOC_pos 0.002578 0.156878
a_neg tP 0.002570 0.156879
a_neg aa_neg 0.027215 0.167281
a_neg aa_pos 0.056570 0.179494
a_neg kappa_0 -0.462150 1.012603
a_neg sigma_neg 0.002611 0.156888
a_neg sigma_pos 0.002561 0.156909
a_pos l_neg 0.173396 0.847920
a_pos l_sep 0.173403 0.847922
a_pos l_pos 0.173212 0.847371
a_pos Rp_neg 0.173406 0.847923
a_pos Rp_pos 0.174436 0.847613
a_pos epsilon_f_neg 0.173403 0.847922
a_pos epsilon_f_pos 0.173424 0.847913
a_pos epsilon_neg 0.204035 0.867218
a_pos epsilon_sep 0.173403 0.847922
a_pos epsilon_pos 0.183546 0.857100
a_pos Cdl_neg 0.130610 0.830911
a_pos Cdl_pos 0.227725 0.844943
a_pos cs_max_neg 0.173403 0.847922
a_pos cs_max_pos 0.173403 0.847922
a_pos c0 0.173407 0.847915
a_pos D 0.173401 0.847922
a_pos Ds_neg 0.173358 0.847899
a_pos Ds_pos 0.173397 0.847925
a_pos d2Udcp2_pos_sgn 0.173402 0.847921
a_pos d2Udcp2_neg_sgn 0.173403 0.847922
a_pos d3Udcp3_pos_sgn 0.173403 0.847922
a_pos d3Udcp3_neg_sgn 0.173403 0.847922
a_pos dUdcp_pos_mag 0.173059 0.848021
a_pos dUdcp_neg_mag 0.173404 0.847923
a_pos d2Udcp2_pos_mag 0.173403 0.847922
a_pos d2Udcp2_neg_mag 0.173403 0.847922
a_pos d3Udcp3_pos_mag 0.173403 0.847922
