Parameter S1 S1_conf ST ST_conf
a_neg -0.074448 0.110857 0.732592 1.358955
a_pos 0.250812 0.529290 22.779890 46.691324
l_neg 0.000013 0.000031 0.000001 0.000001
l_sep 0.000001 0.000002 0.000001 0.000002
l_pos -0.004353 0.008658 0.005786 0.011996
Rp_neg 0.000011 0.000024 0.000000 0.000000
Rp_pos -0.000009 0.000031 0.000000 0.000000
epsilon_f_neg 0.000006 0.000011 0.000000 0.000000
epsilon_f_pos 0.000007 0.000019 0.000000 0.000000
epsilon_neg -0.012803 0.037518 0.080941 0.075095
epsilon_sep 0.000000 0.000000 0.000000 0.000000
epsilon_pos -0.116888 0.219940 0.473623 0.564009
Cdl_neg 0.202953 0.399966 2.005311 3.106307
Cdl_pos -0.074155 0.207169 1.991177 4.447733
cs_max_neg 0.000000 0.000000 0.000000 0.000000
cs_max_pos 0.000000 0.000000 0.000000 0.000000
c0 -0.000002 0.000009 0.000000 0.000000
D -0.000000 0.000001 0.000000 0.000000
Ds_neg 0.000006 0.000014 0.000000 0.000000
Ds_pos -0.000005 0.000016 0.000000 0.000000
d2Udcp2_pos_sgn 0.000000 0.000000 0.000000 0.000000
d2Udcp2_neg_sgn -0.000000 0.000000 0.000000 0.000000
d3Udcp3_pos_sgn 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_sgn 0.000000 0.000000 0.000000 0.000000
dUdcp_pos_mag -0.000059 0.000158 0.000001 0.000001
dUdcp_neg_mag 0.000019 0.000031 0.000000 0.000000
d2Udcp2_pos_mag 0.000001 0.000001 0.000000 0.000000
d2Udcp2_neg_mag 0.000000 0.000000 0.000000 0.000000
d3Udcp3_pos_mag 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_mag 0.000000 0.000000 0.000000 0.000000
i0_neg 0.007298 0.017523 0.049371 0.046246
i0_pos 0.005792 0.054463 3.851720 6.227539
SOC_neg 0.000000 0.000000 0.000000 0.000000
SOC_pos 0.000000 0.000000 0.000000 0.000000
tP 0.000011 0.000028 0.000000 0.000000
aa_neg 0.077135 0.119171 0.129598 0.169017
aa_pos 0.033514 0.067113 2.472176 3.256123
kappa_0 -0.040130 0.071395 0.991177 1.668569
sigma_neg -0.000052 0.000087 0.000000 0.000000
sigma_pos 0.000069 0.000122 0.000000 0.000000

Parameter_1 Parameter_2 S2 S2_conf
a_neg a_pos -0.071234 0.411999
a_neg l_neg 0.105564 0.126344
a_neg l_sep 0.105577 0.126355
a_neg l_pos 0.108623 0.126822
a_neg Rp_neg 0.105688 0.126430
a_neg Rp_pos 0.105540 0.126338
a_neg epsilon_f_neg 0.105570 0.126352
a_neg epsilon_f_pos 0.105512 0.126327
a_neg epsilon_neg 0.151355 0.357494
a_neg epsilon_sep 0.105577 0.126355
a_neg epsilon_pos 0.118625 0.133814
a_neg Cdl_neg 0.508042 0.865967
a_neg Cdl_pos 0.108715 0.128186
a_neg cs_max_neg 0.105577 0.126355
a_neg cs_max_pos 0.105577 0.126355
a_neg c0 0.105582 0.126358
a_neg D 0.105578 0.126356
a_neg Ds_neg 0.105642 0.126399
a_neg Ds_pos 0.105576 0.126355
a_neg d2Udcp2_pos_sgn 0.105577 0.126355
a_neg d2Udcp2_neg_sgn 0.105577 0.126355
a_neg d3Udcp3_pos_sgn 0.105577 0.126355
a_neg d3Udcp3_neg_sgn 0.105577 0.126355
a_neg dUdcp_pos_mag 0.105658 0.126396
a_neg dUdcp_neg_mag 0.105683 0.126426
a_neg d2Udcp2_pos_mag 0.105578 0.126356
a_neg d2Udcp2_neg_mag 0.105577 0.126355
a_neg d3Udcp3_pos_mag 0.105577 0.126355
a_neg d3Udcp3_neg_mag 0.105577 0.126355
a_neg i0_neg 0.116017 0.127184
a_neg i0_pos 0.102660 0.126525
a_neg SOC_neg 0.105577 0.126355
a_neg SOC_pos 0.105577 0.126355
a_neg tP 0.105576 0.126353
a_neg aa_neg 0.114032 0.145892
a_neg aa_pos 0.108186 0.128998
a_neg kappa_0 0.069418 0.126165
a_neg sigma_neg 0.105587 0.126371
a_neg sigma_pos 0.105998 0.126507
a_pos l_neg -0.241972 0.531452
a_pos l_sep -0.241947 0.531434
a_pos l_pos -0.241604 0.530780
a_pos Rp_neg -0.241956 0.531440
a_pos Rp_pos -0.241950 0.531437
a_pos epsilon_f_neg -0.241956 0.531440
a_pos epsilon_f_pos -0.241957 0.531440
a_pos epsilon_neg -0.231412 0.529163
a_pos epsilon_sep -0.241956 0.531440
a_pos epsilon_pos -0.166014 0.519259
a_pos Cdl_neg -0.218088 0.522486
a_pos Cdl_pos -0.181101 0.518142
a_pos cs_max_neg -0.241956 0.531440
a_pos cs_max_pos -0.241956 0.531440
